city,distance
Shanghai,4.977602
Nanjing,4.478982
Xuzhou,4.129271
Huai'an,3.806660
Yancheng,3.361702
Suzhou,3.279585
Beijing,3.088087
Yangzhou,3.066210
Lianyungang,2.996500
Taizhou,2.971704
Wuxi,2.946008
Hangzhou,2.919322
Taipei,2.891540
Tianjin,2.832176
Zhenjiang,2.832176
Chuzhou,2.730917
Nantong,2.730917
Hong Kong,2.692867
Changzhou,2.505747
Hefei,2.505747
Jinan,2.505747
Quanzhou,2.445106
Wuhu,2.445106
Linyi,2.374767
Qingdao,2.374767
Shangqiu,2.374767
Wuhan,2.374767
Heze,2.289842
Tai'an,2.289842
Xi'an,2.289842
Xiuzhou,2.289842
Chengdou,2.179966
Guangzhou,2.179966
Baotou,2.179966
Jiaxing,2.179966
Jining,2.179966
Kaifeng,2.179966
Kunming,2.179966
Shaoxing,2.179966
Shenzhen,2.179966
Shijiazhuang,2.179966
Bangbu,2.179966
Zaozhuang,2.179966
Dezhou,2.014701
Fuzhou,2.014701
Bozhou,2.014701
Huangshan,2.014701
Lanzhou,2.014701
Lishui,2.014701
Luoyang,2.014701
Shamen,2.014701
Taoyuan,2.014701
Baoding,2.014701
Tongling,2.014701
Urumqi,2.014701
Wenzhou,2.014701
Xinxiang,2.014701
Anqing,2.014701
Zhengzhou,2.014701
Zhongshan,2.014701
Zhoushan,2.014701
Zhuhai,2.014701
Ningbo,1.940476
New Taipei,1.892784
Huzhou,1.776415
Sanya,1.771562
Chongqing,1.706538
Jinhua,1.693841
Rizhao,1.681130
Dalian,1.657948
Ma'anshan,1.641931
Changsha,1.639052
Shenyang,1.615818
Huaibei,1.613203
Macau,1.607736
Harbin,1.597663
Guilin,1.594070
Taizhou,1.581497
Nanchang,1.578543
Changchun,1.543635
Lijiang,1.541392
Taichung,1.534143
Langfang,1.526052
Guiyang,1.518701
Shangrao,1.516397
Yantai,1.516260
Keelung,1.511266
Haikou,1.507896
Taiyuan,1.505343
Nanning,1.501693
Zhangjiajie,1.499182
Hohhot,1.496685
Hsinchu,1.491836
Qinhuangdao,1.489094
Kaohsiung,1.488249
Xuancheng,1.474280
Zibo,1.466167
Yilan,1.460661
Weifang,1.454580
Hualien,1.451521
Chizhou,1.444217
Lhasa,1.436964
Nanping,1.434542
Tangshan,1.429945
Ngawa,1.428284
Cangzhou,1.427926
Dongguan,1.427899
Ordos,1.427329
Foshan,1.420931
Xianyang,1.420400
Yinchuan,1.414933
Quzhou,1.413791
Nantou,1.413281
Jiujiang,1.413217
Fuyang,1.412260
Zhangjiakou,1.408713
Weihai,1.408673
Xining,1.401143
Beihai,1.400984
Dali,1.400518
Chengde,1.396952
Sanmenxia,1.394401
Baoji,1.394401
Pingdong,1.393743
Yichang,1.393638
Tainan,1.393251
Yingtan,1.392285
Weinan,1.385482
Lu'an,1.382831
Putian,1.375206
Haixi,1.373537
Leshan,1.372609
Jingdezhen,1.368533
Zhangzhou,1.367884
Jian,1.366238
Hengshui,1.361579
Liuzhou,1.354043
Xiangxi,1.353340
Diqing,1.353105
Chiayi,1.348735
Huainan,1.347831
Ningde,1.345564
Mianyang,1.344300
Xianning,1.342824
Datong,1.341319
Jieyang,1.329965
Weicu,1.328223
Jiuquan,1.322204
Laiwu,1.321812
Yanbian,1.319069
Turpan,1.318776
Liaocheng,1.315865
Taidong,1.315279
Yan'an,1.310749
Miaoli,1.309848
Changji,1.307768
Jingzhou,1.307529
Shantou,1.306263
Jiaozuo,1.304366
Anyang,1.304366
Zhuzhou,1.301883
Huanggang,1.301319
Xiangyang,1.299048
Binzhou,1.295219
Tianshui,1.295219
Xiaogan,1.294357
Hulunbuir,1.294160
Ganzhou,1.293759
Changhua,1.292887
Huangshi,1.292684
Alty,1.290886
Jinzhou,1.290077
Huludao,1.288686
Xingtai,1.286068
Longyan,1.284958
Garze,1.284079
Deyang,1.284013
Jilin,1.281851
Jinzhong,1.279144
Bayannur,1.278906
Dongying,1.277245
Yichun,1.276773
Xishuangbanna,1.276247
Shaoguan,1.273405
Puyang,1.273079
Zhanjiang,1.272915
Xinyang,1.271736
Baoshan,1.269783
Daqing,1.269539
Yangquan,1.269539
