city,distance
Taichung,5.908078
Taipei,4.266097
Nantou,3.907958
Yunlin,3.494839
Tainan,3.483541
Kaohsiung,3.240339
Chiayi,3.195348
Taoyuan,3.195348
Hsinchu,3.097389
Miaoli,3.061868
New Taipei,3.061868
Hong Kong,2.745543
Shanghai,2.650280
Beijing,2.488457
Pingdong,2.488457
Shenzhen,2.313555
Hong Kong,2.261309
Guangzhou,2.232878
Hualien,2.232878
Nanjing,2.232878
Keelung,2.128275
Shenyang,2.128275
Taidong,2.128275
Wuhan,2.128275
Yilan,2.128275
Fuzhou,1.970472
Guilin,1.970472
Kinmen,1.970472
Shamen,1.970472
Shijiazhuang,1.970472
Suzhou,1.970472
Zhangzhou,1.970472
Hangzhou,1.610627
Penghu,1.572526
Dongguan,1.558508
Macau,1.510125
Jiaxing,1.505805
Wuxi,1.485304
Zhongshan,1.458445
Changzhou,1.446258
Ningbo,1.445596
Foshan,1.443223
Chengdou,1.434241
Chongqing,1.425965
Kunming,1.425965
Nantong,1.425965
Qingdao,1.425965
Zhoushan,1.388535
Hefei,1.382570
Jilin,1.382570
Lianyungang,1.382570
Luoyang,1.382570
Xi'an,1.382570
Yantai,1.382570
Zhenjiang,1.382570
Zhuhai,1.382570
Huai'an,1.379379
Langfang,1.363668
Nanning,1.355502
Huzhou,1.352539
Dalian,1.351624
Changsha,1.350290
Sanya,1.349724
Harbin,1.344656
Ningde,1.341733
Baoding,1.337928
Jinan,1.336923
Shaoxing,1.334652
Qinhuangdao,1.334081
Yangzhou,1.319919
Hezhou,1.314200
Huizhou,1.314200
Leshan,1.314200
Linyi,1.314200
Urumqi,1.314200
Yichang,1.314200
Zhuzhou,1.314200
Chaozhou,1.307355
Longyan,1.306494
Jinhua,1.304133
Fushun,1.301798
Quanzhou,1.297710
Zhengzhou,1.297710
Taiyuan,1.297512
Anshan,1.291985
Ma'anshan,1.289719
Changchun,1.287217
Tangshan,1.286408
Nanchang,1.285389
Huangshan,1.277948
Wenzhou,1.274528
Wuhu,1.274528
Xiuqian,1.274528
Zhangjiakou,1.269199
Jiangmen,1.263427
Xianning,1.260288
Chengde,1.259644
Taizhou,1.255410
Liuzhou,1.255008
Jinzhou,1.252359
Liaoyang,1.249278
Benxi,1.244794
Lanzhou,1.242321
Dandong,1.237773
Hohhot,1.237345
Liangshanzhou,1.237291
