city,distance
Shanghai,5.857121
Huzhou,3.901278
Huangshan,3.778422
Wuhu,3.705320
Hangzhou,3.639064
Nanjing,3.257419
Suzhou,3.246379
Chizhou,3.229555
Changzhou,3.140084
Hefei,3.025018
Jiaxing,2.861353
Wuxi,2.792967
Beijing,2.750162
Anqing,2.666667
Ma'anshan,2.501276
Tongling,2.464061
Ningbo,2.328473
Wuhan,2.202629
Zhenjiang,2.202629
Qinhuangdao,2.162764
Shamen,2.162764
Yangzhou,2.162764
Hong Kong,2.137254
Huainan,2.117438
Nantong,2.117438
Shaoxing,2.117438
Zhoushan,2.117438
Guangzhou,2.064483
Jingdezhen,2.064483
Nanchang,2.064483
Tianjin,2.064483
Dalian,2.000000
Fuzhou,2.000000
Jiujiang,2.000000
Sanya,2.000000
Wenzhou,2.000000
Xuzhou,2.000000
Yingtan,2.000000
Zhengzhou,2.000000
Chengdou,1.929983
Chongqing,1.915667
Bozhou,1.915667
Guilin,1.915667
Harbin,1.915667
Huangshi,1.915667
Jinan,1.915667
Kunming,1.915667
Lishui,1.915667
Shangrao,1.915667
Zhuhai,1.915667
Shenzhen,1.890530
Qingdao,1.859912
Xi'an,1.826505
Taipei,1.806153
Datong,1.786862
Fuyang,1.786862
Heze,1.786862
Bangbu,1.786862
Huaibei,1.786862
Huaihua,1.786862
Jilin,1.786862
Jinhua,1.786862
Kaifeng,1.786862
Liangshanzhou,1.786862
Linyi,1.786862
Lu'an,1.786862
Luoyang,1.786862
Baoji,1.786862
Nanping,1.786862
Nanyang,1.786862
Quzhou,1.786862
Changsha,1.786862
Shangqiu,1.786862
Chuzhou,1.786862
Shenyang,1.786862
Tai'an,1.786862
Taizhou,1.786862
Taoyuan,1.786862
Baotou,1.786862
Xingtai,1.786862
Xinyu,1.786862
Ya'an,1.786862
Yancheng,1.786862
Yichang,1.786862
Yichun,1.786862
Zaozhuang,1.786862
Chaozhou,1.786862
Macau,1.689688
Taizhou,1.660731
Changchun,1.619030
Lijiang,1.616562
Guiyang,1.591622
Yantai,1.588941
Urumqi,1.585145
Haikou,1.579758
Taiyuan,1.576957
Lanzhou,1.576471
Lianyungang,1.574434
Nanning,1.572951
Zhangjiajie,1.570197
Shijiazhuang,1.551180
Quanzhou,1.523071
Hohhot,1.502341
Lhasa,1.502079
Huai'an,1.499566
Ngawa,1.492597
Dongguan,1.492176
Yinchuan,1.478022
Weihai,1.471193
Xining,1.462982
Beihai,1.462809
Kaohsiung,1.451650
Anshan,1.442934
Jining,1.440310
Langfang,1.438692
Jian,1.424970
Foshan,1.421014
Dali,1.419828
Liuzhou,1.411709
Xiangxi,1.410945
Diqing,1.410689
Baoding,1.410072
Ningde,1.402494
Mianyang,1.401121
New Taipei,1.392256
Meizhou,1.390749
Weifang,1.390163
Rizhao,1.389559
Tangshan,1.389124
Jieyang,1.385556
Jiuquan,1.377135
Zibo,1.374079
Yanbian,1.373734
Taichung,1.364039
Shantou,1.359851
Huanggang,1.357927
Zhongshan,1.355909
Zhuzhou,1.355105
Xiangyang,1.350158
Xiuqian,1.348461
Hulunbuir,1.346739
Ganzhou,1.346305
Ordos,1.343662
Jinzhou,1.342318
Longyan,1.336777
Leshan,1.335826
Garze,1.335826
Zhangjiakou,1.333942
Xiuzhou,1.329015
Dongying,1.328431
Nantou,1.325854
Dezhou,1.324278
Pingdong,1.324278
Shaoguan,1.324278
Zhanjiang,1.323748
Chengde,1.323391
Jinzhong,1.319413
Zhangzhou,1.319413
Huludao,1.318283
Hezhou,1.316614
Wanning,1.315475
Panjin,1.313159
Suihua,1.312572
Haixi,1.311983
Baoshan,1.311389
Xishuangbanna,1.309591
Huizhou,1.307762
Xinzhou,1.305274
Nyingchi,1.304047
Changde,1.302081
Xianyang,1.299456
Hualien,1.298120
Handan,1.296766
Sanming,1.296082
Putian,1.293304
Cangzhou,1.291886
Qionghai,1.290450
Shiyan,1.288257
Tainan,1.287516
Jiangmen,1.287516
Xianning,1.285995
Daqing,1.285261
Jiaozuo,1.282956
Liaocheng,1.282956
Pingxiang,1.280598
Gannan,1.279236
Mudanjiang,1.276545
Yuncheng,1.276545
Yunlin,1.274034
Dandong,1.273183
Qiandongnan,1.268820
Qingyuan,1.266108
Chiayi,1.262376
Xinxiang,1.261420
Fuzhou,1.260456
Deyang,1.259482
Changzhi,1.257506
Yibin,1.257506
Hengyang,1.256502
Xiangtan,1.256502
Jingzhou,1.253588
Weinan,1.253430
Qiqihar,1.248087
Ezhou,1.247425
Alty,1.245866
Weicu,1.243592
Xinyang,1.242435
Xiaogan,1.241475
Anshun,1.241264
Jiayuguan,1.238879
Yilan,1.236433
Yueyang,1.232643
Chifeng,1.232643
Baishan,1.231345
Hsinchu,1.228696
Anyang,1.228696
Chongzuo,1.227342
Yingkou,1.226011
Zhaoqing,1.225970
Shuozhou,1.222461
Luzhou,1.221726
Sansha,1.220268
Penghu,1.220268
Tianshui,1.217281
Kashgar,1.217281
Keelung,1.215751
Ili(Yili),1.215751
Yan'an,1.214195
Zunyi,1.214195
Fushun,1.212612
Sanmenxia,1.211001
Panzhihua,1.203210
Ulanqab,1.203047
Taidong,1.202493
Turpan,1.202493
Loudi,1.201837
Pingdingshan,1.200704
Binzhou,1.200691
Nagqu,1.198852
Kinmen,1.196975
Linfen,1.195057
Benxi,1.195057
Yichun,1.193098
Nanchong,1.191094
Tongliao,1.191094
Keramay,1.189043
Bayingolin,1.189043
Chenzhou,1.189043
Qiannan,1.186944
Shaoyang,1.184794
Jiamusi,1.184794
Jingmen,1.184031
Shannan,1.182589
Laiwu,1.182589
Zhongwei,1.182589
Enshi,1.180327
Zhangye,1.178004
Haibei,1.178004
Hengshui,1.176878
Linxia,1.176878
Alxa,1.176878
Zhumadian,1.176878
Tacheng,1.176851
Yuxi,1.175002
Luohe,1.170829
Liaoyang,1.165342
Fangchenggang,1.165342
Yulin,1.165342
Qinzhou,1.165342
Daxinganling,1.162567
Honghe,1.162567
Zhoukou,1.162567
Xuchang,1.162481
Tongren,1.161206
Tieling,1.159696
Meishan,1.159696
Xilingol,1.157940
Yiyang,1.156723
Heyuan,1.156723
Dazhou,1.153640
Baise,1.153640
Qujing,1.150437
Dehong,1.150437
Bayannur,1.150437
Jincheng,1.147105
Lingshui,1.143631
Ankang,1.143630
Yangjiang,1.143630
Pu'er,1.143630
Zigong,1.143630
Miaoli,1.140000
Chaoyang,1.140000
Yongzhou,1.140000
Wuzhou,1.136198
Suizhou,1.136198
Hanzhong,1.132206
Shizuishan,1.132206
Suining,1.128003
Hechi,1.128003
Baoting,1.123563
Heihe,1.123563
Puyang,1.123563
Neijiang,1.118854
Siping,1.118854
Changji,1.113841
Fuxin,1.113841
Jiyuan,1.113841
Hinggan,1.113841
Jixi,1.113841
Yangquan,1.112687
Shanwei,1.111167
Guang'an,1.108794
Hotan,1.108476
Lincang,1.108476
Wenchang,1.108476
Liaoyuan,1.108476
Songyuan,1.108476
Haidong,1.102702
Changhua,1.102702
Aksu,1.102702
Hebi,1.102702
Wuwei,1.102702
Bortala,1.102702
Lvliang,1.102702
Wuhai,1.096446
Baiyin,1.096446
Qianxinan,1.096446
Jinchang,1.096446
Dingxi,1.089613
Danzhou,1.089613
Shangluo,1.089613
Tonghua,1.086466
Changhua,1.086291
Ziyang,1.083762
Shuangyashan,1.082074
Kumul(Hami),1.082074
Baicheng,1.082074
Hegang,1.073652
Bijie,1.073652
Guigang,1.073652
Maoming,1.073652
Guangyuan,1.064125
Golog,1.064092
Pingliang,1.064092
Wenshan,1.064092
Liupanshui,1.053002
Zhaotong,1.053002
Wuzhishan,1.052683
Qitaihe,1.046200
Bazhong,1.039739
Laibin,1.039739
Tongchuan,1.039739
Ngari,1.039739
Dongfang,1.039739
Ledong,1.036884
Yunfu,1.026772
Guyuan,1.023125
Huangnan,1.023125
Dingan,1.023125
Chengmai,1.022968
Wuzhong,1.019137
Qamdo,1.003336
Longnan,1.000592
Nujiang,1.000592
Qingyang,1.000592
Yushuzhou,1.000592
Changjiang,0.964285
Kezilsu,0.951950
Qiongzhong,0.869671
