city,distance
Zhengzhou,5.547741
Jinzhou,4.089148
Beijing,3.991376
Luohe,3.593616
Pingdingshan,3.402650
Shanghai,3.330195
Wuhan,3.134767
Zhumadian,3.034505
Kaifeng,2.997906
Luoyang,2.997906
Xinxiang,2.875141
Changsha,2.723521
Jiaozuo,2.662831
Xi'an,2.662831
Guangzhou,2.594452
Hangzhou,2.594452
Hebi,2.594452
Xiaogan,2.515397
Fuyang,2.420318
Nanyang,2.420318
Puyang,2.420318
Shijiazhuang,2.420318
Hefei,2.297898
Langfang,2.297898
Lu'an,2.297898
Nanjing,2.297898
Sanya,2.297898
Taiyuan,2.297898
Tianjin,2.297898
Baoding,2.297898
Xianning,2.297898
Yancheng,2.297898
Zhoukou,2.297898
Shenyang,2.207279
Changzhi,2.115019
Chengdou,2.115019
Dalian,2.115019
Datong,2.115019
Dezhou,2.115019
Dongguan,2.115019
Dongying,2.115019
Ezhou,2.115019
Baoji,2.115019
Guilin,2.115019
Huludao,2.115019
Bangbu,2.115019
Jinan,2.115019
Jingzhou,2.115019
Kunming,2.115019
Lanzhou,2.115019
Nanchang,2.115019
Ningbo,2.115019
Sanmenxia,2.115019
Shamen,2.115019
Shangqiu,2.115019
Shenzhen,2.115019
Shiyan,2.115019
Suzhou,2.115019
Tangshan,2.115019
Weihai,2.115019
Wenzhou,2.115019
Changchun,2.115019
Xiangxi,2.115019
Xinyang,2.115019
Xuzhou,2.115019
Yingkou,2.115019
Yueyang,2.115019
Panjin,1.886769
Anyang,1.881909
Qinhuangdao,1.879069
Chaoyang,1.808899
Hong Kong,1.729673
Chongqing,1.729028
Qingdao,1.715155
Jiaxing,1.703402
Yinchuan,1.694980
Anshan,1.681629
Wuxi,1.677214
Harbin,1.643236
Handan,1.642066
Changzhou,1.627594
Urumqi,1.613966
Jiyuan,1.605439
Fuzhou,1.599506
Xiangyang,1.596221
Foshan,1.586096
Fuxin,1.585875
Guiyang,1.583682
Zhangjiakou,1.570887
Bozhou,1.567995
Yichang,1.563027
Zhongshan,1.558848
Chengde,1.556276
Xianyang,1.555559
Zhoushan,1.554853
Xingtai,1.554669
Weinan,1.550642
Dandong,1.547547
Fushun,1.547547
Haikou,1.542263
Nantong,1.542047
Hohhot,1.537898
Taipei,1.537243
Zhangjiajie,1.534099
Jincheng,1.533406
Yangzhou,1.533406
Chuzhou,1.519075
Ordos,1.519075
Xining,1.513978
Zhenjiang,1.513978
Zhuzhou,1.513697
Xiangtan,1.510665
Huzhou,1.509857
Huanggang,1.500690
Tieling,1.496568
Jinzhong,1.491277
Huangshi,1.489218
Shaoxing,1.487601
Yantai,1.487192
Benxi,1.480507
Siping,1.480507
Jining,1.479008
Heze,1.479008
Cangzhou,1.478645
Lhasa,1.472252
Lianyungang,1.465152
Xiuzhou,1.465152
Nanning,1.457670
Taoyuan,1.457670
Yuncheng,1.457670
Hengyang,1.456039
Tai'an,1.455805
Liaocheng,1.454654
Jinhua,1.449786
Baotou,1.449755
Zhuhai,1.449755
Lijiang,1.444395
Linyi,1.441348
Changde,1.434916
Rizhao,1.432377
Jilin,1.430568
Yan'an,1.425006
Huangshan,1.417498
Jiujiang,1.416901
Chenzhou,1.416901
Huainan,1.413562
Jingmen,1.409299
Hulunbuir,1.407267
Quanzhou,1.401036
Taizhou,1.389823
Kaohsiung,1.388597
Tianshui,1.388597
Wuhu,1.388597
Hengshui,1.388597
Xinzhou,1.387639
Macau,1.386240
Liaoyang,1.386114
Tongliao,1.386114
Weifang,1.386106
Enshi,1.383452
Loudi,1.381614
Ngawa,1.380952
Chifeng,1.378163
Yiyang,1.374190
Dali,1.373423
Wanning,1.373202
Jiangmen,1.371586
Taizhou,1.369233
Shuozhou,1.367632
Zibo,1.366596
Liuzhou,1.359122
Shangrao,1.359122
Jiuquan,1.359122
Haixi,1.359122
Huizhou,1.359122
Huai'an,1.359122
Suizhou,1.357238
Hanzhong,1.350050
Leshan,1.346572
Dazhou,1.346057
Chizhou,1.345181
Yulin,1.345181
Binzhou,1.345075
Daqing,1.345075
Ulanqab,1.343379
Ankang,1.341082
Dingxi,1.341082
Zaozhuang,1.341082
Zhangzhou,1.341082
Linfen,1.341082
Qingyuan,1.338594
Xilingol,1.332396
Anqing,1.330500
Qionghai,1.330144
Zhaoqing,1.324075
Qiqihar,1.322899
Longyan,1.319644
Huaihua,1.319315
Shaoguan,1.307368
Weicu,1.303829
Yanbian,1.299503
Wenchang,1.299130
Wuzhong,1.299130
Yangjiang,1.299130
Jian,1.299130
Shangluo,1.294198
Diqing,1.293714
Guangyuan,1.292996
Xuancheng,1.292996
Guang'an,1.292996
Kumul(Hami),1.292996
Baoshan,1.292996
Shaoyang,1.291358
Nanping,1.284684
Luzhou,1.280832
Longnan,1.280832
Ya'an,1.280832
Shuangyashan,1.280276
Songyuan,1.280276
Suihua,1.280276
Baishan,1.280276
Yangquan,1.280276
Jiamusi,1.280276
Mianyang,1.280276
Lvliang,1.276194
Shantou,1.269663
Mudanjiang,1.265283
Deyang,1.261202
Pingxiang,1.260578
Beihai,1.259416
Kashgar,1.257215
Keramay,1.257215
Ganzhou,1.257215
Tainan,1.257215
Ili(Yili),1.257215
Tongling,1.257215
Nantou,1.257215
Wuhai,1.257215
Wuwei,1.257215
New Taipei,1.257215
Huaibei,1.257215
Hinggan,1.257215
Xishuangbanna,1.257215
Nanchong,1.257215
Zhongwei,1.257215
Tongchuan,1.256303
Yichun,1.255875
Ningde,1.255709
Yingtan,1.252794
Yuxi,1.247101
Yongzhou,1.246436
Zunyi,1.243284
Gannan,1.242382
Hezhou,1.240056
Quzhou,1.239617
Jingdezhen,1.238454
Lingshui,1.235196
Zhanjiang,1.234964
Lishui,1.234060
Jiayuguan,1.231438
Tongren,1.230176
Fangchenggang,1.228364
Meizhou,1.224366
Ma'anshan,1.218095
Taichung,1.217618
Bayannur,1.217618
Honghe,1.216710
Qujing,1.216455
Xiuqian,1.213908
Garze,1.212692
Fuzhou,1.211808
Jieyang,1.211594
Linxia,1.208573
Heyuan,1.206049
Zhangye,1.204014
Yibin,1.202433
Tonghua,1.201776
Hualien,1.200426
Liupanshui,1.200426
Putian,1.200426
Turpan,1.200426
Chaozhou,1.200426
Sansha,1.200426
Haidong,1.200426
Hechi,1.200426
Nyingchi,1.200426
Laibin,1.200426
Alty,1.200426
Nagqu,1.200426
Aksu,1.200426
Panzhihua,1.200426
Changji,1.200426
Qiandongnan,1.199636
Baiyin,1.192385
Pingdong,1.192235
Xinyu,1.189472
Shanwei,1.186322
Dehong,1.180710
Laiwu,1.180239
Maoming,1.176077
Meishan,1.173631
Anshun,1.173366
Daxinganling,1.171428
Qingyang,1.167106
Shizuishan,1.165150
Baoting,1.161129
Neijiang,1.159576
Wuzhou,1.158926
Liangshanzhou,1.158765
Chiayi,1.156455
Alxa,1.149112
Suining,1.146833
Taidong,1.146511
Jinchang,1.145147
Yunfu,1.142881
Sanming,1.141045
Bayingolin,1.141045
Pingliang,1.140184
Pu'er,1.139944
Ziyang,1.139755
Keelung,1.138167
Zigong,1.132535
Wuzhishan,1.129773
Jixi,1.128854
Danzhou,1.127008
Baicheng,1.125489
Yichun,1.118290
Hsinchu,1.118290
Qiannan,1.116969
Yulin,1.115413
Qinzhou,1.114423
Liaoyuan,1.113025
Ledong,1.111595
Yilan,1.110350
Heihe,1.110350
Haibei,1.110350
Wenshan,1.110253
Hebi,1.102702
Chongzuo,1.096625
Qianxinan,1.096625
Kinmen,1.093808
Yunlin,1.093543
Shannan,1.091424
Bijie,1.091424
Guyuan,1.086714
Qamdo,1.085826
Zhaotong,1.083336
Dingan,1.079514
Dongfang,1.079514
Guigang,1.073132
Huangnan,1.065819
Hegang,1.065819
Lincang,1.065730
Penghu,1.061563
Miaoli,1.057648
Changhua,1.057648
Hotan,1.057648
Qitaihe,1.048369
Bazhong,1.048369
Nujiang,1.026162
Bortala,1.024722
Golog,1.008581
Chengmai,1.008581
Yushuzhou,1.008581
Tacheng,0.990285
Kezilsu,0.964581
Ngari,0.958643
Changjiang,0.913955
Qiongzhong,0.913955
