city,distance
Shanghai,5.123806
Nanjing,4.198982
Beijing,3.787754
Bangbu,3.262552
Jinan,3.228902
Suzhou,3.178448
Zaozhuang,3.110757
Lianyungang,3.049071
Xiuzhou,2.995164
Jining,2.991866
Zhengzhou,2.978519
Wuxi,2.922449
Shangqiu,2.884912
Xiuqian,2.849195
Xi'an,2.780243
Hangzhou,2.727816
Huai'an,2.722807
Tai'an,2.707511
Tianjin,2.686447
Changzhou,2.647525
Huaibei,2.647525
Qingdao,2.647525
Yancheng,2.623947
Chuzhou,2.611748
Linyi,2.611748
Zhenjiang,2.605539
Yangzhou,2.566605
Hefei,2.524347
Kaifeng,2.486028
Taizhou,2.444216
Wuhan,2.435363
Dezhou,2.417097
Chengdou,2.357048
Dalian,2.323356
Chongqing,2.299177
Guangzhou,2.299177
Nantong,2.299177
Shamen,2.299177
Zibo,2.273363
Luoyang,2.259757
Shenyang,2.259757
Shenzhen,2.245626
Weifang,2.245626
Jiaxing,2.230922
Rizhao,2.199546
Heze,2.182725
Cangzhou,2.182725
Lanzhou,2.182725
Fuyang,2.146331
Hong Kong,2.126498
Sanmenxia,2.105351
Baoji,2.105351
Bozhou,2.082664
Qinhuangdao,2.082664
Shijiazhuang,2.082664
Haixi,2.058147
Harbin,2.058147
Hengshui,2.031414
Kunming,2.031414
Ningbo,2.031414
Tangshan,2.031414
Wuhu,2.031414
Huangshan,2.001934
Langfang,2.001934
Xinxiang,2.001934
Datong,1.968948
Changchun,1.968948
Weinan,1.968948
Xining,1.968948
Yichang,1.968948
Liaocheng,1.931311
Nanchang,1.931311
Taiyuan,1.931311
Taoyuan,1.931311
Yantai,1.931311
Guilin,1.887160
Anqing,1.887160
Jiujiang,1.887160
Laiwu,1.887160
Anyang,1.887160
Quanzhou,1.887160
Tianshui,1.887160
Baoding,1.887160
Binzhou,1.887160
Zhuhai,1.887160
Zhoushan,1.858624
Chizhou,1.833133
Hohhot,1.833133
Huainan,1.833133
Jinhua,1.833133
Changsha,1.833133
Lhasa,1.833133
Ma'anshan,1.833133
Daqing,1.833133
Taipei,1.833133
Fuzhou,1.833133
Changzhi,1.833133
