city,distance
Chengdou,6.275691
Garze,5.156911
Shanghai,3.359629
Beijing,3.212387
Ngawa,2.822013
Meishan,2.798831
Chongqing,2.695889
Leshan,2.695889
Liangshanzhou,2.636411
Lijiang,2.398471
Xi'an,2.398471
Deyang,2.342854
Mianyang,2.278197
Neijiang,2.278197
Yibin,2.278197
Kunming,2.199925
Nanchong,2.199925
Shenzhen,2.199925
Guangzhou,2.098317
Guiyang,2.098317
Haikou,2.098317
Lhasa,2.098317
Zigong,2.098317
Qamdo,2.052751
Diqing,1.957778
Guang'an,1.944764
Guangyuan,1.944764
Hong Kong,1.944764
Hsinchu,1.944764
Longyan,1.944764
Luzhou,1.944764
Nanning,1.944764
Nyingchi,1.944764
Panzhihua,1.944764
Qiandongnan,1.944764
Shangqiu,1.944764
Suining,1.944764
Suzhou,1.944764
Tianjin,1.944764
Wuhan,1.944764
Xuancheng,1.944764
Yichang,1.944764
Yongzhou,1.944764
Zhengzhou,1.944764
Zhumadian,1.944764
Ziyang,1.944764
Hangzhou,1.882706
Nanjing,1.832034
Haixi,1.784040
Shamen,1.771512
Changsha,1.741102
Urumqi,1.713484
Jiaxing,1.711069
Ningbo,1.702783
Wuxi,1.697637
Jinan,1.674561
Qingdao,1.674561
Dazhou,1.670590
Xining,1.657472
Sanya,1.652688
Lanzhou,1.650461
Shenyang,1.649337
Shijiazhuang,1.635271
Changzhou,1.634593
Dali,1.617300
Hefei,1.603213
Dalian,1.586224
Fuzhou,1.581272
Nanchang,1.581272
Taipei,1.579587
Zhoushan,1.561239
Guilin,1.559802
Langfang,1.555801
Nantong,1.548328
Baoji,1.543694
Bazhong,1.539394
Taiyuan,1.539394
Yinchuan,1.537198
Gannan,1.535918
Harbin,1.534970
Huangshan,1.525719
Zhuhai,1.523316
Baoding,1.522386
Hohhot,1.520874
Qinhuangdao,1.517406
Huzhou,1.515878
Dongying,1.513299
Dongguan,1.510686
Changchun,1.502559
Shaoxing,1.493446
Wenzhou,1.487918
Hanzhong,1.481618
Yangzhou,1.475023
Zunyi,1.464516
Xianyang,1.461459
Baotou,1.457040
Shiyan,1.457040
Taoyuan,1.457040
Zhongshan,1.457040
Tangshan,1.456033
Jinhua,1.455337
Baoshan,1.453144
Luoyang,1.453144
Macau,1.453144
Xuzhou,1.449132
Nagqu,1.447807
Xiangyang,1.447807
Yushuzhou,1.447807
Zhenjiang,1.435054
Zhangjiakou,1.434025
Chuzhou,1.431769
Weinan,1.424519
Chengde,1.421839
Zhuzhou,1.411763
Beihai,1.406235
Taizhou,1.400454
Xiangxi,1.400454
Taizhou,1.394923
Liuzhou,1.394395
Ordos,1.394395
Foshan,1.394395
Xishuangbanna,1.388025
Ankang,1.388025
Jiujiang,1.381308
Tianshui,1.381308
Anshun,1.374935
Huaihua,1.374198
Golog,1.373007
Nujiang,1.373007
Huizhou,1.373007
Enshi,1.373007
Shuozhou,1.373007
Huludao,1.373007
Baiyin,1.373007
Yancheng,1.373007
Zhangjiajie,1.373007
Chizhou,1.373007
Jiuquan,1.366643
Yantai,1.366643
Shannan,1.362534
Qionghai,1.360211
Qingyang,1.358575
Quanzhou,1.358575
Ganzhou,1.358575
Cangzhou,1.356761
Lianyungang,1.349912
Jingzhou,1.349912
Zibo,1.349912
Zhangzhou,1.349462
Yan'an,1.345636
New Taipei,1.340549
Weicu,1.340549
Tai'an,1.337507
Xinyang,1.331735
Nanyang,1.330349
Sanmenxia,1.330349
Bijie,1.330349
Weifang,1.330349
Weihai,1.330349
Yuxi,1.330349
Datong,1.329788
Shangrao,1.322384
Kaifeng,1.321779
Luohe,1.320035
Liupanshui,1.319128
Dehong,1.319128
Dandong,1.319128
Handan,1.319128
Yueyang,1.319128
Qiannan,1.313107
Anshan,1.306633
Tongren,1.306633
Yulin,1.306633
Zhaotong,1.303778
Taichung,1.301140
Jinzhong,1.299980
Wuhu,1.296816
Hulunbuir,1.296425
Dezhou,1.292568
Qingyuan,1.292501
Huangshi,1.292501
Loudi,1.292501
Jilin,1.292501
Huanggang,1.292501
Jian,1.292501
Yulin,1.292501
Yuncheng,1.292501
Jingdezhen,1.292501
Zhanjiang,1.292501
Jining,1.283043
Xinzhou,1.277624
Hengyang,1.277109
Jieyang,1.276175
Bayingolin,1.276175
Xinxiang,1.276175
Jincheng,1.276175
Linyi,1.276175
Honghe,1.276175
Zhaoqing,1.276175
Kaohsiung,1.276175
Chifeng,1.271685
Wanning,1.266635
Huai'an,1.259796
Nanping,1.259702
Miaoli,1.258676
Jinzhou,1.256895
Ningde,1.256746
Changji,1.256746
Jiayuguan,1.256746
Pingdingshan,1.256746
Ili(Yili),1.256746
Bangbu,1.256746
Shantou,1.256746
Keramay,1.256746
Changde,1.256746
Suizhou,1.256746
Tainan,1.256746
Wenchang,1.256746
Jiangmen,1.256746
Jiaozuo,1.256746
Hezhou,1.256746
Linxia,1.252329
Chongzuo,1.250067
Hengshui,1.248998
Heze,1.245066
Qujing,1.244071
Quzhou,1.243673
Lishui,1.238079
Xingtai,1.235180
Xilingol,1.232616
Shangluo,1.232555
Pingdong,1.232555
Turpan,1.232555
Anyang,1.232555
Xiangtan,1.232555
Xiaogan,1.232555
Anqing,1.232555
Puyang,1.232555
Fuzhou,1.232555
Chenzhou,1.232555
Zaozhuang,1.232555
Zhongwei,1.232555
Zhoukou,1.232555
Nantou,1.232555
Yingtan,1.227000
Qiqihar,1.224484
Xuchang,1.216346
Qinzhou,1.214446
Fushun,1.214403
Daqing,1.211600
Panjin,1.207866
Ma'anshan,1.207706
Yanbian,1.204413
Bozhou,1.203512
Baise,1.203022
Danzhou,1.200464
Hualien,1.199999
Suihua,1.199999
Tacheng,1.199999
Pingxiang,1.199999
Qianxinan,1.199999
Tongchuan,1.199999
Tonghua,1.199999
Tongling,1.199999
Wenshan,1.199999
Xianning,1.199999
Lu'an,1.199999
Kumul(Hami),1.199999
Xiuqian,1.199999
Aksu,1.199999
Dingxi,1.199999
Linfen,1.199999
Yilan,1.199999
Alty,1.199999
Yiyang,1.199999
Maoming,1.199999
Ezhou,1.199999
Fangchenggang,1.199999
Alxa,1.199999
Heyuan,1.199999
Jingmen,1.199999
Yingkou,1.198034
Ulanqab,1.197084
Longnan,1.191282
Ngari,1.189793
Binzhou,1.183717
Xiuzhou,1.181865
Yangquan,1.181467
Rizhao,1.181234
Liaocheng,1.178571
Shaoyang,1.175051
Mudanjiang,1.174962
Sanming,1.173497
Chengmai,1.169559
Shaoguan,1.168183
Pu'er,1.164160
Guigang,1.162556
Lingshui,1.158413
Dingan,1.157078
Changzhi,1.156509
Chaoyang,1.155741
Tongliao,1.152597
Benxi,1.148489
Liupanshui,1.148244
Laiwu,1.148154
Shizuishan,1.148154
Jinchang,1.148154
Baoting,1.148154
Xinyu,1.148154
Keelung,1.148154
Yangjiang,1.148154
Putian,1.148154
Wuwei,1.148154
Yichun,1.148154
Haibei,1.148154
Lincang,1.148154
Wuzhou,1.148154
Zhangye,1.148154
Kashgar,1.148154
Meizhou,1.148154
Chaozhou,1.148154
Heihe,1.148154
Haidong,1.148154
Huainan,1.148154
Guyuan,1.148154
Pingliang,1.148154
Jiamusi,1.145048
Hechi,1.141257
Yichun,1.136394
Changhua,1.135383
Chiayi,1.135383
Siping,1.134753
Bayannur,1.133748
Lvliang,1.132730
Hinggan,1.130654
Baishan,1.129596
Fuyang,1.129474
Ledong,1.126396
Laibin,1.126247
Huaibei,1.120229
Fuxin,1.114347
Yunlin,1.104294
Liaoyang,1.100134
Wuhai,1.098553
Shanwei,1.097925
Hebi,1.096937
Daxinganling,1.093597
Changjiang,1.074945
Dongfang,1.074945
Taidong,1.071850
Wuzhishan,1.066633
Songyuan,1.059228
Sansha,1.056623
Penghu,1.056623
Jixi,1.056402
Baicheng,1.053455
Wuzhong,1.046926
