city,distance
Xi'an,6.415086
Beijing,4.095630
Linfen,3.503410
Yulin,3.385998
Shanghai,3.287781
Tongchuan,3.065906
Taiyuan,2.748788
Xianyang,2.698390
Weinan,2.642987
Baoji,2.581120
Shijiazhuang,2.581120
Jinzhong,2.547104
Yinchuan,2.547104
Tianjin,2.510529
Ordos,2.470865
Taipei,2.427388
Hangzhou,2.379061
Hohhot,2.379061
Lvliang,2.379061
Zhengzhou,2.379061
Luoyang,2.324330
Changsha,2.260677
Chengdou,2.260677
Hanzhong,2.260677
Baoding,2.260677
Yuncheng,2.260677
Datong,2.183584
Qingdao,2.183584
Qingyang,2.183584
Tai'an,2.183584
Zhangjiajie,2.183584
Hengshui,2.083446
Baotou,2.083446
Jincheng,2.083446
Kunming,2.083446
Lanzhou,2.083446
Linyi,2.083446
Nanjing,2.083446
New Taipei,2.083446
Ningbo,2.083446
Qinhuangdao,2.083446
Suzhou,2.083446
Tangshan,2.083446
Wuhan,2.083446
Yangquan,2.083446
Guangzhou,1.936382
Chongqing,1.931983
Guangyuan,1.931983
Guilin,1.931983
Guiyang,1.931983
Guyuan,1.931983
Hulunbuir,1.931983
Huzhou,1.931983
Jiaozuo,1.931983
Jinan,1.931983
Lijiang,1.931983
Changzhou,1.931983
Nanning,1.931983
Nanping,1.931983
Sanmenxia,1.931983
Shuozhou,1.931983
Siping,1.931983
Urumqi,1.931983
Wanning,1.931983
Wuxi,1.931983
Wuzhong,1.931983
Xiangtan,1.931983
Xiangyang,1.931983
Bangbu,1.931983
Zhongwei,1.931983
Zigong,1.931983
Xining,1.892118
Shenzhen,1.887404
Ankang,1.875200
Lhasa,1.836522
Shangluo,1.808247
Shamen,1.778704
Shiyan,1.777171
Hong Kong,1.769887
Tianshui,1.762766
Jiuquan,1.738642
Langfang,1.737247
Shenyang,1.703058
Dalian,1.701660
Hefei,1.698832
Jiaxing,1.692235
Jiayuguan,1.674557
Nanchang,1.671290
Xuzhou,1.671290
Ngawa,1.667963
Harbin,1.650362
Sanya,1.636933
Fuzhou,1.594224
Zhangjiakou,1.586784
Garze,1.583675
Haixi,1.580929
Chengde,1.571877
Changchun,1.564559
Changzhi,1.557395
Taoyuan,1.556913
Zhoushan,1.545544
Xinzhou,1.540204
Xiangxi,1.539500
Nantong,1.532890
Kaifeng,1.532851
Nanyang,1.532851
Mianyang,1.529053
Pingliang,1.521159
Yangzhou,1.517051
Shizuishan,1.513125
Haikou,1.512827
Yantai,1.501433
Wenzhou,1.499380
Shangqiu,1.494609
Zhuhai,1.494609
Cangzhou,1.492721
Shaoxing,1.489675
Macau,1.473760
Dingxi,1.473760
Xinyang,1.455806
Jinhua,1.449259
Leshan,1.449259
Weifang,1.442379
Xinxiang,1.442379
Zhangye,1.442379
Yichang,1.441245
Huludao,1.436118
Dongguan,1.435127
Anyang,1.435127
Huangshan,1.427454
Zhenjiang,1.421783
Nagqu,1.419304
Xingtai,1.419304
Handan,1.419304
Dezhou,1.415385
Jining,1.412392
Anqing,1.410604
Weihai,1.406980
Dazhou,1.401267
Deyang,1.401267
Wuwei,1.401267
Ulanqab,1.396828
Taichung,1.392838
Alxa,1.391928
Jilin,1.391181
Pingdingshan,1.391181
Taizhou,1.391181
Heze,1.391181
Bayingolin,1.391181
Foshan,1.391181
Chifeng,1.390383
Bayannur,1.385856
Taizhou,1.382380
Mudanjiang,1.381694
Luohe,1.380198
Dali,1.380198
Nyingchi,1.380198
Wuhu,1.380198
Zibo,1.378612
Keelung,1.373955
Jinzhou,1.372723
Diqing,1.370639
Lianyungang,1.368125
Jiyuan,1.368125
Jiujiang,1.368125
Yibin,1.368125
Changde,1.368125
Zhuzhou,1.359050
Hsinchu,1.357876
Qionghai,1.357868
Kaohsiung,1.354904
Haibei,1.354689
Neijiang,1.354689
Huangshi,1.354689
Anshan,1.354689
Daqing,1.354689
Chuzhou,1.354689
Huai'an,1.354689
Jian,1.354689
Dandong,1.350196
Dongying,1.344584
Xilingol,1.343815
Yancheng,1.342770
Zaozhuang,1.342651
Ma'anshan,1.339504
Kumul(Hami),1.339504
Haidong,1.339504
Sansha,1.339504
Tieling,1.339504
Huizhou,1.339504
Xuchang,1.339504
Ya'an,1.339504
Luzhou,1.339504
Yueyang,1.339504
Binzhou,1.339504
Qiqihar,1.334155
Yilan,1.332000
Hualien,1.324396
Fushun,1.322196
Quanzhou,1.321977
Gannan,1.321977
Jingzhou,1.321977
Baiyin,1.321977
Liuzhou,1.321977
Bazhong,1.321977
Yiyang,1.321977
Nanchong,1.321977
Panjin,1.314451
Yangjiang,1.313408
Hengyang,1.312390
Shangrao,1.311106
Yanbian,1.310362
Rizhao,1.307213
Wuhai,1.302867
Yingkou,1.302815
Anshun,1.301511
Putian,1.301141
Alty,1.301141
Changji,1.301141
Shaoguan,1.301141
Fuyang,1.301141
Guang'an,1.301141
Xishuangbanna,1.301141
Xiuzhou,1.301141
Jinchang,1.301141
Nantou,1.292486
Weicu,1.291761
Turpan,1.282824
Huanggang,1.280056
Liupanshui,1.280056
Tongliao,1.280056
Ezhou,1.280056
Xiaogan,1.280056
Liaocheng,1.279831
Xuancheng,1.279503
Pingdong,1.276127
Tainan,1.275714
Shantou,1.275228
Honghe,1.275228
Lu'an,1.275228
Qingyuan,1.275228
Enshi,1.275228
Xianning,1.275228
Longnan,1.275228
Ili(Yili),1.275228
Xiuqian,1.275228
Yuxi,1.275228
Zhongshan,1.275228
Zunyi,1.275228
Hinggan,1.272837
Qiandongnan,1.271449
Beihai,1.269614
Chaoyang,1.252955
Loudi,1.251620
Chizhou,1.248999
Jingdezhen,1.248314
Shannan,1.247098
Chongzuo,1.244774
Benxi,1.244436
Liangshanzhou,1.241566
Suining,1.240410
Meishan,1.240410
Fuzhou,1.240410
Pingxiang,1.240410
Fuxin,1.240410
Huainan,1.240410
Heyuan,1.240410
Qiannan,1.240410
Qujing,1.240410
Keramay,1.240410
Fangchenggang,1.240410
Ningde,1.240410
Yushuzhou,1.240410
Bozhou,1.240410
Zhanjiang,1.240410
Kashgar,1.240410
Hebi,1.240410
Daxinganling,1.240410
Jiamusi,1.240397
Ganzhou,1.238312
Chiayi,1.238291
Baoshan,1.236418
Puyang,1.234002
Meizhou,1.234002
Quzhou,1.233693
Laiwu,1.232520
Lishui,1.228188
Zhangzhou,1.222301
Baishan,1.222285
Jieyang,1.221028
Sanming,1.218112
Yingtan,1.217285
Taidong,1.210032
Qinzhou,1.209450
