city,distance
Shanghai,4.608418
Changchun,4.413767
Jilin,4.370839
Baishan,4.313595
Beijing,4.090279
Mudanjiang,3.614880
Harbin,3.348449
Shenyang,3.310822
Tonghua,2.863548
Qingdao,2.791067
Yantai,2.686131
Dalian,2.585009
Qinhuangdao,2.525797
Guangzhou,2.378396
Hangzhou,2.331982
Tianjin,2.331982
Siping,2.279371
Suzhou,2.268219
Dandong,2.218125
Changsha,2.143859
Fushun,2.143859
Hong Kong,2.143859
Hulunbuir,2.143859
Nanjing,2.143859
Shamen,2.143859
Wuhan,2.143859
Yichun,2.143859
Heihe,2.047251
Huludao,2.047251
Jiaxing,2.047251
Jixi,2.047251
Liaoyuan,2.047251
Nanchang,2.047251
Bangbu,2.047251
Urumqi,2.047251
Wuxi,2.047251
Yichang,2.047251
Chengdou,1.900820
Chiayi,1.900820
Datong,1.900820
Foshan,1.900820
Guangyuan,1.900820
Hohhot,1.900820
Ili(Yili),1.900820
Jiamusi,1.900820
Jinan,1.900820
Kunming,1.900820
Langfang,1.900820
Lanzhou,1.900820
Linyi,1.900820
Benxi,1.900820
Ngawa,1.900820
Ningbo,1.900820
Sanya,1.900820
Shangrao,1.900820
Shenzhen,1.900820
Shijiazhuang,1.900820
Shizuishan,1.900820
Songyuan,1.900820
Baotou,1.900820
Taipei,1.900820
Taiyuan,1.900820
Taizhou,1.900820
Tangshan,1.900820
Tieling,1.900820
Baicheng,1.900820
Ulanqab,1.900820
Weihai,1.900820
Changzhou,1.900820
Yuncheng,1.900820
Zhengzhou,1.900820
Zhenjiang,1.900820
Zhuzhou,1.900820
Zhoushan,1.786163
Nantong,1.769284
Huzhou,1.727039
Daqing,1.711191
Shaoxing,1.697981
Xi'an,1.695553
Baoding,1.694769
Yangzhou,1.674206
Chongqing,1.660920
Anshan,1.649678
Jinhua,1.648891
Suihua,1.607673
Huangshan,1.607252
Hefei,1.605202
Wenzhou,1.599890
Zhangjiakou,1.585980
Jinzhou,1.585618
Liaoyang,1.580682
Taizhou,1.571764
Chengde,1.571088
Macau,1.567184
Fuzhou,1.557690
Qiqihar,1.557155
Guilin,1.554197
Yingkou,1.551064
Weifang,1.524922
Yancheng,1.520758
Panjin,1.517038
Lijiang,1.504079
Cangzhou,1.492010
Taoyuan,1.490924
Shuangyashan,1.490846
Zhuhai,1.488242
Yinchuan,1.485978
Daxinganling,1.485247
Xuzhou,1.485195
Guiyang,1.482489
Haikou,1.472168
Tai'an,1.468759
Lianyungang,1.467544
Nanning,1.466255
Zhangjiajie,1.463862
Wuhu,1.448307
Qitaihe,1.441355
Xuancheng,1.440110
Hinggan,1.426379
Lhasa,1.424228
Jinzhong,1.423630
Quanzhou,1.422819
Xining,1.419367
Luoyang,1.417915
Dezhou,1.414746
Rizhao,1.414608
Fuxin,1.414228
New Taipei,1.411284
Jingzhou,1.403430
Binzhou,1.403430
Jining,1.403343
Huai'an,1.402285
Nanping,1.402169
Chizhou,1.401583
Chaoyang,1.397343
Xinzhou,1.396862
Dongguan,1.395822
Tongliao,1.389842
Chifeng,1.389766
Jiangmen,1.385957
Quzhou,1.382338
Jiujiang,1.381788
Handan,1.379715
Zibo,1.378005
Lishui,1.375430
Ordos,1.373022
Xiuzhou,1.372105
Beihai,1.370092
Chuzhou,1.362904
Hengshui,1.362715
Yingtan,1.361771
Kaohsiung,1.360298
Nyingchi,1.357231
Xingtai,1.346283
Hegang,1.346044
Linfen,1.344928
Meizhou,1.344928
Xishuangbanna,1.344928
Dongying,1.344007
Xilingol,1.343238
Zaozhuang,1.342076
Jingdezhen,1.339040
Ma'anshan,1.338047
Jian,1.336843
Turpan,1.332645
Dali,1.332316
Jiaozuo,1.331895
Taichung,1.331880
Xinxiang,1.331468
Zhongshan,1.330271
Anyang,1.330177
Mianyang,1.328211
Anqing,1.328037
Liuzhou,1.325165
Xiangxi,1.324492
Diqing,1.324266
Kaifeng,1.322104
Changji,1.321405
Baoji,1.317837
Ningde,1.317042
Xiangtan,1.313651
Zhangzhou,1.307938
Alty,1.304171
Nantou,1.303679
Jieyang,1.302094
Tainan,1.299507
Yan'an,1.295952
Jiuquan,1.294654
Xiangyang,1.290485
Yangquan,1.282722
Yueyang,1.281803
Wuhai,1.280142
Lu'an,1.279367
Shantou,1.279367
Liaocheng,1.279308
Qingyuan,1.278664
Shuozhou,1.274745
Bayingolin,1.274515
Hengyang,1.272148
Huizhou,1.270485
Tongling,1.269659
Xiuqian,1.269281
Baise,1.268316
Heze,1.268316
Weinan,1.268316
Liangshanzhou,1.268316
Ganzhou,1.267370
Enshi,1.266364
Xianning,1.265736
Zhaoqing,1.265409
Keramay,1.265292
Xinyang,1.261122
Longyan,1.258923
Garze,1.258080
Leshan,1.258080
Changde,1.255994
Hanzhong,1.254595
Changzhi,1.253355
Yichun,1.251065
Shaoguan,1.250142
Xianyang,1.248762
Pingdong,1.247832
Zhanjiang,1.247361
