city,distance
Guangzhou,5.969475
Jiangmen,4.153883
Shenzhen,3.684533
Zhanjiang,3.492156
Foshan,3.354131
Maoming,3.354131
Zhuhai,3.123524
Dongguan,3.073846
Shanghai,3.073846
Zhongshan,2.963498
Hong Kong,2.933045
Zhaoqing,2.795014
Beijing,2.666185
Beihai,2.559606
Dali,2.559606
Yunfu,2.559606
Changsha,2.496363
Qingyuan,2.423088
Shamen,2.334736
Guiyang,2.220617
Hangzhou,2.220617
Nanning,2.220617
Ningbo,2.220617
Suzhou,2.220617
Changde,2.049373
Chengdou,2.049373
Chenzhou,2.049373
Guigang,2.049373
Guilin,2.049373
Haikou,2.049373
Hefei,2.049373
Heyuan,2.049373
Hezhou,2.049373
Huizhou,2.049373
Jiaxing,2.049373
Jieyang,2.049373
Jinan,2.049373
Linfen,2.049373
Macau,2.049373
Pingdingshan,2.049373
Shangrao,2.049373
Shantou,2.049373
Shaoguan,2.049373
Tianjin,2.049373
Wenzhou,2.049373
Wuxi,2.049373
Xiangxi,2.049373
Yingtan,2.049373
Yulin,2.049373
Zhengzhou,2.049373
Zhenjiang,2.049373
Wuhan,1.925871
Nanjing,1.809001
Chongqing,1.748684
Sanya,1.741810
Xi'an,1.738678
Lijiang,1.733638
Kunming,1.730463
Taipei,1.699570
Fuzhou,1.692216
Nanchang,1.667694
Qingdao,1.665976
Yangzhou,1.642696
Dalian,1.605702
Shanwei,1.599942
Zhuzhou,1.597411
Shenyang,1.590470
Hengyang,1.574676
Meizhou,1.567699
Changzhou,1.563853
Wuzhou,1.550510
Weicu,1.541448
Chaozhou,1.539947
Taiyuan,1.537499
Changchun,1.533751
Harbin,1.531202
Shijiazhuang,1.524634
Taoyuan,1.524634
Quanzhou,1.520552
Ganzhou,1.519166
Urumqi,1.504551
Zhangjiajie,1.499265
Zhoushan,1.496580
Jinhua,1.484841
Nantong,1.484712
Lanzhou,1.481277
Liuzhou,1.477620
Qinzhou,1.456392
Huzhou,1.454848
Hohhot,1.441911
Xiangtan,1.438081
Shaoxing,1.434174
Fangchenggang,1.433578
Yueyang,1.431941
Jiujiang,1.426659
Anshun,1.426411
Huangshan,1.423936
Yichang,1.418312
Chongzuo,1.417141
Langfang,1.415371
Sansha,1.409710
Taizhou,1.409388
Lhasa,1.406269
Longyan,1.406269
Yantai,1.406269
Diqing,1.401390
Xiangyang,1.399791
Yinchuan,1.399791
Zhangzhou,1.396422
Wenchang,1.394685
New Taipei,1.392959
Qiandongnan,1.390382
Baoding,1.387662
Qinhuangdao,1.383524
Pingxiang,1.378047
Yichun,1.378047
Anqing,1.374016
Xianning,1.374016
Jinzhong,1.373467
Zunyi,1.372402
Yan'an,1.366625
Xining,1.365523
Xuzhou,1.365523
Qionghai,1.364954
Baoshan,1.362173
Mudanjiang,1.357079
Wanning,1.356376
Zhangjiakou,1.356376
Yuncheng,1.353220
Kaohsiung,1.351520
Huai'an,1.351520
Huaihua,1.346453
Luoyang,1.344776
Xiaogan,1.343886
Taizhou,1.343077
Jingdezhen,1.341153
Jian,1.341153
Ngawa,1.341153
Qiannan,1.333412
Laiwu,1.333096
Nanping,1.333096
Sanming,1.333096
Weifang,1.333096
Tangshan,1.332320
Tai'an,1.329750
Wuhu,1.329750
Yiyang,1.329750
Yongzhou,1.329750
Nanyang,1.326865
Danzhou,1.325141
Baise,1.325141
Weihai,1.323583
Loudi,1.320651
Leshan,1.319660
Baotou,1.317054
Kaifeng,1.316086
Ulanqab,1.313366
Huangshi,1.310112
Huanggang,1.310112
Zibo,1.310112
Yancheng,1.305657
Chengde,1.303633
Nyingchi,1.302696
Taichung,1.302696
Jining,1.302696
Jiaozuo,1.302446
Quzhou,1.300307
Luohe,1.294705
Linyi,1.286114
Mianyang,1.286114
Pingdong,1.286114
Putian,1.286114
Handan,1.286114
Xinyang,1.286114
Xishuangbanna,1.284208
Datong,1.276722
Lianyungang,1.276722
Xianyang,1.276722
Xinyu,1.276722
Xuchang,1.274063
Zhumadian,1.272649
Luzhou,1.266384
Jingzhou,1.266384
Hulunbuir,1.266384
Huaibei,1.262203
Wuzhishan,1.262203
Xingtai,1.262203
Yangquan,1.262203
Baoting,1.262203
Xinxiang,1.256629
Anyang,1.254864
Tainan,1.254864
Liaocheng,1.254864
Yanbian,1.254864
Honghe,1.254864
Baoji,1.254864
Liangshanzhou,1.249992
Cangzhou,1.248716
Xuancheng,1.245760
Nantou,1.241824
Changzhi,1.241824
Ningde,1.241824
Panjin,1.241824
Benxi,1.241824
Deyang,1.241824
Garze,1.241824
Fuyang,1.241824
Xinzhou,1.241824
Nanchong,1.241824
Shaoyang,1.237946
Dezhou,1.237945
Qianxinan,1.235717
Fuzhou,1.232538
Lu'an,1.231488
Hechi,1.230995
Nujiang,1.228644
Ma'anshan,1.226745
Qiqihar,1.226745
Shiyan,1.226745
Jingmen,1.226745
Hsinchu,1.226745
Chifeng,1.226745
Chizhou,1.226745
Anshan,1.226745
Yibin,1.226745
Liaoyang,1.226745
Laibin,1.213550
Huludao,1.208858
Qujing,1.208782
Suizhou,1.208782
Jiuquan,1.208782
Hualien,1.208782
Dandong,1.208782
