city,distance
Taiyuan,5.101652
Beijing,5.001238
Shijiazhuang,4.744876
Jinzhong,3.711860
Baoding,2.982779
Shanghai,2.982779
Tianjin,2.779363
Jinan,2.716188
Lvliang,2.716188
Xi'an,2.716188
Xinzhou,2.716188
Changzhi,2.562956
Qingdao,2.464318
Suzhou,2.464318
Xingtai,2.464318
Xuzhou,2.464318
Yinchuan,2.464318
Changzhou,2.337523
Chongqing,2.337523
Hengshui,2.337523
Lanzhou,2.337523
Wuhan,2.337523
Yan'an,2.337523
Yuncheng,2.337523
Baiyin,2.148542
Chengdou,2.148542
Datong,2.148542
Dezhou,2.148542
Guangzhou,2.148542
Hanzhong,2.148542
Jiaxing,2.148542
Jincheng,2.148542
Jinhua,2.148542
Jinzhou,2.148542
Linfen,2.148542
Linyi,2.148542
Luoyang,2.148542
Shenyang,2.148542
Weinan,2.148542
Baoji,2.148542
Yulin,2.148542
Zhangye,2.148542
Zhanjiang,2.148542
Zhengzhou,2.148542
Zhongwei,2.148542
Hong Kong,1.895540
Hangzhou,1.894576
Langfang,1.881782
Nanjing,1.869418
Qinhuangdao,1.825901
Handan,1.815692
Shenzhen,1.813080
Shamen,1.797471
Dalian,1.758850
Tangshan,1.737761
Harbin,1.731742
Zhangjiakou,1.706504
Changsha,1.695919
Chengde,1.689275
Shuozhou,1.687803
Sanya,1.687514
Changchun,1.680826
Kunming,1.678631
Urumqi,1.671173
Taipei,1.666874
Hohhot,1.649411
Cangzhou,1.643650
Wuxi,1.631103
Hefei,1.629256
Nanchang,1.608841
Yantai,1.608187
Anyang,1.596115
Guiyang,1.587277
Ningbo,1.585636
Fuzhou,1.579212
Guilin,1.573821
Xianyang,1.573617
Tai'an,1.571548
Lijiang,1.558260
Taoyuan,1.549869
Nanning,1.546651
Haikou,1.534315
Huludao,1.533485
Zhuhai,1.532440
Baotou,1.525139
Lhasa,1.520673
Yangzhou,1.516305
Hulunbuir,1.515134
Xining,1.515134
Xinxiang,1.503343
Weihai,1.500308
Jining,1.496888
Weifang,1.490633
Ngawa,1.484674
Shizuishan,1.483519
Zibo,1.482920
Macau,1.481451
Chifeng,1.481451
Jiayuguan,1.481133
Zhoushan,1.474659
Wenzhou,1.469714
Jiuquan,1.466757
Nantong,1.463135
Ordos,1.462440
Jilin,1.460388
Kumul(Hami),1.449790
Jiujiang,1.445858
Zhenjiang,1.443538
Dandong,1.435913
Huzhou,1.434124
Yichang,1.431290
Dongying,1.429568
Xilingol,1.428698
Zaozhuang,1.427383
Zhangjiajie,1.427383
Sanmenxia,1.417870
Qiqihar,1.417784
Huangshan,1.416353
Jiaozuo,1.415872
Shaoxing,1.414031
Foshan,1.408947
Dali,1.407926
Wuzhong,1.407590
Kaifeng,1.404813
Fushun,1.404287
Bangbu,1.403902
Quanzhou,1.401083
Daqing,1.400540
Anshan,1.399449
Panjin,1.395553
Yanbian,1.390945
Huai'an,1.388576
Diqing,1.384316
Dongguan,1.383695
Yingkou,1.382444
Ankang,1.381257
Ulanqab,1.381180
Lianyungang,1.377961
Nanping,1.373982
Yueyang,1.371423
Taizhou,1.370562
Xiangyang,1.369167
Alxa,1.366835
Yancheng,1.365080
Shiyan,1.364647
Liaocheng,1.364406
Binzhou,1.363416
Kaohsiung,1.361933
Shangrao,1.360432
Leshan,1.360083
Xinyang,1.357923
Nanyang,1.352172
Xiuzhou,1.351966
Mudanjiang,1.351813
Mianyang,1.350997
Liuzhou,1.350176
Wuhu,1.349348
Haibei,1.348770
Jian,1.348514
Beihai,1.345118
Tianshui,1.343121
Suining,1.342873
Turpan,1.342873
Wuwei,1.342873
Xiangtan,1.342873
Taizhou,1.342666
Guangyuan,1.336432
Xiangxi,1.336161
Rizhao,1.335225
Maoming,1.334984
New Taipei,1.334281
Zhongshan,1.333330
Xianning,1.330834
Shangqiu,1.329040
Chaoyang,1.326434
Tongchuan,1.326311
Pingdingshan,1.325057
Chuzhou,1.324383
Tongliao,1.322293
Xiuqian,1.321409
Jingdezhen,1.321234
Benxi,1.316890
Gannan,1.315963
Puyang,1.315289
Anqing,1.315289
Heze,1.314652
Jiamusi,1.312368
Ganzhou,1.310034
Shangluo,1.306673
Changde,1.305211
Meizhou,1.305211
Enshi,1.304124
Yangjiang,1.299134
Siping,1.298862
Taichung,1.297545
Bayannur,1.297545
Jingzhou,1.296159
Huizhou,1.294863
Ili(Yili),1.294863
Tieling,1.293495
Hinggan,1.293495
Xuchang,1.292483
Baishan,1.292110
Jieyang,1.290706
Huanggang,1.290055
Baoshan,1.287841
Zhangzhou,1.286379
Luohe,1.284896
Laiwu,1.283959
Xiaogan,1.283213
Xishuangbanna,1.281865
Zhuzhou,1.281865
Huangshi,1.281569
Dingxi,1.280549
Yibin,1.280315
Garze,1.278281
Nyingchi,1.278281
Huaibei,1.278281
Keramay,1.278281
Hebi,1.278093
Linxia,1.278092
Qiandongnan,1.277144
Fuyang,1.277144
Yichun,1.275522
Guyuan,1.274108
Jinchang,1.273173
Deyang,1.273046
Fuxin,1.272197
Pingdong,1.268760
Zunyi,1.268760
Pingliang,1.265931
Wuhai,1.265763
Nanchong,1.265203
Quzhou,1.263376
Jiangmen,1.258701
Ma'anshan,1.257687
Liaoyang,1.256233
Hezhou,1.255716
Dehong,1.255716
Bozhou,1.253705
Ya'an,1.253705
Ningde,1.253705
Shantou,1.251652
Nantou,1.251652
Qionghai,1.251652
Tonghua,1.249555
Hualien,1.249555
Anshun,1.247413
Pingxiang,1.247413
Haixi,1.246207
Loudi,1.245223
Daxinganling,1.245223
Lishui,1.244714
Tongling,1.243121
Ezhou,1.243121
Shaoguan,1.243121
Huainan,1.243121
Dazhou,1.243121
Zhaoqing,1.243121
Zhumadian,1.243121
Xuancheng,1.242982
Guang'an,1.238126
Wanning,1.235930
Yongzhou,1.235930
Suihua,1.230923
Liangshanzhou,1.230923
Longyan,1.230923
Luzhou,1.230923
Chiayi,1.228317
Tainan,1.225637
Hengyang,1.225637
Chizhou,1.225637
Jingmen,1.221937
Yingtan,1.220037
Baise,1.219617
Jiyuan,1.219617
Shaoyang,1.219617
Jixi,1.219617
Neijiang,1.219617
Nagqu,1.219617
Bayingolin,1.219617
Zigong,1.219617
Taidong,1.217105
Huaihua,1.214078
Weicu,1.210948
Sanming,1.210948
Yiyang,1.210948
Qingyuan,1.209121
Yilan,1.208370
Keelung,1.207707
Lu'an,1.204346
Alty,1.204346
Songyuan,1.200856
Honghe,1.200856
Baicheng,1.193441
Zhoukou,1.189488
Heihe,1.187570
Fuzhou,1.187570
Chongzuo,1.187570
Changhua,1.187570
Suizhou,1.187570
Zhaotong,1.187570
Yichun,1.185349
Hsinchu,1.185349
Meishan,1.183881
Qinzhou,1.181006
Changji,1.181006
Qingyang,1.177242
Putian,1.176433
Chaozhou,1.176433
Yulin,1.173625
Qujing,1.171604
Longnan,1.163098
Xinyu,1.161037
Wenchang,1.161037
Qianxinan,1.161037
Liupanshui,1.160973
Bijie,1.155209
Shannan,1.155209
Kashgar,1.155209
Ziyang,1.149420
Liaoyuan,1.148939
Shuangyashan,1.148939
Qamdo,1.148939
Panzhihua,1.148939
Heyuan,1.142150
Yuxi,1.142150
Chenzhou,1.142150
Qiannan,1.134737
Guigang,1.134737
Tongren,1.133266
Bazhong,1.126755
Hegang,1.126563
Huangnan,1.126563
Fangchenggang,1.117437
Miaoli,1.117437
Hotan,1.117437
Haidong,1.115018
Pu'er,1.107085
Qitaihe,1.107085
Baoting,1.095085
Shanwei,1.095085
Hechi,1.095085
Yunlin,1.081075
Penghu,1.080749
Bortala,1.080749
Aksu,1.080749
Kinmen,1.080749
Danzhou,1.070993
Chengmai,1.062810
Sansha,1.062810
Yushuzhou,1.062810
Wenshan,1.062810
Dongfang,1.062810
Lincang,1.062810
Golog,1.062810
Yunlin,1.053259
Yunfu,1.047147
Dingan,1.038515
Nujiang,1.038515
Lingshui,1.034131
Wuzhishan,1.029504
Tacheng,1.011531
Laibin,0.999458
Ngari,0.978940
Kezilsu,0.946885
Ledong,0.946060
Changjiang,0.904597
Qiongzhong,0.855719
