city,distance
Shanghai,6.054937
Nanjing,4.114318
Zhenjiang,4.086111
Wuxi,3.460777
Suzhou,3.427320
Taizhou,3.301412
Beijing,3.224645
Changzhou,2.925013
Guangzhou,2.798182
Hangzhou,2.780860
Huai'an,2.567538
Nantong,2.561732
Jiaxing,2.390969
Yancheng,2.378016
Xuzhou,2.295571
Shamen,2.284620
Hefei,2.261709
Lianyungang,2.261709
Qingdao,2.230899
Wuhan,2.230899
Ningbo,2.217795
Linyi,2.175232
Chuzhou,2.167591
Hong Kong,2.163040
Xi'an,2.143551
Shenzhen,2.126478
Tianjin,2.126478
Zhengzhou,2.126478
Chengdou,2.108441
Jinan,2.089299
Xiuqian,2.079262
Taipei,2.023281
Huangshan,2.010658
Jinhua,2.010658
Quanzhou,1.983558
Shaoxing,1.983558
Wuhu,1.968931
Zhoushan,1.968428
Huzhou,1.953457
Changsha,1.953457
Rizhao,1.919453
Sanya,1.891331
Chongqing,1.880139
Zibo,1.880139
Chizhou,1.857805
Kunming,1.857805
Nanchang,1.857805
Changchun,1.833118
Ma'anshan,1.833118
Shangrao,1.833118
Dalian,1.805423
Harbin,1.805423
Bangbu,1.805423
Jiujiang,1.805423
Macau,1.805423
Tai'an,1.805423
Wenzhou,1.805423
Xuancheng,1.805423
Yantai,1.805423
Dezhou,1.773727
Fuzhou,1.773727
Guilin,1.773727
Lhasa,1.773727
Lijiang,1.773727
Shijiazhuang,1.773727
Xiuzhou,1.773727
Baoding,1.773727
Hohhot,1.736418
Lu'an,1.736418
Qinhuangdao,1.736418
Taiyuan,1.736418
Taizhou,1.736418
Urumqi,1.736418
Zhongshan,1.736418
Shenyang,1.714865
Jining,1.690572
Laiwu,1.690572
Lanzhou,1.690572
Chenzhou,1.690572
Quzhou,1.690572
Cangzhou,1.690572
Dongguan,1.690572
Xinzhou,1.690572
Yichang,1.690572
Zhangjiajie,1.690572
Foshan,1.659983
Jiaozuo,1.629920
Langfang,1.629920
Luoyang,1.629920
New Taipei,1.629920
Ngawa,1.629920
Taoyuan,1.629920
Weihai,1.629920
Xining,1.629920
Xinxiang,1.629920
Guiyang,1.629920
Zhuhai,1.612659
Haikou,1.593802
Nanning,1.586874
Hengshui,1.535731
Baishan,1.535731
Huangshi,1.535731
Huizhou,1.535731
Hulunbuir,1.535731
Jieyang,1.535731
Jingdezhen,1.535731
Jingzhou,1.535731
Jiuquan,1.535731
Jixi,1.535731
Kaohsiung,1.535731
Chifeng,1.535731
Anshun,1.535731
Nanping,1.535731
Nanyang,1.535731
Handan,1.535731
Ningde,1.535731
Nyingchi,1.535731
Qiandongnan,1.535731
Qingyuan,1.535731
Qionghai,1.535731
Chengde,1.535731
Dali,1.535731
Binzhou,1.535731
Anqing,1.535731
Tangshan,1.535731
Turpan,1.535731
Fuyang,1.535731
Weifang,1.535731
Bayingolin,1.535731
Xiangyang,1.535731
Xianyang,1.535731
Xingtai,1.535731
Dandong,1.535731
Xinyang,1.535731
Xinyu,1.535731
Dongying,1.535731
Yichun,1.535731
Yinchuan,1.535731
Yingkou,1.535731
Yingtan,1.535731
Zhangjiakou,1.535731
Zhangzhou,1.535731
Bozhou,1.535731
Lishui,1.481031
Beihai,1.474843
Jian,1.436387
Jiangmen,1.426493
Liuzhou,1.422914
Xiangxi,1.422137
Diqing,1.421877
Zaozhuang,1.413552
Mianyang,1.412158
Baotou,1.397298
Yanbian,1.384342
Datong,1.375254
Zhaoqing,1.375173
Taichung,1.374497
Shantou,1.370244
Zhuzhou,1.365425
Kaifeng,1.362522
Baoji,1.362522
Tongling,1.359114
Shaoguan,1.357160
Ganzhou,1.356491
Ordos,1.353809
Jinzhou,1.352444
Longyan,1.346819
Leshan,1.345854
Garze,1.345854
Jilin,1.343406
Nantou,1.335732
Pingdong,1.334133
Zhanjiang,1.333595
Weinan,1.330539
Jinzhong,1.329195
Hezhou,1.326355
Wanning,1.325198
Panjin,1.322848
Suihua,1.322253
Haixi,1.321654
Baoshan,1.321053
Xishuangbanna,1.319227
Huaibei,1.315483
Huludao,1.311870
Huainan,1.311607
Changde,1.311607
Guang'an,1.307657
Hualien,1.307587
Sanming,1.305520
Putian,1.302701
Shiyan,1.297581
Tainan,1.296829
Xianning,1.295580
Yangjiang,1.295409
Daqing,1.294541
Liaocheng,1.292203
Anshan,1.292203
Pingxiang,1.289811
Puyang,1.287266
Mudanjiang,1.285700
Yuncheng,1.285700
Yunlin,1.283153
Shangqiu,1.278360
Chiayi,1.271327
Fuzhou,1.269381
Deyang,1.268393
Changzhi,1.266388
Yibin,1.266388
Xiangtan,1.265371
Hengyang,1.265371
Yan'an,1.261469
Huanggang,1.260123
Qiqihar,1.256837
Alty,1.254584
Weicu,1.252279
Xiaogan,1.250406
Heyuan,1.248298
Jiayuguan,1.247500
Yilan,1.245020
Yueyang,1.241177
Hsinchu,1.237175
Anyang,1.237175
Chongzuo,1.235803
Xilingol,1.234417
Keelung,1.234404
Luzhou,1.230109
Penghu,1.228631
Sansha,1.228631
Shanwei,1.227177
Ya'an,1.227129
Nagqu,1.226824
Tianshui,1.225603
Kashgar,1.225603
Ili(Yili),1.224051
Shuozhou,1.222474
Zunyi,1.222474
Chaozhou,1.220870
Fushun,1.220870
Sanmenxia,1.219237
Shannan,1.217821
Maoming,1.216218
Huaihua,1.214160
Taidong,1.210613
Meizhou,1.208119
Pingdingshan,1.207633
Kinmen,1.205020
Xuchang,1.204109
Linfen,1.203077
Benxi,1.203077
Hanzhong,1.202372
Liangshanzhou,1.201091
Yichun,1.201091
Tongliao,1.199060
Nanchong,1.199060
Ulanqab,1.198782
Ezhou,1.198359
Wuzhou,1.197885
Keramay,1.196982
Qiannan,1.194855
Jiamusi,1.192675
Shaoyang,1.192675
Jingmen,1.192152
Zhongwei,1.190441
Enshi,1.188149
Loudi,1.188149
Haibei,1.185795
Zhangye,1.185795
Ankang,1.184961
Changji,1.184542
Yangquan,1.183121
Yunfu,1.180751
Heze,1.178328
Hinggan,1.173575
Fangchenggang,1.172967
Qinzhou,1.172967
Gannan,1.172967
Yulin,1.172967
Liaoyang,1.172967
Meishan,1.171603
Honghe,1.170155
Daxinganling,1.170155
Zhoukou,1.170155
Tieling,1.167247
Yiyang,1.164235
Luohe,1.163844
Dazhou,1.161112
Baise,1.161112
Zhumadian,1.161112
Shangluo,1.157870
Qujing,1.157867
Dehong,1.157867
Bayannur,1.157867
Neijiang,1.157596
Chaoyang,1.157324
Jincheng,1.154492
Yuxi,1.154492
Pu'er,1.150972
Zigong,1.150972
Miaoli,1.147295
Lingshui,1.147295
Yongzhou,1.147295
Siping,1.145542
Suining,1.144897
Suizhou,1.143445
Shizuishan,1.139402
Ziyang,1.137842
Hechi,1.135145
Qiannan,1.134737
Lvliang,1.134250
Qitaihe,1.131166
Heihe,1.130649
Baoting,1.130649
Tongchuan,1.127444
Baicheng,1.123941
Pingliang,1.123941
Fuxin,1.120804
Jiyuan,1.120804
Qamdo,1.117674
Guangyuan,1.116216
Liaoyuan,1.115372
Songyuan,1.115372
Wenchang,1.115372
Hotan,1.115372
Lincang,1.115372
Wuwei,1.109526
Bortala,1.109526
Yulin,1.109526
Changhua,1.109526
Hebi,1.109526
Haidong,1.109526
Aksu,1.109526
Tonghua,1.105203
Qianxinan,1.103193
Baiyin,1.103193
Wuhai,1.103193
Jinchang,1.103193
Panzhihua,1.096276
Danzhou,1.096276
Dingxi,1.096276
Kumul(Hami),1.088645
Shuangyashan,1.088645
Tongren,1.088645
Bijie,1.080121
Guigang,1.080121
Hegang,1.080121
Ngari,1.077941
Golog,1.070445
Wenshan,1.070445
Qingyang,1.060188
Liupanshui,1.059223
Zhaotong,1.059223
Linxia,1.056939
Wuzhong,1.046246
Dongfang,1.045804
Laibin,1.045804
Bazhong,1.045804
Tacheng,1.035072
Huangnan,1.029724
Dingan,1.028998
Guyuan,1.028998
Wuzhishan,1.021783
Ledong,1.019516
Longnan,1.006207
Yushuzhou,1.006207
Nujiang,1.006207
Chengmai,1.006207
Changjiang,0.969500
Kezilsu,0.966918
Qiongzhong,0.873910
