city,distance
Shanghai,5.143799
Beijing,4.476822
Qingdao,4.399201
Weihai,4.180424
Jinan,3.456703
Dalian,3.253571
Weifang,3.087060
Tianjin,3.062023
Dandong,2.551403
Hangzhou,2.528798
Suzhou,2.528798
Zibo,2.528798
Rizhao,2.521020
Dongying,2.513113
Shenyang,2.480077
Guangzhou,2.435095
Tai'an,2.435095
Nanjing,2.425523
Lianyungang,2.302590
Linyi,2.275480
Wuhan,2.275480
Hong Kong,2.261153
Xi'an,2.261153
Binzhou,2.246245
Harbin,2.246245
Yanbian,2.230697
Chongqing,2.214440
Hefei,2.214440
Shamen,2.197392
Shenzhen,2.197392
Changzhou,2.160511
Chengdou,2.160511
Changsha,2.140417
Dezhou,2.118993
Cangzhou,2.118993
Shijiazhuang,2.118993
Changchun,2.096012
Jiaxing,2.078195
Langfang,2.071182
Kunming,2.044111
Ningbo,2.044111
Taiyuan,2.044111
Yancheng,2.044111
Wuxi,2.039347
Guiyang,2.014264
Hohhot,2.014264
Huludao,2.014264
Jining,2.014264
Sanya,2.014264
Zhengzhou,2.014264
Zhoushan,2.014264
Fuzhou,1.980875
Wuhu,1.980875
Yangzhou,1.980875
Shaoxing,1.942784
Xuzhou,1.942784
Baoding,1.898113
Huangshan,1.898113
Laiwu,1.898113
Liaocheng,1.898113
Nantong,1.898113
Taizhou,1.898113
Yinchuan,1.898113
Zaozhuang,1.898113
Zhuhai,1.898113
Heze,1.843467
Lanzhou,1.843467
Nanning,1.843467
Qinhuangdao,1.843467
Bangbu,1.843467
Tangshan,1.843467
Yingkou,1.843467
Zhenjiang,1.843467
Huzhou,1.797137
Chifeng,1.771581
Haikou,1.771581
Handan,1.771581
Huai'an,1.771581
Huanggang,1.771581
Dehong,1.771581
Jiaozuo,1.771581
Anqing,1.771581
Jinzhong,1.771581
Chengde,1.771581
Lijiang,1.771581
Lishui,1.771581
Luoyang,1.771581
Macau,1.771581
Ordos,1.771581
Qinzhou,1.771581
Foshan,1.771581
Taichung,1.771581
Taipei,1.771581
Taoyuan,1.771581
Urumqi,1.771581
Xingtai,1.771581
Benxi,1.771581
Daqing,1.771581
Yibin,1.771581
Yueyang,1.771581
Anshan,1.771581
Dongguan,1.771581
Jinhua,1.712672
Huizhou,1.660864
Hulunbuir,1.660864
Jieyang,1.660864
Jilin,1.660864
Jinzhou,1.660864
Keelung,1.660864
Guilin,1.660864
Lhasa,1.660864
Liaoyang,1.660864
Linxia,1.660864
Ma'anshan,1.660864
Nanchang,1.660864
Nanchong,1.660864
Baotou,1.660864
New Taipei,1.660864
Ngawa,1.660864
Panjin,1.660864
Puyang,1.660864
Chuzhou,1.660864
Shangrao,1.660864
Shantou,1.660864
Datong,1.660864
Changde,1.660864
Taizhou,1.660864
Fushun,1.660864
Tieling,1.660864
Tonghua,1.660864
Weicu,1.660864
Anshun,1.660864
Wenzhou,1.660864
Xiangyang,1.660864
Xinxiang,1.660864
Yichang,1.660864
Yilan,1.660864
Hengshui,1.660864
Zhangjiakou,1.660864
Dali,1.660864
Fuyang,1.660864
Zhongwei,1.660864
Hengyang,1.660864
Ziyang,1.660864
Zhangjiajie,1.513915
Xuancheng,1.488525
Baishan,1.470338
Quanzhou,1.470060
Xining,1.463208
Nanping,1.448025
Chizhou,1.447401
Mudanjiang,1.440316
Xinzhou,1.439303
Quzhou,1.426886
Jiujiang,1.426300
Leshan,1.424840
Beihai,1.413842
Xianyang,1.409309
Yingtan,1.404983
Kaohsiung,1.403415
Xilingol,1.382437
Jingdezhen,1.380799
Jian,1.378463
Weinan,1.374927
Baoji,1.372319
Qiqihar,1.372216
Anyang,1.368606
Liuzhou,1.366050
Xiangxi,1.365334
Diqing,1.365095
Kaifeng,1.360062
Ningde,1.357420
Mianyang,1.356134
Baoshan,1.354694
Zhongshan,1.347824
Ulanqab,1.337898
Jiuquan,1.333651
Yan'an,1.332402
Zhangzhou,1.327671
Jiangmen,1.325720
Chaoyang,1.319865
Yangquan,1.318421
Lu'an,1.317434
Zhuzhou,1.314645
Xiangtan,1.312358
Xianning,1.310491
Tongling,1.307142
Xiuqian,1.306741
Qiandongnan,1.306574
Ganzhou,1.304716
Suihua,1.301137
Longyan,1.295765
Xinyang,1.295613
Qingyuan,1.294873
Garze,1.294872
Zunyi,1.290684
Yichun,1.287443
Changzhi,1.287417
Shangqiu,1.286775
Nantou,1.285500
Yuncheng,1.284537
Pingdong,1.284019
Shaoguan,1.284019
Zhanjiang,1.283520
Tongliao,1.282571
Zhaoqing,1.281282
Shuozhou,1.279551
Jiamusi,1.277373
Deyang,1.277239
Jingzhou,1.276854
Hezhou,1.276812
Wanning,1.275741
Haixi,1.272456
Xishuangbanna,1.270206
Hebi,1.267025
Huaibei,1.266735
Meizhou,1.266493
Xiaogan,1.264290
Huainan,1.263140
Yulin,1.262949
Huangshi,1.262693
Siping,1.262073
Hualien,1.259412
Xiuzhou,1.259412
Bayannur,1.259274
Xinyu,1.258137
Lvliang,1.258019
Shizuishan,1.257671
Sanming,1.257494
Ili(Yili),1.256747
Qiannan,1.256140
Hinggan,1.255459
Putian,1.254878
Linfen,1.252832
Nanyang,1.252528
Qionghai,1.252191
Shiyan,1.250127
Tainan,1.249429
Luohe,1.247356
Xuchang,1.247356
Pingxiang,1.242913
Fuxin,1.241958
Huaihua,1.241834
Sanmenxia,1.241834
Meishan,1.241834
Yulin,1.241834
Hanzhong,1.238504
Yunlin,1.236729
Fangchenggang,1.233030
Gannan,1.230482
Jixi,1.227347
Heihe,1.226317
Chiayi,1.225740
Pingdingshan,1.225311
Fuzhou,1.223930
Yichun,1.223550
Changhua,1.222652
Yuxi,1.222104
Keramay,1.221698
Ya'an,1.220085
Ankang,1.220039
Daxinganling,1.219765
Bozhou,1.217940
Wuhai,1.216003
Loudi,1.213860
Yangjiang,1.211763
Ezhou,1.211105
Alty,1.210168
Turpan,1.210075
Tianshui,1.209366
Yiyang,1.208126
Nyingchi,1.207787
Chongzuo,1.207420
Jingmen,1.204765
Jiayuguan,1.203575
Guang'an,1.202718
Wuzhong,1.202673
Yongzhou,1.201159
Changji,1.200801
Guangyuan,1.196429
Jincheng,1.196429
Liangshanzhou,1.196429
Luzhou,1.196429
Songyuan,1.195616
Hsinchu,1.193962
Honghe,1.192905
Qujing,1.192660
Shangluo,1.191339
Yunfu,1.186948
Alxa,1.186142
Sansha,1.186002
Penghu,1.186002
Enshi,1.185826
Dazhou,1.184609
Taidong,1.183371
Kashgar,1.183181
Chaozhou,1.178769
Bayingolin,1.177549
Zhumadian,1.177549
Neijiang,1.173118
Nagqu,1.171750
Maoming,1.170539
Heyuan,1.170443
Qianxinan,1.169070
Suining,1.168754
Kumul(Hami),1.168004
Chenzhou,1.166569
Kinmen,1.163987
Shannan,1.163534
Baise,1.163474
Baicheng,1.160988
Tongchuan,1.159153
Zhoukou,1.157246
Suizhou,1.153116
Shaoyang,1.152465
Shanwei,1.151854
Lingshui,1.148281
Zigong,1.147329
Haibei,1.146040
Zhangye,1.146040
Miaoli,1.142285
Liupanshui,1.139402
Qitaihe,1.137635
Tongren,1.137333
Bijie,1.133026
Wenchang,1.130299
Wuzhou,1.126010
Guigang,1.125583
Wuwei,1.124778
Jiyuan,1.124775
Hegang,1.124278
Zhaotong,1.120416
Pu'er,1.119022
Liaoyuan,1.118831
Panzhihua,1.118831
Shuangyashan,1.118831
Qamdo,1.118831
Dingxi,1.116610
Haidong,1.109526
Hechi,1.105605
Jinchang,1.105358
Guyuan,1.103862
Huangnan,1.097601
Baoting,1.094448
Bazhong,1.093419
Laibin,1.091513
Wenshan,1.090398
Hotan,1.088937
Danzhou,1.085886
Qingyang,1.082800
Lincang,1.080128
Pingliang,1.079103
Haidong,1.074645
Bortala,1.074645
Aksu,1.074645
Longnan,1.067700
Chengmai,1.060537
Wuzhishan,1.056622
Dingan,1.050264
Tacheng,1.047465
Ledong,1.040705
Golog,1.037942
Dongfang,1.036996
Yushuzhou,1.036996
Ngari,1.035190
Nujiang,1.013854
Changjiang,0.982149
Qiongzhong,0.924796
Kezilsu,0.920395
