city,distance
Chengdou,5.240632
Shanghai,4.165767
Chongqing,4.028844
Beijing,3.811269
Luzhou,3.533806
Leshan,3.322597
Neijiang,3.300944
Zigong,3.256039
Kunming,3.158692
Zhaotong,3.048241
Mianyang,2.710190
Xi'an,2.710190
Ziyang,2.710190
Meishan,2.600136
Guangzhou,2.534900
Liangshanzhou,2.534900
Ngawa,2.534900
Shenzhen,2.534900
Changsha,2.459379
Nanjing,2.459379
Ya'an,2.459379
Deyang,2.368411
Guigang,2.368411
Guiyang,2.368411
Hefei,2.368411
Nanchong,2.368411
Shamen,2.368411
Zunyi,2.368411
Dalian,2.251059
Lijiang,2.251059
Liupanshui,2.251059
Anshun,2.251059
Ningbo,2.251059
Sanya,2.251059
Suining,2.251059
Tianjin,2.251059
Urumqi,2.251059
Wuhan,2.251059
Yantai,2.251059
Suzhou,2.155487
Chizhou,2.075274
Diqing,2.075274
Dongying,2.075274
Baoji,2.075274
Haikou,2.075274
Hangzhou,2.075274
Harbin,2.075274
Hohhot,2.075274
Hong Kong,2.075274
Lanzhou,2.075274
Nanchang,2.075274
Panzhihua,2.075274
Qingdao,2.075274
Qiqihar,2.075274
Shaoxing,2.075274
Baotou,2.075274
Shijiazhuang,2.075274
Chengde,2.075274
Taiyuan,2.075274
Tongren,2.075274
Weicu,2.075274
Xianyang,2.075274
Zhengzhou,2.075274
Zhuhai,2.075274
Jiaxing,1.898146
Wuxi,1.865686
Garze,1.842912
Changzhou,1.804491
Dali,1.748602
Lhasa,1.731344
Nanning,1.718350
Zhoushan,1.715511
Nantong,1.699935
Langfang,1.683954
Huzhou,1.660899
Baoding,1.644876
Jinan,1.643356
Qinhuangdao,1.639065
Guangyuan,1.632876
Shenyang,1.618754
Yangzhou,1.611979
Taipei,1.605182
Guang'an,1.592156
Yichang,1.590140
Jinhua,1.588497
Dazhou,1.587144
Tangshan,1.567687
Zhenjiang,1.564363
Foshan,1.563639
Xishuangbanna,1.559062
Huangshan,1.549816
Baoshan,1.549426
Yuxi,1.548857
Wenzhou,1.542970
Zhangjiakou,1.542204
Weinan,1.528965
Changchun,1.521202
Taizhou,1.516794
Macau,1.512528
Nyingchi,1.510803
Fuzhou,1.506310
Honghe,1.502255
Qujing,1.501866
Xining,1.501676
Guilin,1.500427
Taizhou,1.489283
Xiangxi,1.478994
Yancheng,1.469239
Enshi,1.468859
Bazhong,1.468260
Yinchuan,1.466262
Dongguan,1.465043
Weihai,1.463174
Cangzhou,1.453204
Qiandongnan,1.446915
Gannan,1.446733
Yulin,1.441852
Taoyuan,1.441374
Yan'an,1.438458
Xuzhou,1.436018
Huizhou,1.433018
Shangrao,1.431414
Tai'an,1.431138
Zhuzhou,1.428430
Xiangtan,1.425730
Datong,1.422304
Lianyungang,1.419510
Turpan,1.416104
Zhangjiajie,1.416065
Hanzhong,1.415610
Wuzhou,1.410099
Changji,1.403419
Qinzhou,1.402612
Dehong,1.402612
Xiangyang,1.402612
Wuhu,1.401504
Huludao,1.399504
Lu'an,1.395626
Jinzhong,1.394214
Xuancheng,1.393827
Shiyan,1.393156
Zhongshan,1.393156
Dezhou,1.391925
Liuzhou,1.390690
Luoyang,1.389594
Yueyang,1.388293
Zhangzhou,1.388238
Quanzhou,1.387630
Pu'er,1.386936
Qiannan,1.385321
Hulunbuir,1.384204
Alty,1.383995
Ordos,1.381691
Hengyang,1.376975
Daqing,1.370662
Chuzhou,1.370035
Jining,1.368959
Weifang,1.363726
Xinzhou,1.362792
Jiujiang,1.362421
Ankang,1.361447
Huai'an,1.358365
Nanping,1.358255
Changde,1.358068
Wanning,1.356337
Ili(Yili),1.356214
Chifeng,1.356037
Huaihua,1.355617
Jiangmen,1.354760
Anqing,1.353838
Qionghai,1.350490
Beihai,1.346637
Handan,1.346466
Zibo,1.344837
Wenshan,1.343232
Quzhou,1.339639
Jinzhou,1.339232
Jilin,1.338367
Lishui,1.333151
Bangbu,1.331642
Hengshui,1.330271
Kaifeng,1.326719
Bayingolin,1.325990
Jingmen,1.325990
Yingtan,1.325990
Jiayuguan,1.325990
Zhumadian,1.325990
Tianshui,1.323761
Qingyuan,1.322563
Qianxinan,1.319753
Kaohsiung,1.318929
Dandong,1.317783
Yingkou,1.315982
Nanyang,1.315091
Xingtai,1.314607
Longyan,1.312809
Yulin,1.312048
Xilingol,1.311704
Zaozhuang,1.310595
Jiuquan,1.310287
Loudi,1.310228
Zhaoqing,1.308388
Huainan,1.307062
Keramay,1.307057
Shangluo,1.305283
Meizhou,1.304032
Yiyang,1.303549
Qamdo,1.302869
Qingyang,1.302869
Ganzhou,1.302869
Xianning,1.302353
Linyi,1.301694
Jiaozuo,1.300884
Xinxiang,1.300477
Anyang,1.299246
Jingdezhen,1.298935
Ma'anshan,1.298000
Kashgar,1.297912
Jian,1.296868
Tongling,1.295939
Jingzhou,1.294900
Sanmenxia,1.292312
Shaoguan,1.292072
Fushun,1.291098
Binzhou,1.287728
Anshan,1.287008
New Taipei,1.286282
Ulanqab,1.286276
Panjin,1.283712
Yichun,1.281578
Mudanjiang,1.279814
Yanbian,1.279812
Lincang,1.278606
Ningde,1.278225
Bijie,1.276888
Hezhou,1.274815
Fuyang,1.271635
Rizhao,1.267471
Tongchuan,1.266746
Jieyang,1.264140
Huanggang,1.263276
Heihe,1.259203
Pingxiang,1.257048
Xiaogan,1.256714
Chenzhou,1.255300
Shantou,1.255232
Huangshi,1.255137
Yangquan,1.253934
Liaocheng,1.250672
Taichung,1.246205
Wenchang,1.244434
Kumul(Hami),1.243667
Bayannur,1.242143
Yuncheng,1.241980
Zhanjiang,1.241980
Suihua,1.241873
Chongzuo,1.240020
Yangjiang,1.235979
Aksu,1.233749
Xinyang,1.233286
Xiuqian,1.233189
Pingdingshan,1.232020
Baise,1.230240
Shaoyang,1.228783
Jincheng,1.226898
Changzhi,1.225857
Chaoyang,1.224994
Nujiang,1.222071
Lingshui,1.221533
Tongliao,1.221462
Shuozhou,1.218722
Benxi,1.216850
Heze,1.214939
Nantou,1.214255
Jiamusi,1.212988
Pingdong,1.212933
Tainan,1.208931
Suizhou,1.208931
Haixi,1.208931
Golog,1.208931
Wuwei,1.207041
Puyang,1.206871
Nagqu,1.206398
Lvliang,1.204437
Ezhou,1.204152
Siping,1.201441
Fuzhou,1.198655
Tacheng,1.198389
Heyuan,1.197967
Shannan,1.197691
Dingxi,1.197639
Huaibei,1.197498
Tieling,1.196847
Hinggan,1.196847
Bozhou,1.195771
Baishan,1.195661
Zhongwei,1.195661
Linxia,1.195490
Linfen,1.194459
Danzhou,1.192886
Hotan,1.191141
Zhangye,1.191029
Xiuzhou,1.190952
Hualien,1.190952
Shangqiu,1.190752
Xinyu,1.189812
Xuchang,1.189481
Luohe,1.189481
Sanming,1.189237
Yongzhou,1.188040
Putian,1.186897
Zhoukou,1.186529
Laibin,1.184739
Fangchenggang,1.184739
Hechi,1.184739
Bortala,1.183246
Baiyin,1.179649
Fuxin,1.178591
Shanwei,1.175446
Yunlin,1.170648
Daxinganling,1.168542
Yichun,1.167533
Hegang,1.165946
Maoming,1.163685
Liaoyang,1.162703
Chengmai,1.162365
Wuhai,1.160937
Chiayi,1.160797
Hebi,1.159133
Tonghua,1.159133
Kinmen,1.157874
Miaoli,1.156329
Yushuzhou,1.156329
Hsinchu,1.156329
Alxa,1.156329
Baicheng,1.150205
Dingan,1.150036
Baoting,1.149048
Pingliang,1.148780
Sansha,1.148002
Chaozhou,1.141101
Laiwu,1.138523
Longnan,1.136922
Taidong,1.136772
Ngari,1.136772
Jixi,1.136772
Haibei,1.136772
Jinchang,1.133395
Yunfu,1.131175
Penghu,1.125098
Hegang,1.124278
Keelung,1.123034
Ledong,1.119722
Wuzhishan,1.118332
Songyuan,1.117108
Haidong,1.108113
Guyuan,1.108113
Shizuishan,1.108113
Qitaihe,1.092069
Wuzhong,1.091751
Jiyuan,1.081674
Shuangyashan,1.072044
Liaoyuan,1.072044
Dongfang,1.069063
Changjiang,1.068865
Huangnan,1.052537
Changhua,1.044567
Kezilsu,1.022788
Qiongzhong,1.001286
