city,distance
Wuhan,5.248732
Shanghai,4.803565
Beijing,3.906776
Chongqing,3.711950
Jingzhou,3.386492
Enshi,3.320027
Jingmen,3.125479
Chengdou,2.955495
Shiyan,2.837639
Xiangyang,2.796580
Guangzhou,2.774970
Nanjing,2.624910
Shenyang,2.530310
Hangzhou,2.512607
Xiaogan,2.475057
Changsha,2.455059
Shenzhen,2.434122
Hong Kong,2.412131
Huanggang,2.412131
Xi'an,2.412131
Suzhou,2.314498
Zhengzhou,2.310338
Nanyang,2.280206
Xiangxi,2.280206
Changde,2.247439
Kunming,2.247439
Zhangjiajie,2.247439
Huangshi,2.211411
Anqing,2.211411
Lu'an,2.171231
Ningbo,2.171231
Shamen,2.171231
Tianjin,2.171231
Xuzhou,2.171231
Yinchuan,2.171231
Dazhou,2.125552
Guilin,2.125552
Jiaxing,2.125552
Nanchang,2.125552
Qingdao,2.125552
Yulin,2.125552
Baishan,2.072197
Huzhou,2.072197
Kaifeng,2.072197
Sanya,2.072197
Shijiazhuang,2.072197
Foshan,2.007238
Handan,2.007238
Hefei,2.007238
Baotou,2.007238
Jinan,2.007238
Jiujiang,2.007238
Changchun,2.007238
Luoyang,2.007238
Ordos,2.007238
Taipei,2.007238
Taiyuan,2.007238
Urumqi,2.007238
Yangzhou,2.007238
Wuxi,1.983643
Xianning,1.945043
Ezhou,1.922306
Guang'an,1.922306
Harbin,1.922306
Chuzhou,1.922306
Hengyang,1.922306
Jilin,1.922306
Dalian,1.922306
Jingdezhen,1.922306
Luohe,1.922306
Mianyang,1.922306
Nanning,1.922306
Putian,1.922306
Sanming,1.922306
Suining,1.922306
Suizhou,1.922306
Taizhou,1.922306
Ulanqab,1.922306
Dezhou,1.922306
Xinyang,1.922306
Yanbian,1.922306
Deyang,1.922306
Yueyang,1.922306
Anyang,1.922306
Beihai,1.922306
Changzhou,1.914609
Zhoushan,1.814738
Nantong,1.797317
Hohhot,1.792638
Huaihua,1.792638
Huangshan,1.792638
Chenzhou,1.792638
Jining,1.792638
Langfang,1.792638
Lishui,1.792638
Loudi,1.792638
Daqing,1.792638
Luzhou,1.792638
Macau,1.792638
Nanchong,1.792638
Ngawa,1.792638
Pingdingshan,1.792638
Qingyuan,1.792638
Shaoguan,1.792638
Shaoxing,1.792638
Tai'an,1.792638
Taichung,1.792638
Taizhou,1.792638
Tangshan,1.792638
Weicu,1.792638
Weinan,1.792638
Wenzhou,1.792638
Wuhu,1.792638
Xiangtan,1.792638
Baoji,1.792638
Xuancheng,1.792638
Ya'an,1.792638
Yancheng,1.792638
Yantai,1.792638
Baoshan,1.792638
Yiyang,1.792638
Yongzhou,1.792638
Guiyang,1.792638
Zhuhai,1.792638
Zhuzhou,1.792638
Zunyi,1.792638
Jinhua,1.673212
Baoding,1.662416
Qinhuangdao,1.656480
Zhenjiang,1.646458
Leshan,1.644277
Lijiang,1.627023
Fuzhou,1.597521
Dongguan,1.571886
Lhasa,1.566594
Zhangjiakou,1.557612
Haikou,1.552227
Lanzhou,1.543255
Chengde,1.543246
Taoyuan,1.510781
Shangrao,1.499842
Zhongshan,1.498478
Lianyungang,1.486778
Zhumadian,1.485472
Ankang,1.474819
New Taipei,1.469113
Cangzhou,1.466877
Xianyang,1.466519
Fangchenggang,1.458555
Neijiang,1.454699
Quanzhou,1.451791
Garze,1.448949
Xining,1.444673
Fushun,1.441934
Datong,1.435400
Liuzhou,1.433232
Zigong,1.431398
Anshan,1.429904
Dali,1.428062
Jiangmen,1.420435
Huai'an,1.419837
Nanping,1.419717
Chizhou,1.419117
Yibin,1.418744
Huludao,1.412181
Xinxiang,1.411627
Anshun,1.401953
Jinzhong,1.400731
Quzhou,1.399390
Weifang,1.396668
Hulunbuir,1.396604
Weihai,1.394376
Meishan,1.393534
Huizhou,1.390785
Bangbu,1.390666
Jinzhou,1.381526
Tongren,1.381211
Zhongwei,1.379815
Xuchang,1.379667
Yingtan,1.378317
Liaoyang,1.377777
Kaohsiung,1.376808
Xinzhou,1.374809
Benxi,1.372326
Shangluo,1.372175
Shizuishan,1.372025
Zhaoqing,1.369543
Chifeng,1.367935
Liangshanzhou,1.367056
Dandong,1.363796
Yan'an,1.362252
Fuyang,1.359892
Ganzhou,1.359892
Tieling,1.357950
