city,distance
Nanchang,4.950673
Shanghai,4.574215
Xinyu,3.677016
Pingxiang,3.590046
Changsha,3.555676
Beijing,3.495920
Shenzhen,3.307541
Guangzhou,3.070072
Jian,3.070072
Yingtan,3.029656
Shangrao,2.964548
Zhuzhou,2.917555
Hangzhou,2.892783
Quzhou,2.840248
Loudi,2.752137
Wuhan,2.719614
Ganzhou,2.685120
Jiaxing,2.685120
Jinhua,2.608809
Guilin,2.519148
Shaoxing,2.519148
Fuzhou,2.467138
Shamen,2.408329
Hengyang,2.340060
Jiujiang,2.340060
Suzhou,2.259902
Chenzhou,2.257557
Guiyang,2.257557
Jingdezhen,2.257557
Kunming,2.257557
Nanning,2.257557
Xiangtan,2.257557
Yueyang,2.257557
Zhangjiajie,2.257557
Zhuhai,2.257557
Foshan,2.150685
Fuzhou,2.150685
Hefei,2.150685
Hezhou,2.150685
Hong Kong,2.150685
Jinan,2.150685
Nanjing,2.150685
Qingyuan,2.150685
Sanya,2.150685
Shiyan,2.150685
Yongzhou,2.150685
Chongqing,1.989666
Dazhou,1.989666
Dongguan,1.989666
Ezhou,1.989666
Anyang,1.989666
Hanzhong,1.989666
Huaihua,1.989666
Huanggang,1.989666
Huangshan,1.989666
Huangshi,1.989666
Longyan,1.989666
Mianyang,1.989666
Changde,1.989666
Nanping,1.989666
Ningbo,1.989666
Qingdao,1.989666
Sanming,1.989666
Shantou,1.989666
Anshun,1.989666
Shijiazhuang,1.989666
Taipei,1.989666
Tianjin,1.989666
Wenzhou,1.989666
Xi'an,1.989666
Xiangxi,1.989666
Xianning,1.989666
Xianyang,1.989666
Xinzhou,1.989666
Xuancheng,1.989666
Yangzhou,1.989666
Zhaoqing,1.989666
Zhengzhou,1.989666
Zhongshan,1.989666
Zigong,1.989666
Wuxi,1.943405
Changzhou,1.877096
Zhoushan,1.781002
Chengdou,1.766711
Nantong,1.764220
Huzhou,1.722213
Langfang,1.619411
Zhenjiang,1.618640
Dalian,1.610637
Baoding,1.583239
Zunyi,1.582154
Qinhuangdao,1.577855
Shenyang,1.570849
Taizhou,1.567766
Haikou,1.567640
Huizhou,1.566769
Macau,1.563209
Yiyang,1.558190
Harbin,1.553686
Taizhou,1.538393
Shaoguan,1.535125
Taiyuan,1.526955
Yancheng,1.517014
Tangshan,1.511600
Changchun,1.502543
