city,distance
Taipei,6.115487
New Taipei,4.430570
Hualien,4.180728
Taoyuan,3.452612
Shanghai,3.364876
Taichung,2.902317
Hsinchu,2.868820
Keelung,2.868820
Kaohsiung,2.735208
Taidong,2.690769
Beijing,2.667150
Nantou,2.616561
Tainan,2.497209
Sansha,2.462043
Pingdong,2.423885
Hong Kong,2.382031
Miaoli,2.382031
Guangzhou,2.221286
Hangzhou,2.221286
Shenzhen,2.146812
Changhua,2.049943
Chengdou,2.049943
Chiayi,2.049943
Kunming,2.049943
Nanning,2.049943
Suzhou,2.049943
Xiangyang,2.049943
Yunlin,2.049943
Changsha,1.903141
Changzhou,1.903141
Chaozhou,1.903141
Jinzhong,1.903141
Quanzhou,1.903141
Wuhan,1.903141
Wuxi,1.903141
Xi'an,1.903141
Yantai,1.903141
Zhuhai,1.753413
Jiaxing,1.712429
Nanjing,1.686770
Shamen,1.664052
Tianjin,1.635100
Ningbo,1.634988
Fuzhou,1.564464
Zhoushan,1.562371
Nantong,1.549442
Shijiazhuang,1.534069
Hefei,1.531493
Huai'an,1.528872
Kinmen,1.526205
Huzhou,1.516946
Sanya,1.513405
Penghu,1.512113
Qingdao,1.512113
Shaoxing,1.494482
Dalian,1.493218
Macau,1.493218
Chongqing,1.489816
Harbin,1.486332
Ningde,1.482760
Yangzhou,1.476033
Jinhua,1.456321
Dongguan,1.440888
Taiyuan,1.438698
Foshan,1.438371
Zhenjiang,1.436011
Huangshan,1.423744
Wenzhou,1.417964
Langfang,1.415643
Shenyang,1.413781
Wuhu,1.401115
Xiuqian,1.401115
Taizhou,1.395827
Zhengzhou,1.394271
Baoding,1.387924
Jinan,1.387836
Qinhuangdao,1.383784
Guilin,1.381955
Lijiang,1.379294
Taizhou,1.372495
Nanchang,1.370269
Shantou,1.369447
Lanzhou,1.362290
Shiyan,1.359499
Yancheng,1.355453
Dali,1.345683
Changchun,1.343889
Kaifeng,1.342369
Tangshan,1.332561
Hezhou,1.330945
Huizhou,1.330945
Xuzhou,1.327130
Guiyang,1.324950
Shangrao,1.323196
Urumqi,1.320459
Leshan,1.319896
Datong,1.318227
Yan'an,1.318227
Dongying,1.318227
Ngawa,1.317522
Haikou,1.316719
Zhangjiakou,1.314104
Lianyungang,1.313018
Zhangjiajie,1.310070
Jieyang,1.308648
Weihai,1.307775
Beihai,1.304041
Chengde,1.303863
Liuzhou,1.295534
Chongzuo,1.292700
Xuancheng,1.291014
Hohhot,1.279986
Zhongshan,1.279648
Weicu,1.278803
Laiwu,1.267468
Baotou,1.267468
Zibo,1.267468
Pu'er,1.266285
Lhasa,1.262308
Nanyang,1.262146
Xianyang,1.261412
Nanping,1.260439
Chizhou,1.259966
Jiangmen,1.259708
Dezhou,1.257350
Qinzhou,1.254646
Cangzhou,1.248928
Yinchuan,1.245276
Quzhou,1.244391
Jiujiang,1.243946
Luoyang,1.243162
Mianyang,1.242866
Neijiang,1.242866
Daqing,1.242866
Deyang,1.242866
Xining,1.242866
Chuzhou,1.242866
Yichang,1.242866
Zhangzhou,1.242866
Baise,1.242457
Tai'an,1.238909
Lishui,1.238791
Bangbu,1.237488
Suizhou,1.236000
Fangchenggang,1.235947
Weinan,1.233797
Qingyuan,1.231824
Baoji,1.231697
Xishuangbanna,1.230553
Ledong,1.229443
Wanning,1.229443
Yingtan,1.227700
Baoshan,1.224542
Yuxi,1.224186
Zhuzhou,1.221136
Zhaoqing,1.219518
Xiangtan,1.219162
Jining,1.218397
Xinzhou,1.212006
Ordos,1.209770
Panjin,1.209770
Pingdingshan,1.209770
Shanwei,1.209770
Ulanqab,1.209770
Bortala,1.209770
Yichun,1.209770
Chifeng,1.209770
Jingdezhen,1.209194
Huludao,1.209057
Ma'anshan,1.208384
Jian,1.207402
Xiangxi,1.205883
Shaoguan,1.205331
Diqing,1.204199
Anqing,1.200214
Guigang,1.199342
Hulunbuir,1.197620
Linyi,1.196949
Honghe,1.194889
Qujing,1.194643
Yulin,1.192192
Yueyang,1.191683
Jingmen,1.191677
Zaozhuang,1.191227
Garze,1.191013
Putian,1.185352
Ya'an,1.184020
Hengyang,1.183334
Weifang,1.182319
Rizhao,1.181882
Wuzhou,1.180636
Linfen,1.179537
Xianning,1.177784
Hechi,1.176686
Jiuquan,1.172882
Yanbian,1.170414
Changde,1.169344
Handan,1.169266
Jinzhou,1.163807
Jilin,1.163154
Jingzhou,1.161218
Laibin,1.160737
Lu'an,1.160321
Meizhou,1.160071
Nanchong,1.158828
Chenzhou,1.157096
Qiqihar,1.157096
Sanming,1.157096
Huanggang,1.157096
Anshun,1.157096
Daxinganling,1.157096
Ankang,1.157096
Tongling,1.157096
Wuhai,1.157096
Ili(Yili),1.157096
Xiuzhou,1.157096
Yichun,1.157096
Baishan,1.157096
Hengshui,1.157034
Yangjiang,1.156374
Meishan,1.153315
Ganzhou,1.150444
Lvliang,1.147802
Dandong,1.147575
Xingtai,1.145166
Zhanjiang,1.143521
Longyan,1.143480
Xilingol,1.142962
Xiaogan,1.140332
Huangshi,1.139033
Liangshanzhou,1.135120
Jiaozuo,1.134739
Xinxiang,1.134429
Loudi,1.133701
Anyang,1.133492
Yiyang,1.132894
Suining,1.127427
Fushun,1.127286
Yangquan,1.126664
Suihua,1.125723
Haixi,1.125289
Dehong,1.124276
Anshan,1.124166
Fuyang,1.123529
Hanzhong,1.122813
Huaibei,1.120812
Ziyang,1.120586
Heyuan,1.118687
Huainan,1.117997
Xinyu,1.114076
Zigong,1.113606
Yingkou,1.113166
Dazhou,1.112603
Qionghai,1.109411
Liaocheng,1.103868
Pingxiang,1.102122
Yibin,1.100850
Binzhou,1.100796
Guangyuan,1.099604
Mudanjiang,1.099119
Yuncheng,1.099119
Ezhou,1.096886
Luzhou,1.095405
Qiandongnan,1.093387
Maoming,1.092853
Wenshan,1.092055
Shangqiu,1.092050
Huaihua,1.091412
Yulin,1.088570
Fuzhou,1.087170
Enshi,1.086006
Changzhi,1.084975
Shangluo,1.083909
Xinyang,1.082961
Chaoyang,1.076562
Alty,1.076299
Bozhou,1.075455
Sanmenxia,1.074950
Tongliao,1.073833
Nyingchi,1.072863
Shaoyang,1.072209
Shuozhou,1.071715
Jiayuguan,1.071080
Benxi,1.070267
Heze,1.068788
Tianshui,1.067401
Jiamusi,1.067278
Zhaotong,1.066002
Tongren,1.065811
Yunfu,1.064132
Puyang,1.062540
Siping,1.058328
Panzhihua,1.058005
Bayannur,1.057454
Tongchuan,1.057201
Kashgar,1.054899
Tieling,1.054763
Hinggan,1.054763
Zhongwei,1.053841
Zunyi,1.052580
Xuchang,1.049037
Luohe,1.049037
Lincang,1.048951
Turpan,1.043775
Guang'an,1.041439
Yongzhou,1.041056
Nagqu,1.041030
Fuxin,1.040558
Liupanshui,1.040350
Gannan,1.037076
Bayingolin,1.033626
Keramay,1.033626
Qiannan,1.032040
Jincheng,1.030168
Shannan,1.028745
Liaoyang,1.028153
Hebi,1.025361
Tonghua,1.025361
Haibei,1.025274
Zhangye,1.025274
Bazhong,1.022411
Qianxinan,1.021302
Zhoukou,1.013560
Nujiang,1.010597
Zhumadian,1.006769
Alxa,1.005400
Lingshui,0.996365
Qingyang,0.993318
Songyuan,0.992338
Kumul(Hami),0.992338
Shizuishan,0.990406
Jixi,0.989858
Baicheng,0.987269
Heihe,0.983786
Baoting,0.983786
Jiyuan,0.976324
Pingliang,0.973750
Wuzhong,0.972278
Hotan,0.972200
Liaoyuan,0.972200
Wenchang,0.972200
Aksu,0.967756
Haidong,0.967756
Wuwei,0.967756
Baiyin,0.962934
Jinchang,0.962934
Bijie,0.960960
Danzhou,0.957659
Dingxi,0.957659
Shuangyashan,0.956618
Qamdo,0.956618
Tongren,0.951831
Hegang,0.945309
Huangnan,0.941055
Golog,0.937889
Guyuan,0.934481
Qitaihe,0.927425
Linxia,0.918989
Longnan,0.918989
Ngari,0.918919
Dongfang,0.918919
Dingan,0.905918
Wuzhishan,0.900321
Yushuzhou,0.896151
Chengmai,0.896151
Tacheng,0.877715
Changjiang,0.859481
Kezilsu,0.840853
Qiongzhong,0.783505
