city,distance
Shanghai,4.797824
Beijing,4.663654
Zhongwei,3.785489
Shizuishan,3.727431
Xi'an,3.660329
Wuzhong,3.282535
Lanzhou,3.273491
Urumqi,3.141243
Zhengzhou,3.069131
Alxa,3.069131
Chengdou,2.869795
Xining,2.821789
Yulin,2.712762
Hohhot,2.692424
Nanjing,2.681970
Guyuan,2.638027
Guangzhou,2.626452
Wuhai,2.602504
Chongqing,2.590098
Ordos,2.537150
Hangzhou,2.522965
Wuhan,2.493252
Taiyuan,2.444741
Tianjin,2.444741
Xianyang,2.444741
Baotou,2.390226
Suzhou,2.327516
Shenyang,2.279403
Shenzhen,2.279403
Shijiazhuang,2.279403
Yan'an,2.252833
Pingliang,2.224174
Wuxi,2.224174
Hong Kong,2.192986
Qingdao,2.158670
Baoding,2.120367
Jinan,2.120367
Changsha,2.120367
Shamen,2.120367
Yichang,2.120367
Dalian,2.076782
Guiyang,2.076782
Harbin,2.076782
Changzhou,2.076782
Jinzhong,2.076782
Jiuquan,2.076782
Kunming,2.076782
Ngawa,2.076782
Ningbo,2.076782
Baiyin,2.076782
Zhangye,2.076782
Jiaxing,2.025817
Bayannur,2.025817
Baoji,2.025817
Sanya,2.025817
Yantai,2.025817
Guilin,1.963690
Huangshan,1.963690
Langfang,1.963690
Bayingolin,1.963690
Datong,1.963690
Tianshui,1.963690
Tieling,1.963690
Wuhu,1.963690
Wuwei,1.963690
Yangquan,1.963690
Foshan,1.882329
Fuzhou,1.882329
Haikou,1.882329
Hotan,1.882329
Jinchang,1.882329
Kaifeng,1.882329
Leshan,1.882329
Lijiang,1.882329
Luoyang,1.882329
Mianyang,1.882329
Nantong,1.882329
Nanyang,1.882329
Qinhuangdao,1.882329
Sanmenxia,1.882329
Dingxi,1.882329
Ulanqab,1.882329
Weifang,1.882329
Weinan,1.882329
Changji,1.882329
Xiangyang,1.882329
Xinyang,1.882329
Xuzhou,1.882329
Chengde,1.882329
Yuncheng,1.882329
Zhangjiajie,1.882329
Zhoushan,1.813918
Hefei,1.757823
Huanggang,1.757823
Hulunbuir,1.757823
Huzhou,1.757823
Jiayuguan,1.757823
Jinhua,1.757823
Jining,1.757823
Chifeng,1.757823
Chizhou,1.757823
Kumul(Hami),1.757823
Lhasa,1.757823
Linxia,1.757823
Lvliang,1.757823
Nanchang,1.757823
Nanning,1.757823
Nanping,1.757823
Neijiang,1.757823
Pingdingshan,1.757823
Chaoyang,1.757823
Qingyang,1.757823
Aksu,1.757823
Shantou,1.757823
Shaoguan,1.757823
Shaoxing,1.757823
Changchun,1.757823
Suizhou,1.757823
Bortala,1.757823
Tainan,1.757823
Taizhou,1.757823
Tongling,1.757823
Weihai,1.757823
Wenzhou,1.757823
Binzhou,1.757823
Dongguan,1.757823
Xiangxi,1.757823
Xilingol,1.757823
Xingtai,1.757823
Xinxiang,1.757823
Yangzhou,1.757823
Bangbu,1.757823
Haixi,1.757823
Zaozhuang,1.757823
Handan,1.757823
Zhenjiang,1.757823
Turpan,1.723328
Tangshan,1.695125
Taipei,1.691022
Alty,1.676009
Zhangjiakou,1.665370
Ili(Yili),1.635439
Haibei,1.597089
Taizhou,1.593216
Macau,1.588510
Shiyan,1.572361
Jiaozuo,1.568716
Gannan,1.568429
Hanzhong,1.566483
Keramay,1.564486
Cangzhou,1.562063
Kashgar,1.551402
Yancheng,1.540831
Ankang,1.537059
Tai'an,1.536596
Taoyuan,1.515864
Zhuhai,1.507460
Huludao,1.500188
Shangrao,1.499282
Deyang,1.495791
Shangluo,1.491783
Lianyungang,1.486228
Dezhou,1.477579
Anyang,1.477221
Xuancheng,1.458098
Xinzhou,1.458083
Xuchang,1.457611
Shangqiu,1.447218
Tongchuan,1.441658
Quanzhou,1.440375
Zibo,1.437548
Jinzhou,1.431146
Jilin,1.430158
Garze,1.428042
Hengshui,1.420917
Nagqu,1.420130
Huai'an,1.419335
Ya'an,1.418000
Jiujiang,1.416221
Tacheng,1.411306
Dandong,1.406678
Haidong,1.406344
Huangnan,1.404511
Zhongshan,1.404461
Dongying,1.400588
Luohe,1.399021
Quzhou,1.398903
Qiannan,1.397128
Yanbian,1.397128
Bijie,1.392603
Lishui,1.391830
Qiqihar,1.389275
Linyi,1.388361
Beihai,1.386363
Nanchong,1.382018
Jiangmen,1.380478
Xianning,1.379904
Dali,1.379808
Chuzhou,1.379004
Yingtan,1.377844
Kaohsiung,1.376336
Fushun,1.376313
Meishan,1.374184
Daqing,1.372714
Anshan,1.371666
Linfen,1.371137
Panjin,1.367923
Qianxinan,1.366606
Anshun,1.365655
Zhumadian,1.365096
Zhoukou,1.360663
Panzhihua,1.357725
Yueyang,1.357725
Diqing,1.357124
Puyang,1.356057
Yingkou,1.355325
Jingdezhen,1.354578
Ma'anshan,1.353561
Jian,1.352330
Liangshanzhou,1.348430
Qingyuan,1.347061
Anqing,1.343319
Jingzhou,1.342661
Liuzhou,1.340381
Huizhou,1.337987
Suining,1.337589
Zhuzhou,1.334008
Guangyuan,1.333589
Qiandongnan,1.332595
Zhaoqing,1.332359
Ningde,1.332071
Liaocheng,1.330469
Xiaogan,1.328775
Ziyang,1.327970
Huangshi,1.327011
Longnan,1.326390
Mudanjiang,1.325872
Pu'er,1.323550
New Taipei,1.322831
Rizhao,1.320396
Zigong,1.318179
Jieyang,1.316782
Zunyi,1.316070
Guang'an,1.305560
Xiangtan,1.304793
Hinggan,1.302747
Shuozhou,1.302715
Changzhi,1.302422
Jiyuan,1.301314
Yibin,1.300344
Liaoyang,1.299866
Zhangzhou,1.299157
Tongliao,1.297462
Taichung,1.297333
Benxi,1.295013
Enshi,1.293964
Lu'an,1.293543
Luzhou,1.292753
Siping,1.291118
Heze,1.290105
Yushuzhou,1.289472
Weicu,1.289196
Jiamusi,1.287904
Ganzhou,1.285657
Hebi,1.284766
Dazhou,1.284250
Xiuqian,1.283234
Changde,1.281012
Meizhou,1.281012
Longyan,1.272647
Wanning,1.271177
Ezhou,1.270152
Baishan,1.268389
Qionghai,1.266040
Yichun,1.264618
Baoshan,1.264276
Hengyang,1.263839
Jingmen,1.263316
Nantou,1.262743
Pingdong,1.261314
Zhanjiang,1.260833
Xishuangbanna,1.258515
