city,distance
Dalian,5.408561
Shenyang,4.997746
Beijing,4.221366
Anshan,3.647095
Shanghai,3.372337
Panjin,3.239978
Liaoyang,2.946957
Fushun,2.823013
Jinzhou,2.775700
Tianjin,2.750573
Qinhuangdao,2.724319
Jilin,2.667857
Harbin,2.570194
Huludao,2.532958
Benxi,2.448350
Tangshan,2.399194
Dandong,2.343543
Tieling,2.343543
Changzhou,2.278848
Chaoyang,2.278848
Langfang,2.200532
Yantai,2.200532
Changchun,2.098870
Hangzhou,2.098870
Qingdao,2.098870
Baishan,2.098870
Shenzhen,2.098870
Shijiazhuang,2.098870
Suzhou,2.098870
Chengdou,1.945239
Hong Kong,1.945239
Jinan,1.945239
Liangshanzhou,1.945239
Lishui,1.945239
Mudanjiang,1.945239
Qiqihar,1.945239
Anqing,1.945239
Cangzhou,1.945239
Weihai,1.945239
Wuhan,1.945239
Wuxi,1.945239
Xishuangbanna,1.945239
Xuchang,1.945239
Yancheng,1.945239
Yangzhou,1.945239
Yichun,1.945239
Zhengzhou,1.945239
Zhenjiang,1.945239
Nanjing,1.823399
Guangzhou,1.818271
Ma'anshan,1.770343
Xi'an,1.743446
Baoding,1.716860
Jiaxing,1.714359
Shamen,1.685554
Chongqing,1.667020
Taiyuan,1.653408
Fuxin,1.652483
Siping,1.648113
Ningbo,1.636747
Daqing,1.620496
Zhangjiakou,1.605309
Changsha,1.595939
Chengde,1.590054
Sanya,1.588494
Kunming,1.580620
Yanbian,1.580514
Taipei,1.574330
Tongliao,1.569193
Zhoushan,1.563978
Hohhot,1.561999
Nantong,1.551022
Hefei,1.536767
Xuzhou,1.526749
Nanchang,1.518591
Huzhou,1.518460
Tonghua,1.516803
Urumqi,1.512657
Xining,1.510743
Guiyang,1.499364
Xiangtan,1.499025
Lanzhou,1.498833
Shaoxing,1.495952
Zhuhai,1.492794
Fuzhou,1.492166
Shantou,1.489998
Guilin,1.487352
Tai'an,1.485321
Nanyang,1.479459
Datong,1.475808
Lijiang,1.473446
Zhongshan,1.472290
Taoyuan,1.465941
Yinchuan,1.464085
Nanning,1.463062
Hulunbuir,1.461501
Jinhua,1.457716
Quanzhou,1.456583
Chifeng,1.456583
Haikou,1.452019
Baotou,1.443798
Yichang,1.440661
Lhasa,1.439796
Jinzhong,1.439185
Luoyang,1.433344
Dezhou,1.430106
Weifang,1.428887
Huangshan,1.425078
Dongguan,1.422580
Wenzhou,1.419287
Lianyungang,1.418986
Jining,1.418455
Xinzhou,1.411835
Taizhou,1.407562
Ngawa,1.407483
Macau,1.404586
Suihua,1.403614
Taizhou,1.397109
Handan,1.394321
Zibo,1.392574
Ordos,1.387485
Jiamusi,1.385316
Linyi,1.381041
Songyuan,1.380575
Hengshui,1.376961
Jiujiang,1.372551
Foshan,1.368397
Rizhao,1.365262
Xingtai,1.360185
Dongying,1.357862
Xilingol,1.357078
Changde,1.355980
Zaozhuang,1.355891
Zhangjiajie,1.355891
Liaoyuan,1.351437
Baicheng,1.347060
Bangbu,1.347060
Yuncheng,1.347060
Jiaozuo,1.345500
Xinxiang,1.345064
Liuzhou,1.344324
Yiyang,1.344324
Anyang,1.343747
Dali,1.338322
Kaifeng,1.335509
Hinggan,1.331350
Sanming,1.331350
Garze,1.331350
Baoji,1.331155
Binzhou,1.325431
Wuhu,1.325431
Shangrao,1.324348
Huai'an,1.320826
Diqing,1.316971
Heihe,1.316936
Qingyuan,1.316681
Ulanqab,1.314132
Daxinganling,1.309383
Yan'an,1.308829
Nanping,1.307615
Xiangyang,1.303253
Weinan,1.301387
Heze,1.299742
Luohe,1.298552
Bayannur,1.298552
Xianyang,1.298552
Xuancheng,1.298552
Kaohsiung,1.296697
Yangquan,1.295336
Pu'er,1.294858
Liaocheng,1.291855
Mianyang,1.286780
Jian,1.284527
Jiuquan,1.281446
Beihai,1.281446
New Taipei,1.279596
Hualien,1.279596
Leshan,1.275685
Nanchong,1.275475
Xiangxi,1.273313
Xinyang,1.273313
Panzhihua,1.273001
Changzhi,1.265396
Chuzhou,1.262613
Linfen,1.262467
Shuangyashan,1.262467
Deyang,1.262467
Honghe,1.262467
Ganzhou,1.262467
Weicu,1.262467
Baiyin,1.262467
Wuzhong,1.262467
Anshun,1.262467
Xiaogan,1.262467
Guang'an,1.262467
Yibin,1.262467
Bazhong,1.262467
Huizhou,1.262467
Zigong,1.262467
Ziyang,1.262467
Chizhou,1.261010
Jingdezhen,1.259750
Shuozhou,1.257795
Pingdong,1.254525
Zhuzhou,1.254525
Jixi,1.254092
Quzhou,1.245410
Puyang,1.245176
Meizhou,1.245176
Yueyang,1.244048
Yulin,1.241750
Taichung,1.238198
Pingdingshan,1.237679
Lvliang,1.236984
Ili(Yili),1.235754
Jingzhou,1.234509
Zhongwei,1.233247
Jieyang,1.231968
Baoshan,1.229358
Yingtan,1.228691
Shangqiu,1.228025
Zhangzhou,1.228025
Laiwu,1.223462
Qionghai,1.220814
Yongzhou,1.220814
Changhua,1.220814
Jiangmen,1.220814
Fuyang,1.219607
Qiandongnan,1.219607
Zhanjiang,1.219607
Yichun,1.218127
Qitaihe,1.215208
Zunyi,1.211959
Gannan,1.210350
Huanggang,1.208713
Sanmenxia,1.205213
Haixi,1.205213
Shaoguan,1.205213
Shaoyang,1.205213
Shiyan,1.205213
Shizuishan,1.205213
Huangnan,1.205213
Haidong,1.205213
Taidong,1.205213
Ezhou,1.205213
Dazhou,1.205213
Huainan,1.205213
Baise,1.205213
Nyingchi,1.205213
Tongling,1.205213
Tongren,1.205213
Miaoli,1.205213
Alxa,1.205213
Longyan,1.205213
Jincheng,1.205213
Enshi,1.205213
Jingmen,1.205213
