city,distance
Shanghai,5.353618
Shangrao,4.275711
Nanchang,4.217538
Jinhua,3.444980
Hangzhou,3.379907
Quzhou,3.285760
Fuzhou,3.092341
Guangzhou,3.071293
Xinyu,2.862617
Jingdezhen,2.848104
Beijing,2.818043
Jiaxing,2.753118
Yichun,2.753118
Jiujiang,2.699249
Pingxiang,2.639624
Nanping,2.618180
Changsha,2.572417
Fuzhou,2.572417
Zhuzhou,2.572417
Shaoguan,2.547869
Shaoxing,2.547869
Qingyuan,2.494679
Wuhan,2.465624
Suzhou,2.435045
Shamen,2.434566
Shenzhen,2.434566
Sanming,2.364823
Chenzhou,2.280595
Nanjing,2.280595
Zhangjiajie,2.280595
Changde,2.230253
Ganzhou,2.230253
Guilin,2.230253
Jian,2.230253
Ningbo,2.230253
Hong Kong,2.171584
Huaihua,2.171584
Kunming,2.171584
Yongzhou,2.171584
Fuyang,2.100352
Hengyang,2.100352
Huangshan,2.100352
Tianjin,2.100352
Wuxi,2.100352
Xuancheng,2.100352
Guiyang,2.007540
Heyuan,2.007540
Jinan,2.007540
Lanzhou,2.007540
Liuzhou,2.007540
Loudi,2.007540
Quanzhou,2.007540
Sanya,2.007540
Shenyang,2.007540
Taizhou,2.007540
Wenzhou,2.007540
Wuhu,2.007540
Xiangxi,2.007540
Yiyang,2.007540
Changchun,2.007540
Changzhou,1.996364
Zhoushan,1.888023
Chengdou,1.871971
Nantong,1.869174
Dongguan,1.866539
Foshan,1.866539
Chizhou,1.866539
Anqing,1.866539
Chongqing,1.866539
Hezhou,1.866539
Huangshi,1.866539
Huizhou,1.866539
Jingmen,1.866539
Luzhou,1.866539
Ma'anshan,1.866539
Nanning,1.866539
Putian,1.866539
Qiandongnan,1.866539
Qiannan,1.866539
Qingdao,1.866539
Shiyan,1.866539
Suizhou,1.866539
Tai'an,1.866539
Bozhou,1.866539
Tongren,1.866539
Xinyang,1.866539
Xishuangbanna,1.866539
Yangjiang,1.866539
Yangzhou,1.866539
Zhangzhou,1.866539
Zhenjiang,1.866539
Zhuhai,1.866539
Zigong,1.866539
Ziyang,1.866539
Zunyi,1.866539
Huzhou,1.822087
Xi'an,1.774462
Taipei,1.755248
Dalian,1.697663
Hefei,1.686995
Taizhou,1.650102
Macau,1.645055
Zhengzhou,1.641061
Harbin,1.634511
Yancheng,1.593975
Lishui,1.591742
Lijiang,1.575662
Taoyuan,1.561231
Xuzhou,1.554949
Yantai,1.549410
Urumqi,1.545800
Haikou,1.540677
Taiyuan,1.538012
Lianyungang,1.535612
Zhongshan,1.522369
Shijiazhuang,1.513482
Jiangmen,1.494230
Ningde,1.483602
Hohhot,1.466953
Lhasa,1.466703
Longyan,1.465157
Huai'an,1.464307
Xiangtan,1.462998
Ngawa,1.457661
Langfang,1.457053
Yinchuan,1.443758
Luoyang,1.440917
Zhaoqing,1.438017
Weihai,1.437241
Huanggang,1.437029
Bangbu,1.433300
Xining,1.429403
Beihai,1.429238
Baoding,1.427705
Yueyang,1.423605
Qinhuangdao,1.423325
Yichang,1.421593
Chuzhou,1.421418
Kaohsiung,1.418584
Jining,1.407752
Weicu,1.407177
Dali,1.397053
Jilin,1.380575
Diqing,1.379442
Linyi,1.379197
Shantou,1.374064
Zaozhuang,1.371606
Xianning,1.371399
