city,distance
Haikou,6.357895
Chengmai,4.029665
Danzhou,4.029665
Dongfang,3.248866
Guangzhou,3.248866
Ledong,3.248866
Lingshui,3.248866
Sanya,3.248866
Shanghai,3.248866
Wanning,3.248866
Beijing,2.422938
Qionghai,2.404468
Wenchang,2.087688
Shenzhen,2.011001
Zhanjiang,1.931121
Wuhan,1.897083
Suzhou,1.880830
Chengdou,1.869531
Hangzhou,1.866593
Chongqing,1.841674
Changsha,1.835002
Dingan,1.835002
Nanjing,1.824613
Shamen,1.824613
Hong Kong,1.813721
Nanning,1.813721
Foshan,1.808839
Changsha,1.797122
Kunming,1.790185
Tianjin,1.781736
Weinan,1.781736
Nanchang,1.744093
Zhuhai,1.744093
Xi'an,1.727987
Qiongzhong,1.706278
Zaozhuang,1.700660
Guilin,1.697847
Jiaxing,1.681866
Fuzhou,1.677204
Baoting,1.662058
Wuxi,1.656331
Beihai,1.645544
Wuzhishan,1.639295
Dongguan,1.637427
Ningbo,1.617490
Changzhou,1.607922
Hefei,1.603336
Qingdao,1.583948
Urumqi,1.583948
Guiyang,1.571073
Zhongshan,1.564762
Harbin,1.557081
Wenzhou,1.557081
Fangchenggang,1.544051
Dalian,1.544051
Putian,1.544051
Qinzhou,1.544051
Shangrao,1.544051
Xiaogan,1.544051
Hohhot,1.541731
Zhoushan,1.536890
Jiangmen,1.535049
Liuzhou,1.530858
Shaoguan,1.530858
Shenyang,1.524691
Baotou,1.524691
Nantong,1.524377
Jinan,1.505482
Taipei,1.505482
Qingyuan,1.493842
Huzhou,1.492913
Sansha,1.483730
Macau,1.483379
Meishan,1.483379
Zhaoqing,1.483379
Huizhou,1.482691
Shaoxing,1.471150
Jinhua,1.457194
Lanzhou,1.457194
Luoyang,1.457194
Shijiazhuang,1.457194
Siping,1.457194
Taoyuan,1.457194
Changchun,1.457194
Yangzhou,1.453270
Huangshan,1.424770
Jieyang,1.424770
Leshan,1.424770
Lijiang,1.424770
Ordos,1.424770
Chuzhou,1.424770
Baoding,1.424770
Weihai,1.424770
Zhangzhou,1.424770
Zhuzhou,1.424770
Zhenjiang,1.414456
Shantou,1.408506
Yangjiang,1.384309
Hengyang,1.381446
Hulunbuir,1.381446
Chaozhou,1.381446
Jiujiang,1.381446
Jiuquan,1.381446
Lianyungang,1.381446
Luzhou,1.381446
Maoming,1.381446
Mianyang,1.381446
Pingdingshan,1.381446
Qianxinan,1.381446
Quzhou,1.381446
Shanwei,1.381446
Taiyuan,1.381446
Taizhou,1.381446
Dali,1.381446
Weicu,1.381446
Wuhai,1.381446
Baoshan,1.381446
Xianyang,1.381446
Xinxiang,1.381446
Xuzhou,1.381446
Ya'an,1.381446
Yantai,1.381446
Yinchuan,1.381446
Yunfu,1.381446
Zigong,1.381446
Taizhou,1.375453
Langfang,1.343756
Tongliao,1.340280
Baise,1.340280
Yancheng,1.336233
Heyuan,1.330645
Qinhuangdao,1.315017
Jincheng,1.313184
Jingdezhen,1.313184
Jiaozuo,1.313184
Linfen,1.313184
Linxia,1.313184
Guangyuan,1.313184
Chenzhou,1.313184
Honghe,1.313184
Mudanjiang,1.313184
Nanchong,1.313184
Ngawa,1.313184
Ningde,1.313184
Hotan,1.313184
Pu'er,1.313184
Puyang,1.313184
Qiandongnan,1.313184
Changzhi,1.313184
Quanzhou,1.313184
Qujing,1.313184
Huai'an,1.313184
Baicheng,1.313184
Shannan,1.313184
Hegang,1.313184
Suining,1.313184
Tai'an,1.313184
Diqing,1.313184
Jilin,1.313184
Turpan,1.313184
Jiayuguan,1.313184
Haibei,1.313184
Xiangtan,1.313184
Xiangxi,1.313184
Xiangyang,1.313184
Xining,1.313184
Ganzhou,1.313184
Xinzhou,1.313184
Guyuan,1.313184
Yibin,1.313184
Yiyang,1.313184
Yueyang,1.313184
Zhangjiajie,1.313184
Hebi,1.313184
Jian,1.313184
Ziyang,1.313184
Zunyi,1.313184
Hezhou,1.291715
Meizhou,1.285086
Wuhu,1.279972
Xuancheng,1.273566
Wuzhou,1.273512
Tangshan,1.268673
Zhangjiakou,1.251933
Lhasa,1.245622
Nanping,1.243802
Chizhou,1.243341
Chengde,1.242635
Lishui,1.222717
Bangbu,1.221448
Yichang,1.212935
Yingtan,1.211910
Kaohsiung,1.210744
Jining,1.206872
Liangshanzhou,1.195764
Yan'an,1.195764
Chongzuo,1.194588
Ma'anshan,1.193084
Cangzhou,1.192639
Anqing,1.185120
Linyi,1.181936
New Taipei,1.181022
Kaifeng,1.178214
Xianning,1.175460
Longyan,1.174561
Datong,1.171747
Deyang,1.169619
Weifang,1.167669
Rizhao,1.167242
Zibo,1.156300
Huludao,1.156228
Yanbian,1.156056
Baoji,1.155870
Pingxiang,1.154807
