city,distance
Changsha,5.993314
Changde,3.743471
Zhangjiajie,3.548554
Beijing,3.449915
Shanghai,3.423739
Yueyang,3.396869
Xiangxi,3.249965
Guangzhou,3.183804
Zhuzhou,2.990157
Wuhan,2.895828
Shenyang,2.843183
Xiangtan,2.843183
Shamen,2.722305
Chongqing,2.650878
Hengyang,2.650878
Loudi,2.650878
Xi'an,2.650878
Chengdou,2.342052
Chenzhou,2.342052
Dongguan,2.342052
Huaihua,2.342052
Nanjing,2.342052
Qingdao,2.342052
Tianjin,2.342052
Yingtan,2.342052
Zhengzhou,2.342052
Zhuhai,2.342052
Dazhou,2.152367
Enshi,2.152367
Foshan,2.152367
Fuyang,2.152367
Fuzhou,2.152367
Guilin,2.152367
Haikou,2.152367
Hangzhou,2.152367
Hulunbuir,2.152367
Kumul(Hami),2.152367
Liangshanzhou,2.152367
Liupanshui,2.152367
Nanning,2.152367
New Taipei,2.152367
Pingdingshan,2.152367
Pingxiang,2.152367
Qujing,2.152367
Sanming,2.152367
Shangrao,2.152367
Shaoyang,2.152367
Shenzhen,2.152367
Taoyuan,2.152367
Xuzhou,2.152367
Yichang,2.152367
Zhongshan,2.152367
Suzhou,1.938140
Kunming,1.820000
Nanchang,1.813753
Hong Kong,1.745184
Guiyang,1.730346
Jiaxing,1.727545
Sanya,1.708672
Wuxi,1.700615
Xianning,1.689103
Jinan,1.661217
Yongzhou,1.661217
Taipei,1.657364
Ningbo,1.656238
Yichun,1.656238
Hefei,1.653696
Changzhou,1.649622
Shaoguan,1.648503
Jinhua,1.640420
Shijiazhuang,1.610433
Langfang,1.609469
Dalian,1.608480
Taiyuan,1.593215
Lijiang,1.589549
Xining,1.589549
Zhoushan,1.574944
Baoding,1.573735
Urumqi,1.569882
Qinhuangdao,1.568415
Harbin,1.565645
Nantong,1.561806
Xianyang,1.551472
Liuzhou,1.547475
Macau,1.546304
Tongren,1.543738
Quanzhou,1.542584
Wenzhou,1.542584
Fushun,1.538407
Lanzhou,1.537534
Zibo,1.537534
Huzhou,1.528795
Anshan,1.524721
Jingzhou,1.523282
Jiangmen,1.520369
Changchun,1.518086
Weinan,1.509906
Xinyu,1.509421
Baoji,1.506762
Shaoxing,1.505982
Tangshan,1.502935
Zhangzhou,1.502744
Hohhot,1.496501
Yangzhou,1.487250
Qingyuan,1.479937
Zhangjiakou,1.479498
Nanyang,1.471400
Jinzhou,1.469837
Huizhou,1.468991
Turpan,1.467598
Beihai,1.466558
Chengde,1.466530
Liaoyang,1.465595
Luoyang,1.464900
Zhaoqing,1.462210
Benxi,1.459428
Handan,1.457956
Ulanqab,1.450279
Xinzhou,1.450279
Dandong,1.449785
Huangshi,1.448778
Yantai,1.448778
Zhenjiang,1.446625
Huanggang,1.443665
Tieling,1.443180
Xiangyang,1.440871
Yingkou,1.440098
Jiujiang,1.438931
Qiannan,1.438931
Huangshan,1.438931
Leshan,1.435146
Xiaogan,1.435102
Ngawa,1.432340
Kaifeng,1.430920
Yancheng,1.428297
Jingmen,1.425240
Quzhou,1.425240
Yan'an,1.421576
Qiandongnan,1.416723
Xinyang,1.416723
Jiuquan,1.416287
Longyan,1.414753
Panjin,1.410720
Taizhou,1.405853
Luohe,1.404005
Nanping,1.400742
Anshun,1.399375
Shiyan,1.397796
Cangzhou,1.397396
Shantou,1.396137
Huludao,1.392051
Linyi,1.389859
Xuchang,1.389859
Qionghai,1.382720
Taizhou,1.382188
Weifang,1.380336
Tai'an,1.376980
Nanchong,1.376437
Ankang,1.374481
Anqing,1.373880
Dezhou,1.373880
Jian,1.373880
Dali,1.373880
Yinchuan,1.373880
Bozhou,1.372705
Yangjiang,1.372360
Datong,1.368800
Ezhou,1.366963
Hinggan,1.364911
Xinxiang,1.360911
Panzhihua,1.358558
Jingdezhen,1.355448
Wuhu,1.355448
Jieyang,1.355448
Xingtai,1.355448
Ganzhou,1.355448
Anyang,1.354777
Zhanjiang,1.354294
Jiaozuo,1.353886
Guang'an,1.352921
Chiayi,1.352695
Baise,1.352695
Hanzhong,1.346970
Baotou,1.341220
Lhasa,1.340194
Deyang,1.338578
Jinzhong,1.337238
Weihai,1.335064
Mianyang,1.333552
Sanmenxia,1.333552
Xishuangbanna,1.333552
Yibin,1.333552
Ningde,1.333510
Jilin,1.332755
Fuzhou,1.332701
Chongzuo,1.332692
Lianyungang,1.321886
Fuxin,1.321391
Heyuan,1.319600
Jining,1.319323
Siping,1.318596
Huainan,1.317752
Chifeng,1.307317
Chaoyang,1.306639
Ordos,1.306345
Tongliao,1.306345
Yanbian,1.306345
Changzhi,1.306345
Zunyi,1.305028
Xuancheng,1.299586
Yulin,1.297988
Bangbu,1.296826
Shanwei,1.296019
Hsinchu,1.295440
Suizhou,1.293540
Qinzhou,1.292284
Shangluo,1.291368
Putian,1.290814
Rizhao,1.289325
Qiqihar,1.288186
Wanning,1.286131
Garze,1.284062
Maoming,1.283802
Hengshui,1.283353
Hezhou,1.281304
Taichung,1.281109
Suining,1.279977
Ya'an,1.275937
Meizhou,1.274782
Fangchenggang,1.272455
Zaozhuang,1.272152
Wenchang,1.271749
Lu'an,1.270067
Lvliang,1.269832
Sansha,1.269832
Jiayuguan,1.269832
Jinchang,1.269832
Diqing,1.269832
Huai'an,1.268704
Chizhou,1.268130
Tianshui,1.268004
Luzhou,1.267069
Dongying,1.266747
Keelung,1.266684
Xilingol,1.266064
Wuzhou,1.263392
Shangqiu,1.262417
Neijiang,1.257449
Chaozhou,1.256370
Tongchuan,1.253636
Xiuzhou,1.252385
Changji,1.252165
Lishui,1.246682
Binzhou,1.246495
Yunfu,1.244348
Daqing,1.243902
Honghe,1.242550
Meishan,1.240351
Zigong,1.240001
Kinmen,1.236455
Chuzhou,1.236382
Kaohsiung,1.235921
Zhaotong,1.235234
Daxinganling,1.233723
Guigang,1.233689
Tonghua,1.233183
Ma'anshan,1.230391
Liaocheng,1.229428
Bayannur,1.229428
Yuncheng,1.229428
Zhongwei,1.229428
Yulin,1.226125
Xiuqian,1.226120
Danzhou,1.217962
Yilan,1.216763
Puyang,1.215410
Nantou,1.212518
Yangquan,1.212162
Jiamusi,1.211924
Jiyuan,1.211924
Bayingolin,1.211924
Tongling,1.211924
Jixi,1.211924
Ili(Yili),1.211924
Miaoli,1.211924
Dehong,1.211924
Qianxinan,1.211924
Yichun,1.211924
Lingshui,1.211924
Baoshan,1.211924
Yuxi,1.211924
Hualien,1.211924
Aksu,1.211924
Hechi,1.211924
Zhumadian,1.211924
Ziyang,1.211924
Nyingchi,1.211924
Bijie,1.211856
Baishan,1.211265
Bazhong,1.206038
Mudanjiang,1.205315
Zhoukou,1.196049
Wuwei,1.195821
Hebi,1.193898
Laibin,1.192879
Tainan,1.189984
Huaibei,1.187203
Chengmai,1.186162
Weicu,1.185377
Shuozhou,1.179226
Guangyuan,1.178445
Wenshan,1.178107
Heze,1.175683
Dingan,1.173325
Haixi,1.171111
Qingyang,1.164804
Linfen,1.156495
Haibei,1.142568
Ledong,1.141788
Pingdong,1.140935
Pingliang,1.137987
Gannan,1.137424
Suihua,1.132235
Keramay,1.129915
Wuhai,1.125042
Songyuan,1.124730
Liaoyuan,1.116699
Tacheng,1.116502
Zhangye,1.116214
Taidong,1.112601
Jincheng,1.112514
Dingxi,1.111250
Laiwu,1.110863
Baicheng,1.107732
Yunlin,1.103443
Baoting,1.100130
Alxa,1.099434
Changhua,1.096369
Pu'er,1.092980
Changjiang,1.088954
Dongfang,1.088954
Guyuan,1.084718
Haidong,1.083517
Lincang,1.082161
Wuzhishan,1.080425
Heihe,1.080314
Nagqu,1.080005
Shizuishan,1.067637
Wuzhong,1.063307
Penghu,1.062882
Kashgar,1.060615
Hegang,1.055221
Shuangyashan,1.054027
Shannan,1.046511
Baiyin,1.046511
Qamdo,1.041363
Haidong,1.033169
Huangnan,1.022947
Qiongzhong,1.018894
Hotan,1.015418
Qitaihe,1.006862
Linxia,0.996927
Longnan,0.996927
Ngari,0.991368
Bortala,0.985031
Yushuzhou,0.973202
Golog,0.970107
Nujiang,0.953192
Kezilsu,0.938822
