city,distance
Changsha,4.740947
Beijing,4.120998
Guilin,4.093658
Hengyang,3.720001
Shanghai,3.646303
Guangzhou,3.526347
Hezhou,3.391536
Wuhan,3.342281
Zhuzhou,3.176476
Hangzhou,2.968895
Liuzhou,2.968895
Shaoyang,2.968895
Nanning,2.884144
Shenzhen,2.884144
Yingtan,2.786780
Chenzhou,2.670552
Qingyuan,2.670552
Xiangxi,2.670552
Yueyang,2.670552
Huaihua,2.522286
Jiaxing,2.522286
Jiujiang,2.522286
Pingxiang,2.522286
Quzhou,2.522286
Shenyang,2.522286
Xiangtan,2.522286
Yichun,2.522286
Chongqing,2.303646
Dongguan,2.303646
Fuzhou,2.303646
Heze,2.303646
Hong Kong,2.303646
Laibin,2.303646
Loudi,2.303646
Nanchang,2.303646
Shamen,2.303646
Shaoguan,2.303646
Wenzhou,2.303646
Anyang,2.303646
Xi'an,2.303646
Xinyu,2.303646
Ya'an,2.303646
Yichang,2.303646
Yulin,2.303646
Zhengzhou,2.303646
Zhuhai,2.303646
Tianjin,2.054276
Suzhou,2.007505
Wuzhou,1.998827
Foshan,1.891716
Zhangjiajie,1.859426
Changde,1.849586
Nanjing,1.754658
Wuxi,1.753787
Yiyang,1.749910
Chengdou,1.746431
Langfang,1.741795
Qingdao,1.700666
Baoding,1.700020
Changzhou,1.699607
Ningbo,1.698693
Jinan,1.698396
Shijiazhuang,1.695439
Qinhuangdao,1.693813
Shangrao,1.687148
Kunming,1.683401
Beihai,1.654014
Dalian,1.635958
Taiyuan,1.635296
Zhongshan,1.626401
Zhoushan,1.620443
Tangshan,1.617698
Harbin,1.612481
Guiyang,1.607731
Nantong,1.606538
Xianning,1.605646
Zhaoqing,1.603778
Jiangmen,1.594325
Garze,1.592334
Zhangjiakou,1.590577
Jinhua,1.590267
Sanya,1.589003
Chongzuo,1.581079
Chengde,1.575600
Huzhou,1.571630
Changchun,1.568247
Fuzhou,1.558197
Hefei,1.556592
Taipei,1.556094
Jingzhou,1.555442
Shaoxing,1.547531
Huanggang,1.546661
Xiangyang,1.543455
Hohhot,1.540864
Huizhou,1.537920
Xiaogan,1.536837
Huangshi,1.534478
Haikou,1.532189
Macau,1.529468
Yangzhou,1.527758
Qinzhou,1.524524
Baise,1.506564
Yantai,1.504828
Urumqi,1.499570
Fangchenggang,1.497003
Hechi,1.496315
Cangzhou,1.496078
Shiyan,1.494133
Lanzhou,1.485983
Lijiang,1.485476
Xining,1.485476
Zhenjiang,1.484922
Jining,1.473152
Tai'an,1.472701
Huangshan,1.471808
Datong,1.463348
Chifeng,1.459036
Ezhou,1.458956
Shantou,1.458253
Xinxiang,1.457826
Taoyuan,1.453647
Yinchuan,1.451821
Luoyang,1.449782
Jingmen,1.449766
Taizhou,1.445878
Quanzhou,1.444380
Guigang,1.443635
Taizhou,1.441994
Zibo,1.439952
Fushun,1.439325
Huludao,1.439224
Shangqiu,1.437796
Qiandongnan,1.436212
Tongren,1.432665
Yangjiang,1.432333
Baotou,1.431870
Lhasa,1.427934
Anshan,1.427338
Jinzhong,1.427333
Xianyang,1.425700
Xuzhou,1.424287
Hulunbuir,1.423048
Handan,1.422721
Enshi,1.422428
Dezhou,1.418403
Kaifeng,1.416492
Jingdezhen,1.416186
Xinyang,1.413978
Zhanjiang,1.412665
Weihai,1.409962
Weifang,1.401414
Xinzhou,1.400427
Yancheng,1.398947
Ngawa,1.396146
Weinan,1.390523
Baoji,1.387856
Jian,1.384675
Jinzhou,1.379130
Ordos,1.376466
Suizhou,1.375620
Liaoyang,1.375394
Heyuan,1.374958
Jilin,1.374648
Benxi,1.369962
Hengshui,1.366108
Zhangzhou,1.365732
Dandong,1.361462
Lishui,1.356967
Tieling,1.355635
Lianyungang,1.353790
Qiannan,1.353114
Yingkou,1.352915
Nanping,1.349925
Xingtai,1.349594
Shanwei,1.349376
Lu'an,1.349104
Dongying,1.347307
Xilingol,1.346535
Zaozhuang,1.345366
Jieyang,1.343888
Jiaozuo,1.340962
Wuhu,1.337403
Qiqihar,1.336835
Maoming,1.336138
Linyi,1.335988
Luohe,1.334028
Zunyi,1.333391
Xuancheng,1.330411
Dali,1.328067
Panjin,1.326955
Meizhou,1.326369
Daqing,1.321494
Ningde,1.319874
Yan'an,1.315261
Bangbu,1.315020
Jiuquan,1.314680
Liaocheng,1.314287
Yanbian,1.312948
Huai'an,1.310837
Hebi,1.310299
Nanyang,1.309633
Xuchang,1.309633
Diqing,1.307040
Anshun,1.306605
Fuyang,1.306605
Chaozhou,1.306449
Ulanqab,1.304244
Ganzhou,1.300578
Chizhou,1.297463
Sanming,1.296640
Anqing,1.295435
Yunfu,1.293455
Longyan,1.292664
Binzhou,1.288392
Kaohsiung,1.287068
Mianyang,1.286809
Yangquan,1.285727
Zhumadian,1.278999
Puyang,1.278346
Mudanjiang,1.278027
Haixi,1.274545
Tacheng,1.270264
Keelung,1.270264
Xishuangbanna,1.270264
Chuzhou,1.264249
Meishan,1.263605
Rizhao,1.263190
Pingdingshan,1.262787
New Taipei,1.262345
Sanmenxia,1.259521
Deyang,1.259521
Yibin,1.259521
Changzhi,1.256225
Chaoyang,1.255319
Yuncheng,1.253482
Sansha,1.252708
Taichung,1.252708
Kumul(Hami),1.252708
Qujing,1.252708
Tongliao,1.251610
Hanzhong,1.251145
Shuozhou,1.248733
Fuxin,1.247621
Bozhou,1.246505
Leshan,1.245770
Siping,1.245128
Ma'anshan,1.242831
Jiamusi,1.242714
Yulin,1.232917
Ankang,1.232304
Bayannur,1.229415
Liangshanzhou,1.229410
Guang'an,1.228556
Lvliang,1.228218
Tainan,1.227378
Hsinchu,1.227378
Zigong,1.227378
Ili(Yili),1.227006
Hinggan,1.225778
Baishan,1.224534
Zhongwei,1.224534
Linfen,1.223273
Baoshan,1.220700
Liupanshui,1.212445
Dazhou,1.209667
Pingdong,1.203543
Shangluo,1.203031
Jinchang,1.202528
Nanchong,1.202528
Jiayuguan,1.202528
Gannan,1.201957
Keramay,1.193574
Suining,1.193139
Dehong,1.191799
Xiuzhou,1.189987
Wuhai,1.188138
Qionghai,1.188138
Nantou,1.188138
Tonghua,1.186248
Hualien,1.186248
Zhoukou,1.185951
Tongling,1.183615
Xiuqian,1.183286
Tianshui,1.182729
Daxinganling,1.182343
Luzhou,1.181916
Wanning,1.173962
Nyingchi,1.173962
Neijiang,1.173541
Changhua,1.173194
Putian,1.173194
Huainan,1.173194
Weicu,1.173194
Yuxi,1.173194
Bijie,1.173194
Tongchuan,1.170219
Suihua,1.169444
Guangyuan,1.169444
Jincheng,1.169444
Chiayi,1.167091
Laiwu,1.164672
Panzhihua,1.162083
Alxa,1.159613
Taidong,1.156964
Jiyuan,1.153605
Honghe,1.152820
Bayingolin,1.151399
Turpan,1.151399
Qianxinan,1.150470
Wenchang,1.150470
Aksu,1.150470
Yichun,1.150470
Yilan,1.150470
Lingshui,1.150470
Miaoli,1.150470
Jixi,1.150470
Ziyang,1.150470
Huaibei,1.150387
Dongfang,1.146142
Pu'er,1.146142
Alty,1.145429
Songyuan,1.142272
Kinmen,1.142175
Shizuishan,1.136943
Baicheng,1.135560
Yunlin,1.125586
Changji,1.124296
Liaoyuan,1.122959
Heihe,1.120152
Haibei,1.120152
Wuzhong,1.115773
Zhangye,1.106184
Shannan,1.100893
Baiyin,1.100893
Kashgar,1.100893
Shuangyashan,1.095198
Qamdo,1.095198
Qingyang,1.092449
Changjiang,1.088954
Penghu,1.083412
Huangnan,1.074847
Hegang,1.074847
Pingliang,1.068826
Hotan,1.066537
Nagqu,1.066537
Qitaihe,1.057102
Bazhong,1.057102
Wuwei,1.053004
Linxia,1.046156
Longnan,1.046156
Baoting,1.046156
Danzhou,1.042800
Bortala,1.033064
Zhaotong,1.033064
Guyuan,1.033064
Dingan,1.019401
Wenshan,1.016662
Golog,1.016662
Haidong,1.016662
Lincang,1.016662
Yushuzhou,1.016662
Chengmai,1.016662
Nujiang,0.994409
Changjiang,0.981743
Ledong,0.939960
Ngari,0.939653
Wuzhishan,0.926545
Kezilsu,0.891245
Qiongzhong,0.855057
