city,distance
Nanning,5.370433
Wuzhou,3.995057
Guangzhou,3.692879
Guigang,3.415267
Guilin,3.374885
Shenzhen,3.288663
Hezhou,3.242330
Liuzhou,3.193422
Shanghai,3.193422
Zhanjiang,3.086062
Chengdou,2.889765
Huizhou,2.889765
Maoming,2.889765
Qinzhou,2.889765
Dongguan,2.809410
Kunming,2.809410
Wuhan,2.809410
Zhaoqing,2.809410
Beihai,2.716946
Beijing,2.716946
Foshan,2.716946
Xianyang,2.716946
Changzhou,2.606354
Hong Kong,2.464942
Laibin,2.464942
Suzhou,2.464942
Baise,2.464942
Zhongshan,2.464942
Changsha,2.255718
Fangchenggang,2.255718
Guiyang,2.255718
Hangzhou,2.255718
Harbin,2.255718
Hengyang,2.255718
Nanyang,2.255718
Qingyuan,2.255718
Qinhuangdao,2.255718
Qujing,2.255718
Shamen,2.255718
Shaoguan,2.255718
Shenyang,2.255718
Taipei,2.255718
Weihai,2.255718
Xi'an,2.255718
Yangjiang,2.255718
Yongzhou,2.255718
Yunfu,2.255718
Chongzuo,2.118819
Hechi,1.824050
Chongqing,1.721631
Zhuhai,1.719748
Nanjing,1.718450
Haikou,1.711931
Lijiang,1.685952
Jiaxing,1.666884
Fuzhou,1.649765
Nanchang,1.645087
Wuxi,1.641799
Dali,1.636004
Tianjin,1.633479
Jiangmen,1.627507
Leshan,1.623730
Ngawa,1.620139
Haixi,1.602372
Jinhua,1.602372
New Taipei,1.597946
Ningbo,1.593419
Sanya,1.553336
Yantai,1.546834
Zhengzhou,1.544928
Weicu,1.538203
Yibin,1.526703
Zhoushan,1.524370
Macau,1.524041
Qingdao,1.523004
Jieyang,1.519490
Taiyuan,1.516546
Nantong,1.512059
Deyang,1.501198
Heyuan,1.490091
Shantou,1.485963
Taoyuan,1.484452
Hefei,1.481458
Xiangxi,1.481458
Huzhou,1.481097
Yichang,1.477699
Mianyang,1.476567
Xianning,1.471558
Xishuangbanna,1.468923
Quanzhou,1.467557
Baoshan,1.460365
Yuxi,1.459860
Shaoxing,1.459675
Baoji,1.450363
Yangzhou,1.442070
Anshun,1.440813
Changchun,1.437309
Zhuzhou,1.437309
Nanping,1.434675
Qiandongnan,1.434675
Shijiazhuang,1.434675
Urumqi,1.434675
Xining,1.434675
Garze,1.432969
Diqing,1.431525
Chifeng,1.430712
Langfang,1.429549
Jingzhou,1.429278
Jinan,1.426994
Tangshan,1.426891
Xiangyang,1.426727
Ya'an,1.422858
Huanggang,1.421861
Honghe,1.418387
Zhenjiang,1.416851
Huaihua,1.414588
Lanzhou,1.414588
Qiannan,1.414588
Xiaogan,1.413554
Huangshi,1.411558
Dalian,1.401926
Baoding,1.401288
Pingdingshan,1.395630
Huangshan,1.392119
Jingdezhen,1.390756
Shizuishan,1.390756
Nanchong,1.386633
Wenzhou,1.386592
Zunyi,1.385729
Shanwei,1.385266
Chenzhou,1.378879
Meishan,1.378747
Shiyan,1.377345
Weinan,1.372915
Daqing,1.371629
Taizhou,1.365416
Lhasa,1.364595
Ningde,1.361191
Pingxiang,1.361191
Ganzhou,1.361191
Dezhou,1.361191
Xinyang,1.361191
Hohhot,1.361191
Yichun,1.361191
Neijiang,1.359390
Xiangtan,1.354819
Liangshanzhou,1.352823
Huludao,1.352248
Luoyang,1.350882
Meizhou,1.349255
Zhangzhou,1.348743
Fushun,1.348395
Ezhou,1.347398
Mudanjiang,1.346226
Taizhou,1.343082
Suining,1.341911
Jingmen,1.339555
Yueyang,1.338741
Anshan,1.337870
Liupanshui,1.335142
Jiujiang,1.334577
Taichung,1.334559
Ziyang,1.332230
Chaozhou,1.328647
Yancheng,1.326759
Zhangjiakou,1.326078
Wenchang,1.325048
Zigong,1.322376
Enshi,1.321594
Shangrao,1.321594
Ulanqab,1.321594
Xuzhou,1.321594
Yilan,1.321594
Yunlin,1.321594
Zhangjiajie,1.321594
Kaohsiung,1.321594
Dehong,1.319977
Keelung,1.317213
Chengde,1.315652
Ankang,1.315373
Pu'er,1.315143
Handan,1.308943
Tianshui,1.306482
Suihua,1.304310
Guangyuan,1.302679
Hsinchu,1.302429
Yinchuan,1.301746
Yan'an,1.299496
Qionghai,1.298184
Luzhou,1.296790
Jinzhou,1.295426
Changde,1.293576
Lishui,1.292737
