city,distance
Shanghai,4.490546
Beijing,4.331075
Xi'an,4.144883
Taiyuan,4.107659
Linfen,3.977005
Sanmenxia,3.603864
Weinan,3.214549
Jinzhong,3.159370
Zhengzhou,3.036269
Luoyang,2.928555
Chengdou,2.637867
Chongqing,2.637867
Tianjin,2.637867
Dalian,2.570748
Shenzhen,2.570748
Changzhi,2.493109
Jincheng,2.493109
Wuhan,2.493109
Yan'an,2.493109
Guangzhou,2.399676
Nanjing,2.399676
Ordos,2.399676
Shamen,2.399676
Shijiazhuang,2.399676
Xiangyang,2.399676
Baoding,2.279284
Hangzhou,2.279284
Jiaozuo,2.279284
Jiyuan,2.279284
Lvliang,2.279284
Qingdao,2.279284
Baoji,2.279284
Suzhou,2.279284
Tai'an,2.279284
Urumqi,2.279284
Xinzhou,2.279284
Yangquan,2.279284
Yinchuan,2.279284
Yulin,2.279284
Chenzhou,2.099239
Datong,2.099239
Foshan,2.099239
Fuzhou,2.099239
Guangyuan,2.099239
Guiyang,2.099239
Harbin,2.099239
Hebi,2.099239
Hefei,2.099239
Hengshui,2.099239
Hong Kong,2.099239
Jian,2.099239
Jiaxing,2.099239
Jilin,2.099239
Jinan,2.099239
Jinhua,2.099239
Kunming,2.099239
Linyi,2.099239
Miaoli,2.099239
Nanyang,2.099239
Ningbo,2.099239
Nyingchi,2.099239
Rizhao,2.099239
Sanya,2.099239
Shangluo,2.099239
Shenyang,2.099239
Ankang,2.099239
Bangbu,2.099239
Tianshui,2.099239
Baotou,2.099239
Xining,2.099239
Xinyang,2.099239
Xuzhou,2.099239
Yanbian,2.099239
Yancheng,2.099239
Yueyang,2.099239
Zhongshan,2.099239
Zhoushan,2.099239
Zhumadian,2.099239
Zibo,2.099239
Xianyang,1.966271
Wuxi,1.928141
Changzhou,1.862852
Langfang,1.778251
Nantong,1.751632
Qinhuangdao,1.728269
Huzhou,1.710215
Lanzhou,1.703162
Shaoxing,1.681717
Kaifeng,1.663267
Yangzhou,1.658392
Taipei,1.651199
Tangshan,1.649097
Hanzhong,1.648982
Zhangjiakou,1.620923
Hohhot,1.612260
Changsha,1.611370
Zhenjiang,1.608038
Chengde,1.605371
Changchun,1.597738
Huangshan,1.592671
Lhasa,1.587588
Wenzhou,1.585442
Xinxiang,1.569422
Shuozhou,1.562698
Taizhou,1.557818
Macau,1.553319
Leshan,1.541043
Guilin,1.540559
Ngawa,1.537808
Nanchang,1.532556
Yantai,1.531963
Taizhou,1.528813
Haikou,1.523359
Cangzhou,1.522895
Jiuquan,1.513912
Tongchuan,1.511241
Shiyan,1.504960
Lijiang,1.491303
Shangqiu,1.486793
Taoyuan,1.478951
Dongguan,1.476947
Nanning,1.476020
Zhuhai,1.475733
Anyang,1.469565
Shangrao,1.467894
Jiayuguan,1.465091
Huludao,1.464025
Lianyungang,1.455378
Pingdingshan,1.455273
Jining,1.451820
Zhangjiajie,1.451757
Taichung,1.451291
Xuchang,1.450157
Mudanjiang,1.449783
Hulunbuir,1.447290
Dezhou,1.442485
Wuhu,1.436457
Weihai,1.433756
Hsinchu,1.430991
Deyang,1.430248
Xuancheng,1.428393
Turpan,1.427223
Weifang,1.424918
Xingtai,1.424330
Zhongwei,1.422676
Mianyang,1.422138
Yingkou,1.419154
Chifeng,1.416525
Shizuishan,1.414396
Changji,1.414339
Baishan,1.412054
Quanzhou,1.411381
Luohe,1.408020
Handan,1.406085
Zhangzhou,1.398922
Jinzhou,1.398198
Garze,1.395048
Alty,1.394613
Haixi,1.392917
Huai'an,1.391174
Nanping,1.391059
Hengyang,1.390523
Chizhou,1.390483
Yichang,1.385259
Qingyang,1.384004
Jiujiang,1.383950
Qamdo,1.383608
Xianning,1.379861
Huizhou,1.379484
Anshun,1.375330
Dandong,1.374835
Ulanqab,1.374783
Alxa,1.374783
Heze,1.374783
Yangjiang,1.374783
Quzhou,1.371539
Dongying,1.369017
Xilingol,1.368219
Zaozhuang,1.367013
Shaoguan,1.366836
Dali,1.366752
Ili(Yili),1.366408
Dazhou,1.365694
Zhoukou,1.365694
Lishui,1.364739
Beihai,1.359483
Ya'an,1.358962
Qiqihar,1.358206
Kumul(Hami),1.356506
Suizhou,1.355076
Chuzhou,1.352405
Yingtan,1.351290
Kaohsiung,1.349839
Puyang,1.349603
Pingliang,1.346307
Fushun,1.345815
Wuzhong,1.345213
Jingzhou,1.342619
Daqing,1.342374
Qiandongnan,1.341806
Anshan,1.341371
Panjin,1.337791
Haibei,1.336689
Huanggang,1.336072
Jingdezhen,1.328905
Xiaogan,1.328734
Ma'anshan,1.327926
Diqing,1.327462
Huangshi,1.326971
New Taipei,1.325914
Nanchong,1.325879
Bayingolin,1.325077
Zunyi,1.325053
Dingxi,1.322589
Longyan,1.322359
Xiangxi,1.321587
Zhuzhou,1.318926
Meishan,1.318667
Anqing,1.318066
Guang'an,1.317587
Keramay,1.316523
Liuzhou,1.315238
Jiangmen,1.315152
Ganzhou,1.313043
Ningde,1.312924
Binzhou,1.308231
Kashgar,1.307245
Jingmen,1.301985
Liaocheng,1.301948
Nantou,1.301858
Neijiang,1.300949
Wanning,1.299702
Siping,1.298942
Enshi,1.298942
Nagqu,1.298942
Wuwei,1.298942
Xiuzhou,1.298942
Baiyin,1.298942
Weicu,1.297815
Liangshanzhou,1.294934
