city,distance
Guangzhou,5.655269
Foshan,4.207699
Zhaoqing,4.003630
Shenzhen,3.724483
Wuzhou,3.363609
Dongguan,3.300118
Yangjiang,3.076631
Zhuhai,2.985712
Tianjin,2.881494
Jiangmen,2.757407
Nanjing,2.757407
Qingdao,2.757407
Shanghai,2.757407
Beijing,2.599624
Haikou,2.599624
Heyuan,2.599624
Lanzhou,2.599624
Macau,2.599624
Shaoguan,2.599624
Wuhan,2.599624
Zhongshan,2.599624
Beihai,2.367986
Changsha,2.367986
Dali,2.367986
Fuzhou,2.367986
Hong Kong,2.367986
Jinan,2.367986
Loudi,2.367986
Maoming,2.367986
Shantou,2.367986
Shanwei,2.367986
Urumqi,2.367986
Xi'an,2.367986
Yulin,2.367986
Zhanjiang,2.367986
Hezhou,2.073026
Shamen,1.897402
Nanning,1.881608
Hangzhou,1.879467
Qingyuan,1.857213
Chengdou,1.842487
Huizhou,1.840009
Chongqing,1.720679
Sanya,1.714023
Suzhou,1.704914
Kunming,1.696725
Guilin,1.692567
Taipei,1.673104
Lijiang,1.643558
Nanchang,1.642204
Ningbo,1.629018
Zhengzhou,1.629018
Yangzhou,1.617959
Guiyang,1.616045
Wuxi,1.588980
Dalian,1.582059
Hefei,1.574833
Zhuzhou,1.574010
Jieyang,1.568981
Shenyang,1.567270
Xining,1.559634
Chenzhou,1.557515
Qionghai,1.554536
Hengyang,1.551931
Guigang,1.549268
Meizhou,1.545154
Jiaxing,1.539794
Liuzhou,1.538013
Changzhou,1.529595
Chaozhou,1.518187
Taiyuan,1.515807
Weifang,1.514819
Changchun,1.512165
Harbin,1.509686
Wenzhou,1.509686
Yantai,1.508979
Shijiazhuang,1.503301
Taoyuan,1.503301
Quanzhou,1.499333
Ganzhou,1.497985
Zhenjiang,1.493930
Jiuquan,1.486283
Weicu,1.469821
Jinhua,1.464601
Huaihua,1.462249
Turpan,1.461503
Weihai,1.460469
Xianyang,1.450084
Changji,1.447996
Shangrao,1.444337
Xiangxi,1.444337
Tai'an,1.439777
Wanning,1.433502
Langfang,1.429542
Tangshan,1.429085
Alty,1.427327
Tianshui,1.425716
Yingtan,1.425134
Hohhot,1.422816
Yichang,1.417530
Zhoushan,1.417385
Qinhuangdao,1.416276
Wenchang,1.415658
Weinan,1.413709
Ningde,1.413237
Yueyang,1.413108
Xianning,1.411878
Baoji,1.410953
