city,distance
Taichung,4.737920
Chiayi,4.245315
Shanghai,4.217673
Kaohsiung,3.989371
Taipei,3.783448
Changhua,3.733151
Tainan,3.720263
Nantou,3.553888
Taoyuan,3.321343
New Taipei,3.061868
Hsinchu,3.035984
Shamen,2.952363
Miaoli,2.857275
Pingdong,2.785107
Taidong,2.415638
Hualien,2.327819
Hong Kong,2.214359
Nanjing,2.214359
Nanning,2.214359
Yilan,2.214359
Suzhou,2.169301
Hangzhou,2.080495
Beijing,2.044042
Chongqing,2.044042
Hefei,2.044042
Keelung,2.044042
Ma'anshan,2.044042
Macau,2.044042
Zhongshan,2.044042
Jiaxing,1.908850
Wuxi,1.876026
Changzhou,1.814162
Ningbo,1.813121
Guangzhou,1.750105
Zhoushan,1.724249
Chengdou,1.710851
Nantong,1.708515
Shenzhen,1.679776
Huzhou,1.669089
Sanya,1.664804
Qingdao,1.655560
Shaoxing,1.641934
Wuhan,1.632583
Xi'an,1.629038
Yangzhou,1.619692
Fuzhou,1.596695
Jinhua,1.595986
Tianjin,1.593230
Zhenjiang,1.571627
Zhangzhou,1.570290
Quanzhou,1.569512
Kunming,1.564184
Dalian,1.564081
Huangshan,1.556945
Wenzhou,1.550036
Changsha,1.547253
Shenyang,1.526533
Taizhou,1.523621
Zhengzhou,1.515909
Jinan,1.514105
Harbin,1.510319
Guilin,1.507108
Taizhou,1.495865
Nanchang,1.493221
Yancheng,1.475644
Penghu,1.475530
Longyan,1.474463
Dongguan,1.463181
Changchun,1.461947
Lijiang,1.459935
Kinmen,1.449619
Zhuhai,1.445009
Xuzhou,1.442136
Guiyang,1.439563
Shangrao,1.437493
Yantai,1.437370
Urumqi,1.434263
Haikou,1.429851
Taiyuan,1.427556
Lanzhou,1.427158
Lianyungang,1.425488
Zhangjiajie,1.422014
Wuhu,1.407331
Shijiazhuang,1.406399
Xuancheng,1.399590
Beihai,1.368688
Hohhot,1.366133
Lhasa,1.365916
Huai'an,1.363838
Nanping,1.363727
Chizhou,1.363174
Liuzhou,1.359320
Ngawa,1.358071
Chongzuo,1.356200
Changde,1.354642
Yinchuan,1.345995
Quzhou,1.344962
Jiujiang,1.344442
Luoyang,1.343526
Weihai,1.340329
Tai'an,1.338559
Lishui,1.338422
Bangbu,1.336901
Xining,1.333510
Yichang,1.326710
Chuzhou,1.326558
Chaozhou,1.326380
Yingtan,1.325484
Jining,1.314647
Qinzhou,1.314376
Putian,1.310446
Jilin,1.307029
Jingdezhen,1.303939
Jian,1.301855
Baise,1.301005
Foshan,1.298553
Dali,1.297562
