city,distance
Xining,5.848052
Beijing,3.727643
Lanzhou,3.727643
Nagqu,3.727643
Chengdou,3.444980
Garze,3.444980
Haixi,3.444980
Shanghai,3.444980
Xi'an,3.444980
Golog,3.049653
Haibei,3.049653
Lhasa,3.049653
Urumqi,3.049653
Zhoushan,3.049653
Ya'an,1.982535
Tianjin,1.951616
Suzhou,1.944928
Jiuquan,1.898385
Haidong,1.895103
Huangnan,1.891776
Zhangye,1.874422
Hangzhou,1.873239
Yinchuan,1.870796
Ngawa,1.867718
Changsha,1.808295
Nyingchi,1.805803
Xianyang,1.793423
Chongqing,1.793354
Ningbo,1.791591
Leshan,1.785413
Wuhan,1.777423
Tianshui,1.771818
Nanjing,1.766059
Zhuzhou,1.766059
Baoji,1.754042
Weinan,1.738113
Gannan,1.734587
Zhengzhou,1.734587
Jiaxing,1.732936
Guangzhou,1.727664
Dalian,1.720491
Qamdo,1.713755
Jiayuguan,1.713048
Shannan,1.708641
Wuxi,1.705840
Hong Kong,1.702316
Turpan,1.695394
Shamen,1.683410
Changji,1.677244
Langfang,1.667426
Changzhou,1.654537
Shenzhen,1.650801
Alty,1.649576
Diqing,1.647050
Deyang,1.638369
Qingdao,1.629696
Baoding,1.629103
Jinan,1.628307
Wuwei,1.626349
Shijiazhuang,1.624896
Ngari,1.624603
Qinhuangdao,1.623402
Yan'an,1.622090
Ili(Yili),1.610261
Dingxi,1.609327
Mianyang,1.609075
Linxia,1.605448
Shenyang,1.603475
Kunming,1.602481
Nanning,1.582822
Baiyin,1.577008
Bangbu,1.571966
Zhongwei,1.571966
Taiyuan,1.569572
Nantong,1.566211
Luoyang,1.554255
Tangshan,1.553353
Bayingolin,1.553168
Harbin,1.548542
Keramay,1.541429
Hefei,1.534299
Xuzhou,1.534299
Huzhou,1.533016
Sanya,1.529400
Kashgar,1.528727
Zhangjiakou,1.528330
Hanzhong,1.525668
Chengde,1.514497
Shaoxing,1.510077
Changchun,1.507702
Nanchong,1.502856
Ankang,1.497743
Taipei,1.496466
Jinchang,1.495423
Meishan,1.493597
Yangzhou,1.491244
