city,distance
Shanghai,4.970530
Beijing,4.042189
Wuhan,3.588045
Zhuzhou,3.407589
Guangzhou,3.397655
Xiangtan,3.392264
Xiangxi,3.291416
Yueyang,3.187735
Hengyang,3.128684
Zhangjiajie,3.059300
Changde,3.032754
Shenzhen,2.982933
Hangzhou,2.865290
Loudi,2.804110
Chongqing,2.792463
Yiyang,2.773696
Chengdou,2.764968
Nanjing,2.739818
Shamen,2.669566
Kunming,2.610235
Nanchang,2.600845
Xi'an,2.576583
Chenzhou,2.563998
Huaihua,2.558873
Tianjin,2.535123
Hong Kong,2.462128
Shaoyang,2.455754
Zhengzhou,2.455754
Guiyang,2.432697
Suzhou,2.425880
Guilin,2.422431
Nanning,2.415450
Sanya,2.390074
Pingxiang,2.346782
Fuzhou,2.321053
Zhuhai,2.321053
Jinan,2.298239
Qingdao,2.298239
Yongzhou,2.298239
Ningbo,2.288720
Yichun,2.288720
Hefei,2.283869
Shaoguan,2.273976
Haikou,2.263813
Jinhua,2.258624
Shijiazhuang,2.202166
Taiyuan,2.170097
Lijiang,2.163300
Xining,2.163300
Taipei,2.156362
Dongguan,2.149274
Shenyang,2.134619
Urumqi,2.127034
Harbin,2.119265
Liuzhou,2.086109
Wuxi,2.086109
Quanzhou,2.077230
Wenzhou,2.077230
Jiaxing,2.068084
Lanzhou,2.068084
Zibo,2.068084
Huzhou,2.038823
Shangrao,2.028379
Changzhou,2.028379
Foshan,2.017540
Xinyu,2.017540
Hohhot,1.994524
Dalian,1.994524
Yichang,1.969408
Zhongshan,1.969408
Yingtan,1.955912
Shaoxing,1.941688
Beihai,1.941688
Handan,1.926638
Jingzhou,1.926638
Nantong,1.926638
Yangzhou,1.926638
Huangshi,1.910642
Yantai,1.910642
Huangshan,1.893553
Jiujiang,1.893553
Qiannan,1.893553
Qingyuan,1.893553
Huizhou,1.875181
Luoyang,1.875181
Taoyuan,1.875181
Yancheng,1.875181
Baoding,1.855282
Qiandongnan,1.855282
Quzhou,1.855282
Xinyang,1.855282
Zhoushan,1.838064
Jiangmen,1.833531
Luohe,1.833531
Macau,1.833531
Linyi,1.809481
Nanyang,1.809481
Changchun,1.809481
Xuchang,1.809481
Zhenjiang,1.809481
Jian,1.782490
Dezhou,1.782490
Anqing,1.782490
Nanping,1.782490
Qinhuangdao,1.782490
Xianyang,1.782490
Xiaogan,1.782490
Dali,1.782490
Yinchuan,1.782490
Datong,1.751588
Jieyang,1.751588
Jingdezhen,1.751588
Ganzhou,1.751588
Shiyan,1.751588
Wuhu,1.751588
Xingtai,1.751588
Yangjiang,1.751588
Xi'an,1.727987
Langfang,1.727559
Jingmen,1.715194
Mianyang,1.715194
Ngawa,1.715194
Sanmenxia,1.715194
Taizhou,1.715194
Deyang,1.715194
Anshun,1.715194
Xiangyang,1.715194
Xinxiang,1.715194
Enshi,1.715194
Xishuangbanna,1.715194
Yan'an,1.715194
Yibin,1.715194
Zhanjiang,1.715194
Jiuquan,1.670448
Kumul(Hami),1.670448
Lianyungang,1.670448
Baotou,1.670448
Ordos,1.670448
Shantou,1.670448
Tai'an,1.670448
Tangshan,1.670448
Tongliao,1.670448
Tongren,1.670448
Changzhi,1.670448
Jiaozuo,1.670448
Xuzhou,1.670448
Yanbian,1.670448
Chengde,1.670448
Anyang,1.670448
Zhaoqing,1.670448
Lhasa,1.611206
Lvliang,1.611206
Maoming,1.611206
Nanchong,1.611206
Diqing,1.611206
Ezhou,1.611206
Sansha,1.611206
Jining,1.611206
Shanwei,1.611206
Fuyang,1.611206
Baoji,1.611206
Suizhou,1.611206
Jinzhou,1.611206
Hezhou,1.611206
Ulanqab,1.611206
Weinan,1.611206
Anshan,1.611206
Bangbu,1.611206
Jiayuguan,1.611206
Kaifeng,1.611206
Jilin,1.611206
Zaozhuang,1.611206
Baise,1.611206
Zhangjiakou,1.611206
Jinchang,1.611206
Bozhou,1.611206
Ankang,1.611206
Zunyi,1.611206
Huanggang,1.597290
Leshan,1.583569
Taizhou,1.580783
New Taipei,1.547437
Ma'anshan,1.519106
Hechi,1.519106
Meizhou,1.519106
Miaoli,1.519106
Bayingolin,1.519106
Huainan,1.519106
Nantou,1.519106
Nyingchi,1.519106
Putian,1.519106
Puyang,1.519106
Qianxinan,1.519106
Qinzhou,1.519106
Dehong,1.519106
Qujing,1.519106
Fuzhou,1.519106
Ili(Yili),1.519106
Sanming,1.519106
Cangzhou,1.519106
Bayannur,1.519106
Aksu,1.519106
Shangluo,1.519106
Chiayi,1.519106
Hualien,1.519106
Liangshanzhou,1.519106
Jinzhong,1.519106
Fangchenggang,1.519106
Jiamusi,1.519106
Tongling,1.519106
Wanning,1.519106
Weihai,1.519106
Wenchang,1.519106
Heyuan,1.519106
Lu'an,1.519106
Dazhou,1.519106
Wuzhou,1.519106
Jixi,1.519106
Chuzhou,1.519106
Huai'an,1.519106
Jiyuan,1.519106
Honghe,1.519106
Xuancheng,1.519106
Hengshui,1.519106
Lingshui,1.519106
