city,distance
Shanghai,4.770796
Beijing,4.279512
Jinan,4.156592
Jining,4.156592
Xuzhou,4.000935
Nanjing,3.659217
Tai'an,3.230165
Tianjin,3.080539
Linyi,2.974794
Qingdao,2.880097
Bangbu,2.803012
Suzhou,2.714785
Chuzhou,2.586524
Cangzhou,2.535575
Hangzhou,2.478581
Wuxi,2.478581
Dezhou,2.447197
Zhenjiang,2.447197
Changzhou,2.413416
Xiuzhou,2.413416
Zibo,2.413416
Hefei,2.336484
Taizhou,2.336484
Dongying,2.291676
Langfang,2.291676
Weifang,2.291676
Rizhao,2.240849
Ulanqab,2.240849
Zhengzhou,2.240849
Fuyang,2.181628
Lianyungang,2.181628
Shangqiu,2.181628
Wuhan,2.181628
Yantai,2.181628
Chengdou,2.109747
Danzhou,2.109747
Jinhua,2.109747
Lijiang,2.109747
Qinhuangdao,2.109747
Shenzhen,2.109747
Xi'an,2.109747
Changchun,2.016121
Harbin,2.016121
Huai'an,2.016121
Huzhou,2.016121
Jiaxing,2.016121
Laiwu,2.016121
Ma'anshan,2.016121
Ningbo,2.016121
Sanya,2.016121
Shijiazhuang,2.016121
Taiyuan,2.016121
Changsha,2.016121
Xiuqian,2.016121
Yancheng,2.016121
Hong Kong,1.973296
Shamen,1.947937
Guangzhou,1.873955
Guiyang,1.873955
Hengshui,1.873955
Heze,1.873955
Huaibei,1.873955
Huainan,1.873955
Huanggang,1.873955
Jinzhong,1.873955
Liaocheng,1.873955
Macau,1.873955
Nantong,1.873955
Panjin,1.873955
Qionghai,1.873955
Dali,1.873955
Shaoxing,1.873955
Shenyang,1.873955
Dalian,1.873955
Bozhou,1.873955
Binzhou,1.873955
Weihai,1.873955
Wenzhou,1.873955
Wuhu,1.873955
Xining,1.873955
Xuancheng,1.873955
Yinchuan,1.873955
Baoding,1.873955
Zhoushan,1.873955
Zhuzhou,1.873955
Yangzhou,1.695167
Taipei,1.687652
Chongqing,1.681548
Tangshan,1.641566
Kunming,1.634462
Huangshan,1.626560
Zhangjiakou,1.613647
Chengde,1.598233
Haikou,1.598225
Fuzhou,1.575819
Guilin,1.572244
Hohhot,1.562504
Taizhou,1.560012
Nanchang,1.557137
Kaifeng,1.533296
Urumqi,1.520058
Datong,1.509790
Taoyuan,1.507524
Lanzhou,1.506099
Zhuhai,1.504782
Shangrao,1.496633
Nanning,1.482307
Zhangjiajie,1.479861
Huludao,1.458086
Diqing,1.457780
Baotou,1.450539
Lhasa,1.446499
Luoyang,1.444112
Hulunbuir,1.441486
Quanzhou,1.437930
Xinxiang,1.423834
Xinzhou,1.418280
Nanping,1.416841
Chizhou,1.416244
Ngawa,1.413889
Chifeng,1.410965
Dongguan,1.410361
Handan,1.407069
Quzhou,1.396596
Jiujiang,1.396035
Ordos,1.393709
Jinzhou,1.392781
Jilin,1.391845
Lishui,1.389546
Beihai,1.384097
Sanmenxia,1.379459
Baoji,1.379459
Yichang,1.376926
Yingtan,1.375606
Kaohsiung,1.374103
Dandong,1.369597
Xingtai,1.366166
Xilingol,1.363031
Haixi,1.359036
Qiqihar,1.353094
Jingdezhen,1.352415
Jiaozuo,1.351352
Leshan,1.350836
Jian,1.350173
Anyang,1.349584
Xianyang,1.348970
Foshan,1.346622
Anqing,1.343345
Fushun,1.340795
Liuzhou,1.338263
Xiangxi,1.337576
Daqing,1.337379
Anshan,1.336384
Ningde,1.336316
Lu'an,1.329672
Mianyang,1.328744
Yanbian,1.328627
Wanning,1.324418
Linfen,1.323429
Yingkou,1.320869
New Taipei,1.320768
Weinan,1.319562
Jieyang,1.314737
Yan'an,1.314366
Liangshanzhou,1.312642
Xiangyang,1.308743
Jiuquan,1.307153
Yangquan,1.300759
Huizhou,1.298132
Puyang,1.298132
Tieling,1.298132
Xinyu,1.298132
Taichung,1.295348
Mudanjiang,1.292878
Shantou,1.291570
Chengmai,1.288313
Zhongshan,1.288014
Tianshui,1.282317
Tongling,1.281677
Ganzhou,1.279345
Xianning,1.278807
Xinyang,1.278553
Meizhou,1.278372
Anshun,1.274916
Longyan,1.270738
Changzhi,1.270571
Garze,1.269879
Chaoyang,1.269644
Yuncheng,1.267765
Tongliao,1.265850
Xiangtan,1.264558
Weicu,1.263127
Shuozhou,1.262908
Yichun,1.262732
Benxi,1.260898
Nantou,1.260863
Pingdong,1.259438
Shaoguan,1.259438
Deyang,1.259325
Zhanjiang,1.258959
Jiamusi,1.256751
Zhangzhou,1.255037
Xishuangbanna,1.254347
Zhongwei,1.253451
Hezhou,1.252505
Changde,1.250187
Yueyang,1.249049
Suihua,1.248846
Baoshan,1.247775
Shizuishan,1.247020
Jingzhou,1.246758
Yulin,1.246733
Qiandongnan,1.246056
Siping,1.244360
Pingdingshan,1.243682
Bayannur,1.243152
Lvliang,1.241928
Haibei,1.241642
Maoming,1.241317
Ezhou,1.241317
Ili(Yili),1.240689
Xuchang,1.239944
Hinggan,1.239434
Baishan,1.238162
Pingliang,1.237676
Jingmen,1.237676
Zhoukou,1.237676
Qiannan,1.237676
Hualien,1.235756
Xiaogan,1.234776
Sanming,1.233909
Huangshi,1.233253
Zunyi,1.231596
Luohe,1.231536
Putian,1.231391
Changjiang,1.228746
