city,distance
Shanghai,5.558323
Xiangxi,5.219233
Changsha,4.021309
Beijing,3.569825
Changde,2.977921
Jinhua,2.780431
Guangzhou,2.623281
Wuhan,2.613613
Nanjing,2.593716
Xiangtan,2.593716
Yiyang,2.517083
Chongqing,2.505071
Suzhou,2.492743
Huaihua,2.480077
Zhuzhou,2.425523
Tianjin,2.395460
Xi'an,2.379588
Hangzhou,2.361455
Zhengzhou,2.345882
Chengdou,2.268386
Hong Kong,2.246245
Changzhou,2.222662
Shenzhen,2.170117
Jiaxing,2.142758
Shamen,2.140417
Yichang,2.140417
Zhongshan,2.140417
Anyang,2.107714
Yueyang,2.107714
Wuxi,2.101483
Xiangyang,2.071182
Xinxiang,2.071182
Yingtan,2.071182
Zhuhai,2.071182
Dalian,2.029576
Hengyang,2.029576
Jingzhou,2.029576
Shangrao,2.029576
Shijiazhuang,2.029576
Tongren,2.029576
Ningbo,2.022867
Enshi,1.980875
Guilin,1.980875
Guiyang,1.980875
Hefei,1.980875
Jinan,1.980875
Liuzhou,1.980875
Luoyang,1.980875
Fuzhou,1.921433
Kaifeng,1.921433
Loudi,1.921433
Nanchang,1.921433
Sanya,1.921433
Shaoxing,1.921433
Shenyang,1.921433
Yan'an,1.921433
Yangzhou,1.921433
Binzhou,1.921433
Yichun,1.921433
Zhoushan,1.912867
Nantong,1.893522
Huzhou,1.845216
Anshun,1.843467
Baoding,1.843467
Kunming,1.843467
Mianyang,1.843467
Nanning,1.843467
Nanyang,1.843467
Pingdingshan,1.843467
Qiandongnan,1.843467
Shaoguan,1.843467
Shaoyang,1.843467
Ankang,1.843467
Tai'an,1.843467
Taiyuan,1.843467
Wuhu,1.843467
Xingtai,1.843467
Yinchuan,1.843467
Yulin,1.843467
Qingdao,1.828696
Taipei,1.776701
Zhenjiang,1.726829
Chenzhou,1.723885
Haikou,1.723885
Handan,1.723885
Hanzhong,1.723885
Hengshui,1.723885
Hohhot,1.723885
Huai'an,1.723885
Huangshan,1.723885
Huangshi,1.723885
Jian,1.723885
Jieyang,1.723885
Jingmen,1.723885
Jinzhong,1.723885
Jiujiang,1.723885
Lanzhou,1.723885
Lhasa,1.723885
Lijiang,1.723885
Liupanshui,1.723885
Luohe,1.723885
Macau,1.723885
Maoming,1.723885
Ezhou,1.723885
Nyingchi,1.723885
Ordos,1.723885
Pingxiang,1.723885
Puyang,1.723885
Guang'an,1.723885
Qinhuangdao,1.723885
Quzhou,1.723885
Fuyang,1.723885
Fuzhou,1.723885
Tangshan,1.723885
Taoyuan,1.723885
Tongchuan,1.723885
Urumqi,1.723885
Weifang,1.723885
Weihai,1.723885
Wenzhou,1.723885
Changchun,1.723885
Anqing,1.723885
Yancheng,1.723885
Dazhou,1.723885
Garze,1.723885
Zhangjiakou,1.723885
Zhanjiang,1.723885
Zhaoqing,1.723885
Dezhou,1.723885
Zibo,1.723885
Taizhou,1.669048
Harbin,1.653099
Taizhou,1.635798
Langfang,1.635091
Foshan,1.596824
Xuzhou,1.571762
Yantai,1.566102
Lianyungang,1.552007
Xuancheng,1.521358
Quanzhou,1.502074
Chengde,1.487774
Nanping,1.479077
Chizhou,1.478426
Xianning,1.476884
Ngawa,1.472426
Dongguan,1.472017
Yongzhou,1.462435
Xianyang,1.454426
Lishui,1.449357
Bangbu,1.447573
Xining,1.443598
Beihai,1.443430
Chuzhou,1.435454
Kaohsiung,1.432564
Qingyuan,1.429624
Huanggang,1.429624
Jining,1.421519
Weinan,1.417836
Cangzhou,1.416670
Baoji,1.415064
Jingdezhen,1.409007
Ma'anshan,1.407907
Leshan,1.407144
Dali,1.401564
Diqing,1.392658
Linyi,1.392408
Datong,1.387289
Hebi,1.386009
Jiangmen,1.386009
Zhumadian,1.386009
Ningde,1.384671
Zaozhuang,1.384671
New Taipei,1.374690
Rizhao,1.372060
Baotou,1.369070
Shiyan,1.368808
Huludao,1.365589
Xiaogan,1.362208
Jiuquan,1.359946
Yanbian,1.356630
Jiaozuo,1.355165
Hulunbuir,1.351017
Taichung,1.347173
Xinyu,1.343493
Shantou,1.343088
Lu'an,1.343088
Huizhou,1.337164
Tongling,1.332393
Xiuqian,1.331977
Xinzhou,1.330612
Ganzhou,1.329872
Jinzhou,1.325982
Chifeng,1.324172
Longyan,1.320574
Ulanqab,1.318922
Qiannan,1.317307
Qiqihar,1.317307
Qujing,1.317307
Sanmenxia,1.317307
Shangqiu,1.317307
Hechi,1.317307
Xuchang,1.317307
Yangjiang,1.317307
Haibei,1.317307
Zhoukou,1.317307
Ziyang,1.317307
Zunyi,1.317307
Jilin,1.317293
Deyang,1.314185
Dongying,1.312429
Nantou,1.309914
Pingdong,1.308376
Zhangzhou,1.306656
Hezhou,1.300894
Wanning,1.299782
Panjin,1.297521
Suihua,1.296948
Haixi,1.296372
Baoshan,1.295793
Xishuangbanna,1.294037
Huaibei,1.290435
Dandong,1.287670
Huainan,1.286704
Hualien,1.282836
Xiuzhou,1.282836
Xilingol,1.281865
Sanming,1.280846
Putian,1.278132
Qionghai,1.275345
Tainan,1.272479
Daqing,1.270276
Xinyang,1.269556
Anshan,1.268025
Liaocheng,1.268025
Fushun,1.262179
Mudanjiang,1.261762
Yuncheng,1.261762
Yunlin,1.259309
Ya'an,1.259109
Chiayi,1.247917
Suining,1.244988
Yingkou,1.244506
Suizhou,1.243689
Yibin,1.243158
Changzhi,1.243158
Laibin,1.242726
Linfen,1.240878
Zhongwei,1.239737
Baise,1.237719
Shizuishan,1.233445
Luzhou,1.232773
Dehong,1.232686
Nanchong,1.232046
Alty,1.231781
Bozhou,1.230676
Weicu,1.229558
Yangquan,1.226639
Jiayuguan,1.224951
Neijiang,1.223664
Shangluo,1.223421
Yilan,1.222559
Meishan,1.219379
Baishan,1.217585
Hsinchu,1.214994
Chongzuo,1.213671
Heyuan,1.212242
Qamdo,1.209965
Zigong,1.207135
Sansha,1.206753
Penghu,1.206753
Tianshui,1.203832
Kashgar,1.203832
Nagqu,1.202772
Keelung,1.202335
Ili(Yili),1.202335
Shuozhou,1.200813
Chaozhou,1.199265
Liangshanzhou,1.199058
Chaoyang,1.198931
Tongliao,1.195547
Shannan,1.194117
Shanwei,1.192313
Benxi,1.191128
Turpan,1.189366
Taidong,1.189366
Heze,1.189297
Jincheng,1.188396
Jiamusi,1.187427
Kinmen,1.183968
Meizhou,1.181566
Wuzhong,1.180500
Kumul(Hami),1.180196
Yichun,1.180174
Changji,1.178696
Guangyuan,1.177634
Siping,1.176360
Keramay,1.176207
Bayingolin,1.176207
Bayannur,1.175280
Liaoyang,1.175028
Lvliang,1.174186
Qinzhou,1.174156
Tieling,1.171956
Hinggan,1.171956
Laiwu,1.169891
Qianxinan,1.168309
Zhangye,1.165404
Wuzhou,1.164643
Fangchenggang,1.157764
Fuxin,1.154445
Gannan,1.153010
Alxa,1.151700
Jiyuan,1.150870
Jinchang,1.150313
Honghe,1.150293
Daxinganling,1.150293
Yunfu,1.148441
Yuxi,1.147438
Wuhai,1.137502
Tonghua,1.135770
Pu'er,1.131751
Miaoli,1.128195
Lingshui,1.128195
Guigang,1.125583
Bijie,1.122384
Yulin,1.119283
Baoting,1.112095
Heihe,1.112095
Qingyang,1.109237
Wenchang,1.108894
Panzhihua,1.107413
Jixi,1.102588
Aksu,1.102588
Songyuan,1.097312
Lincang,1.097312
Hotan,1.097312
Liaoyuan,1.097312
Haidong,1.091654
Changhua,1.091654
Wuwei,1.091654
Bortala,1.091654
Baicheng,1.089219
Baiyin,1.085522
Guyuan,1.085155
Pingliang,1.084891
Zhaotong,1.081030
Danzhou,1.078824
Dingxi,1.078824
Qitaihe,1.075464
Bazhong,1.073994
Linxia,1.069864
Hegang,1.063176
Ngari,1.059328
Golog,1.053800
Wenshan,1.053800
Chengmai,1.043258
Dingan,1.033315
Huangnan,1.033238
Tacheng,1.030605
Wuzhishan,1.030505
