city,distance
Beijing,7.013023
Datong,3.208552
Shanghai,3.177623
Tianjin,3.105215
Shijiazhuang,3.098297
Hohhot,2.969896
Chengde,2.891293
Xilingol,2.853156
Ulanqab,2.769198
Baoding,2.629718
Guangzhou,2.551911
Tangshan,2.534778
Hefei,2.498554
Baotou,2.368305
Langfang,2.314062
Taiyuan,2.250963
Xi'an,2.250963
Fushun,2.214823
Ordos,2.214823
Qinhuangdao,2.214823
Cangzhou,2.174520
Nantong,2.174520
Wuhan,2.174520
Dalian,2.128704
Jinan,2.128704
Suzhou,2.128704
Hong Kong,2.126775
Hangzhou,2.125561
Chengdou,2.107459
Nanjing,2.093947
Chifeng,2.075192
Qingdao,2.075192
Shuozhou,2.075192
Xinzhou,2.075192
Shenzhen,2.023517
Hulunbuir,2.010049
Jinhua,2.010049
Shamen,2.010049
Shenyang,2.008148
Chongqing,1.924884
Fuzhou,1.924884
Ganzhou,1.924884
Handan,1.924884
Harbin,1.924884
Lanzhou,1.924884
Changchun,1.924884
Changsha,1.924884
Binzhou,1.924884
Tai'an,1.924884
Wenzhou,1.924884
Wuhai,1.924884
Xingtai,1.924884
Xining,1.924884
Zhengzhou,1.909038
Sanya,1.868359
Kunming,1.857476
Taipei,1.843091
Wuxi,1.799456
Dezhou,1.794879
Dongguan,1.794879
Huludao,1.794879
Jiaozuo,1.794879
Jiaxing,1.794879
Jingdezhen,1.794879
Changzhou,1.794879
Jinzhong,1.794879
Jinzhou,1.794879
Jiujiang,1.794879
Kaifeng,1.794879
Liaocheng,1.794879
Linyi,1.794879
Luoyang,1.794879
Lvliang,1.794879
Nanchang,1.794879
Nanning,1.794879
Beihai,1.794879
Bayannur,1.794879
Suizhou,1.794879
Taizhou,1.794879
Xinxiang,1.794879
Xuzhou,1.794879
Yancheng,1.794879
Yangzhou,1.794879
Yantai,1.794879
Yulin,1.794879
Zhangjiajie,1.794879
Zhangye,1.794879
Zibo,1.794879
Urumqi,1.764322
Guiyang,1.746264
Ningbo,1.744277
Guilin,1.729991
Lijiang,1.711207
Taoyuan,1.701093
Yinchuan,1.698594
Haikou,1.682375
Zhuhai,1.680120
Lhasa,1.665987
Weihai,1.641575
Jining,1.637481
Weifang,1.629999
Ngawa,1.622877
Macau,1.619026
Shaoxing,1.598500
Jilin,1.593902
Hengshui,1.582432
Zhenjiang,1.573852
Foshan,1.570095
Dandong,1.564793
Yichang,1.559304
Dongying,1.557260
Zaozhuang,1.554668
Qiqihar,1.543287
Huangshan,1.541592
Anyang,1.538723
Dali,1.531614
Quanzhou,1.523519
Daqing,1.522878
Baoji,1.522234
Anshan,1.521588
Zhoushan,1.520761
Panjin,1.516983
Bangbu,1.514286
Yanbian,1.511540
Huai'an,1.508742
Diqing,1.503715
Yingkou,1.501506
Lianyungang,1.496219
Yan'an,1.493109
Nanping,1.491529
Xiangyang,1.485857
Huzhou,1.477689
Kaohsiung,1.477341
Shangrao,1.475575
Yangquan,1.475575
Mudanjiang,1.465441
Mianyang,1.464482
Liuzhou,1.463516
Wuhu,1.462544
Jian,1.461565
Jiuquan,1.457576
Chaoyang,1.449675
Xiangxi,1.447064
Xinyang,1.447064
Rizhao,1.445967
New Taipei,1.444860
Zhongshan,1.443745
Changzhi,1.436848
Taizhou,1.436848
Chuzhou,1.433260
Yuncheng,1.433260
Tongliao,1.430813
Xianyang,1.430813
Benxi,1.424489
Leshan,1.423187
Heze,1.421871
Jiamusi,1.419199
Changde,1.410834
Meizhou,1.410834
Puyang,1.410834
Yueyang,1.409385
Anqing,1.403418
Siping,1.403418
Taichung,1.401881
Huizhou,1.398750
Ili(Yili),1.398750
Jingzhou,1.397154
Tieling,1.397154
Hinggan,1.397154
Baishan,1.395538
Zhongwei,1.395538
Jieyang,1.393901
Linfen,1.393901
Weinan,1.392242
Baoshan,1.390560
Shangqiu,1.388856
Zhangzhou,1.388856
Luohe,1.387127
Xuchang,1.387127
Xishuangbanna,1.383595
Zhuzhou,1.383595
Yibin,1.381790
Lu'an,1.380637
Fuyang,1.378097
Nanyang,1.378097
Qiandongnan,1.378097
Garze,1.378097
Zhanjiang,1.378097
Yichun,1.376208
Deyang,1.372339
Fuxin,1.372339
Chizhou,1.370204
Pingdong,1.368341
Zunyi,1.368341
Gannan,1.366290
Nanchong,1.364204
Huanggang,1.364204
Quzhou,1.362080
Pingdingshan,1.359917
Jiangmen,1.359604
Sanmenxia,1.357714
Xiangtan,1.357714
Ma'anshan,1.355469
Keramay,1.355469
Hezhou,1.353180
Dehong,1.353180
Ningde,1.350845
Xiuzhou,1.350845
Ya'an,1.350845
Liaoyang,1.350845
Bozhou,1.350845
Qionghai,1.348462
Shantou,1.348462
Shiyan,1.348462
Nantou,1.348462
Tonghua,1.346029
Hualien,1.346029
Hebi,1.346029
Huainan,1.345747
Anshun,1.343544
Pingxiang,1.343544
Xiaogan,1.341003
Loudi,1.341003
Daxinganling,1.341003
Xuancheng,1.338405
Alxa,1.334043
Wanning,1.330232
Nyingchi,1.330232
Yongzhou,1.330232
Zhaoqing,1.327370
Qingyuan,1.327179
Liangshanzhou,1.324434
Suihua,1.324434
Hanzhong,1.324434
Luzhou,1.324434
Guangyuan,1.324434
