city,distance
Jiayuguan,4.768102
Jiuquan,4.622267
Lanzhou,4.545830
Xining,3.921760
Haibei,3.623396
Shanghai,3.541349
Wuwei,3.329936
Jinchang,3.124931
Xi'an,3.124931
Beijing,3.018603
Tianshui,2.847042
Alxa,2.609939
Urumqi,2.609939
Yinchuan,2.609939
Baoji,2.433790
Guangzhou,2.433790
Hohhot,2.433790
Gannan,2.310038
Haixi,2.310038
Pingliang,2.310038
Tianjin,2.310038
Changzhou,2.125299
Chengdou,2.125299
Deyang,2.125299
Dingxi,2.125299
Bayannur,2.125299
Hong Kong,2.125299
Kumul(Hami),2.125299
Linxia,2.125299
Nanjing,2.125299
Ngawa,2.125299
Shenyang,2.125299
Shenzhen,2.125299
Wuxi,2.125299
Yangquan,2.125299
Yulin,2.125299
Zhangjiakou,2.125299
Zhangzhou,2.125299
Zhengzhou,2.125299
Zhongwei,2.125299
Zibo,2.125299
Suzhou,1.975275
Hangzhou,1.901373
Lhasa,1.857766
Jiaxing,1.756987
Turpan,1.733207
Baiyin,1.706986
Shamen,1.706097
Xianyang,1.702642
Ningbo,1.675559
Wuhan,1.673275
Hefei,1.655030
Nagqu,1.653539
Weinan,1.652712
Haidong,1.634878
Huangnan,1.632402
Zhoushan,1.599378
Nantong,1.585831
Taiyuan,1.570271
Changsha,1.569865
Chongqing,1.562197
Huzhou,1.551807
Sanya,1.548103
Yan'an,1.547465
Langfang,1.545525
Qingdao,1.540106
Zhongshan,1.539782
Zhuzhou,1.537934
Shizuishan,1.535080
Changji,1.535012
Shaoxing,1.528307
Foshan,1.524569
Kunming,1.519637
Alty,1.511805
Yangzhou,1.509019
Dalian,1.503262
Taipei,1.503061
Jinan,1.496057
Longnan,1.496057
Guyuan,1.495079
Baotou,1.494314
Jinhua,1.488422
Ordos,1.483815
Hanzhong,1.482151
Huangshan,1.482151
Changchun,1.482151
Sanmenxia,1.482151
Shijiazhuang,1.482151
Yushuzhou,1.479041
Ili(Yili),1.478717
Baoding,1.477437
Golog,1.476726
Qinhuangdao,1.472747
Xuzhou,1.467876
Zhenjiang,1.467213
Wuhai,1.464782
Qingyang,1.459850
Wuzhong,1.453925
Zigong,1.451326
Wenzhou,1.448379
Luoyang,1.444782
Bangbu,1.442231
Qiannan,1.435190
Shangqiu,1.435190
Ankang,1.433896
Bayingolin,1.430431
Beihai,1.430237
Taizhou,1.425289
Macau,1.421522
Keramay,1.420468
Ulanqab,1.415517
Tangshan,1.414864
Fuzhou,1.413707
Harbin,1.413643
Garze,1.412384
Guilin,1.410829
Guiyang,1.410462
Mianyang,1.410462
Kashgar,1.409674
Jingmen,1.403856
Dongguan,1.403856
Luzhou,1.403856
Hotan,1.403856
Quanzhou,1.403856
Datong,1.403856
Haikou,1.403856
Weifang,1.402584
Nyingchi,1.401066
Taizhou,1.400971
Nanchang,1.398652
Nanping,1.396242
Hezhou,1.396242
Zhuhai,1.396242
Shangluo,1.394416
Nanchong,1.384044
Xiangyang,1.383833
Yancheng,1.383220
Chengde,1.382555
Longyan,1.372803
Lijiang,1.369408
Guangyuan,1.367991
Lvliang,1.361655
Dazhou,1.361655
Nanning,1.359150
Taoyuan,1.358495
Xiangxi,1.357195
Xingtai,1.357195
Xishuangbanna,1.357195
Shiyan,1.355233
Jinzhong,1.351481
Leshan,1.350732
Tongchuan,1.350524
Xilingol,1.349716
Shangrao,1.349644
Yantai,1.349535
Kaifeng,1.346988
Lianyungang,1.339056
Hulunbuir,1.338852
Zhangjiajie,1.335990
Aksu,1.334307
Guang'an,1.326547
Pu'er,1.326547
Heze,1.326547
Diqing,1.326547
Tai'an,1.326547
Ganzhou,1.326547
Weihai,1.326547
Chuzhou,1.326547
Zhumadian,1.326547
Jiangmen,1.325333
Wuhu,1.323022
Cangzhou,1.320945
Ngari,1.319670
Xuancheng,1.316178
Xinyang,1.301020
Zunyi,1.301020
Fushun,1.300684
Qingyuan,1.294504
Yuncheng,1.293935
Tacheng,1.293043
Anshan,1.290887
Huizhou,1.286122
Xinxiang,1.284773
