city,distance
Shamen,6.707542
Longyan,3.877254
Shanghai,3.462714
Fuzhou,3.427874
Quanzhou,3.371173
Nanping,3.140102
Beijing,2.900660
Guangzhou,2.621265
Chaozhou,2.557259
Shantou,2.543411
Sanming,2.433053
Putian,2.414822
Hangzhou,2.375839
Shenzhen,2.309374
Wuhan,2.309374
Nanjing,2.257768
Chengdou,2.163200
Chongqing,2.163200
Hong Kong,2.080974
Nanchang,2.080974
Qingdao,2.080974
Zhengzhou,2.080974
Ganzhou,2.029806
Jiaxing,2.029806
Qingyuan,2.029806
Shanwei,2.029806
Tianjin,2.029806
Wenzhou,2.029806
Dongguan,1.967438
Haikou,1.967438
Jieyang,1.967438
Ningde,1.967438
Suzhou,1.967438
Taipei,1.967438
Taizhou,1.967438
Wuxi,1.967438
Zhuhai,1.967438
Foshan,1.885773
Hefei,1.885773
Huizhou,1.885773
Jinan,1.885773
Jiujiang,1.885773
Kinmen,1.885773
Meizhou,1.885773
Qinhuangdao,1.885773
Shenyang,1.885773
Shijiazhuang,1.885773
Yancheng,1.885773
Zhuzhou,1.885773
Ningbo,1.797305
Diqing,1.760826
Guilin,1.760826
Guiyang,1.760826
Changchun,1.760826
Heyuan,1.760826
Hezhou,1.760826
Huangshan,1.760826
Huangshi,1.760826
Chengde,1.760826
Jian,1.760826
Jincheng,1.760826
Liangshanzhou,1.760826
Lijiang,1.760826
Alty,1.760826
Macau,1.760826
Baoshan,1.760826
Nanning,1.760826
Nantou,1.760826
Changhua,1.760826
Ordos,1.760826
Sanmenxia,1.760826
Sanya,1.760826
Shangqiu,1.760826
Shaoguan,1.760826
Shaoxing,1.760826
Taichung,1.760826
Tainan,1.760826
Xi'an,1.760826
Yangzhou,1.760826
Yingtan,1.760826
Zhangye,1.760826
Zhenjiang,1.760826
Zhoushan,1.760826
Changzhou,1.760826
Changsha,1.717211
Kunming,1.623301
Jinhua,1.579496
Nantong,1.569866
Dalian,1.548946
Huzhou,1.536517
Quzhou,1.508272
Taoyuan,1.502017
Tangshan,1.495761
Langfang,1.478831
Shangrao,1.477090
Kaohsiung,1.451048
Baoding,1.448608
New Taipei,1.447679
Urumqi,1.446579
Harbin,1.441956
Xuzhou,1.437168
Fuzhou,1.433730
Wuhu,1.432201
Taiyuan,1.427040
Lanzhou,1.416060
Wuzhou,1.416060
Hualien,1.414785
Taizhou,1.412381
Zhongshan,1.402977
Yunlin,1.397597
Yantai,1.390787
Jiangmen,1.379043
Kaifeng,1.375921
Zhangjiakou,1.368378
Jingdezhen,1.367744
Luoyang,1.367744
Leshan,1.365943
Ngawa,1.363400
Chizhou,1.358964
Huai'an,1.358964
Liuzhou,1.349475
Hohhot,1.331424
Zhaoqing,1.331023
Hengshui,1.327770
Baotou,1.327770
Bangbu,1.327770
Xiangyang,1.327770
Zhangjiajie,1.327770
Lianyungang,1.327656
Yichang,1.326614
Taidong,1.323900
Xianning,1.321662
Lhasa,1.315112
Dali,1.315112
Changde,1.315112
Xining,1.315112
Zhanjiang,1.315112
Xuancheng,1.305163
Qionghai,1.303980
Fuyang,1.300796
Xiangxi,1.300796
Yinchuan,1.300796
Yiyang,1.300796
Cangzhou,1.297852
Jingzhou,1.287457
Dezhou,1.286828
Jiayuguan,1.285938
Weifang,1.285299
Lishui,1.284262
Jining,1.284262
Weihai,1.284262
Hengyang,1.284262
Yichun,1.284262
Beihai,1.284262
Zibo,1.284262
Huanggang,1.281435
