city,distance
Guangzhou,5.123104
Shanghai,4.458261
Haikou,3.813365
Maoming,3.525590
Beijing,3.467839
Shenzhen,3.406713
Yangjiang,3.286108
Beihai,3.163605
Zhuhai,3.129997
Jiangmen,3.039166
Sanya,2.957648
Zhongshan,2.935720
Foshan,2.865327
Nanning,2.813776
Dongguan,2.727274
Hong Kong,2.661448
Wuhan,2.625296
Yulin,2.586459
Qinzhou,2.498301
Shamen,2.498301
Chengdou,2.447139
Hangzhou,2.389269
Changsha,2.322061
Chongqing,2.322061
Huizhou,2.322061
Kunming,2.322061
Qingyuan,2.322061
Wenchang,2.322061
Zhaoqing,2.322061
Fangchenggang,2.240800
Guilin,2.240800
Guiyang,2.240800
Qionghai,2.240800
Suzhou,2.231231
Danzhou,2.135472
Guigang,2.135472
Hezhou,2.135472
Baise,2.135472
Lanzhou,2.135472
Lijiang,2.135472
Nanjing,2.135472
Ningbo,2.135472
Shaoguan,2.135472
Wanning,2.135472
Xi'an,2.135472
Zunyi,2.135472
Dali,1.976639
Dalian,1.976639
Fuzhou,1.976639
Heyuan,1.976639
Huaibei,1.976639
Huaihua,1.976639
Jiaxing,1.976639
Jingdezhen,1.976639
Lianyungang,1.976639
Macau,1.976639
Baoding,1.976639
Nantong,1.976639
Qingdao,1.976639
Qinhuangdao,1.976639
Quanzhou,1.976639
Sanming,1.976639
Shangrao,1.976639
Shantou,1.976639
Shenyang,1.976639
Taiyuan,1.976639
Tianjin,1.976639
Weihai,1.976639
Wenzhou,1.976639
Baoting,1.976639
Wuxi,1.976639
Wuzhishan,1.976639
Xianning,1.976639
Xingtai,1.976639
Xining,1.976639
Yangquan,1.976639
Baotou,1.976639
Yunfu,1.976639
Zhangjiajie,1.976639
Zhoushan,1.976639
Changzhou,1.857273
Huzhou,1.705511
Shaoxing,1.677168
Yangzhou,1.653968
Taipei,1.646813
Jinhua,1.629256
Langfang,1.613359
Zhenjiang,1.603879
Nanchang,1.594119
Huangshan,1.588591
Hefei,1.586588
Chongzuo,1.584645
Zhengzhou,1.581691
Jinan,1.576056
Shijiazhuang,1.573509
Wuzhou,1.570011
Liuzhou,1.563823
Chengmai,1.560827
Taizhou,1.553914
Lingshui,1.541038
Harbin,1.540080
Dingan,1.538676
Shanwei,1.532102
Zhuzhou,1.529782
Taizhou,1.525053
Jieyang,1.525032
Chenzhou,1.514197
Hengyang,1.508918
Tangshan,1.506326
Yancheng,1.504041
Meizhou,1.502511
Weinan,1.501048
Changchun,1.489815
Ledong,1.484891
Zhangjiakou,1.482784
Chaozhou,1.477000
Taoyuan,1.474854
Leshan,1.473932
Ngawa,1.470972
Diqing,1.470016
Chengde,1.469760
Xuzhou,1.469247
Yantai,1.464300
Urumqi,1.461075
Ganzhou,1.457872
Hohhot,1.439490
Anshun,1.434712
Xiangxi,1.433675
Wuhu,1.433137
