city,distance
Guangzhou,6.223700
Foshan,4.216151
Shenzhen,3.673581
Shanghai,3.283744
Dongguan,3.031573
Jiangmen,3.017965
Beijing,2.975547
Hong Kong,2.930431
Guilin,2.898616
Hezhou,2.847831
Yunfu,2.829971
Zhuhai,2.829971
Zhongshan,2.710190
Wuzhou,2.687588
Yangjiang,2.527085
Nanning,2.494469
Maoming,2.459379
Qingyuan,2.459379
Shaoguan,2.421303
Shamen,2.379538
Hangzhou,2.333080
Chengdou,2.280420
Haikou,2.280420
Yulin,2.280420
Wuhan,2.219118
Zhanjiang,2.219118
Changsha,2.144787
Huizhou,2.144787
Macau,2.144787
Nanchang,2.144787
Nanjing,2.144787
Jiaxing,2.048097
Liuzhou,2.048097
Changde,2.048097
Nantong,2.048097
Shijiazhuang,2.048097
Taoyuan,2.048097
Urumqi,2.048097
Chaozhou,1.901549
Chongqing,1.901549
Chongzuo,1.901549
Chuzhou,1.901549
Guigang,1.901549
Heyuan,1.901549
Baise,1.901549
Jinan,1.901549
Kunming,1.901549
Lishui,1.901549
New Taipei,1.901549
Sanya,1.901549
Shantou,1.901549
Tianjin,1.901549
Weifang,1.901549
Xi'an,1.901549
Xianyang,1.901549
Xining,1.901549
Yichun,1.901549
Zhangjiajie,1.901549
Zhengzhou,1.901549
Zigong,1.901549
Suzhou,1.892467
Taipei,1.719568
Fuzhou,1.712040
Qingdao,1.685187
Ningbo,1.673034
Wuxi,1.665349
Yangzhou,1.661371
Guiyang,1.659353
Dalian,1.623541
Shanwei,1.617652
Changzhou,1.616419
Hefei,1.615932
Zhuzhou,1.615065
Jieyang,1.609772
Shenyang,1.607970
Chenzhou,1.597704
Hengyang,1.591828
Meizhou,1.584699
Lijiang,1.560025
Taiyuan,1.553846
Changchun,1.550019
Harbin,1.547415
Wenzhou,1.547415
Zhoushan,1.544651
Quanzhou,1.536539
Ganzhou,1.535124
Huzhou,1.500235
Jinhua,1.500083
Langfang,1.498052
Lanzhou,1.496445
Shangrao,1.478832
Xiangxi,1.478832
Shaoxing,1.478260
Beihai,1.470770
Baoding,1.467047
Qinhuangdao,1.462422
Yingtan,1.458708
Hohhot,1.456280
Yueyang,1.446111
Jiujiang,1.440724
Huangshan,1.437947
Qionghai,1.434466
Dali,1.432212
Yichang,1.432212
Taizhou,1.423113
Zhenjiang,1.421027
Lhasa,1.419933
Longyan,1.419933
Yantai,1.419933
Xiangyang,1.413328
Yinchuan,1.413328
Leshan,1.411766
Zhangzhou,1.409894
Ngawa,1.409050
Qinzhou,1.408240
Tangshan,1.405332
Yongzhou,1.397975
Diqing,1.395142
Pingxiang,1.391165
Xiangtan,1.391165
Anqing,1.387057
Xianning,1.387057
Zhangjiakou,1.384820
Fangchenggang,1.384725
Taizhou,1.381666
Xuzhou,1.378403
Chengde,1.373453
Wanning,1.369083
Kaohsiung,1.364136
Huai'an,1.364136
Huaihua,1.358974
Jingdezhen,1.353575
Jian,1.353575
Chifeng,1.348296
Sansha,1.346665
Yancheng,1.342096
Tai'an,1.341960
Wuhu,1.341960
Yiyang,1.341960
Luoyang,1.335680
Weihai,1.335680
Turpan,1.333004
Baotou,1.329032
Huangshi,1.321963
Huanggang,1.321963
Zibo,1.321963
Changji,1.321758
Deyang,1.318216
Wenchang,1.315392
Jining,1.314413
Nyingchi,1.314413
Taichung,1.314413
Cangzhou,1.312633
Ulanqab,1.311972
Hechi,1.310766
Nanping,1.306303
Nanyang,1.306303
Quzhou,1.306303
Sanming,1.306303
Jinzhong,1.306303
Alty,1.304515
Lianyungang,1.300480
Mianyang,1.299185
Linyi,1.297533
Pingdong,1.297533
Putian,1.297533
Handan,1.297533
Xinyang,1.297533
Laibin,1.291005
Xiaogan,1.289242
Loudi,1.289224
Qiandongnan,1.287974
Datong,1.287974
Xinyu,1.287974
Xishuangbanna,1.287974
Haixi,1.284250
Ili(Yili),1.279804
Xuancheng,1.278891
Luzhou,1.277454
Kaifeng,1.277454
Jingzhou,1.277454
Hulunbuir,1.277454
Zhumadian,1.277454
Neijiang,1.272901
Huludao,1.268662
Liaocheng,1.265733
Tainan,1.265733
Anyang,1.265733
Linfen,1.265733
Honghe,1.265733
Yanbian,1.265733
Baoji,1.265733
Garze,1.265313
Ningde,1.259166
Anshan,1.259166
Danzhou,1.257933
Ya'an,1.257423
Hsinchu,1.256926
Haibei,1.253697
Nantou,1.252466
Panjin,1.252466
Nanchong,1.252466
Changzhi,1.252466
Luohe,1.252466
Xingtai,1.252466
Xinzhou,1.252466
Mudanjiang,1.252466
Benxi,1.252466
Fuyang,1.252466
Dezhou,1.252456
Chizhou,1.248416
Bayingolin,1.243476
Bangbu,1.243169
Liaoyang,1.237130
Qiqihar,1.237130
Anshun,1.237130
Fuzhou,1.237130
Shiyan,1.237130
Jingmen,1.237130
Ma'anshan,1.237130
Xuchang,1.237130
Yibin,1.237130
Zunyi,1.237130
Keramay,1.235940
Weinan,1.233127
Kashgar,1.227760
Jiuquan,1.224089
Chengmai,1.224041
Meishan,1.222848
Ordos,1.219645
Weicu,1.219438
Jinzhou,1.218933
Qujing,1.218864
Ankang,1.218864
Shaoyang,1.218864
Suizhou,1.218864
Dandong,1.218864
Dongying,1.218864
Hualien,1.218864
Xinxiang,1.218864
Yilan,1.218864
Jilin,1.218217
Lingshui,1.211837
Hengshui,1.211505
Dingan,1.210376
Liangshanzhou,1.202582
Shizuishan,1.196096
Guang'an,1.196096
Tieling,1.196096
Tongliao,1.196096
