city,distance
Kunming,5.759601
Yibin,4.327290
Chengdou,3.476704
Chongqing,3.361046
Shanghai,3.361046
Beijing,3.229555
Liupanshui,3.229555
Deyang,3.074487
Leshan,3.074487
Liangshanzhou,3.074487
Zigong,3.074487
Baoding,2.879613
Dehong,2.598093
Guiyang,2.598093
Lanzhou,2.598093
Luzhou,2.598093
Nanchong,2.598093
Nanjing,2.598093
Neijiang,2.598093
Ningbo,2.598093
Qinzhou,2.598093
Qujing,2.598093
Sanya,2.598093
Shenzhen,2.598093
Shijiazhuang,2.598093
Weicu,2.598093
Xiangyang,2.598093
Yuxi,2.598093
Lijiang,2.434196
Dali,2.331426
Xishuangbanna,2.006229
Baoshan,1.990300
Guangzhou,1.950494
Diqing,1.937113
Suzhou,1.917888
Honghe,1.913134
Hangzhou,1.852032
Nanning,1.846430
Wuhan,1.815232
Tianjin,1.805804
Ngawa,1.789514
Anshun,1.786862
Changsha,1.785750
Xi'an,1.772268
Mianyang,1.760155
Baoji,1.754349
Pu'er,1.729953
Jiaxing,1.711437
Shamen,1.708924
Wuxi,1.685004
Hong Kong,1.681565
Wenzhou,1.679885
Qingdao,1.676157
Panzhihua,1.675808
Ziyang,1.666474
Wenshan,1.662484
Changde,1.645493
Hefei,1.636355
Changzhou,1.634929
Zhengzhou,1.631602
Meishan,1.624203
Lhasa,1.602849
Meizhou,1.602849
Jinan,1.591060
Fangchenggang,1.583681
Haikou,1.581635
Shiyan,1.580667
Guilin,1.578369
Ya'an,1.568140
Lincang,1.564607
Garze,1.563889
Zhoushan,1.561545
Langfang,1.559817
Xining,1.559083
Fuzhou,1.557257
Qiandongnan,1.556457
Huaihua,1.549549
Nantong,1.548629
Jinhua,1.537330
Guigang,1.530654
Zunyi,1.530654
Beihai,1.528977
Taipei,1.523826
Qinhuangdao,1.521226
Harbin,1.519083
Huzhou,1.516167
Nanchang,1.509122
Qianxinan,1.503878
Taiyuan,1.503878
Shenyang,1.503715
Dalian,1.498440
Urumqi,1.498440
Shaoxing,1.493726
Baise,1.492791
Dazhou,1.492753
Bijie,1.492056
Dongguan,1.485932
Jiuquan,1.485783
Suining,1.483320
Nujiang,1.480781
Zhuhai,1.480781
Yantai,1.480764
Guang'an,1.476243
Yangzhou,1.475296
Wanning,1.475052
Yichang,1.474509
Qiannan,1.460861
Tangshan,1.459549
Guangyuan,1.454222
Nanyang,1.450577
Dongying,1.449948
Zhenjiang,1.445894
Zhangjiakou,1.437436
Qionghai,1.425485
Tianshui,1.425255
Chengde,1.425193
Huangshan,1.423057
Xingtai,1.420981
Changchun,1.419174
Liuzhou,1.418461
Macau,1.418461
Taizhou,1.417068
Suizhou,1.416148
Foshan,1.408127
Hohhot,1.408127
Chizhou,1.402612
Baotou,1.402612
Qiqihar,1.402612
Tongren,1.402612
Xianyang,1.402612
Quanzhou,1.396876
Taizhou,1.395167
Gannan,1.394711
Zhongshan,1.392044
Huizhou,1.387320
Weihai,1.385995
Xuzhou,1.384510
Jiayuguan,1.380934
Handan,1.379504
Xiangxi,1.378452
Loudi,1.370753
Luoyang,1.370753
Jining,1.370753
Yinchuan,1.370272
Pingxiang,1.370133
Xianning,1.370133
Yiyang,1.370133
Yulin,1.370133
Zhangjiajie,1.370133
Enshi,1.369644
Wuwei,1.367043
Xinzhou,1.361688
Zhanjiang,1.360886
Cangzhou,1.359814
Jingmen,1.358266
Ordos,1.355207
Anyang,1.355207
Dingxi,1.354996
Yancheng,1.354831
Linxia,1.352246
Zhangye,1.346541
Yulin,1.345563
Tai'an,1.340474
Bazhong,1.340132
Shantou,1.337270
Taoyuan,1.337270
Jingdezhen,1.337270
Hengyang,1.337270
Zhuzhou,1.337270
Datong,1.332721
Baiyin,1.332013
Shangrao,1.322604
Jingzhou,1.318836
Nyingchi,1.318023
Lingshui,1.316993
Haixi,1.316604
Hanzhong,1.315952
Linyi,1.315952
Yingtan,1.315952
Ankang,1.313461
Yangquan,1.313160
Huludao,1.312682
Lianyungang,1.312434
Huai'an,1.312038
Hengshui,1.311429
Wuhu,1.305242
Jinzhong,1.302783
Dezhou,1.302515
Hulunbuir,1.299212
Ma'anshan,1.297570
Pingdingshan,1.295526
Xuancheng,1.290450
Chifeng,1.289452
Taichung,1.289452
Chongzuo,1.289452
Weifang,1.289452
Longyan,1.289452
Yichun,1.289452
Kaohsiung,1.289452
Ganzhou,1.289452
Xiaogan,1.288809
Chuzhou,1.285145
Jinchang,1.273336
Xinyang,1.268764
Zibo,1.264470
Nanping,1.259901
Jinzhou,1.259514
Jilin,1.258749
Qingyuan,1.253864
Jiaozuo,1.253864
Jieyang,1.253864
Quzhou,1.253864
Liaocheng,1.253864
Liaoyang,1.253864
Jiangmen,1.253864
Wuzhou,1.253864
Xiangtan,1.253864
Jiujiang,1.253864
Xiuqian,1.253864
Mudanjiang,1.253864
Yan'an,1.253864
Jian,1.253864
Heyuan,1.253864
Yilan,1.253864
Maoming,1.253864
Yueyang,1.253864
Fuyang,1.253864
Alty,1.252468
Zhaoqing,1.252468
Bangbu,1.251192
Xinxiang,1.242365
Dandong,1.240525
Bayannur,1.239555
Lishui,1.238272
Nagqu,1.236792
Zhongwei,1.236792
Xilingol,1.235136
Zaozhuang,1.234153
Baoting,1.233125
Pingliang,1.225022
Lu'an,1.221835
Kaifeng,1.217244
Fushun,1.216849
Daqing,1.214035
Anshan,1.213215
Panjin,1.210285
Huangshi,1.208048
Yanbian,1.206818
Haibei,1.204014
Yingkou,1.200414
Longnan,1.199991
Anqing,1.199726
Ulanqab,1.199460
Wuzhishan,1.197818
Tainan,1.197370
Huanggang,1.197370
Tonghua,1.197370
Tongling,1.197370
Turpan,1.197370
Laiwu,1.197370
Wenchang,1.197370
Laibin,1.197370
Wuhai,1.197370
Ningde,1.197370
Benxi,1.197370
Xinyu,1.197370
Putian,1.197370
Xuchang,1.197370
Qamdo,1.197370
Hezhou,1.197370
Bayingolin,1.197370
Hegang,1.197370
Yuncheng,1.197370
Bozhou,1.197370
Shangluo,1.197370
Zhumadian,1.197370
New Taipei,1.192281
Danzhou,1.189835
Shanwei,1.188855
Shizuishan,1.186706
Binzhou,1.186040
Tacheng,1.185722
Nantou,1.185722
Zhangzhou,1.185722
Rizhao,1.181409
Shaoguan,1.180669
Weinan,1.177429
Ledong,1.177405
Qingyang,1.176585
Haidong,1.171042
Changzhi,1.158727
Chaoyang,1.157956
Hebi,1.156662
Tongliao,1.154799
Shuozhou,1.152350
Sanmenxia,1.151830
Heze,1.148967
Jiamusi,1.147222
Puyang,1.141749
Dongfang,1.141474
Dingan,1.141474
Xiuzhou,1.139954
Yangjiang,1.137949
Siping,1.136888
Alxa,1.135980
