city,distance
Shanghai,4.783508
Beijing,4.284036
Luoyang,3.911378
Kaifeng,3.678162
Xinxiang,3.248591
Jiaozuo,3.208844
Xi'an,3.198352
Wuhan,2.981517
Anyang,2.848015
Guangzhou,2.818431
Pingdingshan,2.794820
Tianjin,2.791105
Xuchang,2.776014
Shangqiu,2.738559
Hangzhou,2.736520
Nanjing,2.736520
Chengdou,2.711467
Shijiazhuang,2.664743
Shenzhen,2.618695
Xuzhou,2.608465
Sanmenxia,2.592728
Xinyang,2.590057
Shamen,2.576487
Luohe,2.570955
Nanyang,2.559702
Jinan,2.515026
Chongqing,2.511894
Changsha,2.489363
Qingdao,2.482719
Suzhou,2.472568
Dalian,2.465673
Zhumadian,2.458670
Zhoukou,2.444327
Yinchuan,2.440668
Puyang,2.429503
Hong Kong,2.421897
Taiyuan,2.381696
Shenyang,2.377456
Wuxi,2.341856
Handan,2.332441
Hefei,2.327649
Kunming,2.322797
Changchun,2.307870
Lanzhou,2.292342
Urumqi,2.276152
Jiyuan,2.259228
Baoding,2.253409
Fuzhou,2.247496
Guiyang,2.216379
Hebi,2.209814
Sanya,2.209814
Harbin,2.196299
Xingtai,2.159967
Weinan,2.152201
Haikou,2.136094
Baoji,2.136094
Nanchang,2.136094
Changzhou,2.136094
Hohhot,2.127730
Xiangyang,2.127730
Jincheng,2.119140
Yangzhou,2.119140
Chuzhou,2.091867
Ordos,2.091867
Bangbu,2.091867
Xining,2.082215
Zhenjiang,2.082215
Guilin,2.051253
Changzhi,2.051253
Jiaxing,2.051253
Ningbo,2.040169
Heze,2.016636
Jining,2.016636
Lhasa,2.004096
Zhangjiajie,2.004096
Lianyungang,1.990964
Xiuzhou,1.990964
Nanning,1.977172
Taipei,1.977172
Taoyuan,1.977172
Yuncheng,1.977172
Fuyang,1.962638
Baotou,1.962638
Yueyang,1.962638
Zhuhai,1.962638
Linyi,1.947263
Rizhao,1.930925
Jinzhong,1.913472
Shaoxing,1.913472
Shiyan,1.913472
Tai'an,1.913472
Wenzhou,1.913472
Lijiang,1.894714
Yichang,1.894714
Huanggang,1.874400
Huangshan,1.874400
Quanzhou,1.874400
Tangshan,1.874400
Xianyang,1.874400
Dongguan,1.874400
Zhoushan,1.874400
Kaohsiung,1.852202
Langfang,1.852202
Bozhou,1.852202
Tianshui,1.852202
Wuhu,1.852202
Hengshui,1.852202
Hengyang,1.852202
Jinhua,1.827662
Liaocheng,1.827662
Cangzhou,1.827662
Xiaogan,1.827662
Yancheng,1.827662
Yantai,1.827662
Dandong,1.827662
Huizhou,1.800130
Foshan,1.800130
Jiuquan,1.800130
Liuzhou,1.800130
Loudi,1.800130
Huai'an,1.800130
Qinhuangdao,1.800130
Shangrao,1.800130
Haixi,1.800130
Xiangxi,1.800130
Yan'an,1.800130
Nantong,1.794502
Jiujiang,1.768619
Ankang,1.768619
Linfen,1.768619
Huzhou,1.768619
Dingxi,1.768619
Zaozhuang,1.768619
Zhangzhou,1.768619
Zhuzhou,1.768619
Jingzhou,1.731521
Longyan,1.731521
Dali,1.731521
Benxi,1.731521
Macau,1.731521
Weihai,1.731521
Zibo,1.731521
Kumul(Hami),1.685931
Leshan,1.685931
Hanzhong,1.685931
Dazhou,1.685931
Baoshan,1.685931
Hulunbuir,1.685931
Shaoguan,1.685931
Taizhou,1.685931
Guang'an,1.685931
Weifang,1.685931
Xuancheng,1.685931
Jilin,1.685931
Guangyuan,1.685931
Jinzhou,1.653498
Mianyang,1.625605
Nanchong,1.625605
Nantou,1.625605
New Taipei,1.625605
Fushun,1.625605
Qionghai,1.625605
Shantou,1.625605
Kashgar,1.625605
Datong,1.625605
Ili(Yili),1.625605
Tainan,1.625605
Keramay,1.625605
Hinggan,1.625605
Tieling,1.625605
Tongling,1.625605
Chifeng,1.625605
Wanning,1.625605
Wuhai,1.625605
Deyang,1.625605
Wuwei,1.625605
Xiangtan,1.625605
Jiamusi,1.625605
Dezhou,1.625605
Xianning,1.625605
Huaibei,1.625605
Dongying,1.625605
Beihai,1.625605
Xinzhou,1.625605
Xishuangbanna,1.625605
Ganzhou,1.625605
Yiyang,1.625605
Zhongshan,1.625605
Zhongwei,1.625605
Diqing,1.625605
Zhangjiakou,1.614289
Chengde,1.598864
Ngawa,1.562534
Taizhou,1.561369
Garze,1.531900
Nagqu,1.531900
Hechi,1.531900
Ningde,1.531900
Nyingchi,1.531900
Panjin,1.531900
Panzhihua,1.531900
Putian,1.531900
Huludao,1.531900
Qingyuan,1.531900
Quzhou,1.531900
Sansha,1.531900
Changde,1.531900
Alty,1.531900
Aksu,1.531900
Jieyang,1.531900
Gannan,1.531900
Chaoyang,1.531900
Suizhou,1.531900
Chenzhou,1.531900
Mudanjiang,1.531900
Chizhou,1.531900
Turpan,1.531900
Ulanqab,1.531900
Haidong,1.531900
Lishui,1.531900
Liupanshui,1.531900
Huangshi,1.531900
Chaozhou,1.531900
Wuzhong,1.531900
Jingmen,1.531900
Jingdezhen,1.531900
Lu'an,1.531900
Xilingol,1.531900
Lvliang,1.531900
Xiuqian,1.531900
Ya'an,1.531900
Jian,1.531900
Yanbian,1.531900
Yangjiang,1.531900
Yangquan,1.531900
Huainan,1.531900
Yibin,1.531900
Hualien,1.531900
Yichun,1.531900
Yingkou,1.531900
Yongzhou,1.531900
Binzhou,1.531900
Zhangye,1.531900
Zhaoqing,1.531900
Enshi,1.531900
Changji,1.531900
Honghe,1.531900
Laibin,1.531900
Shizuishan,1.474915
Jiangmen,1.431736
Anshun,1.424661
Nanping,1.417960
Yulin,1.416731
Shangluo,1.408847
Qiandongnan,1.388720
Ezhou,1.385763
Weicu,1.379923
Anshan,1.379773
Yingtan,1.376661
Zunyi,1.376615
Tongchuan,1.364057
Alxa,1.359529
Qiqihar,1.353546
Ma'anshan,1.352419
Daqing,1.349430
Tongliao,1.344346
Anqing,1.342194
Meishan,1.336806
Qiannan,1.331883
Liaoyang,1.331175
Haibei,1.329766
Jiayuguan,1.326346
Bayingolin,1.324017
Pingdong,1.322930
Shannan,1.322170
Neijiang,1.318601
Yuxi,1.316541
Siping,1.314526
Liangshanzhou,1.312422
Suining,1.302149
Taichung,1.296283
Ziyang,1.293032
