city,distance
Shanghai,5.621910
Nanjing,4.674941
Yangzhou,4.191635
Changzhou,3.794311
Suzhou,3.543882
Wuxi,3.468820
Beijing,2.965643
Hangzhou,2.675857
Taizhou,2.673224
Hefei,2.587513
Xuzhou,2.360505
Nantong,2.355345
Wuhan,2.311479
Huai'an,2.255316
Jiaxing,2.241591
Chuzhou,2.227323
Jinan,2.196931
Guangzhou,2.180671
Bangbu,2.154708
Yancheng,2.154708
Ma'anshan,2.136190
Tianjin,2.136190
Zhengzhou,2.116544
Ningbo,2.106244
Hong Kong,2.105116
Huzhou,2.095593
Qingdao,2.095593
Lianyungang,2.084561
Shamen,2.076281
Kaifeng,2.008099
Chongqing,1.993109
Jining,1.993109
Wuhu,1.993109
Xiuqian,1.993109
Shaoxing,1.977254
Xi'an,1.977254
Shenzhen,1.960411
Chengdou,1.923096
Guang'an,1.923096
Jinhua,1.923096
Tai'an,1.923096
Zaozhuang,1.923096
Zhoushan,1.923096
Taipei,1.902173
Changchun,1.879316
Linyi,1.879316
Puyang,1.879316
Huangshan,1.854058
Jiujiang,1.854058
Lu'an,1.854058
Luoyang,1.854058
Sanya,1.854058
Cangzhou,1.854058
Changsha,1.854058
Xiuzhou,1.854058
Xuancheng,1.854058
Nanchang,1.825731
Shangqiu,1.825731
Anqing,1.825731
Wenzhou,1.825731
Fuzhou,1.793325
Jingdezhen,1.793325
Chizhou,1.793325
Taiyuan,1.793325
Taizhou,1.793325
Dezhou,1.793325
Harbin,1.755195
Kunming,1.755195
Dalian,1.755195
Nanning,1.755195
Shangrao,1.755195
Shijiazhuang,1.755195
Anshan,1.755195
Guilin,1.708366
Huaibei,1.708366
Huangshi,1.708366
Jinzhong,1.708366
Lanzhou,1.708366
Diqing,1.708366
Rizhao,1.708366
Weihai,1.708366
Xinyang,1.708366
Yantai,1.708366
Shenyang,1.678255
Macau,1.669537
Handan,1.646454
Hinggan,1.646454
Baoding,1.646454
Huainan,1.646454
Huanggang,1.646454
Jieyang,1.646454
Jingzhou,1.646454
Leshan,1.646454
Nanping,1.646454
Quzhou,1.646454
Sanmenxia,1.646454
Taichung,1.646454
Fuyang,1.646454
Xingtai,1.646454
Xinxiang,1.646454
Baotou,1.646454
Datong,1.646454
Zhuzhou,1.646454
Zibo,1.646454
Lijiang,1.598108
Taoyuan,1.583265
Zhuhai,1.580241
Guiyang,1.573730
Urumqi,1.567398
Haikou,1.562130
Zhangjiajie,1.552781
Hulunbuir,1.550400
Baoji,1.550400
Anyang,1.550400
Jinzhou,1.550400
Laiwu,1.550400
Langfang,1.550400
Bozhou,1.550400
Linfen,1.550400
Luohe,1.550400
Mudanjiang,1.550400
Nanyang,1.550400
Ngawa,1.550400
Ningde,1.550400
Nyingchi,1.550400
Pingliang,1.550400
Qinhuangdao,1.550400
Qitaihe,1.550400
Quanzhou,1.550400
Sanming,1.550400
Dehong,1.550400
Daqing,1.550400
Shiyan,1.550400
Shizuishan,1.550400
Baicheng,1.550400
Dongguan,1.550400
Tangshan,1.550400
Hohhot,1.550400
Dongying,1.550400
Xiangxi,1.550400
Xiangyang,1.550400
Xiaogan,1.550400
Yanbian,1.550400
Yangjiang,1.550400
Yinchuan,1.550400
Yingkou,1.550400
Yingtan,1.550400
Zhangzhou,1.550400
Zhongshan,1.550400
Zhoukou,1.550400
Chenzhou,1.550400
Lhasa,1.486133
Lishui,1.453644
Xining,1.447851
Beihai,1.447682
Yichang,1.439839
Kaohsiung,1.436752
Foshan,1.421231
New Taipei,1.412030
Jian,1.410611
Dali,1.405572
Liuzhou,1.397615
Mianyang,1.387237
Zhangjiakou,1.382671
Weifang,1.376494
Chengde,1.371339
Tongling,1.370912
Jiuquan,1.363720
Shantou,1.346768
Ganzhou,1.333481
Ordos,1.330888
Longyan,1.324133
Garze,1.323200
Xianning,1.322351
Jilin,1.320834
Yichun,1.315443
Nantou,1.313415
Pingdong,1.311869
Shaoguan,1.311869
Zhanjiang,1.311348
Hezhou,1.304347
Wanning,1.303229
Panjin,1.300956
Suihua,1.300380
Haixi,1.299801
Baoshan,1.299219
Xishuangbanna,1.297454
Huizhou,1.295658
Xianyang,1.293548
Xinzhou,1.293216
Dazhou,1.291224
Changde,1.290082
Hualien,1.286193
Xinyu,1.284864
Putian,1.281465
Weinan,1.279599
Qionghai,1.278663
Jiangmen,1.275783
Tainan,1.275783
Jiaozuo,1.275336
Liaocheng,1.271305
Pingxiang,1.268990
Huludao,1.266859
Yuncheng,1.265010
Yunlin,1.262544
Dandong,1.261709
Nanchong,1.261471
Qiandongnan,1.257423
Qingyuan,1.254760
Chiayi,1.251094
Fuzhou,1.249209
Deyang,1.248252
Changzhi,1.246310
Yibin,1.246310
Xiangtan,1.245325
Hengyang,1.245325
Qiqihar,1.237058
Alty,1.234876
Weicu,1.232643
Chifeng,1.231135
Anshun,1.230355
Jiayuguan,1.228012
Yilan,1.225609
Yueyang,1.221884
Ezhou,1.221228
Baishan,1.220609
Hsinchu,1.218006
Chongzuo,1.216676
Zhaoqing,1.215327
Jingmen,1.214781
Luzhou,1.211157
Hengshui,1.209860
Sansha,1.209723
Penghu,1.209723
Ya'an,1.208267
Tianshui,1.206788
Kashgar,1.206788
Ili(Yili),1.205284
Keelung,1.205284
Pingdingshan,1.204423
Shuozhou,1.203754
Yan'an,1.203754
Zunyi,1.203754
Fushun,1.202199
Chaozhou,1.202199
Xuchang,1.200917
Huaihua,1.195692
Enshi,1.195529
Heze,1.195179
Xilingol,1.194483
Taidong,1.192252
Turpan,1.192252
Binzhou,1.190480
Jixi,1.188956
Nagqu,1.188673
Kinmen,1.186827
Benxi,1.184942
Liangshanzhou,1.183015
Yichun,1.183015
Tongliao,1.181931
Meizhou,1.181045
Bayingolin,1.179029
Keramay,1.179029
Qiannan,1.176965
Jiamusi,1.174851
Shaoyang,1.174851
Shannan,1.172683
Zhongwei,1.172683
Loudi,1.170458
Haibei,1.168174
Zhangye,1.168174
Siping,1.163414
Suizhou,1.162289
Changhua,1.161720
Ulanqab,1.161085
Hebi,1.160294
Fangchenggang,1.155722
Liaoyang,1.155722
Gannan,1.155722
Yulin,1.155722
Qinzhou,1.155722
Daxinganling,1.152992
Honghe,1.152992
Zhumadian,1.152209
Tieling,1.150168
Meishan,1.150168
Hanzhong,1.148204
Heyuan,1.147244
Yiyang,1.147244
Suining,1.147147
Yangquan,1.146388
Baise,1.144211
