city,distance
Beijing,4.650144
Shanghai,4.536171
Taiyuan,4.402167
Jincheng,3.796803
Zhengzhou,3.367172
Jinzhong,3.274893
Shijiazhuang,3.095787
Handan,3.011246
Linfen,2.915603
Tianjin,2.915603
Nanyang,2.862243
Jiaozuo,2.804063
Chongqing,2.739774
Guangzhou,2.739774
Datong,2.583945
Jinan,2.583945
Lvliang,2.583945
Xingtai,2.583945
Xinzhou,2.583945
Yangquan,2.583945
Yuncheng,2.583945
Changsha,2.483717
Anyang,2.483717
Sanya,2.483717
Xi'an,2.483717
Xinxiang,2.483717
Xuzhou,2.483717
Bangbu,2.354970
Guiyang,2.354970
Harbin,2.354970
Luoyang,2.354970
Nanjing,2.354970
Shaoxing,2.354970
Shenzhen,2.354970
Tangshan,2.354970
Baotou,2.354970
Fuzhou,2.321053
Suzhou,2.250576
Chuzhou,2.163273
Dalian,2.163273
Daqing,2.163273
Baoding,2.163273
Cangzhou,2.163273
Haikou,2.163273
Hangzhou,2.163273
Hebi,2.163273
Hohhot,2.163273
Hong Kong,2.163273
Hulunbuir,2.163273
Jiyuan,2.163273
Kaifeng,2.163273
Keramay,2.163273
Langfang,2.163273
Liaocheng,2.163273
Ma'anshan,2.163273
Macau,2.163273
Ningbo,2.163273
Pingdingshan,2.163273
Shenyang,2.163273
Shuozhou,2.163273
Tai'an,2.163273
Wuxi,2.163273
Xianning,2.163273
Xuchang,2.163273
Anqing,2.163273
Zibo,2.163273
Jiaxing,1.971499
Shamen,1.907650
Changzhou,1.870658
Chengdou,1.828286
Qingdao,1.784464
Qinhuangdao,1.776921
Zhoushan,1.775205
Nantong,1.758531
Huzhou,1.716791
Yan'an,1.704281
Yangzhou,1.664575
Zhangjiakou,1.663644
Taipei,1.657328
Xiangyang,1.647545
Chengde,1.647266
Jinhua,1.639547
Foshan,1.639251
Changchun,1.639231
Kunming,1.637143
Zhenjiang,1.613850
Huangshan,1.598373
Hefei,1.596346
Wenzhou,1.591092
Nanchang,1.570692
Yantai,1.570068
Urumqi,1.564345
Taizhou,1.563272
Lanzhou,1.549565
Fuzhou,1.549349
Guilin,1.545893
Taizhou,1.534066
Lijiang,1.522445
Ulanqab,1.518400
Taoyuan,1.514434
Yancheng,1.512807
Yinchuan,1.512453
Nanning,1.511362
Luohe,1.510986
Xianyang,1.510986
Shangqiu,1.510253
Sanmenxia,1.504925
Ordos,1.500329
Huludao,1.498787
Zhuhai,1.497789
Dongguan,1.497211
Lhasa,1.486547
Yulin,1.483141
Xining,1.481253
Anshun,1.480673
Dezhou,1.476220
Alty,1.474327
Shangrao,1.472736
Weihai,1.467079
Xinyang,1.465801
Jining,1.463809
Lianyungang,1.460138
Weifang,1.457827
Zhangjiajie,1.456493
Weinan,1.454161
Ngawa,1.452127
Baoji,1.451245
Chifeng,1.449043
Qiandongnan,1.441888
Wuhu,1.441093
Linyi,1.441080
Wanning,1.437470
Zhuzhou,1.436606
Zhongshan,1.436227
Xiangtan,1.433875
Xuancheng,1.432978
Jinzhou,1.429871
Nyingchi,1.429698
Shiyan,1.429698
Zhangzhou,1.429698
Ankang,1.429698
Jilin,1.428885
Hengshui,1.427248
Ili(Yili),1.423971
Tongliao,1.423362
Zunyi,1.422561
Zhumadian,1.421042
Zhoukou,1.416239
Quanzhou,1.415857
Xiangxi,1.415542
Jiujiang,1.414973
Puyang,1.411249
Jiangmen,1.411156
Dandong,1.405447
Yichang,1.401629
Dongying,1.399367
Xilingol,1.398534
Zaozhuang,1.397273
Yueyang,1.396015
Huai'an,1.395522
Nanping,1.395406
Chizhou,1.394827
Qionghai,1.390355
Qiqihar,1.388074
Kumul(Hami),1.387153
Hengyang,1.384571
Mudanjiang,1.380961
Qiannan,1.380712
Dali,1.378623
Qingyuan,1.376257
Quzhou,1.375765
Fushun,1.375134
Anshan,1.370495
Hinggan,1.369288
Lishui,1.368923
Huizhou,1.366787
Panjin,1.366758
Changde,1.365457
Beihai,1.363635
Yanbian,1.362338
Zhaoqing,1.360914
