city,distance
Guangzhou,5.439982
Zhuhai,4.719983
Shenzhen,3.808349
Shanghai,3.471723
Foshan,3.439703
Jiangmen,3.386854
Dongguan,3.300236
Hong Kong,3.281271
Beijing,2.967129
Macau,2.947941
Wuhan,2.657512
Chengdou,2.481844
Xiaogan,2.458987
Huizhou,2.422341
Zhanjiang,2.368047
Qingyuan,2.353287
Changzhou,2.337966
Hangzhou,2.322032
Huai'an,2.322032
Zhaoqing,2.322032
Changsha,2.288061
Dalian,2.288061
Yangjiang,2.288061
Shamen,2.269865
Suzhou,2.250730
Zhumadian,2.230533
Huzhou,2.209121
Liangshanzhou,2.161852
Weifang,2.161852
Chongqing,2.135447
Shaoguan,2.135447
Wuxi,2.135447
Wuzhou,2.135447
Deyang,2.106682
Zhangjiajie,2.106682
Guilin,2.074994
Kunming,2.074994
Taoyuan,2.074994
Heyuan,2.039578
Baoding,2.039578
Jieyang,2.039578
Liuzhou,2.039578
Maoming,2.039578
Shanwei,2.039578
Tianjin,2.039578
Guigang,1.999220
Haibei,1.999220
Lanzhou,1.999220
Lijiang,1.999220
Nanchang,1.999220
Nanning,1.999220
Sanya,1.999220
Shantou,1.999220
Zhuzhou,1.999220
Harbin,1.951948
Hefei,1.951948
Ngawa,1.951948
Taichung,1.951948
Taipei,1.951948
Wenzhou,1.951948
Yangzhou,1.951948
Guiyang,1.894204
Chaozhou,1.894204
Hezhou,1.894204
Keramay,1.894204
Nanjing,1.894204
Ningbo,1.894204
Urumqi,1.894204
Xi'an,1.894204
Ganzhou,1.818388
Hengyang,1.818388
Huanggang,1.818388
Jian,1.818388
Jinhua,1.818388
Liaoyang,1.818388
Chenzhou,1.818388
Ankang,1.818388
Xishuangbanna,1.818388
Yulin,1.818388
Yunfu,1.818388
Zhengzhou,1.818388
Jiaxing,1.739677
Changchun,1.701936
Haidong,1.701936
Haikou,1.701936
Datong,1.701936
Diqing,1.701936
Fuzhou,1.701936
Jiujiang,1.701936
Jiuquan,1.701936
Lhasa,1.701936
Luoyang,1.701936
Meizhou,1.701936
Nantong,1.701936
Qingdao,1.701936
Baoshan,1.701936
Qionghai,1.701936
Changde,1.701936
Shaoyang,1.701936
Shijiazhuang,1.701936
Tainan,1.701936
Taiyuan,1.701936
Cangzhou,1.701936
Xiangxi,1.701936
Xinyu,1.701936
Xiuqian,1.701936
Yichun,1.701936
Yiyang,1.701936
Yuncheng,1.701936
Yunlin,1.701936
Zhenjiang,1.701936
Zhongwei,1.701936
Sansha,1.663673
Zhoushan,1.585021
Jinan,1.572240
Shenyang,1.550267
Xining,1.527316
Shaoxing,1.515193
Langfang,1.495916
Leshan,1.486451
Quanzhou,1.483765
Qinhuangdao,1.460386
Xinyang,1.459806
Luohe,1.445759
Huangshan,1.442528
New Taipei,1.439274
Yichang,1.434570
Shangrao,1.429885
Xianning,1.428781
Beihai,1.417645
Taizhou,1.413877
Yingtan,1.411062
Hohhot,1.408790
Tangshan,1.403452
Yueyang,1.399271
Mianyang,1.393622
Meishan,1.390550
Taizhou,1.389944
Jingzhou,1.388891
Zibo,1.388879
Dali,1.386254
Zhangjiakou,1.382994
Xiangyang,1.379325
Longyan,1.374747
Yantai,1.374747
Yancheng,1.372468
Huangshi,1.372152
Chengde,1.371656
Yinchuan,1.368555
Jingmen,1.367712
Xiangtan,1.366420
Zhangzhou,1.365334
Panzhihua,1.362331
Pingxiang,1.347764
Alty,1.344196
Anqing,1.343907
Xuzhou,1.343437
Kaohsiung,1.341161
Suizhou,1.340644
Shiyan,1.339801
Lianyungang,1.328978
Ulanqab,1.328765
Yingkou,1.328543
Wanning,1.327027
Garze,1.324979
Nantou,1.323564
Xuchang,1.322302
Jingdezhen,1.321951
Suining,1.321408
Huaihua,1.317528
Chongzuo,1.317528
Ya'an,1.316330
Wuhu,1.313183
Ezhou,1.311447
Xuancheng,1.306440
Changhua,1.305934
Zhangye,1.304654
Ili(Yili),1.302210
Tai'an,1.301530
Yongzhou,1.301530
Haixi,1.296663
Weihai,1.295622
Baotou,1.289365
Weicu,1.288507
Nanchong,1.285267
Anshun,1.284256
Baise,1.282711
Enshi,1.281857
Nyingchi,1.275602
Jining,1.275602
Nanping,1.275139
Fangchenggang,1.274698
Jilin,1.274698
Chizhou,1.274655
Sanming,1.272338
Xinxiang,1.271235
Nanyang,1.267962
Quzhou,1.267962
Jinzhong,1.267962
Huludao,1.267130
Hsinchu,1.267005
Turpan,1.266058
Laibin,1.265578
Mudanjiang,1.263588
Jiayuguan,1.261908
Neijiang,1.261827
Loudi,1.259968
Pingdong,1.259697
Putian,1.259697
Qinzhou,1.259697
Handan,1.259697
Linyi,1.259697
Puyang,1.259628
Xianyang,1.257479
Changji,1.255909
Anshan,1.255582
Qiandongnan,1.254977
Hulunbuir,1.254574
Daqing,1.253052
Lishui,1.252988
Bangbu,1.251655
Dezhou,1.250962
Chuzhou,1.242584
Kaifeng,1.240764
Luzhou,1.240764
Zunyi,1.240310
Ma'anshan,1.239908
Yulin,1.239908
Huainan,1.239908
Dehong,1.239642
Ziyang,1.238393
Pu'er,1.237398
Xinzhou,1.236959
Keelung,1.236619
Hanzhong,1.236535
Gannan,1.236051
Dandong,1.235853
Ningde,1.233992
Yuxi,1.233076
Chiayi,1.231662
Chifeng,1.231391
Weinan,1.230034
Zigong,1.229874
Linfen,1.229703
Liaocheng,1.229703
Yanbian,1.229703
Anyang,1.229703
Honghe,1.229703
Baoji,1.229703
Suihua,1.226670
Dongying,1.226598
Tianshui,1.224101
Dazhou,1.223426
Lu'an,1.222004
Ordos,1.218228
Jinzhou,1.217518
Changzhi,1.217178
Panjin,1.217178
Benxi,1.217178
Xingtai,1.217178
Fuyang,1.217178
Hechi,1.216870
Miaoli,1.214654
Yibin,1.214334
Guangyuan,1.212818
Hengshui,1.210107
Qiannan,1.208377
Zaozhuang,1.204349
Qujing,1.203108
Fuzhou,1.202689
Qiqihar,1.202689
Rizhao,1.195384
Xilingol,1.194724
Nagqu,1.192045
Pingdingshan,1.190643
Bozhou,1.190643
Zhoukou,1.190643
Jiaozuo,1.185741
Wenchang,1.185418
Hualien,1.185418
Yilan,1.185418
Bayingolin,1.185023
Tongling,1.184638
Hinggan,1.184638
Liupanshui,1.184638
Binzhou,1.184638
Shannan,1.183543
Shuozhou,1.182105
Wuwei,1.180912
Guang'an,1.179030
Fushun,1.177606
Dingxi,1.171911
Yan'an,1.170772
Kashgar,1.170742
Linxia,1.169853
Tieling,1.163872
Chaoyang,1.163872
Shizuishan,1.163872
Danzhou,1.163872
Heze,1.163872
Tongliao,1.163872
Tacheng,1.159194
Sanmenxia,1.156007
Baiyin,1.154680
Yangquan,1.146610
Lingshui,1.143376
Jiamusi,1.139286
Qianxinan,1.134800
Tongren,1.134800
Heihe,1.134800
Dingan,1.134800
Dongfang,1.134800
Tonghua,1.134800
Kinmen,1.134800
Huaibei,1.132421
Yichun,1.127457
Daxinganling,1.127457
Xiuzhou,1.126565
Kumul(Hami),1.126424
Taidong,1.120792
Bazhong,1.119586
Aksu,1.118283
Shangluo,1.114852
Bijie,1.113897
Longnan,1.111701
Shangqiu,1.111701
Jinchang,1.110326
Golog,1.109405
Bortala,1.104397
Siping,1.102560
Bayannur,1.101611
Lvliang,1.100650
Wenshan,1.099124
Baishan,1.097691
Laiwu,1.094657
Qamdo,1.088735
Changjiang,1.088327
Hebi,1.088327
Baoting,1.088327
Huangnan,1.088327
Nujiang,1.088327
Songyuan,1.088327
Jixi,1.086221
Zhaotong,1.085733
Fuxin,1.083286
Hotan,1.083163
Wuzhishan,1.077356
Wuzhong,1.075556
Pingliang,1.073411
Alxa,1.069604
Wuhai,1.068353
Penghu,1.067462
Qingyang,1.063769
Guyuan,1.063100
Qitaihe,1.056929
Lincang,1.055471
Tongchuan,1.054438
Jincheng,1.053215
Ngari,1.050999
Yushuzhou,1.040556
Jiyuan,1.038030
Ledong,1.036674
Chengmai,1.035179
Ngari,1.032074
Shuangyashan,1.027742
Baicheng,1.025653
Liaoyuan,0.992611
Kezilsu,0.942142
Qiongzhong,0.905454
