city,distance
Yinchuan,5.965146
Beijing,4.069256
Xi'an,3.969344
Shanghai,3.559676
Lanzhou,3.475612
Shijiazhuang,3.038652
Wuzhong,2.922394
Alxa,2.878863
Guyuan,2.832227
Shizuishan,2.832227
Baiyin,2.781850
Xining,2.781850
Taiyuan,2.597483
Jiayuguan,2.518246
Jiuquan,2.518246
Urumqi,2.518246
Chengdou,2.422955
Pingliang,2.422955
Yulin,2.422955
Changchun,2.300275
Jinzhong,2.300275
Baoji,2.300275
Lhasa,2.300275
Nanjing,2.300275
Tianjin,2.300275
Wuhai,2.300275
Wuwei,2.300275
Zhengzhou,2.300275
Changsha,2.117032
Chongqing,2.117032
Datong,2.117032
Foshan,2.117032
Guiyang,2.117032
Hohhot,2.117032
Jiaozuo,2.117032
Jinchang,2.117032
Kumul(Hami),2.117032
Linxia,2.117032
Lvliang,2.117032
Ningbo,2.117032
Panzhihua,2.117032
Baotou,2.117032
Sanmenxia,2.117032
Shenyang,2.117032
Suzhou,2.117032
Tianshui,2.117032
Turpan,2.117032
Xianyang,2.117032
Yan'an,2.117032
Yangquan,2.117032
Yantai,2.117032
Yueyang,2.117032
Bayannur,2.117032
Zhangye,2.117032
Zhongshan,2.117032
Hangzhou,1.906644
Weinan,1.862232
Guangzhou,1.823546
Ordos,1.780045
Jiaxing,1.761486
Wuhan,1.758325
Hong Kong,1.744139
Wuxi,1.733497
Langfang,1.732484
Shamen,1.710339
Baoding,1.708563
Qingdao,1.691788
Jinan,1.689543
Qinhuangdao,1.685007
Changzhou,1.680544
Shenzhen,1.674082
Haixi,1.633318
Dalian,1.627742
Hanzhong,1.620472
Gannan,1.613383
Tangshan,1.609663
Harbin,1.604498
Zhoushan,1.603105
Luoyang,1.602385
Nantong,1.589495
Ankang,1.589005
Haibei,1.584216
Zhangjiakou,1.582809
Chengde,1.567977
Sanya,1.566460
Yichang,1.564316
Dingxi,1.560474
Kunming,1.558802
Huzhou,1.555316
Taipei,1.548659
Xingtai,1.543365
Shangluo,1.540666
Ngawa,1.540465
Shaoxing,1.531711
Hefei,1.516136
Nyingchi,1.513788
Jilin,1.512987
Yangzhou,1.512337
Liangshanzhou,1.504808
Changji,1.502829
Nanchang,1.498441
Handan,1.494559
Jinhua,1.491650
Xinzhou,1.491522
Cangzhou,1.489204
Tongchuan,1.487260
Alty,1.480577
Huangshan,1.477354
Guilin,1.477354
Tieling,1.477354
Bayingolin,1.477354
Wuhu,1.477354
Fuzhou,1.472707
Shiyan,1.470421
Zhenjiang,1.470350
Tai'an,1.466039
Leshan,1.465124
Zhuhai,1.461509
Nagqu,1.457601
Lijiang,1.454469
Wenzhou,1.451435
Ili(Yili),1.448828
Taoyuan,1.447156
Shannan,1.444910
Nanning,1.444350
Xuzhou,1.440116
Haikou,1.433587
Huludao,1.432861
Kaifeng,1.430826
Mianyang,1.430826
Nanyang,1.430826
Hotan,1.430826
Ulanqab,1.430826
Weifang,1.430826
Xiangyang,1.430826
Xinyang,1.430826
Yuncheng,1.430826
Zhangjiajie,1.430826
Taizhou,1.428249
Macau,1.424466
Hulunbuir,1.416827
Hengshui,1.414982
Dezhou,1.412222
Qingyang,1.411777
Weihai,1.405344
Taizhou,1.403831
Jining,1.400860
Haidong,1.396352
Huangnan,1.394545
Keramay,1.392866
Chifeng,1.387331
Yancheng,1.386007
Anshun,1.382946
Kashgar,1.382486
Zibo,1.375611
