city,distance
Shanghai,6.956048
Ningbo,4.342976
Hangzhou,3.349791
Jiaxing,3.331129
Suzhou,2.720051
Shaoxing,2.647579
Beijing,2.513934
Nanjing,2.275722
Wuxi,2.274258
Hong Kong,2.267998
Shamen,2.234563
Wuhu,2.203839
Changzhou,2.193341
Taizhou,2.122355
Jinhua,2.115676
Wenzhou,2.115676
Guangzhou,2.091804
Chengdou,2.035969
Nantong,2.032661
Huzhou,2.021536
Qingdao,2.012138
Sanya,2.012138
Shenzhen,1.992113
Wuhan,1.935416
Xi'an,1.935416
Macau,1.922380
Yangzhou,1.908166
Taipei,1.898649
Chongqing,1.890926
Harbin,1.878632
Huangshan,1.878632
Tianjin,1.871545
Hefei,1.844338
Zhenjiang,1.844338
Kunming,1.831592
Dalian,1.831451
Fuzhou,1.825085
Quanzhou,1.825085
Zhengzhou,1.825085
Changsha,1.808420
Guiyang,1.804033
Yantai,1.780745
Shenyang,1.780178
Taizhou,1.776220
Jinan,1.763300
Zhuhai,1.754598
Guilin,1.753817
Nanchang,1.735040
Haikou,1.724648
Lishui,1.724648
Quzhou,1.724648
Shangrao,1.724648
Xuancheng,1.724648
Yancheng,1.711354
Changchun,1.692960
Lijiang,1.690262
Hohhot,1.689354
Tai'an,1.689354
Taoyuan,1.673667
Xuzhou,1.666450
Urumqi,1.655946
Taiyuan,1.647011
Lanzhou,1.646482
Huanggang,1.645929
Jiujiang,1.645929
Linyi,1.645929
Nanning,1.645929
Nanping,1.645929
Ngawa,1.645929
Ningde,1.645929
Rizhao,1.645929
Shijiazhuang,1.645929
Anqing,1.645929
Weihai,1.645929
Xiangxi,1.645929
Lianyungang,1.644260
Zhangjiajie,1.639639
Chuzhou,1.588383
Hulunbuir,1.588383
Leshan,1.588383
Foshan,1.588383
Putian,1.588383
Qinhuangdao,1.588383
Beihai,1.588383
Bangbu,1.588383
Xinyang,1.588383
Chizhou,1.588383
Zunyi,1.588383
Lhasa,1.565505
Huai'an,1.562775
Dongguan,1.554752
Yinchuan,1.539392
Luoyang,1.536163
Xining,1.523083
Yichang,1.514219
Yingtan,1.512622
Kaohsiung,1.510805
Heze,1.498801
Jieyang,1.498801
Jilin,1.498801
Jingdezhen,1.498801
Baoji,1.498801
Jining,1.498801
Keramay,1.498801
Laiwu,1.498801
Dongying,1.498801
Ma'anshan,1.498801
Anyang,1.498801
Bayannur,1.498801
Panzhihua,1.498801
Qiandongnan,1.498801
Cangzhou,1.498801
Chenzhou,1.498801
Baoding,1.498801
Tangshan,1.498801
Tongling,1.498801
Wanning,1.498801
Baotou,1.498801
Xiangtan,1.498801
Fuzhou,1.498801
Xianyang,1.498801
Xiuqian,1.498801
Xiuzhou,1.498801
Yichun,1.498801
Yulin,1.498801
Yuncheng,1.498801
Yushuzhou,1.498801
Zaozhuang,1.498801
Ganzhou,1.498801
Zhangzhou,1.498801
Zhanjiang,1.498801
Jian,1.481928
Dali,1.476367
Liuzhou,1.467591
Diqing,1.466489
Mianyang,1.456152
New Taipei,1.446579
Weifang,1.444320
Jiuquan,1.430262
Zibo,1.426965
Yanbian,1.426594
Datong,1.416945
Taichung,1.416141
Lu'an,1.411627
Shantou,1.411627
Zhongshan,1.407380
Zhuzhou,1.406514
Kaifeng,1.403433
Xiangyang,1.401185
Ordos,1.394191
