city,distance
Guangzhou,4.808931
Macau,4.551091
Shanghai,4.526747
Zhongshan,3.897517
Shenzhen,3.790096
Beijing,3.517574
Hong Kong,3.388439
Jiangmen,2.919564
Foshan,2.887673
Dongguan,2.755901
Wuhan,2.720231
Sansha,2.569278
Shamen,2.494590
Changsha,2.470162
Chengdou,2.393637
Hangzhou,2.342781
Shantou,2.321927
Suzhou,2.284477
Haikou,2.251588
Qingyuan,2.251588
Chongqing,2.242884
Nanning,2.242884
Zhanjiang,2.242884
Guilin,2.233965
Guiyang,2.224818
Sanya,2.224818
Huizhou,2.205780
Shenyang,2.195857
Nanjing,2.185638
Xi'an,2.185638
Zhaoqing,2.175103
Yangjiang,2.152983
Shaoguan,2.129263
Tianjin,2.129263
Dalian,2.116713
Kunming,2.116713
Taiyuan,2.103644
Fuzhou,2.075723
Taipei,2.060737
Huzhou,2.044953
Zhengzhou,2.044953
Baoding,1.971318
Hefei,1.971318
Meishan,1.971318
Nanchang,1.971318
Ningbo,1.971318
Qingdao,1.971318
Jiaxing,1.969717
Jinan,1.949339
Wuxi,1.949339
Xiangxi,1.949339
Maoming,1.925341
Chaozhou,1.925341
Harbin,1.898839
Hezhou,1.898839
Changzhou,1.898839
Heyuan,1.869138
Jieyang,1.869138
Meizhou,1.869138
Beihai,1.869138
Taoyuan,1.869138
Wenzhou,1.869138
Zhangjiajie,1.869138
Zhoushan,1.869138
Liuzhou,1.835187
Quanzhou,1.835187
Shanwei,1.835187
Suining,1.835187
Urumqi,1.835187
Changchun,1.835187
Yueyang,1.835187
Yunfu,1.835187
Ganzhou,1.795276
Hengyang,1.795276
Huangshi,1.795276
Nantong,1.795276
Shaoxing,1.795276
Weifang,1.795276
Wuhu,1.795276
Xuzhou,1.795276
Yantai,1.795276
Chenzhou,1.746314
Hohhot,1.746314
Jilin,1.746314
Jiujiang,1.746314
Lanzhou,1.746314
Fangchenggang,1.746314
Wuzhou,1.746314
Yichun,1.746314
Zhangzhou,1.746314
Huai'an,1.681673
Huainan,1.681673
Huangshan,1.681673
Ili(Yili),1.681673
Jiuquan,1.681673
Lijiang,1.681673
Ma'anshan,1.681673
New Taipei,1.681673
Shijiazhuang,1.681673
Baotou,1.681673
Taichung,1.681673
Tainan,1.681673
Taizhou,1.681673
Dali,1.681673
Xiangtan,1.681673
Xiangyang,1.681673
Xianning,1.681673
Xinxiang,1.681673
Xishuangbanna,1.681673
Xuancheng,1.681673
Yiyang,1.681673
Yulin,1.681673
Diqing,1.681673
Zhuzhou,1.681673
Yangzhou,1.663304
Jinhua,1.638315
Langfang,1.624042
Zhenjiang,1.612656
Qinhuangdao,1.582251
Hulunbuir,1.581591
Chengde,1.581591
Jian,1.581591
Jiaozuo,1.581591
Chuzhou,1.581591
Jingdezhen,1.581591
Jinzhong,1.581591
Kaohsiung,1.581591
Leshan,1.581591
Liangshanzhou,1.581591
Lianyungang,1.581591
Liaocheng,1.581591
Lishui,1.581591
Liupanshui,1.581591
Longyan,1.581591
Luoyang,1.581591
Mianyang,1.581591
Nanping,1.581591
Ordos,1.581591
Panzhihua,1.581591
Pingdong,1.581591
Qiannan,1.581591
Qinzhou,1.581591
Qiqihar,1.581591
Binzhou,1.581591
Shangrao,1.581591
Bozhou,1.581591
Tianshui,1.581591
Tongling,1.581591
Wanning,1.581591
Weihai,1.581591
Hinggan,1.581591
Anshun,1.581591
Xingtai,1.581591
Xinyang,1.581591
Xiuqian,1.581591
Yibin,1.581591
Yichang,1.581591
Yingtan,1.581591
Yongzhou,1.581591
Changde,1.581591
Zibo,1.581591
Taizhou,1.562151
