city,distance
Changsha,5.528219
Shanghai,4.054784
Guangzhou,3.714904
Xiangtan,3.343717
Hengyang,3.330714
Beijing,3.074266
Pingxiang,3.038035
Shenzhen,3.019242
Wuhan,3.019242
Loudi,2.928036
Chenzhou,2.871612
Yueyang,2.769552
Xining,2.755507
Guilin,2.726364
Hangzhou,2.711219
Nanchang,2.663163
Jinhua,2.646157
Zhangjiajie,2.646157
Chongqing,2.628591
Chengdou,2.610416
Yichun,2.591579
Shaoguan,2.551650
Huaihua,2.530400
Xinyu,2.508164
Yingtan,2.508164
Shangrao,2.484822
Hong Kong,2.460228
Changde,2.434205
Foshan,2.434205
Xiangxi,2.434205
Guiyang,2.406534
Yiyang,2.406534
Shamen,2.376938
Jiaxing,2.345056
Shaoxing,2.345056
Yongzhou,2.345056
Qingyuan,2.310412
Quzhou,2.272355
Suzhou,2.229950
Xi'an,2.229950
Jinan,2.181795
Kunming,2.181795
Nanjing,2.181795
Nanning,2.181795
Qiandongnan,2.181795
Xianning,2.181795
Zhengzhou,2.181795
Zhongshan,2.181795
Huangshan,2.125616
Huangshi,2.125616
Liuzhou,2.125616
Shaoyang,2.125616
Haikou,2.057320
Jiujiang,2.057320
Lanzhou,2.057320
Shenyang,2.057320
Shijiazhuang,2.057320
Shiyan,2.057320
Dongguan,1.968191
Ganzhou,1.968191
Hefei,1.968191
Huizhou,1.968191
Jian,1.968191
Lianyungang,1.968191
Nanping,1.968191
Ningbo,1.968191
Ningde,1.968191
Quanzhou,1.968191
Tianjin,1.968191
Tongren,1.968191
Wuxi,1.968191
Wuzhou,1.968191
Zhangzhou,1.968191
Zhenjiang,1.968191
Zhuhai,1.968191
Dezhou,1.832477
Hechi,1.832477
Anqing,1.832477
Diqing,1.832477
Jiangmen,1.832477
Jingdezhen,1.832477
Jingmen,1.832477
Jingzhou,1.832477
Kaifeng,1.832477
Datong,1.832477
Lijiang,1.832477
Linyi,1.832477
Dalian,1.832477
Luohe,1.832477
Deyang,1.832477
Nanyang,1.832477
Dongying,1.832477
Enshi,1.832477
Panzhihua,1.832477
Pingdingshan,1.832477
Qingdao,1.832477
Changzhou,1.832477
Qujing,1.832477
Sanya,1.832477
Dazhou,1.832477
Suining,1.832477
Taichung,1.832477
Taipei,1.832477
Taiyuan,1.832477
Urumqi,1.832477
Wuhu,1.832477
Xingtai,1.832477
Yanbian,1.832477
Yichang,1.832477
Zaozhuang,1.832477
Fuyang,1.832477
Fuzhou,1.832477
Fuzhou,1.832477
Zhumadian,1.832477
Zibo,1.832477
Zhoushan,1.696390
Nantong,1.681157
Huzhou,1.642970
Haixi,1.624201
Yangzhou,1.595085
Haibei,1.575637
Zhaoqing,1.564964
Lhasa,1.547501
Harbin,1.531976
Leshan,1.531633
Ngawa,1.528438
Macau,1.527779
Wenzhou,1.527484
Langfang,1.522669
Taizhou,1.501826
Anshun,1.500892
Baoding,1.490647
Shantou,1.489517
Qinhuangdao,1.485873
Taizhou,1.474851
Huanggang,1.473695
Xiangyang,1.470784
Hohhot,1.465711
Zunyi,1.464854
Xiaogan,1.464774
Yangjiang,1.462484
Yancheng,1.455191
Hezhou,1.442653
Zhanjiang,1.441986
Changchun,1.441870
Beihai,1.436976
Handan,1.428716
Taoyuan,1.427852
Tangshan,1.426974
Xuzhou,1.422596
Yantai,1.419901
Qiannan,1.417054
Zhangjiakou,1.405830
Nagqu,1.403143
Heyuan,1.402718
Dali,1.401273
Luoyang,1.400555
Mianyang,1.400014
Xianyang,1.397124
Lishui,1.396898
Chengde,1.394116
Ezhou,1.393857
Jiuquan,1.391448
Haidong,1.389683
Xinyang,1.389098
Huangnan,1.387893
Xuancheng,1.381178
Zhangye,1.378530
Yinchuan,1.376568
Shanwei,1.376103
New Taipei,1.373258
Jieyang,1.370396
Tai'an,1.368756
Weinan,1.363327
Xuchang,1.363262
Maoming,1.362338
Baoji,1.360763
Garze,1.360760
Liangshanzhou,1.355222
Meizhou,1.352184
Ya'an,1.351639
Huai'an,1.346349
Chizhou,1.345701
Chongzuo,1.343916
Qionghai,1.342864
Cangzhou,1.331495
Chaozhou,1.331487
Weicu,1.328902
Weihai,1.323434
Tianshui,1.322218
Bangbu,1.320091
Nanchong,1.318908
Yunfu,1.317992
Suizhou,1.317598
Anyang,1.317525
Longyan,1.315425
Guang'an,1.315269
Meishan,1.311771
Chuzhou,1.310006
Sanmenxia,1.309047
Xinxiang,1.309047
Xishuangbanna,1.309047
Yan'an,1.309047
Yibin,1.309047
Kaohsiung,1.307598
Qinzhou,1.302834
Gannan,1.301374
Rizhao,1.300059
Jiaozuo,1.298740
Jining,1.298389
Laibin,1.298184
Neijiang,1.294237
Lu'an,1.293251
Weifang,1.292313
Yulin,1.291849
Qianxinan,1.291228
Jilin,1.291158
Baise,1.289696
Jiayuguan,1.289212
Ma'anshan,1.287024
Huludao,1.286273
Baishan,1.286116
Tongliao,1.282821
Ordos,1.282821
Changzhi,1.282821
Kumul(Hami),1.282821
Baotou,1.282821
Fangchenggang,1.282683
Jinzhong,1.280253
Yushuzhou,1.275452
Fushun,1.274902
Hulunbuir,1.273337
Baoshan,1.270403
Yuxi,1.270020
Ziyang,1.269595
Nantou,1.267529
Anshan,1.265489
Luzhou,1.261955
Zigong,1.260643
Xinzhou,1.255195
Liupanshui,1.255131
Yulin,1.252919
Wanning,1.251579
Changhua,1.251351
Chifeng,1.249462
Jinchang,1.247593
Ulanqab,1.247593
Ankang,1.247593
Bozhou,1.247593
Sansha,1.247593
Jinzhou,1.247593
Lvliang,1.247593
Bijie,1.247399
Shuozhou,1.243640
Guigang,1.243301
Guangyuan,1.242730
Ili(Yili),1.242522
Honghe,1.238517
Turpan,1.238180
Sanming,1.238142
Wenchang,1.237956
Hanzhong,1.229084
Changji,1.228472
Hengshui,1.227555
Liaoyang,1.224488
Tongling,1.223629
Xiuqian,1.223278
Tieling,1.222395
Tacheng,1.221513
Keelung,1.221513
Shangqiu,1.221513
Benxi,1.220181
Nyingchi,1.217042
Dandong,1.216913
Mudanjiang,1.216036
Liaocheng,1.214927
Alty,1.213563
Xilingol,1.211727
Putian,1.210266
Hebi,1.208402
Yuncheng,1.208402
Zhongwei,1.207644
Yingkou,1.206639
Dehong,1.205565
Qiqihar,1.203867
Pingdong,1.203343
Wuwei,1.200945
Dingxi,1.197164
Panjin,1.194155
Suihua,1.193670
Fuxin,1.191651
Jiamusi,1.191651
Bayingolin,1.191651
Jixi,1.191651
Miaoli,1.191651
Jiyuan,1.191651
Lingshui,1.191651
Aksu,1.191651
Yichun,1.191651
Yilan,1.191651
Daxinganling,1.191651
Shangluo,1.191651
Puyang,1.191651
Hsinchu,1.191651
Bayannur,1.191651
Chiayi,1.191651
Huainan,1.191651
Hualien,1.191651
Daqing,1.191412
Binzhou,1.189900
Linxia,1.189510
Huaibei,1.188150
Tainan,1.187099
Danzhou,1.186932
Golog,1.185289
Xiuzhou,1.181705
Baiyin,1.173826
Yunlin,1.163866
Yangquan,1.162262
Heze,1.162083
Kinmen,1.159908
Pu'er,1.159064
Chengmai,1.156712
Ngari,1.155151
Keramay,1.153999
Zhoukou,1.152806
Tongchuan,1.150898
Laiwu,1.150726
Kashgar,1.146865
Bazhong,1.145027
Dingan,1.144501
Chaoyang,1.137357
Wenshan,1.128382
Siping,1.120155
Tonghua,1.117410
Penghu,1.116842
Ledong,1.114475
Hinggan,1.113053
Linfen,1.112884
Shannan,1.107032
Pingliang,1.107032
Taidong,1.101934
Zhaotong,1.100590
Dongfang,1.087840
Lincang,1.082423
Wuhai,1.081930
Qingyang,1.075592
Jincheng,1.075006
Baoting,1.074751
Qamdo,1.072181
Longnan,1.070078
Changjiang,1.064082
Wuzhong,1.062761
Alxa,1.062761
Hotan,1.062694
Shizuishan,1.059501
Bortala,1.056405
Wuzhishan,1.055937
Songyuan,1.043765
Nujiang,1.041629
Baicheng,1.038159
Heihe,1.035287
Liaoyuan,1.022464
Hegang,1.018666
Guyuan,1.006942
Qiongzhong,0.997087
Yushuzhou,0.982890
Qitaihe,0.972192
Kezilsu,0.926618
