city,distance
Jinan,5.021327
Beijing,4.239725
Weifang,4.124600
Shanghai,4.065468
Qingdao,3.920399
Binzhou,3.209475
Dongying,3.087908
Tianjin,3.003163
Tai'an,2.978258
Linyi,2.952449
Yantai,2.868621
Nanjing,2.795028
Jining,2.671251
Changsha,2.628061
Xuzhou,2.564275
Laiwu,2.546976
Dezhou,2.491001
Suzhou,2.491001
Cangzhou,2.427272
Guangzhou,2.403799
Chengdou,2.352515
Hangzhou,2.352515
Langfang,2.352515
Yangzhou,2.293731
Zaozhuang,2.293731
Qinhuangdao,2.260577
Rizhao,2.260577
Weihai,2.224131
Wuxi,2.224131
Chongqing,2.183491
Dalian,2.183491
Putian,2.183491
Xi'an,2.183491
Yancheng,2.183491
Baoding,2.137301
Liaocheng,2.137301
Ningbo,2.137301
Shamen,2.137301
Shenyang,2.137301
Shenzhen,2.137301
Shijiazhuang,2.137301
Handan,2.083361
Huai'an,2.083361
Jinhua,2.083361
Nantong,2.083361
Taipei,2.083361
Tangshan,2.083361
Zhengzhou,2.083361
Hohhot,2.017712
Hong Kong,2.017712
Jiaxing,2.017712
Taiyuan,2.017712
Wuhan,2.017712
Datong,1.931910
Foshan,1.931910
Fushun,1.931910
Guiyang,1.931910
Hefei,1.931910
Heze,1.931910
Huludao,1.931910
Jilin,1.931910
Bangbu,1.931910
Lianyungang,1.931910
Luoyang,1.931910
Puyang,1.931910
Chengde,1.931910
Changchun,1.931910
Urumqi,1.931910
Wenzhou,1.931910
Xiuzhou,1.931910
Zhenjiang,1.931910
Fuxin,1.800987
Fuyang,1.800987
Fuzhou,1.800987
Guilin,1.800987
Chenzhou,1.800987
Huaihua,1.800987
Jiangmen,1.800987
Aksu,1.800987
Jinzhou,1.800987
Jiujiang,1.800987
Jiuquan,1.800987
Kaifeng,1.800987
Kumul(Hami),1.800987
Kunming,1.800987
Changzhi,1.800987
Lijiang,1.800987
Mianyang,1.800987
Nanning,1.800987
Nanping,1.800987
Changzhou,1.800987
Ningde,1.800987
Qiandongnan,1.800987
Anqing,1.800987
Shangqiu,1.800987
Shaoyang,1.800987
Siping,1.800987
Chizhou,1.800987
Dandong,1.800987
Taizhou,1.800987
Weinan,1.800987
Xining,1.800987
Xinyang,1.800987
Xinzhou,1.800987
Benxi,1.800987
Yuncheng,1.800987
Zhangjiajie,1.800987
Zhangjiakou,1.800987
Zhangye,1.800987
Zhuhai,1.800987
Zhuzhou,1.800987
Zhoushan,1.698257
Huzhou,1.644721
Sanya,1.640560
Harbin,1.630345
Shaoxing,1.618347
Leshan,1.592954
Baotou,1.538317
Huangshan,1.535721
Nanchang,1.520960
New Taipei,1.509481
Taizhou,1.503290
Lanzhou,1.501141
Macau,1.499100
Xiangtan,1.480830
Taoyuan,1.468149
Yinchuan,1.466287
Xiangxi,1.461285
Chuzhou,1.456259
Haikou,1.454185
Zhongshan,1.454144
Quanzhou,1.449342
Lhasa,1.441925
Jinzhong,1.441313
Yueyang,1.440484
Hulunbuir,1.436944
Ngawa,1.436247
Hengyang,1.428302
Hengshui,1.419397
Shangrao,1.419382
Daqing,1.411348
Changde,1.407971
Chifeng,1.406613
Dongguan,1.390970
Wuhu,1.389967
Ordos,1.389463
Mudanjiang,1.384938
Xuancheng,1.382416
Xianyang,1.378744
Xingtai,1.362086
Yichang,1.361314
Xilingol,1.358969
Jiaozuo,1.357896
Loudi,1.356616
Xiuqian,1.349619
Yiyang,1.349458
Qiqihar,1.349091
Xinxiang,1.346923
Anyang,1.345602
Ma'anshan,1.344896
Baoji,1.343322
Deyang,1.341989
Dali,1.340162
Anshan,1.332479
Quzhou,1.329094
Panjin,1.328946
Yanbian,1.324768
Xishuangbanna,1.323108
Huaibei,1.323108
Lishui,1.322708
Linfen,1.318987
Diqing,1.318753
Beihai,1.317770
Yingkou,1.317054
Ulanqab,1.315906
Jiayuguan,1.315554
Yan'an,1.310589
Yingtan,1.310070
Kaohsiung,1.308707
Maoming,1.308619
Ezhou,1.308619
Yangquan,1.308619
Zhangzhou,1.305494
Xiangyang,1.304998
Anshun,1.301478
Turpan,1.295283
Bayingolin,1.293089
Huainan,1.291886
Jingdezhen,1.289019
Shuozhou,1.288652
Liuzhou,1.287733
Garze,1.287200
Jian,1.286983
Qingyuan,1.285970
Ya'an,1.279036
Huizhou,1.277698
Zhaoqing,1.272565
Changji,1.272374
Taichung,1.272286
Tongliao,1.271980
