city,distance
Chengdou,6.744802
Neijiang,3.961935
Chongqing,3.507639
Zigong,3.416709
Suining,2.975945
Shanghai,2.932706
Beijing,2.920375
Yibin,2.920375
Luzhou,2.717858
Mianyang,2.717858
Guangzhou,2.527372
Dalian,2.394181
Nanjing,2.394181
Ngawa,2.394181
Shenzhen,2.394181
Tianjin,2.394181
Leshan,2.391890
Changsha,2.196315
Deyang,2.196315
Enshi,2.196315
Guang'an,2.196315
Guiyang,2.196315
Haikou,2.196315
Hong Kong,2.196315
Kunming,2.196315
Lhasa,2.196315
Meishan,2.196315
Nanchong,2.196315
Shamen,2.196315
Wuxi,2.196315
Xi'an,2.196315
Xiangxi,2.196315
Ya'an,2.196315
Yantai,2.196315
Yingtan,2.196315
Garze,1.999740
Wuhan,1.952512
Hangzhou,1.922827
Lijiang,1.878417
Liangshanzhou,1.847034
Suzhou,1.770342
Guangyuan,1.754811
Urumqi,1.746653
Zhengzhou,1.736412
Ningbo,1.735535
Jinan,1.706226
Qingdao,1.706226
Dazhou,1.702104
Sanya,1.683524
Lanzhou,1.681213
Shenyang,1.680047
Shijiazhuang,1.665454
Dali,1.646818
Panzhihua,1.638201
Hefei,1.632214
Nyingchi,1.614608
Fuzhou,1.609477
Nanchang,1.609477
Taipei,1.607732
Nanning,1.604188
Xining,1.604188
Jiaxing,1.592965
Guilin,1.587241
Zhangjiajie,1.576423
Baoji,1.570564
Bazhong,1.566112
Taiyuan,1.566112
Yinchuan,1.563840
Harbin,1.561534
Yichang,1.561534
Foshan,1.560771
Huangshan,1.551962
Zhuhai,1.549475
Hohhot,1.546948
Changzhou,1.546948
Diqing,1.541769
Dongying,1.539112
Dongguan,1.536410
Changchun,1.528004
Baoding,1.514673
Wenzhou,1.512866
Hanzhong,1.506353
Zunyi,1.495007
Zhaotong,1.491469
Langfang,1.483938
Shiyan,1.480955
Taoyuan,1.480955
Baotou,1.480955
Zhongshan,1.480955
Luoyang,1.476929
Macau,1.476929
Baoshan,1.476929
Xianyang,1.476929
Xuzhou,1.472785
Yangzhou,1.464110
Zhoushan,1.462315
Jinhua,1.454855
Chuzhou,1.454855
Shangrao,1.450984
Nantong,1.450983
Xiangyang,1.449981
Qinhuangdao,1.448969
Weihai,1.439847
Zhuzhou,1.434203
Shaoxing,1.429706
Beihai,1.428498
Taizhou,1.422533
Huzhou,1.422447
Anshun,1.416344
Liuzhou,1.416282
Ordos,1.416282
Nagqu,1.415155
Xishuangbanna,1.409711
Ankang,1.409711
Shannan,1.403189
Jiujiang,1.402783
Tianshui,1.402783
Qionghai,1.400726
Gannan,1.399778
Huaihua,1.395451
Tangshan,1.392904
Jiuquan,1.387660
Qiandongnan,1.380816
Zhenjiang,1.380462
Ganzhou,1.379343
Qamdo,1.379343
Qingyang,1.379343
Quanzhou,1.379343
Zhangjiakou,1.372750
Jingzhou,1.370415
Lianyungang,1.370415
Zibo,1.370415
Yingkou,1.363638
Chengde,1.361579
Huizhou,1.361081
New Taipei,1.360766
Taizhou,1.360766
Weicu,1.360766
Jiangmen,1.352607
Tongren,1.351910
Weinan,1.350681
Bijie,1.350257
Nanyang,1.350257
Sanmenxia,1.350257
