city,distance
Shanghai,6.606283
Wuxi,3.901945
Nanjing,3.893186
Suzhou,3.737525
Zhenjiang,3.104503
Beijing,2.763919
Hangzhou,2.746053
Yangzhou,2.536282
Nantong,2.421192
Jiaxing,2.386650
Huzhou,2.381713
Shenzhen,2.356098
Baotou,2.354970
Hefei,2.339917
Taizhou,2.260823
Nyingchi,2.230247
Hong Kong,2.229511
Ningbo,2.220289
Shamen,2.197194
Anqing,2.185818
Wuhan,2.180194
Xuancheng,2.162734
Guangzhou,2.156705
Xuzhou,2.100346
Huai'an,2.089264
Tianjin,2.077766
Shaoxing,2.057572
Chengdou,2.040364
Ma'anshan,2.035898
Zhoushan,2.031362
Yancheng,2.022070
Jinan,2.012463
Chongqing,2.007535
Xi'an,2.002517
Jinhua,1.986896
Lianyungang,1.981485
Huangshan,1.952667
Kunming,1.946507
Qingdao,1.946507
Sanya,1.946507
Zhengzhou,1.927098
Wuhu,1.906089
Taipei,1.871602
Harbin,1.866535
Changsha,1.857778
Bangbu,1.848681
Taiyuan,1.839213
Zhongshan,1.839213
Dalian,1.829338
Fuzhou,1.808187
Nanchang,1.796804
Wenzhou,1.796804
Guilin,1.784793
Xiuzhou,1.784793
Shenyang,1.772069
Tai'an,1.772069
Yantai,1.772069
Huizhou,1.758528
Macau,1.746835
Shijiazhuang,1.744041
Zhangjiajie,1.744041
Taizhou,1.715904
Lhasa,1.711524
Zaozhuang,1.711524
Changchun,1.711524
Chizhou,1.692996
Lu'an,1.692996
Weihai,1.692996
Guiyang,1.672471
Luoyang,1.672471
Shangrao,1.672471
Taoyuan,1.672471
Zhuhai,1.672471
Lijiang,1.668793
Lanzhou,1.649386
Linyi,1.649386
Dezhou,1.649386
Xiuqian,1.649386
Urumqi,1.635334
Haikou,1.629602
Honghe,1.622893
Lishui,1.622893
Ngawa,1.622893
Xiangxi,1.622893
Yinchuan,1.622893
Nanning,1.622359
Jining,1.591603
Jiujiang,1.591603
Quzhou,1.591603
Fuyang,1.591603
Xiangyang,1.591603
Yingkou,1.591603
Quanzhou,1.569349
Kaifeng,1.553000
Kaohsiung,1.553000
New Taipei,1.553000
Rizhao,1.553000
Xishuangbanna,1.553000
Datong,1.553000
Yulin,1.553000
Hohhot,1.547349
Nanping,1.544264
Dongguan,1.536569
Xining,1.505629
Beihai,1.505446
Hulunbuir,1.501668
Jian,1.501668
Jiaozuo,1.501668
Langfang,1.501668
Leshan,1.501668
Fuzhou,1.501668
Ganzhou,1.501668
Cangzhou,1.501668
Baoding,1.501668
Baotou,1.501668
Ningde,1.501668
Haixi,1.501668
Shangqiu,1.501668
Shaoguan,1.501668
Taichung,1.501668
Tianshui,1.501668
Wanning,1.501668
Weinan,1.501668
Foshan,1.501668
Xingtai,1.501668
Xinxiang,1.501668
Xinyang,1.501668
Xinzhou,1.501668
Heihe,1.501668
Yangquan,1.501668
Dehong,1.501668
Yueyang,1.501668
Dongying,1.501668
Dali,1.501668
Yichang,1.496966
Yingtan,1.495406
Jingdezhen,1.468040
Liuzhou,1.451379
Diqing,1.450301
Mianyang,1.440190
Qamdo,1.439333
Weifang,1.428615
Jieyang,1.423750
Jiyuan,1.421353
Kinmen,1.421353
Laiwu,1.421353
Liaocheng,1.421353
Huaibei,1.421353
Fushun,1.421353
Luzhou,1.421353
Heze,1.421353
Hualien,1.421353
Daqing,1.421353
Huanggang,1.421353
Baoshan,1.421353
Pingxiang,1.421353
Putian,1.421353
Jinzhou,1.421353
Qiandongnan,1.421353
Qiannan,1.421353
Chengde,1.421353
Qinhuangdao,1.421353
Qionghai,1.421353
Chifeng,1.421353
Qujing,1.421353
Sanmenxia,1.421353
Deyang,1.421353
Shizuishan,1.421353
Siping,1.421353
Dazhou,1.421353
Chongzuo,1.421353
Baoji,1.421353
Tangshan,1.421353
Tongliao,1.421353
Ulanqab,1.421353
Xiangtan,1.421353
Xianyang,1.421353
Yan'an,1.421353
Yanbian,1.421353
Changde,1.421353
Yilan,1.421353
Hanzhong,1.421353
Hengyang,1.421353
Zhangjiakou,1.421353
Zhangye,1.421353
Zhangzhou,1.421353
Zhuzhou,1.421353
Zibo,1.421353
Jiuquan,1.414860
Shantou,1.396621
Tongling,1.385061
Ordos,1.379551
Longyan,1.372294
Garze,1.371292
Jilin,1.368751
Yichun,1.362962
Nantou,1.360785
Pingdong,1.359126
Zhanjiang,1.358567
Jinzhong,1.354002
Hezhou,1.351054
Panjin,1.347416
Suihua,1.346799
Huainan,1.335755
Handan,1.330162
Xinyu,1.330162
Sanming,1.329443
Shannan,1.321372
Shiyan,1.321211
Tainan,1.320432
Jiangmen,1.320432
Anshan,1.315636
Mudanjiang,1.308895
Yuncheng,1.308895
Yunlin,1.306256
Dandong,1.305361
Qingyuan,1.297925
Chiayi,1.294003
Changzhi,1.288886
Yibin,1.288886
Huangshi,1.282397
Qiqihar,1.278994
Xianning,1.278314
Alty,1.276661
Bozhou,1.275474
Weicu,1.274274
Anshun,1.271830
Nanyang,1.270585
Jingzhou,1.270585
Jiayuguan,1.269326
Baishan,1.261418
Hsinchu,1.258638
Anyang,1.258638
Zhaoqing,1.255777
Sansha,1.249796
Penghu,1.249796
Ya'an,1.248242
Kashgar,1.246663
Ili(Yili),1.245058
Keelung,1.245058
Shuozhou,1.243426
Zunyi,1.243426
Chaozhou,1.241766
Huaihua,1.234825
Xiaogan,1.234316
Taidong,1.231156
Turpan,1.231156
Binzhou,1.229268
Huludao,1.228555
Nagqu,1.227340
Linfen,1.223363
Benxi,1.223363
Liangshanzhou,1.221310
Yichun,1.221310
