city,distance
Guiyang,6.039965
Chongqing,4.582493
Shanghai,3.510691
Beijing,3.497491
Chengdou,3.224280
Anshun,3.048088
Luzhou,3.048088
Qiandongnan,2.902889
Wuxi,2.716532
Kunming,2.678879
Pingxiang,2.678879
Liuzhou,2.594678
Luoyang,2.594678
Bijie,2.546777
Qiannan,2.546777
Guangzhou,2.433568
Guilin,2.363882
Hangzhou,2.363882
Lijiang,2.363882
Lanzhou,2.279720
Nanchong,2.279720
Nanjing,2.279720
Xi'an,2.279720
Yibin,2.279720
Changsha,2.170790
Dezhou,2.170790
Leshan,2.170790
Nanning,2.170790
Suzhou,2.170790
Wuhan,2.170790
Zhanjiang,2.170790
Zhoushan,2.170790
Baoding,2.006862
Chengde,2.006862
Dazhou,2.006862
Deyang,2.006862
Fuyang,2.006862
Haikou,2.006862
Hefei,2.006862
Hezhou,2.006862
Jinan,2.006862
Baise,2.006862
Lhasa,2.006862
Liupanshui,2.006862
Loudi,2.006862
Neijiang,2.006862
Ningbo,2.006862
Panzhihua,2.006862
Qingdao,2.006862
Qujing,2.006862
Shamen,2.006862
Shaoguan,2.006862
Shaoyang,2.006862
Shenyang,2.006862
Tianjin,2.006862
Wenzhou,2.006862
Ankang,2.006862
Xiangtan,2.006862
Xiangxi,2.006862
Xiangyang,2.006862
Xuzhou,2.006862
Yichang,2.006862
Yingtan,2.006862
Shenzhen,1.923152
Qianxinan,1.906631
Tongren,1.823636
Jiaxing,1.749407
Zhengzhou,1.748479
Weifang,1.743046
Ngawa,1.740063
Sanya,1.726694
Hong Kong,1.718207
Zhuhai,1.684027
Nanchang,1.678642
Huaihua,1.673097
Guang'an,1.671987
Changzhou,1.669546
Langfang,1.619748
Suining,1.607065
Yichun,1.593008
Dali,1.590864
Fuzhou,1.588302
Nantong,1.579653
Shijiazhuang,1.579586
Qinhuangdao,1.578175
Diqing,1.574761
Zhuzhou,1.574200
Mianyang,1.559225
Hohhot,1.558320
Taiyuan,1.546933
Huzhou,1.545892
Zigong,1.544546
Enshi,1.536541
Urumqi,1.534650
Dalian,1.527832
