city,distance
Beijing,4.703630
Shenyang,4.625723
Jinzhou,4.329315
Dalian,3.777791
Datong,3.514935
Chengde,3.487768
Fuxin,3.371385
Shanghai,3.340030
Panjin,3.125002
Huludao,3.038879
Anshan,2.941501
Chifeng,2.689101
Tianjin,2.689101
Tieling,2.689101
Changchun,2.604267
Yingkou,2.604267
Dandong,2.502486
Guangzhou,2.502486
Liaoyang,2.502486
Chongqing,2.371838
Shenzhen,2.371838
Weinan,2.371838
Wuhan,2.371838
Cangzhou,2.177498
Dongguan,2.177498
Fushun,2.177498
Hangzhou,2.177498
Hong Kong,2.177498
Jilin,2.177498
Jinan,2.177498
Jingmen,2.177498
Jingzhou,2.177498
Langfang,2.177498
Luoyang,2.177498
Mudanjiang,2.177498
Nanjing,2.177498
Qingdao,2.177498
Sanya,2.177498
Shamen,2.177498
Shijiazhuang,2.177498
Siping,2.177498
Taiyuan,2.177498
Tangshan,2.177498
Tongliao,2.177498
Ulanqab,2.177498
Xuzhou,2.177498
Yinchuan,2.177498
Zhengzhou,2.177498
Huangshan,1.952667
Suzhou,1.911027
Harbin,1.864451
Xuchang,1.854407
Shuozhou,1.842020
Chengdou,1.836497
Benxi,1.819293
Xinzhou,1.806044
Xi'an,1.792443
Baoding,1.791567
Jinzhong,1.764162
Jiaxing,1.705971
Zhangjiakou,1.689440
Wuxi,1.679705
Changsha,1.660296
Kunming,1.643723
Taipei,1.632449
Changzhou,1.629940
Ningbo,1.629099
Yantai,1.626546
Hohhot,1.615696
Hefei,1.596352
Xilingol,1.594780
Daqing,1.591214
Ma'anshan,1.585706
Nanchang,1.576748
Urumqi,1.570352
Zhoushan,1.556993
Guiyang,1.556031
Lanzhou,1.555459
Foshan,1.551245
Fuzhou,1.548279
Nantong,1.544152
Guilin,1.543096
Yanbian,1.541313
Tai'an,1.540911
Lijiang,1.528134
Taoyuan,1.520064
Nanning,1.516968
Huzhou,1.511875
Haikou,1.505100
Zhuhai,1.503295
Baotou,1.496268
Lhasa,1.491970
Shaoxing,1.489561
Yangzhou,1.487765
Hulunbuir,1.486638
Xining,1.486638
Dezhou,1.481568
Tonghua,1.480662
Weihai,1.472361
Jining,1.469068
Weifang,1.463042
Yichang,1.459371
Ngawa,1.457302
