city,distance
Xi'an,5.834224
Hohhot,3.921933
Hanzhong,3.864381
Chongqing,3.342915
Shiyan,3.321761
Wuhan,3.207967
Xianyang,3.183324
Shanghai,3.131742
Xiangyang,3.047538
Chengdou,3.017275
Beijing,2.985712
Weinan,2.952693
Shangluo,2.881494
Shaoxing,2.881494
Nanchong,2.599624
Mianyang,2.534413
Baoji,2.534413
Zhengzhou,2.534413
Guangzhou,2.458921
Hangzhou,2.458921
Xiangxi,2.458921
Hefei,2.367986
Sanmenxia,2.367986
Changchun,2.250675
Changsha,2.250675
Dingxi,2.250675
Nanjing,2.250675
Shenzhen,2.250675
Suining,2.250675
Tianjin,2.250675
Zhangjiajie,2.250675
Zhongshan,2.250675
Fuzhou,2.074948
Guangyuan,2.074948
Guiyang,2.074948
Hebi,2.074948
Hengshui,2.074948
Huaihua,2.074948
Jinan,2.074948
Jincheng,2.074948
Lanzhou,2.074948
Lijiang,2.074948
Linfen,2.074948
Nanyang,2.074948
Ngawa,2.074948
Qingdao,2.074948
Shamen,2.074948
Baoding,2.074948
Shaoguan,2.074948
Shijiazhuang,2.074948
Suzhou,2.074948
Tai'an,2.074948
Taipei,2.074948
Taiyuan,2.074948
Taoyuan,2.074948
Changde,2.074948
Tianshui,2.074948
Urumqi,2.074948
Bangbu,2.074948
Xianning,2.074948
Xining,2.074948
Yueyang,2.074948
Yulin,2.074948
Yuncheng,2.074948
Zigong,2.074948
Zunyi,2.074948
Yan'an,2.009592
Guang'an,1.845099
Luoyang,1.839787
Lhasa,1.785627
Yinchuan,1.774158
Hong Kong,1.722571
Kunming,1.699469
Jiuquan,1.692960
Tongchuan,1.689621
Leshan,1.663224
Yichang,1.660710
Shenyang,1.659203
Dalian,1.657876
Wuxi,1.652467
Jiaxing,1.649922
Jiayuguan,1.632140
Nanchang,1.629035
Xuzhou,1.629035
Jinzhong,1.621025
Ningbo,1.613785
Harbin,1.609147
Puyang,1.598460
Guilin,1.598262
Sanya,1.596377
Bazhong,1.582288
Changzhou,1.578701
Zhongwei,1.565177
Jinhua,1.548897
Garze,1.545685
Enshi,1.544131
Haixi,1.543069
Suizhou,1.539937
Deyang,1.538298
Foshan,1.534393
Qingyang,1.532139
Longnan,1.531125
Ordos,1.526368
Jingzhou,1.525713
Zhuhai,1.523981
Nanning,1.523397
Hohhot,1.520368
Huanggang,1.517264
Zhoushan,1.510172
Xiaogan,1.507808
Huangshi,1.505538
New Taipei,1.505059
Langfang,1.500624
Kaifeng,1.500502
Nantong,1.498089
Jilin,1.491369
Pingliang,1.486075
Yangzhou,1.482154
Haikou,1.478122
Jingmen,1.471738
Huzhou,1.467690
Wenzhou,1.465283
Qinhuangdao,1.464874
Shangqiu,1.460726
Liangshanzhou,1.459338
Ya'an,1.453094
Jiaozuo,1.451131
Diqing,1.441080
Macau,1.440805
Taizhou,1.440657
Xinyang,1.438050
Ezhou,1.432771
Yantai,1.429614
Xinxiang,1.423701
Jiujiang,1.418282
Meishan,1.413920
Weifang,1.410798
Zhangye,1.410798
Dongguan,1.409250
Handan,1.407826
Tangshan,1.407596
Luzhou,1.406214
Baotou,1.403859
Anyang,1.403859
Dali,1.402044
Pingdingshan,1.398360
Huangshan,1.396516
Guyuan,1.396516
Xinzhou,1.396516
Neijiang,1.394374
Zhenjiang,1.391794
Changzhi,1.390578
Nagqu,1.388714
Xingtai,1.388714
Zhangjiakou,1.387018
Anqing,1.380384
Jining,1.380384
Wuhu,1.378257
Chengde,1.375615
Linyi,1.371442
Datong,1.371442
Wuwei,1.371442
Anshun,1.364862
Heze,1.361779
Lvliang,1.361779
Bayingolin,1.361779
Yibin,1.361306
Ziyang,1.358701
Zhuzhou,1.355429
Taizhou,1.354014
Xiangtan,1.352998
Jiangmen,1.352136
Luohe,1.351254
Nyingchi,1.351254
Cangzhou,1.351254
Weihai,1.351254
Tongliao,1.350465
Yangquan,1.350465
Yichun,1.350465
Turpan,1.344326
Quanzhou,1.342494
Yiyang,1.342494
Lu'an,1.339815
Jiyuan,1.339679
Shizuishan,1.339679
Lianyungang,1.339679
Tongren,1.339109
Huizhou,1.335545
Changji,1.332889
Qiandongnan,1.331839
Chizhou,1.329987
Haibei,1.326798
Mudanjiang,1.326794
Chuzhou,1.326794
Anshan,1.326794
Daqing,1.326794
Jian,1.326794
Wuzhong,1.326794
Huai'an,1.326794
Loudi,1.325628
Xuchang,1.324859
Yancheng,1.315990
Alty,1.315356
Qingyuan,1.315121
Kumul(Hami),1.312224
Sansha,1.312224
Ma'anshan,1.312224
Tieling,1.312224
Dezhou,1.312224
Hulunbuir,1.312224
Nanping,1.312224
Binzhou,1.312224
Haidong,1.312224
Zibo,1.312224
Hengyang,1.309013
Huainan,1.306933
Ningde,1.303381
Yanbian,1.302248
Siping,1.295770
Liuzhou,1.295400
Jinzhou,1.295400
Gannan,1.295400
Chifeng,1.295400
Bayannur,1.295400
Baiyin,1.295400
Ulanqab,1.293984
Ili(Yili),1.290237
Zhaoqing,1.287848
Shangrao,1.285563
Zhangzhou,1.281964
Qiannan,1.279476
Rizhao,1.275386
Qionghai,1.275386
Dandong,1.275386
Fuyang,1.275386
Huludao,1.275386
Wuhai,1.275386
Xishuangbanna,1.275386
Xiuzhou,1.275386
Putian,1.275386
Jinchang,1.275386
Hsinchu,1.275386
Chenzhou,1.273495
Taichung,1.269143
Liupanshui,1.265049
Lishui,1.263867
Tongling,1.261964
Panzhihua,1.260099
Zhumadian,1.258830
Linxia,1.258742
Baishan,1.255472
Xuancheng,1.255164
Quzhou,1.255161
Keelung,1.253446
Yulin,1.251780
Shantou,1.250479
Xiuqian,1.250479
Yuxi,1.250479
Zaozhuang,1.250479
Alxa,1.250479
Honghe,1.250479
Pingdong,1.250479
Keramay,1.245668
Tonghua,1.244394
Songyuan,1.244394
Zhoukou,1.244278
Beihai,1.241290
Fangchenggang,1.239447
Yingtan,1.238262
Kaohsiung,1.237571
Kashgar,1.237359
Liaocheng,1.233408
Baoshan,1.232539
Shannan,1.223419
Yilan,1.218435
Yangjiang,1.217634
Longyan,1.217372
Qujing,1.216982
Weicu,1.216982
Fuzhou,1.216982
Xilingol,1.216982
Daxinganling,1.216982
Fuxin,1.216982
Bozhou,1.216982
Pingxiang,1.216982
Yushuzhou,1.216982
Zhanjiang,1.216982
Hualien,1.216982
Dongying,1.216982
Heyuan,1.216982
Jingdezhen,1.208761
Sanming,1.203226
Laiwu,1.197142
Huangnan,1.191119
Qiqihar,1.190045
Qianxinan,1.189257
Nantou,1.187556
Chaoyang,1.181110
Fushun,1.180522
Liaoyang,1.179826
Huaibei,1.179364
Aksu,1.178909
Wanning,1.177909
Shaoyang,1.175622
Panjin,1.174343
Tainan,1.171167
Ganzhou,1.167469
Chiayi,1.166477
Yingkou,1.165047
Maoming,1.164973
Zhaotong,1.164973
Bortala,1.163692
Qamdo,1.163692
Xinyu,1.163692
Heihe,1.163692
Penghu,1.163692
Ngari,1.163692
Dehong,1.163692
Hotan,1.163692
Yongzhou,1.163692
Yunfu,1.163692
Shanwei,1.163692
Meizhou,1.163692
Tacheng,1.163692
Kezilsu,1.163692
Danzhou,1.163692
Jieyang,1.153120
Bijie,1.151977
Liaoyuan,1.149485
Hezhou,1.145413
Qinzhou,1.144008
Benxi,1.144008
Miaoli,1.143484
Shuozhou,1.138419
Wenshan,1.135240
Wuzhou,1.131078
Shuangyashan,1.125483
Chaozhou,1.125446
Baicheng,1.122894
Taidong,1.115575
Jiamusi,1.114878
Hinggan,1.101228
Hegang,1.100591
Wenchang,1.100591
Changhua,1.099425
Suihua,1.098368
Kinmen,1.082992
Jixi,1.074560
Yunlin,1.071252
Pu'er,1.063626
Chongzuo,1.063626
Guigang,1.058754
Baise,1.048138
Laibin,1.039294
Golog,1.038738
Yichun,1.030759
Hechi,1.026475
Lincang,1.000180
Lingshui,0.999174
Dongfang,0.990796
Qitaihe,0.971063
Baoting,0.962830
Chengmai,0.947881
Dingan,0.939666
Nujiang,0.939122
Wuzhishan,0.929047
Ledong,0.919330
Changjiang,0.884766
Qiongzhong,0.837952
