city,distance
Shanghai,5.188882
Beijing,4.116250
Chongqing,3.740595
Leshan,3.706214
Ngawa,3.687558
Deyang,3.124165
Mianyang,3.019345
Guangzhou,2.919547
Xi'an,2.915407
Garze,2.842502
Ya'an,2.802990
Wuhan,2.748019
Shenzhen,2.702201
Kunming,2.697038
Hangzhou,2.689580
Nanchong,2.665797
Meishan,2.636801
Lijiang,2.603482
Nanjing,2.587346
Lhasa,2.585522
Tianjin,2.573495
Neijiang,2.566898
Liangshanzhou,2.543583
Hong Kong,2.542587
Suining,2.505279
Guiyang,2.482066
Ziyang,2.471747
Shamen,2.468254
Zigong,2.438040
Changsha,2.409615
Suzhou,2.400383
Yibin,2.377722
Guangyuan,2.371918
Urumqi,2.357038
Luzhou,2.352465
Zhengzhou,2.338428
Ningbo,2.336837
Wuxi,2.327157
Jinan,2.284010
Qingdao,2.284010
Sanya,2.243511
Lanzhou,2.239410
Shenyang,2.237341
Shijiazhuang,2.211535
Dali,2.178795
Panzhihua,2.163736
Hefei,2.153304
Dalian,2.122768
Nyingchi,2.122768
Guang'an,2.116889
Fuzhou,2.113909
Nanchang,2.113909
Taipei,2.110899
Nanning,2.104793
Xining,2.104793
Jiaxing,2.085516
Guilin,2.075714
Haikou,2.061839
Baoji,2.047285
Taiyuan,2.039728
Bazhong,2.039728
Yinchuan,2.035874
Harbin,2.031968
Yichang,2.031968
Huangshan,2.015790
Zhuhai,2.011597
Hohhot,2.007340
Changzhou,2.007340
Diqing,1.998627
Dongying,1.994166
Dongguan,1.989631
Changchun,1.975557
Wenzhou,1.950326
Hefei,1.939934
Hanzhong,1.939515
Zunyi,1.910314
Baotou,1.897613
Shiyan,1.897613
Taoyuan,1.897613
Zhongshan,1.897613
Luoyang,1.891009
Macau,1.891009
Baoshan,1.891009
Xianyang,1.891009
Xuzhou,1.884221
Yangzhou,1.870046
Zhoushan,1.867118
Jinhua,1.854972
Chuzhou,1.854972
Nantong,1.848682
Xiangyang,1.847056
Zhuzhou,1.821529
Beihai,1.812337
Shaoxing,1.812337
Taizhou,1.802747
Xiangxi,1.802747
Huzhou,1.802609
Baoding,1.792719
Liuzhou,1.792719
Ordos,1.792719
Foshan,1.792719
Ankang,1.782204
Xishuangbanna,1.782204
Jiujiang,1.771145
Langfang,1.771145
Tianshui,1.771145
Gannan,1.760868
Huaihua,1.759473
Jiuquan,1.747106
Yantai,1.747106
Zhangjiajie,1.747106
Enshi,1.747106
Qamdo,1.733943
Qingyang,1.733943
Quanzhou,1.733943
Ganzhou,1.733943
Jingzhou,1.719856
Lianyungang,1.719856
Zibo,1.719856
New Taipei,1.704687
Taizhou,1.704687
Weicu,1.704687
Zhenjiang,1.704687
Qinhuangdao,1.693010
Nanyang,1.688226
Sanmenxia,1.688226
Bijie,1.688226
Weifang,1.688226
Weihai,1.688226
Yuxi,1.688226
Liupanshui,1.670197
Dehong,1.670197
Datong,1.670197
Handan,1.670197
Qiandongnan,1.670197
Weinan,1.670197
Dandong,1.670197
Yueyang,1.670197
Anshun,1.650218
Tongren,1.650218
Anshan,1.650218
Yulin,1.650218
Zhangzhou,1.650218
Huangshi,1.627739
Jilin,1.627739
Loudi,1.627739
Jian,1.627739
Jingdezhen,1.627739
Qingyuan,1.627739
Huanggang,1.627739
Shangrao,1.627739
Hulunbuir,1.627739
Dezhou,1.627739
Yulin,1.627739
Yuncheng,1.627739
Zhanjiang,1.627739
Zhaotong,1.627739
Huizhou,1.627739
Cangzhou,1.627739
Tangshan,1.616966
Bayingolin,1.601931
Linyi,1.601931
Jincheng,1.601931
Kaohsiung,1.601931
Tai'an,1.601931
Xinxiang,1.601931
Jieyang,1.601931
Zhaoqing,1.601931
Honghe,1.601931
Zhangjiakou,1.589869
Yancheng,1.579049
Chengde,1.574905
Nanping,1.571436
Ningde,1.571436
Pingdingshan,1.571436
Keramay,1.571436
Jiangmen,1.571436
Shantou,1.571436
Bangbu,1.571436
Golog,1.571436
Jiaozuo,1.571436
Suizhou,1.571436
Changde,1.571436
Tainan,1.571436
Haixi,1.571436
Jinzhong,1.571436
Jiayuguan,1.571436
Wenchang,1.571436
Hezhou,1.571436
Yan'an,1.571436
Ili(Yili),1.571436
Changji,1.571436
Nagqu,1.567159
Shannan,1.552498
Nantou,1.533795
Anqing,1.533795
Pingdong,1.533795
Puyang,1.533795
Quzhou,1.533795
Shangluo,1.533795
Anyang,1.533795
Heze,1.533795
Turpan,1.533795
Fuzhou,1.533795
Wuhu,1.533795
Xiangtan,1.533795
Chongzuo,1.533795
Xiaogan,1.533795
Xinzhou,1.533795
Jining,1.533795
Huai'an,1.533795
Jinzhou,1.533795
Zaozhuang,1.533795
Zhongwei,1.533795
Zhoukou,1.533795
Chenzhou,1.533795
Xuancheng,1.492277
Qiannan,1.483703
Qianxinan,1.483703
Alty,1.483703
Hualien,1.483703
Qujing,1.483703
Aksu,1.483703
Kaifeng,1.483703
Lu'an,1.483703
Suihua,1.483703
Tacheng,1.483703
Taichung,1.483703
Daqing,1.483703
Dingxi,1.483703
Tongchuan,1.483703
Tonghua,1.483703
Tongling,1.483703
Maoming,1.483703
Wanning,1.483703
Jingmen,1.483703
Wenshan,1.483703
Fangchenggang,1.483703
Kumul(Hami),1.483703
Xianning,1.483703
Chizhou,1.483703
Xiuqian,1.483703
Miaoli,1.483703
Alxa,1.483703
Yilan,1.483703
Heyuan,1.483703
Yiyang,1.483703
Yushuzhou,1.483703
Hsinchu,1.483703
Ezhou,1.483703
Zhumadian,1.483703
Linfen,1.483703
Pingxiang,1.483703
Huludao,1.438645
Lishui,1.422939
Yingtan,1.408325
Shuozhou,1.405248
Keelung,1.405248
Ma'anshan,1.405248
Chifeng,1.405248
Benxi,1.405248
Tieling,1.405248
Qiqihar,1.405248
Tongliao,1.405248
Longnan,1.405248
Putian,1.405248
Jinchang,1.405248
Baoting,1.405248
Meizhou,1.405248
Wuwei,1.405248
Wuzhou,1.405248
Binzhou,1.405248
Xilingol,1.405248
Xingtai,1.405248
Xinyang,1.405248
Xinyu,1.405248
Panjin,1.405248
Xuchang,1.405248
Guyuan,1.405248
Liaocheng,1.405248
Yanbian,1.405248
Yangjiang,1.405248
Yangquan,1.405248
Haibei,1.405248
Shangqiu,1.405248
Yichun,1.405248
Chaozhou,1.405248
Yingkou,1.405248
Shizuishan,1.405248
Huainan,1.405248
Heihe,1.405248
Baise,1.405248
Zhangye,1.405248
Laiwu,1.405248
Lincang,1.405248
Mudanjiang,1.405248
Pingliang,1.405248
Haidong,1.405248
Kashgar,1.405248
Linxia,1.397942
Shaoguan,1.385086
Hengshui,1.365586
Hengyang,1.361235
Rizhao,1.348363
Qionghai,1.344788
Longyan,1.342920
Fushun,1.341807
Ngari,1.332128
Ulanqab,1.303768
Yichun,1.290248
Pu'er,1.289983
Liaoyang,1.286078
Qinzhou,1.274981
Fuyang,1.272937
Huaibei,1.269451
Xiuzhou,1.262096
Sanming,1.260171
Wuzhong,1.256547
Changzhi,1.255783
Chaoyang,1.254878
Shanwei,1.249964
Jiamusi,1.242281
Yunlin,1.239318
Baiyin,1.230932
Siping,1.230173
Bayannur,1.228992
Chiayi,1.228283
Lvliang,1.227796
Hinggan,1.225358
Luohe,1.224592
Baishan,1.224115
Hotan,1.220171
Lingshui,1.219307
Guigang,1.217910
Shaoyang,1.216233
Bortala,1.211888
Bozhou,1.211577
Fuxin,1.206228
Yunfu,1.201832
Huangnan,1.200894
Hechi,1.194555
Danzhou,1.188435
Penghu,1.188383
Sansha,1.188383
Wuhai,1.187743
Hebi,1.185855
Daxinganling,1.181952
Kinmen,1.181234
Laibin,1.178120
Yongzhou,1.176305
Taidong,1.171518
Chengmai,1.158139
Songyuan,1.155429
Baicheng,1.150558
Jiyuan,1.149073
Nujiang,1.146167
Dingan,1.145899
Hegang,1.140512
Jixi,1.138623
Wuzhishan,1.116466
Ledong,1.115800
Changhua,1.109437
Liaoyuan,1.094862
Shuangyashan,1.094862
Qitaihe,1.079957
Dongfang,1.067358
Changjiang,1.065290
Kezilsu,1.049397
Qiongzhong,0.998148
