city,distance
Haikou,6.677008
Qionghai,3.902289
Danzhou,3.593616
Sanya,3.593616
Beijing,3.165559
Changjiang,3.165559
Qiongzhong,2.959355
Shanghai,2.959355
Dongfang,2.662831
Hefei,2.662831
Hong Kong,2.662831
Shamen,2.662831
Wanning,2.662831
Wenchang,2.662831
Guangzhou,2.315864
Sanya,2.243511
Shenzhen,2.041867
Zhanjiang,1.959566
Wuhan,1.924527
Chengdou,1.896178
Hangzhou,1.893157
Chongqing,1.867528
Lingshui,1.864123
Changsha,1.860668
Dingan,1.860668
Nanjing,1.849987
Nanning,1.838791
Kunming,1.814604
Tianjin,1.805924
Weinan,1.805924
Ledong,1.782588
Suzhou,1.780019
Nanchang,1.767262
Zhuhai,1.767262
Wuzhishan,1.758864
Zhengzhou,1.756387
Xi'an,1.750728
Guilin,1.719796
Fuzhou,1.698620
Baoting,1.683087
Beihai,1.666154
Ningbo,1.637399
Zaozhuang,1.617813
Qingdao,1.603035
Urumqi,1.603035
Jiaxing,1.600796
Guiyang,1.589849
Wuxi,1.577646
Harbin,1.575522
Wenzhou,1.575522
Hohhot,1.559808
Langfang,1.544734
Dongguan,1.542369
Shenyang,1.542369
Baotou,1.542369
Changzhou,1.533666
Jinan,1.522715
Taipei,1.522715
Baoding,1.511787
Shijiazhuang,1.508163
Qinhuangdao,1.506877
Liuzhou,1.500106
Macau,1.500106
Meishan,1.500106
Dalian,1.500106
Zhaoqing,1.500106
Zhoushan,1.500106
Zhangzhou,1.484442
Quanzhou,1.483747
Putian,1.475451
Qinzhou,1.475451
Shangrao,1.475451
Xiaogan,1.475451
Fangchenggang,1.475451
Jinhua,1.473333
Lanzhou,1.473333
Luoyang,1.473333
Siping,1.473333
Taoyuan,1.473333
Changchun,1.473333
Wuhu,1.473199
Taiyuan,1.460386
Nantong,1.457476
Tangshan,1.446335
Anqing,1.445177
Huangshan,1.440195
Jieyang,1.440195
Leshan,1.440195
Lijiang,1.440195
Ordos,1.440195
Shaoguan,1.440195
Weihai,1.440195
Chuzhou,1.440195
Zhuzhou,1.440195
Lu'an,1.429364
Huzhou,1.428688
Zhangjiakou,1.424617
Chizhou,1.418184
Chengde,1.412590
Shaoxing,1.408745
Longyan,1.398520
Huizhou,1.395942
Hulunbuir,1.395942
Jiangmen,1.395942
Jiujiang,1.395942
Jiuquan,1.395942
Lianyungang,1.395942
Luzhou,1.395942
Maoming,1.395942
Mianyang,1.395942
Pingdingshan,1.395942
Qianxinan,1.395942
Qingyuan,1.395942
Baoshan,1.395942
Quzhou,1.395942
Shantou,1.395942
Shanwei,1.395942
Hengyang,1.395942
Taizhou,1.395942
Weicu,1.395942
Wuhai,1.395942
Dali,1.395942
Xianyang,1.395942
Chaozhou,1.395942
Xinxiang,1.395942
Xuzhou,1.395942
Ya'an,1.395942
Yantai,1.395942
Yinchuan,1.395942
Yunfu,1.395942
Zigong,1.395942
Yangzhou,1.392340
Huainan,1.392000
Bangbu,1.391612
Zhenjiang,1.356673
Fuyang,1.351890
Cangzhou,1.348336
Tongling,1.341100
Tai'an,1.329319
Ganzhou,1.326276
Honghe,1.326276
Linfen,1.326276
Guyuan,1.326276
Linxia,1.326276
Diqing,1.326276
Heyuan,1.326276
Hotan,1.326276
Baicheng,1.326276
Huai'an,1.326276
Mudanjiang,1.326276
Nanchong,1.326276
Ngawa,1.326276
Chenzhou,1.326276
Ningde,1.326276
Pu'er,1.326276
Puyang,1.326276
Qiandongnan,1.326276
Qujing,1.326276
Sansha,1.326276
Shannan,1.326276
Haibei,1.326276
Suining,1.326276
Taizhou,1.326276
Tongliao,1.326276
Turpan,1.326276
Jincheng,1.326276
Guangyuan,1.326276
Xiangtan,1.326276
Xiangxi,1.326276
Xiangyang,1.326276
Xining,1.326276
Jian,1.326276
Xinzhou,1.326276
Jiaozuo,1.326276
Yangjiang,1.326276
Yibin,1.326276
Jiayuguan,1.326276
Yiyang,1.326276
Yueyang,1.326276
Zhangjiajie,1.326276
Hegang,1.326276
Changzhi,1.326276
Jingdezhen,1.326276
Zhongshan,1.326276
Hebi,1.326276
Jilin,1.326276
Ziyang,1.326276
Zunyi,1.326276
Datong,1.321694
Huludao,1.301983
Lhasa,1.292736
Jinzhong,1.292244
Dezhou,1.284920
Yancheng,1.284548
Nanping,1.277396
Jining,1.275507
Weifang,1.270962
Handan,1.270135
Changde,1.270135
Jingzhou,1.270135
Haixi,1.270135
Bozhou,1.266470
Chifeng,1.264281
Xuancheng,1.260322
Zibo,1.254540
Jinzhou,1.249662
Huaibei,1.248198
Ma'anshan,1.248198
Hengshui,1.241855
Xiuzhou,1.240752
Sanming,1.234607
Dandong,1.230965
Xingtai,1.228193
Yichang,1.227566
Dongying,1.226299
Xilingol,1.225659
Kaohsiung,1.224886
Kinmen,1.224038
Huanggang,1.218155
Qiqihar,1.217618
Linyi,1.216915
Anyang,1.214775
Kaifeng,1.208039
Fushun,1.207650
Chongzuo,1.205412
Daqing,1.204878
Baoji,1.204475
Anshan,1.204070
New Taipei,1.203205
Panjin,1.201185
Yanbian,1.197770
Yingkou,1.191460
Ulanqab,1.190521
Yan'an,1.186167
Xianning,1.185939
Deyang,1.179994
Lishui,1.179298
Binzhou,1.177299
Xinyang,1.176491
Yangquan,1.175074
Liaocheng,1.172209
Yingtan,1.169242
Baise,1.161610
Rizhao,1.156220
Sanmenxia,1.152151
Chaoyang,1.149623
Yuncheng,1.148082
Huangshi,1.146659
Shuozhou,1.144097
Benxi,1.142447
Xishuangbanna,1.141671
Heze,1.140762
Taichung,1.140318
Jiamusi,1.139042
Garze,1.137424
Keelung,1.137091
Anshun,1.136718
Yuxi,1.136189
Meizhou,1.133647
Yulin,1.130806
Bayannur,1.127859
Lvliang,1.126852
Ili(Yili),1.125832
Tieling,1.124798
Hinggan,1.124798
Yichun,1.124486
Shiyan,1.123980
Guigang,1.123838
Baishan,1.123750
Zhongwei,1.123750
Changji,1.120917
Shangqiu,1.119413
Loudi,1.118492
Xuchang,1.118290
Luohe,1.118290
Yulin,1.117557
Hezhou,1.113376
Nanyang,1.112414
Huaihua,1.111595
Fuxin,1.108658
Alty,1.108491
Wuzhou,1.107397
Liangshanzhou,1.106163
Pingdong,1.106047
Gannan,1.104707
Ezhou,1.103957
Hechi,1.103922
Xiuqian,1.100394
Jingmen,1.098686
Keramay,1.097623
Dehong,1.096121
Liaoyang,1.094588
Nantou,1.093023
