city,distance
Guangzhou,4.773104
Changsha,4.738515
Hengyang,4.118773
Shaoguan,3.917672
Zhuzhou,3.548243
Shanghai,3.530109
Shenzhen,3.351118
Wuhan,3.210275
Beijing,2.822446
Qingyuan,2.777606
Jinhua,2.676192
Dongguan,2.617570
Yingtan,2.617570
Hangzhou,2.551467
Hong Kong,2.551467
Yueyang,2.551467
Huaihua,2.474971
Chengdou,2.382868
Nanchang,2.382868
Shangrao,2.382868
Suzhou,2.382868
Xiangtan,2.382868
Xianning,2.382868
Yangzhou,2.382868
Yichun,2.382868
Yongzhou,2.382868
Zhuhai,2.382868
Foshan,2.264114
Guilin,2.264114
Jiangmen,2.264114
Luohe,2.264114
Shamen,2.264114
Tianjin,2.264114
Xiangxi,2.264114
Xinyu,2.264114
Yiyang,2.264114
Zhongshan,2.264114
Chaozhou,2.086365
Chengde,2.086365
Chongqing,2.086365
Enshi,2.086365
Ganzhou,2.086365
Haikou,2.086365
Hebi,2.086365
Huanggang,2.086365
Huizhou,2.086365
Jiaxing,2.086365
Changde,2.086365
Pingxiang,2.086365
Sanmenxia,2.086365
Shaoyang,2.086365
Shenyang,2.086365
Taipei,2.086365
Xi'an,2.086365
Xinyang,2.086365
Yangjiang,2.086365
Yichang,2.086365
Yuncheng,2.086365
Zhangjiajie,2.086365
Zhengzhou,2.086365
Zhenjiang,2.086365
Zhoushan,2.086365
Zibo,2.086365
Loudi,1.761630
Nanjing,1.736038
Wuxi,1.726455
Zhaoqing,1.726180
Kunming,1.683094
Macau,1.681050
Changzhou,1.673925
Ningbo,1.673038
Nanning,1.664159
Ningbo,1.637399
Shantou,1.634842
Sanya,1.623103
Nantong,1.583573
Fuzhou,1.579955
Zhanjiang,1.577761
Qingdao,1.557058
Xining,1.551015
Huzhou,1.549645
Jinan,1.547623
Hefei,1.541093
Heyuan,1.530871
Jingzhou,1.526235
Shaoxing,1.526210
Xiangyang,1.514692
New Taipei,1.511057
Xiaogan,1.508318
Huangshi,1.506046
Dalian,1.504282
Shijiazhuang,1.503454
Shanwei,1.499225
Jieyang,1.492455
Jiujiang,1.488569
Taiyuan,1.488437
Huangshan,1.486635
Lijiang,1.485237
Liuzhou,1.484031
Maoming,1.482902
Hezhou,1.479570
Meizhou,1.470879
Urumqi,1.468052
Shiyan,1.467163
Harbin,1.464347
Langfang,1.458229
Quzhou,1.456925
Wuzhou,1.455737
Leshan,1.450369
Ngawa,1.447504
Wenzhou,1.446495
Quanzhou,1.444154
Changchun,1.440954
Lanzhou,1.439727
Ezhou,1.433231
Taoyuan,1.432904
Luoyang,1.431447
Zhumadian,1.430713
Yunfu,1.430510
Baoding,1.428834
Dezhou,1.425371
Qinhuangdao,1.424447
