city,distance
Kaohsiung,4.765403
Taipei,4.252356
Nantou,4.149878
Tainan,4.107892
Taichung,4.028685
Taoyuan,3.655171
Yunlin,3.489129
Shanghai,3.385272
Pingdong,3.253492
New Taipei,2.964094
Changhua,2.892350
Beijing,2.825999
Hsinchu,2.811854
Taidong,2.782549
Hualien,2.735717
Miaoli,2.587514
Keelung,2.493551
Hong Kong,2.408029
Suzhou,2.207963
Hangzhou,2.150446
Nanchang,2.150446
Haikou,2.086365
Changde,1.989461
Shamen,1.989461
Shenzhen,1.989461
Wuhan,1.989461
Yilan,1.989461
Changchun,1.850901
Changsha,1.850901
Beihai,1.850901
Chongqing,1.850901
Fuzhou,1.850901
Harbin,1.850901
Huai'an,1.850901
Jiaozuo,1.850901
Jiaxing,1.850901
Jinan,1.850901
Jinhua,1.850901
Jinzhong,1.850901
Macau,1.850901
Nanjing,1.850901
Ningbo,1.850901
Penghu,1.850901
Tianjin,1.850901
Wuxi,1.850901
Yanbian,1.850901
Changzhou,1.640640
Guangzhou,1.608429
Zhoushan,1.566754
Chengdou,1.555684
Nantong,1.553752
Huzhou,1.521077
Qingdao,1.509833
Shaoxing,1.498492
Xi'an,1.487744
Yangzhou,1.479945
Langfang,1.459177
Zhenjiang,1.439713
Zhengzhou,1.433704
Kunming,1.433464
Dalian,1.433378
Baoding,1.429744
Huangshan,1.427382
Shijiazhuang,1.426502
Hefei,1.425765
Qinhuangdao,1.425351
Wenzhou,1.421573
Kinmen,1.418957
Dongguan,1.418957
Shenyang,1.409967
Taiyuan,1.408642
Chaozhou,1.402305
Taizhou,1.399324
Jiujiang,1.394421
Guilin,1.385383
Taizhou,1.375877
Tangshan,1.371065
Yancheng,1.358751
Nanning,1.354642
Zhangjiakou,1.351534
Lijiang,1.345421
Chengde,1.340704
Ningde,1.340370
Zhuhai,1.332735
Xuzhou,1.330291
Guiyang,1.328101
Shangrao,1.326339
Yantai,1.326234
Urumqi,1.323588
Quanzhou,1.323327
Haikou,1.319830
Lanzhou,1.317535
Lianyungang,1.316112
Hohhot,1.315471
Zhangjiajie,1.313150
Zhongshan,1.307836
Jilin,1.304646
Wuhu,1.300619
Xiangxi,1.298751
Baishan,1.295165
Mianyang,1.294077
Xuancheng,1.294005
Luoyang,1.292104
Ma'anshan,1.288940
Cangzhou,1.282689
Xiuqian,1.273299
Yichun,1.268282
Tai'an,1.265467
Lhasa,1.265168
Yingtan,1.265139
Nanping,1.263290
Chizhou,1.262815
Liangshanzhou,1.260557
Quzhou,1.260557
Benxi,1.260557
Zhangzhou,1.260557
Datong,1.258555
Ngawa,1.258435
Jian,1.257401
Foshan,1.256167
Xishuangbanna,1.256167
Yinchuan,1.256167
Weihai,1.243186
Lishui,1.241545
Huludao,1.240670
Bangbu,1.240236
Xining,1.237317
Baotou,1.235201
Liuzhou,1.233989
Mudanjiang,1.233989
Ordos,1.233989
Putian,1.233989
Shantou,1.233989
Dali,1.233989
Xinxiang,1.233682
Yichang,1.231461
Chuzhou,1.231329
Hulunbuir,1.228631
Yiyang,1.227088
Jingdezhen,1.226571
Dezhou,1.225166
Kaifeng,1.224595
Fuzhou,1.223355
Jining,1.221061
Hezhou,1.215081
Huizhou,1.215081
Ganzhou,1.214795
Weifang,1.212470
Xinzhou,1.211732
Daqing,1.210625
Xianning,1.210282
Chifeng,1.206388
Yan'an,1.204472
Dongying,1.204472
Anqing,1.202799
Xinyu,1.200595
Wanning,1.200017
Diqing,1.199705
Linyi,1.199520
Zhuzhou,1.199415
Handan,1.198808
Zibo,1.197516
Xiangtan,1.197510
Zaozhuang,1.193773
Jinzhou,1.193070
Leshan,1.190647
Longyan,1.187437
Pingxiang,1.187040
Hengshui,1.185953
Rizhao,1.184388
Jingzhou,1.181536
Jieyang,1.181479
Fangchenggang,1.180432
Huanggang,1.176462
Dandong,1.176017
Jiuquan,1.175351
Xiangyang,1.174606
Xingtai,1.173487
Xilingol,1.171173
Yueyang,1.170988
Xiaogan,1.170770
Huangshi,1.169400
Chongzuo,1.169265
Qionghai,1.167003
Qiqihar,1.163829
Hengyang,1.162925
Lu'an,1.162737
Laiwu,1.161954
Anyang,1.161232
Linfen,1.159259
Suihua,1.157878
Baoji,1.157172
Fushun,1.154719
Tongling,1.154713
Siping,1.152462
Anshan,1.151445
Panjin,1.148807
Pingdingshan,1.148489
Shiyan,1.145821
Garze,1.145127
Neijiang,1.141244
Qinzhou,1.141244
Deyang,1.141244
Yingkou,1.139909
