city,distance
Beijing,5.636034
Chengde,4.473934
Xilingol,3.918893
Shanghai,3.607692
Tianjin,3.607692
Hohhot,3.303596
Tongliao,3.026345
Shenyang,3.005331
Hulunbuir,2.837338
Dalian,2.749405
Hezhou,2.563631
Harbin,2.516858
Changchun,2.464942
Hinggan,2.464942
Chaoyang,2.406237
Guangzhou,2.406237
Xi'an,2.406237
Hangzhou,2.338085
Huludao,2.338085
Jinan,2.338085
Zhangjiakou,2.338085
Kunming,2.255718
Nanjing,2.255718
Ordos,2.255718
Qinhuangdao,2.255718
Shenzhen,2.255718
Chongqing,2.149016
Ganzhou,2.149016
Baotou,2.149016
Baoding,2.149016
Anshan,2.149016
Hong Kong,2.149016
Jinzhou,2.149016
Jiyuan,2.149016
Kumul(Hami),2.149016
Luoyang,2.149016
Panjin,2.149016
Sanya,2.149016
Shamen,2.149016
Suzhou,2.149016
Taipei,2.149016
Tangshan,2.149016
Anqing,2.149016
Tieling,2.149016
Wuhan,2.149016
Xuzhou,2.149016
Yantai,2.149016
Zhengzhou,2.149016
Dandong,1.988238
Daqing,1.988238
Dongying,1.988238
Foshan,1.988238
Fushun,1.988238
Fuxin,1.988238
Hengshui,1.988238
Jiaxing,1.988238
Jining,1.988238
Langfang,1.988238
Changzhou,1.988238
Qingdao,1.988238
Qiqihar,1.988238
Shijiazhuang,1.988238
Siping,1.988238
Chengdou,1.988238
Urumqi,1.988238
Weifang,1.988238
Xingtai,1.988238
Xinzhou,1.988238
Yancheng,1.988238
Yangzhou,1.988238
Yinchuan,1.988238
Tianjin,1.850901
Taiyuan,1.830563
Changsha,1.763264
Wuxi,1.744806
Hefei,1.691314
Ningbo,1.690265
Wuzhou,1.679223
Nanchang,1.669324
Cangzhou,1.657868
Guiyang,1.646121
Lanzhou,1.645481
Fuzhou,1.637448
Guilin,1.631653
Tai'an,1.629209
Datong,1.617771
Lijiang,1.614933
Zhoushan,1.612772
Taoyuan,1.605922
Nanning,1.602468
Nantong,1.598998
Haikou,1.589230
Zhuhai,1.587217
Jilin,1.582522
Lhasa,1.574598
Jinzhong,1.573868
Xining,1.568660
Huzhou,1.564414
Dezhou,1.563017
Weihai,1.552773
New Taipei,1.543651
Shaoxing,1.540533
Ngawa,1.536033
Macau,1.532583
Nanyang,1.529505
Handan,1.520370
Wenzhou,1.520026
Zibo,1.518293
Bayannur,1.517625
Liaoyang,1.507521
Benxi,1.500997
Jinhua,1.500016
Jiujiang,1.494523
Zhenjiang,1.492044
Yingkou,1.480558
Yichang,1.478962
Zaozhuang,1.474791
Zhangjiajie,1.474791
Turpan,1.466039
Huangshan,1.465478
Xianyang,1.464338
Linyi,1.463530
Jiaozuo,1.462506
Xinxiang,1.461991
Anyang,1.460436
Dali,1.454030
Kaifeng,1.450710
Quanzhou,1.446732
Baoji,1.445573
Bangbu,1.438404
Yanbian,1.435926
Taizhou,1.435917
Mudanjiang,1.435090
Huai'an,1.433401
Daxinganling,1.431858
Diqing,1.428862
Dongguan,1.428201
Wuhai,1.427516
Weinan,1.427254
Baicheng,1.427048
Lianyungang,1.422092
