city,distance
Shanghai,5.322577
Chengdou,4.447973
Beijing,4.059632
Guangzhou,2.954868
Wuhan,2.931974
Lijiang,2.896709
Xi'an,2.890844
Shenzhen,2.863165
Kunming,2.849498
Ngawa,2.805285
Nanjing,2.766327
Guiyang,2.748820
Hangzhou,2.723084
Changsha,2.710561
Lhasa,2.710561
Guang'an,2.632487
Yichang,2.626979
Shamen,2.594618
Tianjin,2.584697
Hong Kong,2.578650
Zunyi,2.570471
Dazhou,2.547258
Suining,2.475060
Suzhou,2.469993
Sanya,2.459685
Luzhou,2.427248
Nanchong,2.424433
Zhengzhou,2.412987
Jinan,2.401227
Neijiang,2.392188
Wuxi,2.392188
Hefei,2.347186
Qingdao,2.347186
Xiangxi,2.336858
Leshan,2.333355
Zigong,2.329821
Enshi,2.311655
Yibin,2.296483
Guilin,2.292595
Ningbo,2.292595
Urumqi,2.284696
Dalian,2.276627
Mianyang,2.264188
Shenyang,2.259947
Shijiazhuang,2.255657
Taiyuan,2.251315
Huizhou,2.224110
Haikou,2.219367
Nanchang,2.199727
Tongren,2.199727
Nanning,2.194638
Dali,2.184227
Changzhou,2.156703
Harbin,2.139017
Huangshan,2.139017
Dezhou,2.126667
Wenzhou,2.113820
Diqing,2.107195
Jiaxing,2.106785
Taipei,2.100426
Deyang,2.086428
Lanzhou,2.079181
Xiangyang,2.071757
Zhuhai,2.071757
Ankang,2.056333
Yinchuan,2.056333
Zhangjiajie,2.048309
Garze,2.040059
Liangshanzhou,2.040059
Huaihua,2.013791
Jinhua,2.004464
Xuzhou,2.004464
Ziyang,2.004464
Changchun,1.994815
Nyingchi,1.994815
Liuzhou,1.984816
Dongguan,1.984816
Zhuzhou,1.984816
Beihai,1.974436
Luoyang,1.963641
Taoyuan,1.963641
Baoshan,1.952388
Nanyang,1.952388
Quanzhou,1.952388
Qiandongnan,1.940631
Xiangtan,1.940631
Shiyan,1.928315
Xining,1.928315
Yantai,1.928315
Yueyang,1.915375
Hohhot,1.901732
Baoding,1.901732
Ya'an,1.901732
Zhenjiang,1.901732
Tangshan,1.887293
Zhoushan,1.884148
Huzhou,1.871942
Meishan,1.871942
Nantong,1.865376
Xianyang,1.855534
Qingdao,1.846509
Ordos,1.837889
Foshan,1.818770
Wanning,1.818770
Xishuangbanna,1.818770
Yangzhou,1.818770
Yuxi,1.818770
Zhongshan,1.818770
Huai'an,1.797862
Hanzhong,1.797862
Loudi,1.797862
Changde,1.797862
Shaoxing,1.786291
Nanping,1.774733
Pingdingshan,1.774733
Weinan,1.774733
Xingtai,1.774733
Zhangzhou,1.774733
Jian,1.748761
Jingzhou,1.748761
Jining,1.748761
