city,distance
Nanning,6.413157
Baise,3.933750
Shanghai,3.906396
Beihai,3.850065
Guangzhou,3.140554
Jinhua,3.051159
Beijing,2.949710
Guilin,2.949710
Fangchenggang,2.785678
Hechi,2.683684
Chengdou,2.388806
Kunming,2.388806
Wuhan,2.388806
Liuzhou,2.272761
Guigang,2.269475
Hangzhou,2.269475
Lhasa,2.269475
Nanjing,2.269475
Qinzhou,2.269475
Shamen,2.269475
Huizhou,2.224110
Changzhou,2.090916
Hefei,2.090916
Hezhou,2.090916
Hong Kong,2.090916
Laibin,2.090916
Qingdao,2.090916
Sanya,2.090916
Shenyang,2.090916
Shenzhen,2.090916
Shijiazhuang,2.090916
Suzhou,2.090916
Tangshan,2.090916
Wenzhou,2.090916
Xishuangbanna,2.090916
Zhaoqing,2.090916
Yulin,1.972766
Wuzhou,1.941324
Changsha,1.924056
Jiaxing,1.842406
Guiyang,1.839632
Chongqing,1.816302
Wuxi,1.811809
Haikou,1.805509
Xi'an,1.782184
Foshan,1.774761
Ningbo,1.753070
Nanchang,1.731316
Zhuhai,1.731316
Tianjin,1.714836
Taipei,1.690648
Haixi,1.684070
Zhoushan,1.669852
Zhanjiang,1.657259
Nantong,1.655091
Shaoxing,1.625361
Huizhou,1.620735
Zhengzhou,1.620735
Huzhou,1.618065
Dongguan,1.609451
Taiyuan,1.589527
Wenshan,1.572413
Yangzhou,1.571600
Harbin,1.564907
Xiangxi,1.551024
Zhongshan,1.539195
Lijiang,1.535793
Macau,1.535793
Quanzhou,1.535793
Zhenjiang,1.526307
Quzhou,1.524477
Dalian,1.519189
Dali,1.518884
Huangshan,1.512456
Jiangmen,1.510436
Lishui,1.502157
Nyingchi,1.500387
Nanping,1.499820
Qiandongnan,1.499820
Urumqi,1.499820
Xining,1.499820
Langfang,1.491475
Luoyang,1.484574
Qianxinan,1.484574
Qujing,1.484574
Changde,1.484574
Taizhou,1.480990
Anshun,1.477881
Honghe,1.477881
Huaihua,1.477881
Lanzhou,1.477881
Maoming,1.477881
Qiannan,1.477881
Yongzhou,1.477881
Zhuzhou,1.477881
Jinan,1.471997
Qingyuan,1.470523
Baoding,1.460739
Qinhuangdao,1.456154
Taizhou,1.454752
Leshan,1.452567
Jingdezhen,1.451889
Changchun,1.451889
Shizuishan,1.451889
Ngawa,1.449693
Nagqu,1.445173
Shangrao,1.441456
Yangjiang,1.436882
Yancheng,1.435620
Shaoguan,1.432926
Shannan,1.432696
Dezhou,1.419697
Jieyang,1.419697
Ganzhou,1.419697
Mianyang,1.419697
Hohhot,1.419697
Ningde,1.419697
Pingxiang,1.419697
Hengyang,1.419697
Xinyang,1.419697
Yantai,1.419697
Yichun,1.419697
Taoyuan,1.409004
Jilin,1.406029
Lingshui,1.406029
Baotou,1.406029
Putian,1.406029
Weicu,1.406029
Xinyu,1.406029
Zunyi,1.406029
Xuzhou,1.403886
Lianyungang,1.388104
Shantou,1.387756
Zhangjiajie,1.384810
Zhangjiakou,1.379198
Kaohsiung,1.376677
Meishan,1.376677
Nanchong,1.376677
Ulanqab,1.376677
Xiangyang,1.376677
Yichang,1.376677
Yilan,1.376677
