city,distance
Shanghai,5.070917
Nanjing,4.945714
Hefei,3.956448
Bangbu,3.590551
Beijing,3.318937
Suzhou,3.139565
Xuzhou,3.081608
Wuxi,2.940111
Zhenjiang,2.851037
Changzhou,2.826725
Yangzhou,2.801430
Jinan,2.687939
Zhengzhou,2.687939
Chengdou,2.672022
Xiuzhou,2.655628
Tai'an,2.544732
Anqing,2.523597
Hangzhou,2.523597
Zaozhuang,2.501480
Huai'an,2.453796
Tianjin,2.453796
Tongling,2.453796
Wuhu,2.427909
Xiuqian,2.400380
Cangzhou,2.370934
Lu'an,2.370934
Wuhan,2.370934
Chizhou,2.339212
Jining,2.304739
Ma'anshan,2.304739
Xi'an,2.266867
Fuyang,2.224665
Haixi,2.224665
Huaibei,2.224665
Nantong,2.224665
Chongqing,2.176736
Huainan,2.176736
Huangshan,2.176736
Jiaxing,2.176736
Shangqiu,2.176736
Luoyang,2.120813
Nanchang,2.120813
Shamen,2.120813
Shijiazhuang,2.120813
Taizhou,2.120813
Bozhou,2.052821
Haikou,2.052821
Hengshui,2.052821
Kaifeng,2.052821
Ningbo,2.052821
Qingdao,2.052821
Shaoxing,2.052821
Taipei,2.052821
Taiyuan,2.052821
Xinyang,2.052821
Hong Kong,2.022814
Dongguan,1.964073
Langfang,1.964073
Lanzhou,1.964073
Lianyungang,1.964073
Luohe,1.964073
Changchun,1.964073
Weinan,1.964073
Yichang,1.964073
Zhoushan,1.964073
Guangzhou,1.881469
Fuxin,1.828907
Changzhi,1.828907
Harbin,1.828907
Heze,1.828907
Huanggang,1.828907
Baiyin,1.828907
Jinzhou,1.828907
Jiujiang,1.828907
Jiuquan,1.828907
Lhasa,1.828907
Liaocheng,1.828907
Liaoyang,1.828907
Baoding,1.828907
Nanning,1.828907
Nanping,1.828907
Changsha,1.828907
Nanyang,1.828907
Dalian,1.828907
Rizhao,1.828907
Sanmenxia,1.828907
Sanya,1.828907
Shenzhen,1.828907
Datong,1.828907
Taizhou,1.828907
Tangshan,1.828907
Xianning,1.828907
Xuancheng,1.828907
Yantai,1.828907
Zhaoqing,1.828907
Zhuhai,1.828907
Zhumadian,1.828907
Nanchang,1.731316
Jinhua,1.704515
Kunming,1.668290
Wenzhou,1.652205
Yancheng,1.636477
Shenyang,1.625528
Macau,1.617349
Fuzhou,1.607239
Guilin,1.603520
Xining,1.572402
Leshan,1.552637
Lijiang,1.550226
Ngawa,1.549353
Qinhuangdao,1.540771
Taoyuan,1.536255
Guiyang,1.527276
Shangrao,1.524946
Urumqi,1.521311
Zhangjiajie,1.507537
New Taipei,1.493384
Zibo,1.474460
Xinxiang,1.470895
Quanzhou,1.464046
Jiaozuo,1.462692
Zhangjiakou,1.454875
Weifang,1.454544
Dezhou,1.448407
Hohhot,1.444881
Chengde,1.442334
Nagqu,1.440637
Deyang,1.440229
Yinchuan,1.422373
Quzhou,1.421219
Mianyang,1.417543
Weihai,1.416048
Lishui,1.413919
Linyi,1.413645
Xianyang,1.411526
Beihai,1.408278
Yingtan,1.399489
Kaohsiung,1.397933
Jinzhong,1.384044
Anyang,1.382831
Garze,1.377313
Jingdezhen,1.375492
Anshan,1.375279
Baoji,1.374422
Jian,1.373174
Pingdingshan,1.370169
Foshan,1.369500
Dali,1.368398
Ya'an,1.367970
Xuchang,1.365633
Liuzhou,1.360856
Xiangxi,1.360145
Diqing,1.359908
Jilin,1.359878
Ningde,1.352291
Qionghai,1.340946
Laiwu,1.339851
Baotou,1.337407
Jieyang,1.336536
Nanchong,1.334453
Jiayuguan,1.330390
Huludao,1.327210
Meishan,1.327148
Yanbian,1.325533
Binzhou,1.319624
Dongying,1.317870
Taichung,1.316504
Hulunbuir,1.313442
Shantou,1.312602
Neijiang,1.309203
Zhongshan,1.308929
Zhuzhou,1.308180
Jingzhou,1.306366
Xiangyang,1.303569
Yan'an,1.303189
Liangshanzhou,1.303111
Ganzhou,1.299977
Zhangzhou,1.299324
Ordos,1.297513
Haibei,1.296322
Xinzhou,1.294326
Nyingchi,1.294266
Xiaogan,1.293217
Suining,1.292983
Huangshi,1.291547
Longyan,1.291091
Chifeng,1.288055
Hebi,1.287334
Zhoukou,1.287334
Ziyang,1.283993
Yichun,1.282828
Shiyan,1.281323
Nantou,1.280899
Pingdong,1.279428
Shaoguan,1.279428
Handan,1.279417
Zhanjiang,1.278934
Dandong,1.276992
Puyang,1.276097
Zigong,1.274837
Hezhou,1.272273
Wanning,1.271209
Yueyang,1.270911
Panjin,1.269047
Suihua,1.268499
Baoshan,1.267394
Xishuangbanna,1.265714
Xingtai,1.265248
Huizhou,1.264005
Changde,1.258698
Yibin,1.258148
Guangyuan,1.256521
Hualien,1.254995
Xinyu,1.253730
Sanming,1.253091
Luzhou,1.251041
Putian,1.250493
Xilingol,1.247990
Keelung,1.245337
Jiangmen,1.245082
Tainan,1.245082
Shannan,1.243582
Daqing,1.242973
Shuozhou,1.241994
Hanzhong,1.240216
Qiqihar,1.239654
Pingxiang,1.238611
Ezhou,1.237625
Wenchang,1.236325
Mudanjiang,1.234819
Yuncheng,1.234819
Jincheng,1.234333
Enshi,1.234037
Yunlin,1.232470
Hsinchu,1.232114
Jingmen,1.231005
Fushun,1.229323
Dazhou,1.229265
Qiandongnan,1.227589
Jiyuan,1.227504
Qingyuan,1.225051
Ulanqab,1.221960
Ankang,1.221700
Chiayi,1.221556
Fuzhou,1.219759
Chaoyang,1.219193
Xiangtan,1.216056
Hengyang,1.216056
Yingkou,1.212551
Tianshui,1.210834
Yilan,1.210771
Alty,1.206090
Zhangye,1.204689
Weicu,1.203960
Anshun,1.201778
Chongzuo,1.201156
Zhongwei,1.199442
Yulin,1.198571
Tongliao,1.198520
Linfen,1.198520
Lvliang,1.196839
Yangquan,1.195584
Panzhihua,1.195583
Tonghua,1.195544
Wenshan,1.195544
Shaoyang,1.195544
Alxa,1.195544
Siping,1.195348
Shangluo,1.192923
Baishan,1.192477
Guang'an,1.191508
Gannan,1.188718
Danzhou,1.185433
Penghu,1.182085
Sansha,1.182085
Kashgar,1.179282
Zunyi,1.178638
Ili(Yili),1.177846
Suizhou,1.177131
Chaozhou,1.174899
Huaihua,1.168684
Wuwei,1.168560
Qinzhou,1.168232
Turpan,1.165397
Taidong,1.165397
Benxi,1.161824
Tongchuan,1.160653
Kinmen,1.160214
Dingxi,1.159746
Jiamusi,1.158303
Linxia,1.157730
Baise,1.157657
Bazhong,1.156725
Yichun,1.156571
Chengmai,1.155288
Meizhou,1.155225
Bayingolin,1.152761
Keramay,1.152761
Chenzhou,1.152761
Fangchenggang,1.152004
Songyuan,1.151492
Qiannan,1.150787
Bayannur,1.146741
Loudi,1.144566
Lingshui,1.144410
Tieling,1.143576
Hinggan,1.143576
Dingan,1.143107
Qamdo,1.139334
Daxinganling,1.135900
Yunfu,1.135900
Changhua,1.135900
Honghe,1.127858
Heyuan,1.122358
Yiyang,1.122358
Guigang,1.120138
Kumul(Hami),1.118001
Dehong,1.116439
Qujing,1.116439
Yulin,1.113899
Yuxi,1.113300
Ledong,1.113153
Liupanshui,1.111453
Yangjiang,1.111453
Changji,1.111453
Wuhai,1.110747
Pu'er,1.110027
Jinchang,1.108192
Jixi,1.108192
Qingyang,1.108192
Miaoli,1.108192
Yongzhou,1.106606
Wuzhou,1.103804
Hechi,1.100351
Shizuishan,1.099261
Ngari,1.098075
Tongren,1.094085
Baoting,1.091111
Heihe,1.091111
Laibin,1.086392
Yushuzhou,1.082721
Hotan,1.076878
Liaoyuan,1.076878
Lincang,1.076878
Longnan,1.075662
