city,distance
Lijiang,5.372403
Kunming,5.342031
Weicu,3.875138
Shanghai,3.835685
Beijing,3.298602
Diqing,3.097010
Chengdou,2.934380
Baoshan,2.911749
Chongqing,2.616694
Xishuangbanna,2.577289
Guangzhou,2.525487
Hangzhou,2.375806
Meizhou,2.362836
Nujiang,2.362836
Dehong,2.257738
Wuhan,2.240019
Sanya,2.221382
Hefei,2.201706
Guiyang,2.158605
Huaihua,2.134762
Shenzhen,2.134762
Liangshanzhou,2.109845
Lincang,2.109011
Xi'an,2.109011
Hong Kong,2.080949
Tianjin,2.080949
Suzhou,2.063600
Kaifeng,2.052821
Nanjing,2.050025
Nanning,2.050025
Ngawa,2.050025
Shamen,2.050025
Yuxi,2.050025
Changsha,2.015449
Pu'er,2.015449
Qujing,2.015449
Yangjiang,2.015449
Honghe,1.976031
Shijiazhuang,1.976031
Guilin,1.929836
Zhengzhou,1.929836
Leshan,1.873375
Qamdo,1.873375
Qiandongnan,1.873375
Qingdao,1.873375
Ulanqab,1.873375
Wuxi,1.873375
Jiaxing,1.826526
Dalian,1.799184
Haikou,1.799184
Harbin,1.799184
Huzhou,1.799184
Beihai,1.799184
Liuzhou,1.799184
Ningbo,1.799184
Shenyang,1.799184
Taipei,1.799184
Taiyuan,1.799184
Changzhou,1.799184
Anshun,1.799184
Zhuhai,1.799184
Dongguan,1.685101
Enshi,1.685101
Fuzhou,1.685101
Garze,1.685101
Handan,1.685101
Hengyang,1.685101
Huangshan,1.685101
Huizhou,1.685101
Jingzhou,1.685101
Jining,1.685101
Kaohsiung,1.685101
Lanzhou,1.685101
Lhasa,1.685101
Linyi,1.685101
Liupanshui,1.685101
Macau,1.685101
Mianyang,1.685101
Nanchang,1.685101
Nanping,1.685101
Neijiang,1.685101
Nyingchi,1.685101
Qingyuan,1.685101
Shangqiu,1.685101
Taizhou,1.685101
Wenshan,1.685101
Wenzhou,1.685101
Xiangtan,1.685101
Xining,1.685101
Xinyu,1.685101
Baise,1.685101
Xuzhou,1.685101
Yangzhou,1.685101
Yantai,1.685101
Yunfu,1.685101
Zaozhuang,1.685101
Zhanjiang,1.685101
Zhoushan,1.656796
Nantong,1.642264
Changde,1.609549
Shaoxing,1.580653
Langfang,1.575747
Zhaotong,1.568725
Foshan,1.560052
Jinan,1.557430
Panzhihua,1.551466
Baoding,1.541479
Jinhua,1.538027
Qinhuangdao,1.536374
Zhenjiang,1.515392
Qianxinan,1.473798
Tangshan,1.473489
Urumqi,1.468575
Yibin,1.463149
Heyuan,1.453761
Zhangjiakou,1.450954
Taizhou,1.444832
Chengde,1.438480
Ya'an,1.433590
Changchun,1.432349
Jinzhong,1.429100
Yancheng,1.425959
Xiangxi,1.424071
Anyang,1.417514
Hohhot,1.409472
Taoyuan,1.399697
Nanchong,1.396824
Shangrao,1.390303
Meishan,1.388822
Shantou,1.388074
Zunyi,1.381721
Lianyungang,1.379070
Jieyang,1.376321
Zhangjiajie,1.375819
Zhongshan,1.375065
Zigong,1.374623
Cangzhou,1.371905
Quanzhou,1.370887
Wuhu,1.362070
Yichang,1.358975
Jiangmen,1.357025
Xuancheng,1.354817
New Taipei,1.354475
Tai'an,1.352222
Suining,1.351453
Loudi,1.349790
Xianyang,1.348670
Luoyang,1.345718
Wanning,1.345506
Datong,1.344333
Ziyang,1.341634
Longyan,1.337773
Yinchuan,1.334598
Ordos,1.330732
Chaozhou,1.325722
Huludao,1.323946
Huai'an,1.321288
Chizhou,1.320665
Baotou,1.317720
Weinan,1.317150
Baoji,1.314757
Yulin,1.313433
Jingdezhen,1.313433
Zhuzhou,1.313433
Guang'an,1.312283
Guangyuan,1.311669
Qiannan,1.310801
Hulunbuir,1.310245
Hanzhong,1.307017
Dezhou,1.306306
Zhaoqing,1.305876
Luzhou,1.305699
Qionghai,1.304141
Quzhou,1.303564
Jiujiang,1.303075
Weihai,1.299212
Tongren,1.298752
Xianning,1.298651
Anqing,1.297673
Lishui,1.297420
Bangbu,1.295991
Xiangyang,1.292862
Yingtan,1.292862
Yulin,1.292862
Chongzuo,1.292733
Weifang,1.291883
Xinzhou,1.291044
Dazhou,1.290755
Shaoguan,1.289622
Chuzhou,1.286268
Chifeng,1.284980
Lu'an,1.284909
Zibo,1.274919
Gannan,1.274667
Zhangzhou,1.272407
Ningde,1.270467
Dongying,1.270467
Maoming,1.270467
Xiaogan,1.270467
Hebi,1.270467
Fushun,1.270467
Jinzhou,1.269881
Jilin,1.269103
Xinxiang,1.267739
Ganzhou,1.267275
Taichung,1.267275
Yichun,1.267275
Kaifeng,1.265737
Ma'anshan,1.264105
Jian,1.263030
Hengshui,1.261821
Huanggang,1.259792
Qinzhou,1.254677
Huainan,1.254636
Huangshi,1.251697
Dandong,1.250580
Yan'an,1.249427
Xingtai,1.247719
Xilingol,1.245103
Qiqihar,1.236806
Fangchenggang,1.235977
Pingdong,1.235428
Jiaozuo,1.235351
Rizhao,1.235132
Yueyang,1.234767
Pingdingshan,1.232884
Mudanjiang,1.232884
Bijie,1.232884
Wuzhou,1.232884
Fuyang,1.232884
Xiuqian,1.232884
Yilan,1.232884
Liaocheng,1.232884
Liaoyang,1.232884
Jiuquan,1.225306
Shiyan,1.224721
Daqing,1.223663
Anshan,1.222830
Yanbian,1.222613
Panjin,1.219854
Tongling,1.213137
Lingshui,1.212741
Shanwei,1.212502
Suihua,1.212502
Suizhou,1.212502
Tongchuan,1.212502
Wenchang,1.212502
Huaibei,1.212502
Puyang,1.212502
Putian,1.212502
Ankang,1.212502
Nanyang,1.212502
Sanmenxia,1.212502
Yingkou,1.209826
Tainan,1.203639
Bazhong,1.203298
Ezhou,1.200986
Guigang,1.199370
Binzhou,1.195228
Jingmen,1.194751
Shaoyang,1.194586
Yangquan,1.192935
Sanming,1.188104
Hezhou,1.185907
Nantou,1.184542
Nagqu,1.183762
Haixi,1.181734
Bozhou,1.178224
Bayingolin,1.178224
Tonghua,1.178224
Turpan,1.178224
Wuhai,1.178224
Benxi,1.178224
Shangluo,1.178224
Laiwu,1.178224
Jiayuguan,1.178224
Baiyin,1.178224
Xuchang,1.178224
Laibin,1.178224
Yuncheng,1.178224
Hegang,1.178224
Dingxi,1.178224
Zhumadian,1.178224
Hechi,1.176713
Shannan,1.175378
Xinyang,1.174231
Changzhi,1.167495
Yiyang,1.167274
Chaoyang,1.166712
Tongliao,1.163508
Xiuzhou,1.162355
Hualien,1.162355
Chenzhou,1.161190
Shuozhou,1.161022
Chiayi,1.158025
Heze,1.157587
Jiamusi,1.155816
Haibei,1.155815
Pingxiang,1.148287
Keelung,1.147226
Siping,1.145327
Bayannur,1.144303
Lvliang,1.143266
Yunlin,1.143007
Ili(Yili),1.142216
Baoting,1.141265
Tieling,1.141152
Hinggan,1.141152
Baishan,1.140074
Zhongwei,1.140074
Taidong,1.139347
Linfen,1.138981
Hsinchu,1.135995
Luohe,1.134454
Fuzhou,1.132066
Tianshui,1.129224
Fuxin,1.124543
Alty,1.120282
Keramay,1.113191
Aksu,1.111512
Wuzhishan,1.110958
Daxinganling,1.103415
Sansha,1.099542
Penghu,1.099542
Kashgar,1.097117
Danzhou,1.096195
Yongzhou,1.096112
Ledong,1.093376
Qingyang,1.092247
Jincheng,1.092172
Alxa,1.083593
Kinmen,1.080594
Heihe,1.079832
Zhoukou,1.078412
Yichun,1.077433
Linxia,1.073014
Chengmai,1.070368
Kumul(Hami),1.068436
Songyuan,1.068436
Jixi,1.065561
Zhangye,1.065109
Wuwei,1.063780
Baicheng,1.062562
Dongfang,1.062323
Dingan,1.062323
Changji,1.053472
Shizuishan,1.052693
Haidong,1.052504
Huangnan,1.051477
Wuzhong,1.045217
Ngari,1.044555
Jiyuan,1.040791
Miaoli,1.033944
Longnan,1.027883
Shuangyashan,1.027141
Liaoyuan,1.027141
Pingliang,1.024940
Golog,1.023386
Changhua,1.016845
Jinchang,1.015775
Qitaihe,1.010472
Hotan,1.008447
Tacheng,1.007984
Bortala,1.003169
Changjiang,0.990574
Yushuzhou,0.985647
Guyuan,0.981527
Qiongzhong,0.932263
Kezilsu,0.867460
