city,distance
Shanghai,5.531367
Beijing,4.698189
Shenyang,3.873581
Yingkou,3.168034
Tianjin,3.003962
Changchun,2.867920
Harbin,2.862170
Yantai,2.856368
Qingdao,2.842623
Hangzhou,2.820402
Anshan,2.775626
Nanjing,2.750772
Guangzhou,2.739118
Dandong,2.687404
Xi'an,2.572781
Panjin,2.559779
Jinzhou,2.556474
Hong Kong,2.522130
Jinan,2.514956
Zhengzhou,2.514956
Shenzhen,2.503986
Chengdou,2.473399
Suzhou,2.471164
Wuhan,2.465422
Qinhuangdao,2.444836
Chongqing,2.409751
Taiyuan,2.381411
Shamen,2.356222
Weihai,2.350992
Fushun,2.318085
Ningbo,2.306474
Benxi,2.300534
Liaoyang,2.275804
Shijiazhuang,2.262799
Wuxi,2.242385
Huludao,2.235317
Chaoyang,2.220747
Jilin,2.220747
Taipei,2.220747
Jiaxing,2.138740
Xuzhou,2.127233
Daqing,2.117252
Kunming,2.096287
Tangshan,2.096287
Xining,2.096287
Tieling,2.073794
Xiangtan,2.073794
Qiqihar,2.061887
Siping,2.061887
Zhuhai,2.061887
Changzhou,2.049484
Changsha,2.049484
Nanyang,2.036533
Zhongshan,2.022974
Fuxin,2.008737
Fuzhou,2.008737
Sanya,2.008737
Nanchang,1.993737
Urumqi,1.993737
Chifeng,1.977872
Yanbian,1.977872
Langfang,1.961018
Lijiang,1.961018
Nantong,1.961018
Tonghua,1.961018
Yichun,1.961018
Luoyang,1.943020
Tongliao,1.943020
Lianyungang,1.923681
Mudanjiang,1.923681
Weifang,1.923681
Zhoushan,1.909665
Jinhua,1.902745
Taizhou,1.902745
Taoyuan,1.902745
Datong,1.902745
Baoding,1.879874
Hohhot,1.854601
Huzhou,1.854601
Lanzhou,1.854601
Linyi,1.854601
Baishan,1.854601
Guilin,1.826258
Dongguan,1.826258
Rizhao,1.826258
Wenzhou,1.826258
Yangzhou,1.826258
Zibo,1.826258
Shaoxing,1.809210
Haikou,1.799184
Hulunbuir,1.793833
Bangbu,1.793833
Baicheng,1.793833
Suihua,1.793833
Yinchuan,1.793833
Yuncheng,1.793833
Zhangjiajie,1.793833
Zhangjiakou,1.793833
Haikou,1.793833
Hinggan,1.755682
Huangshan,1.755682
Jiamusi,1.755682
Jining,1.755682
Guiyang,1.755682
Songyuan,1.755682
Tai'an,1.755682
Dongying,1.755682
Wuhu,1.755682
Binzhou,1.755682
Zhenjiang,1.755682
Bayannur,1.708827
Lhasa,1.708827
Foshan,1.708827
Luohe,1.708827
Macau,1.708827
Nanning,1.708827
Ordos,1.708827
Baotou,1.708827
Xianyang,1.708827
Xuancheng,1.708827
Taizhou,1.666609
Chengde,1.653255
Guang'an,1.646882
Diqing,1.646882
Liaoyuan,1.646882
Linfen,1.646882
Hualien,1.646882
Mianyang,1.646882
Deyang,1.646882
Baiyin,1.646882
Nanping,1.646882
New Taipei,1.646882
Ngawa,1.646882
Anshun,1.646882
Quanzhou,1.646882
Bazhong,1.646882
Shuangyashan,1.646882
Anqing,1.646882
Honghe,1.646882
Dezhou,1.646882
Weicu,1.646882
Cangzhou,1.646882
Wuzhong,1.646882
Baoji,1.646882
Xiangxi,1.646882
Huizhou,1.646882
Xiaogan,1.646882
Xilingol,1.646882
Xinzhou,1.646882
Beihai,1.646882
Anyang,1.646882
Yibin,1.646882
Yichang,1.646882
Huai'an,1.646882
Ganzhou,1.646882
Dali,1.646882
Zigong,1.646882
Ziyang,1.646882
Yancheng,1.609373
Shangrao,1.564100
Liangshanzhou,1.550780
Huainan,1.550780
Lishui,1.550780
Liuzhou,1.550780
Longyan,1.550780
Jiaozuo,1.550780
Ezhou,1.550780
Miaoli,1.550780
Huangnan,1.550780
Nyingchi,1.550780
Pingxiang,1.550780
Jincheng,1.550780
Qitaihe,1.550780
Jingdezhen,1.550780
Quzhou,1.550780
Sanmenxia,1.550780
Shaoguan,1.550780
Haixi,1.550780
Shaoyang,1.550780
Alxa,1.550780
Jingmen,1.550780
Shiyan,1.550780
Shizuishan,1.550780
Jingzhou,1.550780
Chuzhou,1.550780
Taichung,1.550780
Taidong,1.550780
Baise,1.550780
Dazhou,1.550780
Tongling,1.550780
Tongren,1.550780
Jiujiang,1.550780
Danzhou,1.550780
Jixi,1.550780
Kaifeng,1.550780
Xingtai,1.550780
Xinyang,1.550780
Changzhi,1.550780
Xuchang,1.550780
Haidong,1.550780
Enshi,1.550780
Handan,1.550780
Zaozhuang,1.550780
Heihe,1.550780
Zhanjiang,1.550780
Laiwu,1.550780
Zhuzhou,1.550780
Hengshui,1.550780
Ma'anshan,1.536215
Jinzhong,1.526007
Weinan,1.484244
Leshan,1.483418
Chizhou,1.476512
Yingtan,1.432396
Kaohsiung,1.430767
Xinxiang,1.417541
Jiangmen,1.410982
Jian,1.404842
Yan'an,1.398806
Zhangzhou,1.384041
Ningde,1.382992
Daxinganling,1.381162
Qingyuan,1.376091
Xianning,1.371337
Jieyang,1.366518
Zhaoqing,1.360752
Jiuquan,1.358327
Ulanqab,1.357007
Xiangyang,1.345409
Shantou,1.341508
Lu'an,1.341508
Yangquan,1.336973
Haibei,1.335491
Liaocheng,1.333265
Xiuqian,1.330423
Huanggang,1.328079
Hanzhong,1.326510
Pingdingshan,1.323756
Garze,1.322568
Huangshi,1.319086
Ya'an,1.313950
Shangqiu,1.310999
Yichun,1.310424
Turpan,1.309761
Nantou,1.308411
Pingdong,1.306877
Ankang,1.305350
Keelung,1.305211
Lvliang,1.301544
Hezhou,1.299412
Changji,1.298902
Wanning,1.298302
Shuozhou,1.297017
Baoshan,1.294323
Heze,1.292733
Xishuangbanna,1.292571
Fuyang,1.292571
Hsinchu,1.290693
Huaibei,1.288976
Changde,1.285254
Meizhou,1.283603
Puyang,1.283603
Nanchong,1.282998
Yangjiang,1.282605
Yueyang,1.282404
Alty,1.282247
Xiuzhou,1.281394
Xinyu,1.280075
Yulin,1.279962
Sanming,1.279409
Putian,1.276701
Meishan,1.276244
Qionghai,1.273920
Ili(Yili),1.273593
Shangluo,1.272550
Tainan,1.271061
Zhongwei,1.270930
Yilan,1.267292
Hegang,1.259990
Neijiang,1.259641
Yunlin,1.257920
Qiandongnan,1.256448
Tianshui,1.249856
Zunyi,1.248333
Yiyang,1.246981
Gannan,1.246626
Chiayi,1.246553
Fuzhou,1.244681
Suining,1.244619
Zhumadian,1.243247
Hengyang,1.240826
Yuxi,1.240564
Zhoukou,1.239569
Keramay,1.237612
Heyuan,1.236405
Tongchuan,1.235894
Dehong,1.235703
Bozhou,1.233755
Wuhai,1.231767
Loudi,1.229918
Hebi,1.229737
Jiayuguan,1.223637
Bayingolin,1.223227
Yongzhou,1.216538
Shanwei,1.215680
Chongzuo,1.212381
Luzhou,1.211687
Guangyuan,1.211687
Qujing,1.210236
Nagqu,1.209468
Kashgar,1.208016
Sansha,1.205477
Penghu,1.205477
Maoming,1.204925
Chenzhou,1.204380
Suizhou,1.199964
Chaozhou,1.198005
Huaihua,1.195360
Zhangye,1.191136
Jiyuan,1.190121
Wuzhou,1.186928
Shannan,1.186872
Kinmen,1.182740
Kumul(Hami),1.182541
Qiannan,1.172946
Yunfu,1.170104
Qinzhou,1.163286
Panzhihua,1.154114
Aksu,1.152243
Fangchenggang,1.151846
Qingyang,1.149473
Lingshui,1.146482
Wenchang,1.143907
Qianxinan,1.143907
Changhua,1.139998
Bijie,1.138250
Pu'er,1.134480
Qamdo,1.132162
Wuwei,1.128913
Pingliang,1.123349
Tacheng,1.121341
Dingxi,1.120685
Linxia,1.118803
Jinchang,1.118369
Guigang,1.118369
Hechi,1.115353
Hotan,1.114993
Yushuzhou,1.113387
Wenshan,1.111833
Baoting,1.111011
Bortala,1.108073
Lincang,1.096257
Yulin,1.093107
Guyuan,1.082982
Longnan,1.079834
Zhaotong,1.078400
Chengmai,1.068472
Liupanshui,1.059903
Laibin,1.058546
Dingan,1.058045
Wuzhishan,1.055099
Ngari,1.053623
Golog,1.052827
Dongfang,1.048438
Ledong,1.039227
Nujiang,1.024789
Changjiang,1.015554
Kezilsu,0.966132
Qiongzhong,0.930824
