city,distance
Haikou,6.591803
Sanya,3.779435
Shanghai,3.568788
Chengmai,3.308864
Changjiang,2.942498
Guangzhou,2.942498
Hong Kong,2.942498
Zaozhuang,2.942498
Beijing,2.763510
Chongqing,2.763510
Dongfang,2.763510
Wuzhishan,2.763510
Zhanjiang,2.763510
Dalian,2.503208
Fangchenggang,2.503208
Hefei,2.503208
Putian,2.503208
Qinzhou,2.503208
Qionghai,2.503208
Shangrao,2.503208
Shenzhen,2.503208
Wanning,2.503208
Wenchang,2.503208
Xi'an,2.503208
Xiaogan,2.503208
Suzhou,1.983782
Jinhua,1.948924
Wuhan,1.917384
Hangzhou,1.909255
Chengdou,1.889243
Lingshui,1.857420
Changsha,1.853990
Dingan,1.853990
Nanjing,1.843385
Shamen,1.843385
Nanning,1.832269
Kunming,1.808251
Tianjin,1.799632
Weinan,1.799632
Ledong,1.776457
Jiaxing,1.763715
Nanchang,1.761237
Zhuhai,1.761237
Zhengzhou,1.750435
Wuxi,1.735655
Fuzhou,1.729040
Jinan,1.722864
Jining,1.722864
Guilin,1.714089
Foshan,1.709728
Xuzhou,1.695522
Changzhou,1.682572
Baoting,1.677620
Beihai,1.660797
Zhoushan,1.604951
Qingdao,1.598076
Urumqi,1.598076
Nantong,1.591310
Guiyang,1.584970
Quanzhou,1.583598
Harbin,1.570731
Wenzhou,1.570731
Macau,1.567847
Qiongzhong,1.562183
Huzhou,1.557053
Dongguan,1.555786
Hohhot,1.555112
Maoming,1.549189
Tai'an,1.539814
Baotou,1.537777
Shenyang,1.537777
Shaoxing,1.533395
Huangshan,1.532603
Taipei,1.518239
Yangzhou,1.513980
Yangjiang,1.501118
Xianyang,1.499693
Liuzhou,1.495762
Meishan,1.495762
Zhaoqing,1.495762
Jinhua,1.493248
Zhongshan,1.490041
Linyi,1.479279
Zhenjiang,1.471902
Quzhou,1.469329
Changchun,1.469143
Lanzhou,1.469143
Luoyang,1.469143
Shijiazhuang,1.469143
Siping,1.469143
Taoyuan,1.469143
Jiangmen,1.463074
Baoji,1.457878
Jingdezhen,1.455994
Yingtan,1.454675
Langfang,1.442336
Jieyang,1.436191
Leshan,1.436191
Lijiang,1.436191
Chuzhou,1.436191
Ordos,1.436191
Shaoguan,1.436191
Weihai,1.436191
Baoding,1.436191
Zhangzhou,1.436191
Zhuzhou,1.436191
Bangbu,1.435531
Xinyang,1.433062
Taizhou,1.429714
Qingyuan,1.425593
Wuhu,1.422997
Huizhou,1.415435
Qinhuangdao,1.409279
Taizhou,1.405246
Yingkou,1.398326
Anqing,1.396835
Hulunbuir,1.392180
Jiujiang,1.392180
Jiuquan,1.392180
Baoshan,1.392180
Lianyungang,1.392180
Hengyang,1.392180
Luzhou,1.392180
Mianyang,1.392180
Pingdingshan,1.392180
Qianxinan,1.392180
Shantou,1.392180
Shanwei,1.392180
Dali,1.392180
Taiyuan,1.392180
Weicu,1.392180
Chaozhou,1.392180
Wuhai,1.392180
Xinxiang,1.392180
Ya'an,1.392180
Yantai,1.392180
Yinchuan,1.392180
Yunfu,1.392180
Zigong,1.392180
Ngawa,1.392120
Yancheng,1.387386
Lu'an,1.382057
Jingmen,1.381284
Yan'an,1.377983
Chizhou,1.371602
Lhasa,1.368390
Cangzhou,1.361962
Yichang,1.359739
Tangshan,1.356187
Suizhou,1.353681
Ningde,1.353463
Chongzuo,1.353415
Guang'an,1.348204
Huainan,1.347095
Zhangjiajie,1.339876
Zhangjiakou,1.337074
Dezhou,1.336045
Yulin,1.336027
Xiangyang,1.333336
Zunyi,1.331749
Chengde,1.326474
Xiuzhou,1.325912
Zibo,1.325912
Dazhou,1.325491
Linfen,1.322880
Linxia,1.322880
Mudanjiang,1.322880
Nanchong,1.322880
Changzhi,1.322880
Heyuan,1.322880
Jian,1.322880
Pu'er,1.322880
Puyang,1.322880
Qiandongnan,1.322880
Huai'an,1.322880
Qujing,1.322880
Guyuan,1.322880
Sansha,1.322880
Shannan,1.322880
Jiaozuo,1.322880
Haibei,1.322880
Suining,1.322880
Jiayuguan,1.322880
Hegang,1.322880
Tongliao,1.322880
Turpan,1.322880
Jilin,1.322880
Baicheng,1.322880
Diqing,1.322880
Xiangtan,1.322880
Xiangxi,1.322880
Xining,1.322880
Jincheng,1.322880
Hotan,1.322880
Xinzhou,1.322880
Hebi,1.322880
Ganzhou,1.322880
Yibin,1.322880
Yiyang,1.322880
Yueyang,1.322880
Honghe,1.322880
Guangyuan,1.322880
Chenzhou,1.322880
Ziyang,1.322880
Xuancheng,1.319950
Anshan,1.316194
