city,distance
Harbin,5.866402
Beijing,4.305257
Shanghai,3.848805
Qiqihar,3.658545
Qingdao,3.361913
Panjin,3.139238
Suihua,3.139238
Shenyang,3.039588
Changchun,3.008551
Dalian,2.887838
Hulunbuir,2.604787
Qinhuangdao,2.573128
Tianjin,2.463540
Yichun,2.463540
Hangzhou,2.420318
Heihe,2.420318
Mudanjiang,2.420318
Songyuan,2.420318
Xi'an,2.420318
Tangshan,2.317847
Hegang,2.254544
Jiamusi,2.254544
Guangzhou,2.177862
Jinhua,2.177862
Nanchang,2.177862
Shamen,2.177862
Shenzhen,2.177862
Taipei,2.177862
Wuhan,2.177862
Xuzhou,2.177862
Chengdou,2.078235
Daxinganling,2.078235
Hong Kong,2.078235
Jining,2.078235
Jinzhou,2.078235
Shijiazhuang,2.078235
Siping,2.078235
Tieling,2.078235
Tongliao,2.078235
Wuxi,2.078235
Baicheng,2.078235
Yantai,2.078235
Suzhou,2.067391
Chifeng,1.927502
Chongqing,1.927502
Dongying,1.927502
Fushun,1.927502
Fuzhou,1.927502
Huludao,1.927502
Jiaxing,1.927502
Jilin,1.927502
Jinan,1.927502
Jingmen,1.927502
Langfang,1.927502
Lijiang,1.927502
Mianyang,1.927502
Nanchong,1.927502
Nanjing,1.927502
Ningbo,1.927502
Anshan,1.927502
Sanya,1.927502
Shaoxing,1.927502
Changzhi,1.927502
Shuangyashan,1.927502
Changzhou,1.927502
Baotou,1.927502
Taizhou,1.927502
Cangzhou,1.927502
Wuhu,1.927502
Chengde,1.927502
Xianyang,1.927502
Xining,1.927502
Yichang,1.927502
Yulin,1.927502
Zhenjiang,1.927502
Yanbian,1.732785
Baoding,1.730574
Jixi,1.727784
Weifang,1.680856
Baoting,1.677620
Taiyuan,1.663549
Zhoushan,1.659239
Qitaihe,1.654832
Zhengzhou,1.647241
Nantong,1.644664
Hohhot,1.626719
Changsha,1.617787
Zhangjiakou,1.617293
Weihai,1.614201
Yingkou,1.608168
Huzhou,1.608098
Taizhou,1.593176
Yangzhou,1.562196
New Taipei,1.558478
Hefei,1.551098
Rizhao,1.547812
Hinggan,1.533854
Baishan,1.528973
Urumqi,1.523293
Dandong,1.520826
Liaoyang,1.516092
Guiyang,1.509814
Benxi,1.509494
Lanzhou,1.509275
Huangshan,1.503744
Guilin,1.497634
Wenzhou,1.497298
Tai'an,1.495575
Linyi,1.490713
Zibo,1.487880
Datong,1.485931
Taoyuan,1.475928
Yinchuan,1.474047
Nanning,1.473010
Macau,1.471565
Fuxin,1.462007
Haikou,1.461817
Zhuhai,1.460114
Dongguan,1.455133
Chaoyang,1.453458
Lhasa,1.449429
Jinzhong,1.448810
Bangbu,1.445792
Tonghua,1.445758
Luoyang,1.442891
Dezhou,1.439610
Weinan,1.432197
Diqing,1.430797
Baoji,1.429368
Yancheng,1.427768
Xinzhou,1.421096
Foshan,1.420037
Ngawa,1.416687
Jiujiang,1.405897
Lianyungang,1.403755
Handan,1.403353
Ordos,1.396429
Shangrao,1.392023
Hengshui,1.385769
Zhangjiajie,1.377503
Kaifeng,1.371195
Ganzhou,1.371195
Zhongshan,1.371195
Xingtai,1.368779
Xilingol,1.365632
Zaozhuang,1.364430
Xuancheng,1.356451
Jiaozuo,1.353909
Xinxiang,1.353468
Yan'an,1.352485
Anyang,1.352134
Dali,1.346641
Nanping,1.342447
Quanzhou,1.342447
Xiangyang,1.342447
Heze,1.342447
Leshan,1.331568
Huai'an,1.328928
Chizhou,1.322217
Ulanqab,1.322153
Zhangzhou,1.320516
Liaoyuan,1.319210
Taichung,1.306918
Binzhou,1.305865
Quzhou,1.305076
Pu'er,1.304604
Shaoguan,1.304604
Xiangxi,1.304604
Yibin,1.304604
Kaohsiung,1.304505
Hsinchu,1.303917
Ma'anshan,1.303917
Ningde,1.303917
Sanming,1.303917
Jieyang,1.303917
Yangquan,1.303128
Liaocheng,1.299605
Lishui,1.298917
Laiwu,1.297565
Haixi,1.296035
Beihai,1.294155
Liuzhou,1.293714
Jian,1.292189
Deyang,1.291478
Keelung,1.290278
Jiuquan,1.289071
Chuzhou,1.287740
Yingtan,1.286729
Hanzhong,1.284782
Xinyang,1.280842
Jincheng,1.278469
Yichun,1.277768
Xianning,1.277512
Shiyan,1.271998
Yuncheng,1.270015
Jingdezhen,1.267119
Xuchang,1.266705
Shuozhou,1.265141
Haibei,1.264926
Ankang,1.264922
Xiuzhou,1.260974
Huizhou,1.257731
Anqing,1.256569
Yilan,1.253210
Puyang,1.252375
Changde,1.252375
Meizhou,1.252375
Longyan,1.252086
Yueyang,1.251233
Hualien,1.246476
Jiangmen,1.245623
Jingzhou,1.245527
Bayannur,1.245315
Lvliang,1.244087
Dazhou,1.244072
Liangshanzhou,1.242933
Qiandongnan,1.242933
Qionghai,1.242933
Guangyuan,1.242933
Sanmenxia,1.242933
Hotan,1.242933
Bayingolin,1.242933
Ili(Yili),1.242933
Tongling,1.242933
Guang'an,1.242933
Luohe,1.242933
Chiayi,1.242933
Xishuangbanna,1.242933
Loudi,1.242933
Linfen,1.242933
Yulin,1.242933
Nanyang,1.242928
Shangqiu,1.241007
Zhongwei,1.240308
Huanggang,1.239890
Suining,1.237514
Baoshan,1.236374
Xiuqian,1.234351
Shangluo,1.234098
Xiaogan,1.233568
Fuzhou,1.232179
Huangshi,1.232048
Wanning,1.231754
