city,distance
Harbin,5.806479
Beijing,4.270004
Shanghai,3.924753
Hulunbuir,3.892227
Heihe,3.556823
Hinggan,3.316852
Qiqihar,3.201183
Mudanjiang,2.805779
Nanjing,2.687994
Shenyang,2.687994
Changchun,2.537839
Daqing,2.537839
Hangzhou,2.537839
Qinhuangdao,2.537839
Tangshan,2.537839
Tianjin,2.537839
Xi'an,2.537839
Changsha,2.316612
Hohhot,2.316612
Hong Kong,2.316612
Huangshan,2.316612
Huludao,2.316612
Jiamusi,2.316612
Jilin,2.316612
Nanchang,2.316612
Ngawa,2.316612
Sanya,2.316612
Suihua,2.316612
Suzhou,2.316612
Taipei,2.316612
Tieling,2.316612
Wuhan,2.316612
Yichun,2.316612
Dalian,1.957498
Sanya,1.940781
Jiaxing,1.846480
Qingdao,1.820848
Wuxi,1.815748
Guangzhou,1.795805
Shamen,1.790356
Langfang,1.767869
Chengdou,1.766457
Changzhou,1.757734
Ningbo,1.756757
Shenzhen,1.734751
Yanbian,1.727519
Baoding,1.724850
Jinan,1.723179
Jixi,1.722548
Shijiazhuang,1.720134
Tongliao,1.686211
Baicheng,1.676308
Zhoushan,1.673197
Nantong,1.658377
Taiyuan,1.658259
Chongqing,1.653686
Qitaihe,1.650028
Zhengzhou,1.642482
Songyuan,1.638585
Anshan,1.630525
New Taipei,1.628265
Hegang,1.622077
Huzhou,1.621206
Zhangjiakou,1.612293
Chengde,1.596905
Shaoxing,1.595574
Chifeng,1.594642
Kunming,1.588724
Taizhou,1.588724
Jinzhou,1.577831
Yangzhou,1.574563
Xilingol,1.566485
Jinhua,1.552151
Hefei,1.546878
Yantai,1.539886
Shuangyashan,1.532563
Zhenjiang,1.529101
Baishan,1.524872
Urumqi,1.518857
Dandong,1.516769
Cangzhou,1.515274
Xianyang,1.512055
Taoyuan,1.510583
Wenzhou,1.508655
Guiyang,1.505455
Lanzhou,1.504920
Weihai,1.499105
Fuzhou,1.498198
Guilin,1.493345
Fushun,1.491804
Tai'an,1.491298
Taizhou,1.483621
Datong,1.481709
Macau,1.479539
Lijiang,1.479327
Weinan,1.472547
Yinchuan,1.469892
Baoji,1.469557
Nanning,1.468861
Yingkou,1.467765
Jiujiang,1.462441
Haikou,1.457731
Zhuhai,1.456037
Weifang,1.455546
Xuzhou,1.455546
Baotou,1.449445
Lhasa,1.445411
Jinzhong,1.444795
Bangbu,1.442124
Xining,1.440405
Ordos,1.439426
Luoyang,1.438910
Yancheng,1.438092
Dezhou,1.435646
Panjin,1.427204
Diqing,1.427204
Jining,1.423905
Liaoyang,1.423238
Benxi,1.417422
Xinzhou,1.417234
Shangrao,1.401834
Handan,1.399586
Zibo,1.397826
Ulanqab,1.392807
Dongguan,1.390943
Lianyungang,1.390415
Yan'an,1.388412
Zhangjiajie,1.387110
Hengshui,1.382096
Wanning,1.379864
Zhuzhou,1.379068
Xiangtan,1.376551
Wuhu,1.373135
Gannan,1.372902
Kaifeng,1.367895
Ganzhou,1.367895
Zhongshan,1.367895
Xuancheng,1.365765
Xingtai,1.365196
Yichang,1.364421
Dongying,1.362856
Zaozhuang,1.360870
Xiangxi,1.359646
Taichung,1.355642
Wuhai,1.351377
Linyi,1.351275
Jiaozuo,1.350403
Quanzhou,1.350204
Xinxiang,1.349964
Anyang,1.348637
Fuxin,1.344880
Foshan,1.344101
Dali,1.343172
Yueyang,1.341621
Nanping,1.339284
Tonghua,1.339284
Xiangyang,1.339284
Heze,1.339284
Keelung,1.337747
Qionghai,1.336393
Huai'an,1.334579
Chizhou,1.331066
Hengyang,1.331048
Yichun,1.324305
Xianning,1.324030
Hsinchu,1.322501
Yingtan,1.320879
Kaohsiung,1.319681
Ma'anshan,1.319612
Hanzhong,1.317160
Quzhou,1.313696
Changde,1.313373
Jian,1.312445
Lishui,1.307456
Chuzhou,1.306764
Beihai,1.302631
Binzhou,1.302603
Ningde,1.300933
Sanming,1.300933
Liaoyuan,1.300933
Jieyang,1.300933
Changzhi,1.300933
Mianyang,1.300676
Yangquan,1.299880
Yilan,1.297943
Liaocheng,1.296374
Ankang,1.296294
Hualien,1.290721
Liuzhou,1.290513
Jingzhou,1.289704
Keramay,1.285984
Dehong,1.285984
Liangshanzhou,1.285984
Yiyang,1.285984
Huizhou,1.285984
Jiuquan,1.285892
Huanggang,1.283661
Jingdezhen,1.278893
Xinyang,1.277703
Xiaogan,1.276886
Rizhao,1.276848
Fuzhou,1.275398
Huangshi,1.275258
Chaoyang,1.272866
Yulin,1.270284
Bayannur,1.269215
Loudi,1.268578
Yuncheng,1.266929
Anqing,1.264558
Garze,1.264118
Shangluo,1.263942
Shuozhou,1.262079
Nantou,1.260395
Leshan,1.259052
Sanmenxia,1.251776
Xinyu,1.250680
Puyang,1.249374
Meizhou,1.249374
Jiangmen,1.247979
Shiyan,1.247268
Pingdong,1.244833
Tainan,1.244440
Tianshui,1.241551
Shaoguan,1.241360
Yibin,1.241360
Pu'er,1.241360
Lvliang,1.241126
Lingshui,1.240583
Qiandongnan,1.240221
Bayingolin,1.240221
Luohe,1.240221
Tongling,1.240221
Guang'an,1.240221
Xishuangbanna,1.240221
Linfen,1.240221
Hotan,1.240221
Chiayi,1.240221
Yulin,1.240221
Guangyuan,1.240221
Ili(Yili),1.240221
Zhongwei,1.237365
Pingxiang,1.235977
Baoshan,1.233449
Shangqiu,1.232108
Zhangzhou,1.232108
Xuchang,1.230747
Tongchuan,1.227774
Nanyang,1.223634
Fuyang,1.223634
Zhanjiang,1.223634
Ezhou,1.222659
Shantou,1.220352
Lu'an,1.220352
Deyang,1.219091
Chenzhou,1.217018
Jingmen,1.216198
Zunyi,1.215935
Huaihua,1.215862
Nanchong,1.212668
Xiuqian,1.211172
Pingdingshan,1.209279
Hezhou,1.203949
Bozhou,1.202100
Xiuzhou,1.202100
Ya'an,1.202100
Longyan,1.201737
Neijiang,1.201702
Hebi,1.198285
Jiayuguan,1.197137
Enshi,1.196901
Anshun,1.196315
Shaoyang,1.192077
Yongzhou,1.185749
Nyingchi,1.185749
