city,distance
Chongqing,4.977117
Chengdou,4.876363
Nanchong,3.818127
Ankang,3.803112
Guang'an,3.642499
Beijing,3.303596
Shanghai,3.254922
Wuhan,2.992426
Xi'an,2.879613
Lhasa,2.837338
Puyang,2.792027
Xiangyang,2.792027
Bazhong,2.743057
Shiyan,2.689577
Enshi,2.630374
Suining,2.630374
Hangzhou,2.563631
Yichang,2.563631
Deyang,2.393473
Lanzhou,2.393473
Liangshanzhou,2.393473
Weinan,2.393473
Zhengzhou,2.393473
Hebi,2.273687
Leshan,2.273687
Luoyang,2.273687
Meishan,2.273687
Sanmenxia,2.273687
Shijiazhuang,2.273687
Ngawa,2.099724
Changsha,2.094491
Changzhou,2.094491
Dalian,2.094491
Datong,2.094491
Guangyuan,2.094491
Guangzhou,2.094491
Guiyang,2.094491
Hefei,2.094491
Huzhou,2.094491
Jinan,2.094491
Jinzhong,2.094491
Kunming,2.094491
Mianyang,2.094491
Nanjing,2.094491
Nanyang,2.094491
Pingdingshan,2.094491
Quanzhou,2.094491
Shamen,2.094491
Shenzhen,2.094491
Baoding,2.094491
Suzhou,2.094491
Tai'an,2.094491
Tianjin,2.094491
Weifang,2.094491
Wuwei,2.094491
Xingtai,2.094491
Baotou,2.094491
Yichun,2.094491
Yiyang,2.094491
Zhangjiajie,2.094491
Zhuzhou,2.094491
Zigong,2.094491
Zunyi,2.094491
Hanzhong,1.916751
Lijiang,1.831036
Garze,1.795740
Ya'an,1.779889
Xianyang,1.732863
Nyingchi,1.729185
Hong Kong,1.698602
Jiaxing,1.683488
Neijiang,1.681672
Wuxi,1.657904
Nagqu,1.656257
Chongqing,1.653686
Zhenjiang,1.647698
Sanya,1.646157
Ziyang,1.640304
Shannan,1.639890
Shangluo,1.639385
Shaoxing,1.639385
Luzhou,1.631564
Ningbo,1.608584
Yibin,1.598360
Qingdao,1.594994
Xiangxi,1.590218
Urumqi,1.588986
Liaocheng,1.581172
Baoji,1.578009
Langfang,1.576886
Guilin,1.569596
Shenyang,1.554224
Taiyuan,1.550137
Fuzhou,1.545940
Anyang,1.544782
Xining,1.538769
Zhoushan,1.538244
Qinhuangdao,1.537457
Huizhou,1.537190
Haikou,1.534923
Nantong,1.525709
Nanchang,1.525503
Tongren,1.525503
Nanning,1.523054
Kaifeng,1.522835
Xianning,1.520260
Dali,1.518033
Yulin,1.515563
Xinyang,1.503353
Panzhihua,1.498724
Huangshan,1.496057
Harbin,1.496057
Dezhou,1.490005
Haixi,1.487564
Yan'an,1.484825
Wenzhou,1.483687
Diqing,1.480420
Taipei,1.477076
Jingzhou,1.475178
Tangshan,1.474484
Suizhou,1.471874
Huanggang,1.467278
Heze,1.465879
Qamdo,1.463328
Zhuhai,1.462840
Xiaogan,1.458433
Huangshi,1.456309
Hohhot,1.455893
Yinchuan,1.455134
Yangzhou,1.454480
Shangqiu,1.453690
Zhangjiakou,1.451920
Chengde,1.439429
Jinhua,1.435336
Huaihua,1.433701
Changchun,1.433290
Xuzhou,1.428968
Zhumadian,1.425420
Liuzhou,1.418954
Dongguan,1.418954
Jiuquan,1.416529
Dongying,1.415361
Zhongshan,1.413920
Dingxi,1.413920
Beihai,1.413641
Jingmen,1.409448
Taoyuan,1.408098
Baoshan,1.402303
Qiandongnan,1.396227
Xiangtan,1.396227
Ngari,1.395961
Ordos,1.390183
Yantai,1.389841
Zhoukou,1.389249
Ezhou,1.388115
Foshan,1.384114
Yueyang,1.383106
Liaoyang,1.379653
Tongling,1.379653
Handan,1.377885
Taizhou,1.376537
Jining,1.374572
Jiujiang,1.374511
Anshun,1.373291
Macau,1.373023
Cangzhou,1.372768
Jiaozuo,1.370912
Yuncheng,1.363682
Tianshui,1.361407
Zibo,1.360763
Shuozhou,1.359019
Jinchang,1.357230
Taizhou,1.353841
Zhangye,1.348942
Chuzhou,1.343793
Changde,1.343048
Shaoguan,1.342494
Bangbu,1.342494
Linfen,1.342494
Hengshui,1.342494
Jincheng,1.342494
Xinzhou,1.339335
Xuchang,1.337713
Yancheng,1.337256
Ulanqab,1.335068
Xinyu,1.334396
Gannan,1.333512
Wanning,1.332016
Xishuangbanna,1.332016
Yuxi,1.332016
Huludao,1.324750
